Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADILSON ROSA DOS SANTOS;ADILSON ROSA DOS SANTOS;291;INAPTO (Renúncia);PCO;29;-;-;1º Suplente Senador;Masculino;1956-05-25;Solteiro(a);Técnico de Eletricidade, Eletrônica e Telecomunicações;Ensino Médio completo;Brasileira nata;TEÓFILO OTONI / MG;;;458832010;5556-65.2010.6.13.0000;12.206.378/0001-25;
ELMIRO ALVES DO NASCIMENTO;ELMIRO NASCIMENTO;456;APTO (Deferido);DEM;25;SOMOS MINAS GERAIS;PP / PDT / PTB / PSL / PSC / PR / PPS / DEM / PSDC / PMN / PSB / PSDB;1º Suplente Senador;Masculino;1951-10-03;Casado(a);Administrador;Superior completo;Brasileira nata;PATOS DE MINAS / MG;;;413042010;4113-79.2010.6.13.0000;12.172.421/0001-89;
GILSON DE SOUZA;GILSON DE SOUZA;650;APTO (Deferido);PT;13;TODOS JUNTOS POR MINAS;PRB / PT / PMDB / PC do B;1º Suplente Senador;Masculino;1963-03-18;Casado(a);Advogado;Superior completo;Brasileira nata;ITAMBACURI / MG;;;427002010;5047-37.2010.6.13.0000;12.332.403/0001-17;
HIRON VICENTE BERTOLDO;HIRON BERTOLDO;291;INAPTO (Indeferido);PCO;29;-;-;1º Suplente Senador;Masculino;1964-04-06;Casado(a);Motorista Particular;Ensino Médio completo;Brasileira nata;CAMPOS GERAIS / MG;;;766552010;8071-73.2010.6.13.0000;12.610.710/0001-12;
JOSÉ FRANCISCO NERES;NERES;212;APTO (Deferido);PCB;21;-;-;1º Suplente Senador;Masculino;1934-12-04;Casado(a);Aposentado (Exceto Servidor Público);Ensino Fundamental completo;Brasileira nata;BELO HORIZONTE / MG;;;425352010;5024-91.2010.6.13.0000;12.189.953/0001-29;
JOSÉ PERRELA DE OLIVEIRA COSTA;ZEZÉ PERRELLA;234;APTO (Deferido);PDT;12;SOMOS MINAS GERAIS;PP / PDT / PTB / PSL / PSC / PR / PPS / DEM / PSDC / PMN / PSB / PSDB;1º Suplente Senador;Masculino;1957-02-22;Separado(a) judicialmente;Empresário;Ensino Médio completo;Brasileira nata;SÃO GONÇALO DO PARÁ / MG;;;413052010;4114-64.2010.6.13.0000;12.174.333/0001-16;
JÚLIO CEZAR DOS REIS;JÚLIO CEZAR DOS REIS;291;INAPTO (Indeferido);PCO;29;-;-;1º Suplente Senador;Masculino;1972-09-13;Casado(a);Auxiliar de Escritório e Assemelhados;Ensino Fundamental incompleto;Brasileira nata;ALPERCATA / MG;;;669682010;6976-08.2010.6.13.0000;12.458.753/0001-24;
LUIZ CARLOS FREITAS PEREIRA;PROFESSOR LUIZ PEREIRA;501;APTO (Deferido);PSOL;50;-;-;1º Suplente Senador;Masculino;1955-07-18;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;PARA DE MINAS / MG;;;422132010;3666-91.2010.6.13.0000;12.181.686/0001-43;
LUIZ ROBERTO REZENDE MARTINS;LUIZ ROBERTO REZENDE MARTINS;160;APTO (Deferido);PSTU;16;-;-;1º Suplente Senador;Masculino;1969-08-12;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;BELO HORIZONTE / MG;;;414632010;4207-27.2010.6.13.0000;12.479.625/0001-67;
MARCILENE JACINTO QUEIROZ;MARCILENE JACINTO;313;APTO (Deferido);PHS;31;MINAS NO RUMO CERTO I;PTN / PRTB / PHS / PTC / PRP / PT do B;1º Suplente Senador;Feminino;1974-02-08;Casado(a);Comerciante;Ensino Médio completo;Brasileira nata;PATROCINIO / MG;;;414852010;4294-80.2010.6.13.0000;12.181.563/0001-02;
MARIA APARECIDA MACHADO;MARIA APARECIDA MACHADO;500;APTO (Deferido);PSOL;50;-;-;1º Suplente Senador;Feminino;1956-11-04;Casado(a);Produtor Agropecuário;Ensino Médio completo;Brasileira nata;UBERLANDIA / MG;;;422142010;3667-76.2010.6.13.0000;12.175.258/0001-08;
PEDRO AFONSO VALADARES;PEDRO VALADARES;161;APTO (Deferido);PSTU;16;-;-;1º Suplente Senador;Masculino;1968-09-13;Solteiro(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;RAUL SOARES / MG;;;414642010;4208-12.2010.6.13.0000;12.179.876/0001-26;
VIRGÍLIO GUIMARÃES DE PAULA;VIRGÍLIO GUIMARÃES;133;APTO (Deferido);PT;13;TODOS JUNTOS POR MINAS;PRB / PT / PMDB / PC do B;1º Suplente Senador;Masculino;1949-09-05;Divorciado(a);Economista;Superior completo;Brasileira nata;BELO HORIZONTE / MG;;;427012010;5048-22.2010.6.13.0000;12.297.416/0001-00;
