Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABILIO MACIEL DA SILVA FILHO;ABILIO;22125;APTO (Deferido);PR;22;-;-;Deputado Estadual;Masculino;1953-01-05;Casado(a);Engenheiro;Superior completo;Brasileira nata;MANAUS / AM;;Suplente;488602010;1038-64.2010.6.19.0000;12.175.841/0001-19;
ACYR PIRES AGUIAR;DR ACYR;22888;APTO (Indeferido com recurso);PR;22;-;-;Deputado Estadual;Masculino;1955-04-12;Divorciado(a);Médico;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Indeferido com Recurso;488612010;928-65.2010.6.19.0000;12.176.082/0001-09;
ADAIL BARRETO DE BARROS;ADAIL BARRETO DE BARROS;36301;APTO (Deferido);PTC;36;-;-;Deputado Estadual;Masculino;1951-06-11;Divorciado(a);Advogado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;460182010;466-11.2010.6.19.0000;12.175.118/0001-30;
ADALBERTO DE SOUZA RABELO;CEL RABELO;36333;APTO (Deferido);PTC;36;-;-;Deputado Estadual;Masculino;1951-07-02;Casado(a);Policial Militar;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;468782010;472-18.2010.6.19.0000;12.190.632/0001-44;
ADALBERTO DOS SANTOS CORREA;COMANDANTE ADALBERTO;31020;APTO (Deferido);PHS;31;Humanista;PTN / PHS;Deputado Estadual;Masculino;1974-07-06;Casado(a);Membro das Forças Armadas;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;476142010;724-21.2010.6.19.0000;12.167.901/0001-51;
ADEILSON XAVIER SILVA;ADEILSON SILVA;28210;APTO (Deferido);PRTB;28;POR UM RIO MELHOR;PSL / PRTB;Deputado Estadual;Masculino;1974-02-24;Casado(a);Comerciante;Ensino Fundamental completo;Brasileira nata;SALVADOR / BA;;Suplente;484012010;2746-52.2010.6.19.0000;12.179.559/0001-00;
ADEIR THEOFILO APOLINARIO;ADEIR APOLINARIO;12381;APTO (Deferido);PDT;12;-;-;Deputado Estadual;Masculino;1952-07-28;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;ESPIRITO SANTO / ES;;Suplente;469422010;1126-05.2010.6.19.0000;12.214.428/0001-16;
ADEJAIR GOMES DE FREITAS;ADEJAIR;50345;INAPTO (Indeferido);PSOL;50;-;-;Deputado Estadual;Masculino;1953-05-15;Casado(a);Empresário;Ensino Fundamental completo;Brasileira nata;VOLTA REDONDA / RJ;;Registro negado antes da eleição;554662010;3010-69.2010.6.19.0000;12.262.815/0001-28;
ADELAIDE ANTUNES FERREIRA;ADELAIDE ANTUNES;28057;APTO (Deferido);PRTB;28;POR UM RIO MELHOR;PSL / PRTB;Deputado Estadual;Feminino;1957-06-07;Casado(a);Auxiliar de Laboratório;Ensino Médio completo;Brasileira nata;RJ / RJ;;Suplente;508752010;2754-29.2010.6.19.0000;12.221.741/0001-81;
ADELGICIO EMIDIO DE ALMEIDA;DR. DEL;40015;INAPTO (Indeferido);PSB;40;FRENTE DE MOBILIZAÇÃO SOCIALISTA;PMN / PSB;Deputado Estadual;Masculino;1948-09-26;Casado(a);Médico;Superior completo;Brasileira nata;GUIRICEMA / MG;;;467642010;2290-05.2010.6.19.0000;12.174.515/0001-97;
ADELSON PEREIRA GUEDES;ADELSON GUEDES;15012;APTO (Deferido);PMDB;15;-;-;Deputado Estadual;Masculino;1962-09-17;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;GUARABIRA / PB;;Suplente;489752010;1293-22.2010.6.19.0000;12.167.230/0001-29;
ADEMIR ALVES DE MELO;ADEMIR MELO;45456;APTO (Deferido);PSDB;45;O RIO DE JANEIRO PODE MAIS;PPS / DEM / PSDB;Deputado Estadual;Masculino;1957-03-30;Casado(a);Deputado;Superior completo;Brasileira nata;VOLTA REDONDA / RJ;;Suplente;473352010;1714-12.2010.6.19.0000;12.204.714/0001-09;
ADENILDO BRAULINO DOS SANTOS;DENNIS DAUTTMAM;22333;APTO (Deferido);PR;22;-;-;Deputado Estadual;Masculino;1964-05-23;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;IBICARAI / BA;;Suplente;488622010;1067-17.2010.6.19.0000;12.180.462/0001-17;
ADENOR DE CASTRO VIEIRA;ADENOR DE CASTRO;14660;APTO (Deferido);PTB;14;Trabalho e Fé;PTB / PSDC;Deputado Estadual;Masculino;1952-06-27;Casado(a);Comerciante;Ensino Médio completo;Brasileira nata;ARARUAMA / RJ;;Suplente;557042010;2995-03.2010.6.19.0000;12.172.559/0001-88;
ADILEA PEREIRA LOPES;DIDI;31131;INAPTO (Indeferido);PHS;31;Humanista;PTN / PHS;Deputado Estadual;Feminino;1948-09-20;Casado(a);Outros;Ensino Médio completo;Brasileira nata;RIO DE JANEIRO / RJ;;;476152010;743-27.2010.6.19.0000;;
ADILSON DOS REIS VIEIRA;ADILSON REIS;31952;APTO (Deferido);PHS;31;Humanista;PTN / PHS;Deputado Estadual;Masculino;1959-12-10;Divorciado(a);Policial Militar;Ensino Fundamental completo;Brasileira nata;QUEIMADOS / RJ;;Suplente;476162010;980-61.2010.6.19.0000;12.178.399/0001-84;
ADILSON LIBANIO DA CRUZ;ADILSON LIBANIO;43193;INAPTO (Indeferido);PV;43;-;-;Deputado Estadual;Masculino;1962-01-17;Casado(a);Bombeiro Militar;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Registro negado antes da eleição;506152010;2023-33.2010.6.19.0000;12.191.176/0001-57;
ADILSON MANOEL DA SILVA;ADILSON VIGILANTE;65999;APTO (Deferido);PC do B;65;-;-;Deputado Estadual;Masculino;1967-07-13;Divorciado(a);Vigilante;Ensino Médio completo;Brasileira nata;NOVA IGUAÇU / RJ;;Suplente;506942010;2472-88.2010.6.19.0000;12.191.463/0001-67;
ADILSON PALACIO;PALACIO;44789;APTO (Deferido);PRP;44;-;-;Deputado Estadual;Masculino;1971-03-01;Casado(a);Policial Civil;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;538032010;2593-19.2010.6.19.0000;12.206.162/0001-60;
ADMARDO HENRIQUES TAVARES;DR ADMARDO;23333;APTO (Deferido);PPS;23;O RIO DE JANEIRO PODE MAIS;PPS / DEM / PSDB;Deputado Estadual;Masculino;1947-08-18;Casado(a);Médico;Superior completo;Brasileira nata;CARDOSO MOREIRA / RJ;;Suplente;473362010;1715-94.2010.6.19.0000;12.175.590/0001-72;
ADMILSON BATISTA DA COSTA;ADMILSON COSTA MIL;36000;APTO (Deferido);PTC;36;-;-;Deputado Estadual;Masculino;1964-08-09;Casado(a);Outros;Ensino Médio completo;Brasileira nata;ITAPETINGA / BA;;Não eleito;460202010;416-82.2010.6.19.0000;12.181.119/0001-97;
ADOVANO BARRETO;DR BARRETO;19039;APTO (Indeferido com recurso);PTN;19;Humanista;PTN / PHS;Deputado Estadual;Masculino;1939-12-10;Casado(a);Advogado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Indeferido com Recurso;476192010;665-33.2010.6.19.0000;12.168.861/0001-62;
