Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
CARLOS DIAS FILHO;CARLOS DIAS;700;APTO (Deferido);PT do B;70;A FORÇA DO POVO - PR E PTdoB;PR / PT do B;Senador;Masculino;1960-03-19;Casado(a);Empresário;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;489682010;2169-74.2010.6.19.0000;12.178.230/0001-24;
CESAR EPITACIO MAIA;CESAR MAIA;251;APTO (Deferido);DEM;25;Rio Esperança;PPS / DEM / PV / PSDB;Senador;Masculino;1945-06-18;Casado(a);Outros;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;470422010;478-25.2010.6.19.0000;12.176.116/0001-65;
CLAITON COFFY;CLAITON;162;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1960-06-14;Casado(a);Petroleiro;Superior completo;Brasileira nata;IJUI / RS;;Não eleito;466192010;524-14.2010.6.19.0000;12.175.037/0001-30;
HEITOR FERNANDES FILHO;HEITOR;161;APTO (Deferido);PSTU;16;-;-;Senador;Masculino;1962-10-08;Casado(a);Servidor Público Federal;Ensino Médio completo;Brasileira nata;NITERÓI / RJ;;Não eleito;466202010;535-43.2010.6.19.0000;12.180.292/0001-70;
JORGE MILTON TEMER;MILTON TEMER;500;APTO (Deferido);PSOL;50;-;-;Senador;Masculino;1938-12-12;Solteiro(a);Jornalista e Redator;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;483932010;899-15.2010.6.19.0000;12.168.390/0001-92;
JORGE SAYED PICCIANI;JORGE PICCIANI;155;APTO (Deferido);PMDB;15;JUNTOS PELO RIO;PP / PDT / PT / PTB / PMDB / PSL / PTN / PSC / PSDC / PRTB / PHS / PMN / PTC / PSB / PRP / PC do B;Senador;Masculino;1955-03-25;Casado(a);Deputado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;458192010;297-24.2010.6.19.0000;12.176.626/0001-32;
LUIZ LINDBERGH FARIAS FILHO;LINDBERG;131;APTO (Deferido);PT;13;JUNTOS PELO RIO;PP / PDT / PT / PTB / PMDB / PSL / PTN / PSC / PSDC / PRTB / PHS / PMN / PTC / PSB / PRP / PC do B;Senador;Masculino;1969-12-08;Casado(a);Outros;Superior incompleto;Brasileira nata;JOÃO PESSOA / PB;;Eleito;458202010;309-38.2010.6.19.0000;12.179.678/0001-62;
MARCELLO AUGUSTO DINIZ CERQUEIRA;MARCELO CERQUEIRA;233;APTO (Deferido);PPS;23;Rio Esperança;PPS / DEM / PV / PSDB;Senador;Masculino;1938-08-06;Divorciado(a);Advogado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;484912010;1979-14.2010.6.19.0000;12.169.347/0001-41;
MARCELO BEZERRA CRIVELLA;MARCELO CRIVELLA;100;APTO (Deferido);PRB;10;-;-;Senador;Masculino;1957-10-09;Casado(a);Senador;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Eleito;510132010;1982-66.2010.6.19.0000;12.177.296/0001-08;
WAGNER DIAS BASTOS;WAGUINHO SENADOR - 707;707;APTO (Deferido);PT do B;70;A FORÇA DO POVO - PR E PTdoB;PR / PT do B;Senador;Masculino;1965-04-21;Casado(a);Cantor e Compositor;Ensino Médio completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;489692010;2177-51.2010.6.19.0000;12.181.457/0001-29;
WLADIMIR DA SILVA VASCONCELOS;WLADIMIR MUTT;211;APTO (Deferido);PCB;21;-;-;Senador;Masculino;1946-02-12;Divorciado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;478462010;636-80.2010.6.19.0000;12.172.719/0001-99;
