Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
DENISE ISKIN;DRA. DENISE ISKIN;233;APTO (Deferido);PPS;23;Rio Esperança;PPS / DEM / PV / PSDB;2º Suplente Senador;Feminino;1953-07-06;Casado(a);Médico;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;;484932010;1980-96.2010.6.19.0000;12.177.649/0001-61;
DINARCO REIS FILHO;DINARCO REIS;211;APTO (Deferido);PCB;21;-;-;2º Suplente Senador;Masculino;1932-11-14;Casado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;;478482010;638-50.2010.6.19.0000;12.168.930/0001-38;
EMIR SIMÃO SADER;EMIR SADER;131;APTO (Deferido);PT;13;JUNTOS PELO RIO;PP / PDT / PT / PTB / PMDB / PSL / PTN / PSC / PSDC / PRTB / PHS / PMN / PTC / PSB / PRP / PC do B;2º Suplente Senador;Masculino;1943-07-13;Divorciado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;SÃO PAULO / SP;;;458232010;321-52.2010.6.19.0000;12.169.944/0001-76;
ESPEDITO MONTEIRO DE ALMEIDA;PR MONTEIRO DE JESUS;100;INAPTO (Indeferido);PRB;10;-;-;2º Suplente Senador;Masculino;1974-06-01;Casado(a);Vereador;Superior completo;Brasileira nata;SANTO ANTONIO DE PADUA / RJ;;;510152010;1984-36.2010.6.19.0000;12.169.091/0001-72;
EVERALDO DIAS PEREIRA;EVERALDO PEREIRA;155;APTO (Deferido);PSC;20;JUNTOS PELO RIO;PP / PDT / PT / PTB / PMDB / PSL / PTN / PSC / PSDC / PRTB / PHS / PMN / PTC / PSB / PRP / PC do B;2º Suplente Senador;Masculino;1956-02-22;Casado(a);Corretor de Imóveis, Seguros, Títulos e Valores;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;;458242010;306-83.2010.6.19.0000;12.174.159/0001-01;
GILBERTO CUSTODIO DE MESQUITA;GILBERTO MESQUITA;500;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1968-01-22;Casado(a);Servidor Público Federal;Superior incompleto;Brasileira nata;RIO DE JANEIRO / RJ;;;483952010;903-52.2010.6.19.0000;12.167.231/0001-73;
JUZERLEY ASSUNÇÃO SANTOS;DIRLEY;161;APTO (Deferido);PSTU;16;-;-;2º Suplente Senador;Masculino;1971-11-15;Solteiro(a);Agente Administrativo;Ensino Médio completo;Brasileira nata;JEQUIE / BA;;;466232010;537-13.2010.6.19.0000;12.169.224/0001-00;
KATIA REGINA DOS SANTOS FERREIRA;KATINHA FERREIRA;162;APTO (Deferido);PSTU;16;-;-;2º Suplente Senador;Feminino;1960-04-12;Solteiro(a);Agente Administrativo;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;;466242010;533-73.2010.6.19.0000;12.179.217/0001-90;
MARCELO DE ALMEIDA BORGES;MARCELO BORGES;700;APTO (Deferido);PT do B;70;A FORÇA DO POVO - PR E PTdoB;PR / PT do B;2º Suplente Senador;Masculino;1966-04-21;Casado(a);Empresário;Superior incompleto;Brasileira nata;BOM JESUS DE ITABAPOANA / RJ;;;489722010;2174-96.2010.6.19.0000;12.181.390/0001-22;
NILSON DE ALMEIDA;NILSON DE ALMEIDA;707;APTO (Deferido);PT do B;70;A FORÇA DO POVO - PR E PTdoB;PR / PT do B;2º Suplente Senador;Masculino;1948-07-02;Divorciado(a);Engenheiro;Ensino Médio completo;Brasileira nata;RIO DE JANEIRO / RJ;;;489732010;2210-41.2010.6.19.0000;12.173.443/0001-63;
ROBERTO DE BARROS BATISTA;BETINHO BATISTA;251;APTO (Deferido);DEM;25;Rio Esperança;PPS / DEM / PV / PSDB;2º Suplente Senador;Masculino;1969-03-04;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;NILOPOLIS / RJ;;;470442010;483-47.2010.6.19.0000;12.167.717/0001-01;
TÂNIA CRISTINA MAGALHÃES BASTOS E SILVA;TÂNIA BASTOS;100;APTO (Deferido);PRB;10;-;-;2º Suplente Senador;Feminino;1967-01-01;Casado(a);Vereador;Superior completo;Brasileira nata;ARACAJÚ / SE;;;862762010;3696-61.2010.6.19.0000;12.604.786/0001-35;
