Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABEL DE OLIVEIRA;ABEL FOTOGRAFO;20888;APTO (Deferido);PSC;20;HUMANISTA CRISTÃO ;PSC / PHS;Deputado Estadual;Masculino;1942-06-01;Casado(a);Fotógrafo e Assemelhados;Ensino Fundamental incompleto;Brasileira nata;LAURAS DO FUNIL / MG;;Suplente;457322010;4923-91.2010.6.26.0000;12.170.030/0001-25;
ABEL OLIVEIRA DE ALMEIDA;ABEL ALMEIDA;70015;APTO (Deferido);PT do B;70;Somos Mais São Paulo;PRB / PT / PR / PT do B;Deputado Estadual;Masculino;1974-10-15;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;BATINGA / BA;;Suplente;427802010;2725-81.2010.6.26.0000;12.172.190/0001-03;
ABIGAIL FALEIROS DOMINGOS;ABIGAIL FALEIROS;43125;INAPTO (Indeferido);PV;43;-;-;Deputado Estadual;Feminino;1956-12-14;Divorciado(a);Outros;Superior incompleto;Brasileira nata;PEDREGULHO / SP;;;449572010;3741-70.2010.6.26.0000;12.172.944/0001-25;
ABRAÃO MARIANO DE OLIVEIRA;ABRÃO DO PÃO;36299;APTO (Deferido);PTC;36;-;-;Deputado Estadual;Masculino;1963-11-05;Casado(a);Outros;Ensino Fundamental incompleto;Brasileira nata;RECIFE / PE;;Não eleito;634272010;6136-35.2010.6.26.0000;12.311.724/0001-35;
ACACIO DE MORAES;ACACIO DE MORAES;19045;APTO (Deferido);PTN;19;-;-;Deputado Estadual;Masculino;1963-10-17;Casado(a);Técnico de Obras Civis, Estradas, Saneamento e Assemelhados;Superior completo;Brasileira nata;SANTO ANDRÉ / SP;;Não eleito;511762010;5682-55.2010.6.26.0000;12.242.463/0001-49;
ADAILTON MUNIZ BARRETO;ADAILTON BARRETO;20338;APTO (Deferido);PSC;20;HUMANISTA CRISTÃO ;PSC / PHS;Deputado Estadual;Masculino;1954-06-22;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;SÃO PAULO / SP;;Suplente;457332010;4924-76.2010.6.26.0000;12.179.798/0001-60;
ADALBERTO VIEIRA BONILHA;BONILHA;17600;INAPTO (Indeferido);PSL;17;-;-;Deputado Estadual;Masculino;1951-07-23;Viúvo(a);Servidor Público Municipal;Ensino Médio incompleto;Brasileira nata;CAIUA / SP;;;458932010;5080-64.2010.6.26.0000;12.175.657/0001-79;
ADALGIZA MARIA DA SILVA;ADALGIZA;17668;INAPTO (Indeferido);PSL;17;-;-;Deputado Estadual;Feminino;1934-09-28;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;ARAÇATUBA / SP;;;458942010;5081-49.2010.6.26.0000;12.206.556/0001-18;
ADÃO OSCAR BRAZ;ADÃO BRAZ;36300;INAPTO (Renúncia);PTC;36;-;-;Deputado Estadual;Masculino;1956-02-03;Casado(a);Mecânico de Manutenção;Ensino Fundamental completo;Brasileira nata;MARIANA / MG;;;645122010;6170-10.2010.6.26.0000;12.311.926/0001-87;
ADÃO RODRIGUES DE SOUZA;ADÃO JASSA;14036;APTO (Deferido);PTB;14;-;-;Deputado Estadual;Masculino;1951-02-08;Solteiro(a);Carpinteiro, Marceneiro e Assemelhados;Ensino Médio completo;Brasileira nata;MEDINA / MG;;Suplente;455622010;4757-59.2010.6.26.0000;12.167.676/0001-53;
ADEILDO NOGUEIRA DA SILVA;ADEILDO NOGUEIRA;11066;APTO (Deferido);PP;11;-;-;Deputado Estadual;Masculino;1980-06-16;Casado(a);Empresário;Superior incompleto;Brasileira nata;BOA ESPERANÇA / PR;;Suplente;441932010;3476-68.2010.6.26.0000;12.174.768/0001-60;
ADEIR CUPERTINO;ADEIR COPPER;17007;INAPTO (Renúncia);PSL;17;-;-;Deputado Estadual;Masculino;1963-01-08;Casado(a);Jornalista e Redator;Superior completo;Brasileira nata;IPANEMA / MG;;;458952010;5082-34.2010.6.26.0000;12.169.870/0001-78;
ADEMILSOM MIGUEL FERNANDES;ADEMILSON MARCENEIRO;50444;APTO (Deferido);PSOL;50;-;-;Deputado Estadual;Masculino;1968-06-14;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;ITAMARACA / PE;;Suplente;445552010;4010-12.2010.6.26.0000;12.198.474/0001-79;
ADEMIR DA GUIA;ADEMIR DA GUIA;23110;APTO (Deferido);PPS;23;-;-;Deputado Estadual;Masculino;1942-04-03;Divorciado(a);Aposentado (Exceto Servidor Público);Ensino Médio incompleto;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;426672010;2582-92.2010.6.26.0000;12.168.642/0001-83;
ADEMIR PAULO PERSCH;ADEMIR DA RADIO;28091;APTO (Deferido);PRTB;28;POR UM SÃO PAULO NOVO;PSDC / PRTB / PRP;Deputado Estadual;Masculino;1971-11-12;Solteiro(a);Comerciante;Ensino Fundamental incompleto;Brasileira nata;PINHALZINHO / SC;;Não eleito;447672010;4205-94.2010.6.26.0000;12.172.626/0001-64;
ADEMIR PEREIRA MONTEIRO JUNIOR;JUNIOR PRUDENTE E REGIAO;12171;APTO (Deferido);PDT;12;-;-;Deputado Estadual;Masculino;1976-05-16;Casado(a);Comerciante;Ensino Médio incompleto;Brasileira nata;PRESIDENTE PRUDENTE / SP;;Suplente;417912010;2507-53.2010.6.26.0000;12.174.337/0001-02;
ADENILSON SAMPAIO OLIVEIRA;BENITO;19121;APTO (Deferido);PTN;19;-;-;Deputado Estadual;Masculino;1954-10-26;Casado(a);Fotógrafo e Assemelhados;Ensino Fundamental incompleto;Brasileira nata;SALVADOR / BA;;Não eleito;440182010;3257-55.2010.6.26.0000;12.169.042/0001-30;
ADENILTOM JESUS DA SILVA;MATTAM DANTAS;36169;INAPTO (Indeferido);PTC;36;-;-;Deputado Estadual;Masculino;1974-11-26;Solteiro(a);Produtor de Espetáculos Públicos;Ensino Fundamental completo;Brasileira nata;RIBEIRO DO POMBAL / BA;;Indeferido com Recurso;634282010;6137-20.2010.6.26.0000;12.311.741/0001-72;
ADENIR PORTILHO RODRIGUES;PORTILHO;11212;INAPTO (Indeferido);PP;11;-;-;Deputado Estadual;Masculino;1952-07-31;Divorciado(a);Empresário;Superior completo;Brasileira nata;AVARE / SP;;;441942010;3477-53.2010.6.26.0000;12.179.355/0001-79;
ADENISIO MIGUEL DA SILVA;GRILO DA LOTAÇÃO;20457;APTO (Deferido);PSC;20;HUMANISTA CRISTÃO ;PSC / PHS;Deputado Estadual;Masculino;1964-03-19;Casado(a);Motorista de Veículos de Transporte Coletivo de Passageiros;Ensino Fundamental incompleto;Brasileira nata;GLORIA DE GOITÁ / PE;;Suplente;457342010;4925-61.2010.6.26.0000;12.175.943/0001-34;
ADENOR FERREIRA DA SILVA;ADENOR SILVA;43643;APTO (Deferido);PV;43;-;-;Deputado Estadual;Masculino;1962-01-12;Solteiro(a);Outros;Superior completo;Brasileira nata;SANTA MARIA DA VITÓRIA / BA;;Suplente;449582010;3742-55.2010.6.26.0000;12.168.624/0001-00;
ADERLUCIO PAZ DE ARAUJO;LUCIO PAZ;45040;APTO (Deferido);PSDB;45;PSDB/DEM;DEM / PSDB;Deputado Estadual;Masculino;1973-05-30;Solteiro(a);Bancário e Economiário;Superior completo;Brasileira nata;QUIXELÔ / CE;;Suplente;483572010;5449-58.2010.6.26.0000;12.221.687/0001-74;
ADIB ABDOUNI;ADIB;65088;APTO (Deferido);PC do B;65;-;-;Deputado Estadual;Masculino;1973-08-01;Casado(a);Advogado;Superior completo;Brasileira nata;SÃO CAETANO DO SUL / SP;;Suplente;438282010;3103-37.2010.6.26.0000;12.172.420/0001-34;
ADILSON BARROSO OLIVEIRA;ADILSON BARROSO;17017;APTO (Deferido);PSL;17;-;-;Deputado Estadual;Masculino;1964-06-14;Casado(a);Empresário;Superior completo;Brasileira nata;BARRINHA / SP;;Não eleito;458962010;5083-19.2010.6.26.0000;12.169.720/0001-64;
