Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
AIRTON SANDOVAL SANTANA;AIRTON SANDOVAL;451;APTO (Deferido);PMDB;15;UNIDOS POR SÃO PAULO;PMDB / PSC / PPS / DEM / PHS / PMN / PSDB;1º Suplente Senador;Masculino;1943-06-21;Casado(a);Advogado;Superior completo;Brasileira nata;ITIRAPUÃ / SP;;;840862010;7534-17.2010.6.26.0000;12.529.748/0001-65;
ALEXANDRE CARVALHO LEME;ALEXANDRE LEME;161;APTO (Indeferido com recurso);PSTU;16;-;-;1º Suplente Senador;Masculino;1954-02-07;Divorciado(a);Ferroviário;Superior incompleto;Brasileira nata;MARILIA / SP;;Indeferido com Recurso;442992010;3351-03.2010.6.26.0000;12.180.805/0001-43;
ANTONIO CARBONARI NETTO;CARBONARI;141;APTO (Deferido);PTB;14;-;-;1º Suplente Senador;Masculino;1951-02-12;Casado(a);Empresário;Superior completo;Brasileira nata;SAO PAULO / SP;;;454692010;4663-14.2010.6.26.0000;12.178.256/0001-72;
ANTONIO CARLOS RODRIGUES;ANTONIO CARLOS RODRIGUES;133;APTO (Deferido);PR;22;UNIÃO PARA MUDAR;PRB / PDT / PT / PTN / PR / PSDC / PRTB / PRP / PC do B / PT do B;1º Suplente Senador;Masculino;1950-05-16;Casado(a);Vereador;Superior completo;Brasileira nata;SÃO PAULO / SP;;;430572010;2718-89.2010.6.26.0000;12.173.129/0001-80;
ANTONIO GOULART DOS REIS;GOULART;151;INAPTO (Cancelado);PMDB;15;UNIDOS POR SÃO PAULO;PMDB / PSC / PPS / DEM / PHS / PMN / PSDB;1º Suplente Senador;Masculino;1953-12-23;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;VARGEM BONITA / MG;;;432272010;3020-21.2010.6.26.0000;12.180.272/0001-08;
CELSO ALBANO LAVORATO;CELSO LAVORATO;500;APTO (Deferido);PSOL;50;-;-;1º Suplente Senador;Masculino;1960-05-28;Divorciado(a);Bancário e Economiário;Ensino Médio completo;Brasileira nata;SÃO PAULO / SP;;;444682010;3924-41.2010.6.26.0000;12.168.859/0001-93;
CLOVIS DONIZETI BERTI;CLÓVIS BERTI;211;APTO (Indeferido com recurso);PCB;21;-;-;1º Suplente Senador;Masculino;1956-09-20;Solteiro(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;MOGI DAS CRUZES / SP;;Indeferido com Recurso;458822010;5068-50.2010.6.26.0000;12.167.750/0001-31;
DANIEL MOURAD MAJZOUB;MAJZOUB;360;INAPTO (Indeferido);PTC;36;Em Defesa do Cidadão;PP / PTC;1º Suplente Senador;Masculino;1973-10-17;Casado(a);Advogado;Superior completo;Brasileira nata;SÃO PAULO / SP;;;667982010;6272-32.2010.6.26.0000;12.325.687/0001-14;
EDILAINE PIRES;EDILAINE PIRES;360;INAPTO (Renúncia);PTC;36;Em Defesa do Cidadão;PP / PTC;1º Suplente Senador;Feminino;1977-09-23;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;SÃO PAULO / SP;;;627782010;6103-45.2010.6.26.0000;12.311.739/0001-01;
EDILBERTO DE PAULA RIBEIRO;EDILBERTO;400;APTO (Deferido);PSB;40;PRESTE ATENÇÃO SÃO PAULO;PSL / PSB;1º Suplente Senador;Masculino;1951-05-30;Casado(a);Empresário;Superior completo;Brasileira nata;AIANDAVA / SP;;;451372010;4332-32.2010.6.26.0000;12.178.274/0001-54;
EDUARDO SOUZA COSTA JUNIOR;SOUZA COSTA;360;INAPTO (Renúncia);PTC;36;Em Defesa do Cidadão;PP / PTC;1º Suplente Senador;Masculino;1961-05-27;Casado(a);Professor e Instrutor de Formação Profissional;Superior completo;Brasileira nata;SÃO PAULO / SP;;;442782010;3558-02.2010.6.26.0000;12.170.590/0001-80;
IDALINA DA SILVA BRAGA;IDALINA BRAGA;290;APTO (Deferido);PCO;29;-;-;1º Suplente Senador;Feminino;1942-07-12;Viúvo(a);Outros;Ensino Médio completo;Brasileira nata;SANTO ANDRÉ / SP;;;800932010;7187-81.2010.6.26.0000;12.458.757/0001-02;
JOEL LOPES PARADELLA;JOEL PARADELLA;160;APTO (Deferido);PSTU;16;-;-;1º Suplente Senador;Masculino;1956-05-17;Solteiro(a);Servidor Público Municipal;Ensino Médio completo;Brasileira nata;GUARULHOS / SP;;;443002010;3352-85.2010.6.26.0000;12.179.612/0001-72;
LUIS CARLOS REIS DE JESUS;LUIS REIS;111;APTO (Deferido);PP;11;Em Defesa do Cidadão;PP / PTC;1º Suplente Senador;Masculino;1975-12-20;Casado(a);Administrador;Superior completo;Brasileira nata;SÃO PAULO / SP;;;442792010;3559-84.2010.6.26.0000;12.174.027/0001-80;
MARCO ANTONIO MROZ;MARCO MROZ;430;APTO (Deferido);PV;43;-;-;1º Suplente Senador;Masculino;1953-04-01;Casado(a);Outros;Superior completo;Brasileira nata;SÃO PAULO / SP;;;451012010;3667-16.2010.6.26.0000;12.179.151/0001-38;
MARCO AURÉLIO DE SOUZA;MARQUINHO SOUZA;177;APTO (Deferido);PSL;17;PRESTE ATENÇÃO SÃO PAULO;PSL / PSB;1º Suplente Senador;Masculino;1972-10-13;Casado(a);Comerciante;Superior incompleto;Brasileira nata;CARAPICUIBA / SP;;;451382010;4333-17.2010.6.26.0000;12.170.926/0001-04;
MARIA ISABEL TIZIANI MOURA;MARIA ISABEL;360;APTO (Deferido);PTC;36;Em Defesa do Cidadão;PP / PTC;1º Suplente Senador;Feminino;1952-10-11;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;SÃO PAULO / SP;;;832882010;7406-94.2010.6.26.0000;12.529.753/0001-78;
OSMAR PEREIRA BRITO;OSMAR BRITO;290;INAPTO (Indeferido);PCO;29;-;-;1º Suplente Senador;Masculino;1961-03-17;Casado(a);Bancário e Economiário;Superior completo;Brasileira nata;CAETITE / BA;;;454622010;4655-37.2010.6.26.0000;12.168.140/0001-52;
RENATO NUCCI JUNIOR;RENATO NUCCI;212;INAPTO (Indeferido);PCB;21;-;-;1º Suplente Senador;Masculino;1969-11-27;Solteiro(a);Agente Administrativo;Superior incompleto;Brasileira nata;CAMPINAS / SP;;;510832010;5670-41.2010.6.26.0000;12.241.611/0001-00;
