Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ANDRE PAIVA LOPES;PAIVA;144;INAPTO (Renúncia);PTB;14;O POVO NO GOVERNO;PRB / PTB / PSL / PHS / PMN / PTC;1º Suplente Senador;Masculino;1966-04-19;Casado(a);Advogado;Superior completo;Brasileira nata;MACEIÓ / AL;;Não eleito;66022010;664-22.2010.6.02.0000;12.177.183/0001-02;
CARLOS ROBERTO FERREIRA COSTA;CARLOS ROBERTO;288;INAPTO (Renúncia);PRTB;28;RENOVA ALAGOAS;PTN / PRTB / PV;1º Suplente Senador;Masculino;1964-04-16;Casado(a);Advogado;Superior completo;Brasileira nata;MACEIO / AL;;Não eleito;105872010;1171-80.2010.6.02.0000;12.339.047/0001-63;
CLAUDIA CRISTINA DE MELO MALTA;CLAUDIA MALTA;288;APTO (Deferido);PRTB;28;RENOVA ALAGOAS;PTN / PRTB / PV;1º Suplente Senador;Feminino;1968-03-01;Casado(a);Administrador;Superior completo;Brasileira nata;RIBERÃO / PE;;Não eleito;138092010;1526-90.2010.6.02.0000;12.529.759/0001-45;
CLEYSON FERREIRA DA SILVA;CLEYSON;234;APTO (Deferido);PPS;23;FRENTE PELO BEM DE ALAGOAS;PP / PSC / PPS / DEM / PSB / PSDB;1º Suplente Senador;Masculino;1964-12-15;Casado(a);Empresário;Superior completo;Brasileira nata;RECIFE / PE;;Não eleito;68652010;763-89.2010.6.02.0000;12.174.961/0001-00;
DANIELE BARROS DE MENEZES;DANIELE BARROS;111;INAPTO (Renúncia);PP;11;FRENTE PELO BEM DE ALAGOAS;PP / PSC / PPS / DEM / PSB / PSDB;1º Suplente Senador;Feminino;1976-01-30;Solteiro(a);Outros;Superior completo;Brasileira nata;MACEIO / AL;;Eleito;68662010;764-74.2010.6.02.0000;12.168.242/0001-78;
ERALDO JOAQUIM CORDEIRO;PADRE ERALDO;500;APTO (Deferido);PSOL;50;-;-;1º Suplente Senador;Masculino;1960-08-25;Solteiro(a);Sacerdote ou Membro de Ordem ou Seita Religiosa;Ensino Médio completo;Brasileira nata;AGUA BRANCA / AL;;Não eleito;64632010;599-27.2010.6.02.0000;12.154.772/0001-67;
FÁBIO LUIZ ARAÚJO LOPES DE FARIAS;FÁBIO FARIAS;151;APTO (Deferido);PMDB;15;FRENTE POPULAR POR ALAGOAS;PDT / PT / PMDB / PR / PSDC / PRP / PC do B / PT do B;1º Suplente Senador;Masculino;1961-06-21;Casado(a);Empresário;Superior completo;Brasileira nata;MACEIÓ / AL;;Eleito;68352010;869-51.2010.6.02.0000;12.173.853/0001-04;
FERNANDO JULIANO GAIA DUARTE;FERNANDO DUARTE;144;APTO (Deferido);PMN;33;O POVO NO GOVERNO;PRB / PTB / PSL / PHS / PMN / PTC;1º Suplente Senador;Masculino;1953-03-08;Casado(a);Médico;Superior completo;Brasileira nata;PALMEIRA DOS ÍNDIOS / AL;;Não eleito;105852010;1169-13.2010.6.02.0000;12.339.002/0001-99;
GUILHERME HENRIQUE PEREIRA DE LIMA;GUILHERME;145;INAPTO (Renúncia);PTB;14;O POVO NO GOVERNO;PRB / PTB / PSL / PHS / PMN / PTC;1º Suplente Senador;Masculino;1966-06-01;Solteiro(a);Servidor Público Federal;Superior completo;Brasileira nata;MACEIÓ / AL;;Não eleito;66032010;665-07.2010.6.02.0000;12.176.295/0001-30;
JOSE GIVAGO RAPOSO TENORIO;GIVAGO TENORIO;111;APTO (Deferido);PSDB;45;FRENTE PELO BEM DE ALAGOAS;PP / PSC / PPS / DEM / PSB / PSDB;1º Suplente Senador;Masculino;1968-03-20;Casado(a);Gerente;Superior completo;Brasileira nata;MACEIO / AL;;Eleito;105642010;1157-96.2010.6.02.0000;12.332.408/0001-40;
MARCOS ANDRÉ OMENA DA SILVA;MARCOS ANDRE;288;INAPTO (Renúncia);PRTB;28;RENOVA ALAGOAS;PTN / PRTB / PV;1º Suplente Senador;Masculino;1973-11-09;Solteiro(a);Empresário;Ensino Médio completo;Brasileira nata;MACEIO / AL;;Não eleito;68772010;775-06.2010.6.02.0000;12.168.322/0001-23;
MARIA GUARACY FERRO MARQUES;GUARACY FERRO;145;APTO (Deferido);PTB;14;O POVO NO GOVERNO;PRB / PTB / PSL / PHS / PMN / PTC;1º Suplente Senador;Feminino;1957-07-03;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;MINADOR DO NEGRÃO / AL;;Não eleito;137612010;1525-08.2010.6.02.0000;12.529.751/0001-89;
RAQUEL DE LIMA MATIAS;RAQUEL LIMA;287;APTO (Deferido);PRTB;28;RENOVA ALAGOAS;PTN / PRTB / PV;1º Suplente Senador;Masculino;1975-06-28;Casado(a);Outros;Superior incompleto;Brasileira nata;MARAGOGI / AL;;;72012010;1086-94.2010.6.02.0000;12.198.133/0001-01;
SERGIO SOARES DE CAMPOS;SERGIO CAMPOS;211;APTO (Deferido);PCB;21;-;-;1º Suplente Senador;Masculino;1961-11-11;Casado(a);Outros;Ensino Médio completo;Brasileira nata;SANTANA DO IPANEMA / AL;;Indeferido com Recurso;71142010;996-86.2010.6.02.0000;12.190.230/0001-40;
TEREZA MARGARIDA FERRO LEITE;TEREZA LEITE;145;INAPTO (Indeferido);PTB;14;O POVO NO GOVERNO;PRB / PTB / PSL / PHS / PMN / PTC;1º Suplente Senador;Feminino;1959-03-07;Casado(a);Outros;Ensino Médio completo;Brasileira nata;MINADOR DO NEGRÃO / AL;;Não eleito;105982010;1172-65.2010.6.02.0000;12.339.006/0001-77;
VLADIMIR IVANOVITCH WANDERLEY DE BARROS;VLADIMIR BARROS;654;APTO (Deferido);PC do B;65;FRENTE POPULAR POR ALAGOAS;PDT / PT / PMDB / PR / PSDC / PRP / PC do B / PT do B;1º Suplente Senador;Masculino;1973-03-03;Casado(a);Advogado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;68362010;870-36.2010.6.02.0000;12.180.255/0001-62;
