Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ENEIDA MARIA SILVA LOPES VASCONCELOS;ENEIDA;161;APTO (Deferido);PSTU;16;-;-;1º Suplente Senador;Feminino;1968-01-05;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;FORTALEZA / CE;;Não eleito;156662010;1676-17.2010.6.04.0000;12.175.623/0001-84;
FRANCISCO GARCIA RODRIGUES;FRANCISCO GARCIA;656;APTO (Deferido);PP;11;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PHS / PMN / PTC / PRP / PC do B;1º Suplente Senador;Masculino;1948-12-30;Casado(a);Empresário;Superior completo;Brasileira nata;MANAUS / AM;;Eleito;223392010;2514-57.2010.6.04.0000;12.393.725/0001-76;
FRANCISCO HELDER CAVALCANTE SOUSA;HELDER CAVALCANTE;130;APTO (Deferido);PR;22;O AMAZONAS MELHOR PARA TODOS;PDT / PT / PSL / PR / PSDC / PSB / PT do B;1º Suplente Senador;Masculino;1956-10-23;Casado(a);Outros;Superior completo;Brasileira nata;PACAJUS / CE;;Não eleito;156272010;1701-30.2010.6.04.0000;12.180.889/0001-15;
GERSON GOLÇAVES DE MEDEIROS;GERSON MEDEIROS;500;APTO (Deferido);PSOL;50;-;-;1º Suplente Senador;Masculino;1949-08-23;Casado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;CAORI / AM;;Não eleito;237472010;2670-45.2010.6.04.0000;12.443.851/0001-98;
HOSANNAH FLORENCIO DE MENEZES;HOSANNAH FLORENCIO;656;INAPTO (Renúncia);PMDB;15;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PHS / PMN / PTC / PRP / PC do B;1º Suplente Senador;Masculino;1938-08-15;Casado(a);Outros;Superior completo;Brasileira nata;MANAUS / AM;;Eleito;157312010;1861-55.2010.6.04.0000;12.167.184/0001-68;
MARCOS ANTONIO DE QUEIROZ;PROFESSOR QUEIROZ;505;INAPTO (Indeferido);PSOL;50;-;-;1º Suplente Senador;Masculino;1968-03-14;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;JOAO PESSOA / PB;;;158372010;1924-80.2010.6.04.0000;12.179.227/0001-25;
MARIA SELMA DA SILVA;PROFESSORA SELMA;211;APTO (Indeferido com recurso);PCB;21;-;-;1º Suplente Senador;Feminino;1964-07-31;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;SERRA TALHADA / PE;;Indeferido com Recurso;157392010;1936-94.2010.6.04.0000;12.176.063/0001-82;
PAULO ROGERIO ARANTES;PAULO ARANTES;451;APTO (Deferido);PSDB;45;O Amazonas de Todos Nós;PPS / PV / PSDB;1º Suplente Senador;Masculino;1955-06-26;Divorciado(a);Advogado;Superior completo;Brasileira nata;SAO PAULO / SP;;Não eleito;159002010;1835-57.2010.6.04.0000;12.180.747/0001-58;
SANDRA BACKSMANN BRAGA;SANDRA BRAGA;155;APTO (Deferido);PMDB;15;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PHS / PMN / PTC / PRP / PC do B;1º Suplente Senador;Feminino;1959-07-27;Casado(a);Empresário;Superior completo;Brasileira nata;MANAUS / AM;;Eleito;157322010;1862-40.2010.6.04.0000;12.169.480/0001-06;
VALDECI GOMES DAMASCENO;GOMES;101;INAPTO (Indeferido);PRB;10;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PHS / PMN / PTC / PRP / PC do B;1º Suplente Senador;Masculino;1965-10-10;Casado(a);Comerciário;Superior completo;Brasileira nata;MANAUS / AM;;;164982010;2121-35.2010.6.04.0000;12.204.298/0001-30;
WILSON WOLTER FILHO;WILSON WOLTER;123;APTO (Deferido);PT do B;70;O AMAZONAS MELHOR PARA TODOS;PDT / PT / PSL / PR / PSDC / PSB / PT do B;1º Suplente Senador;Masculino;1952-01-20;Casado(a);Empresário;Superior completo;Brasileira nata;RIO BRANCO / AC;;Não eleito;156282010;1702-15.2010.6.04.0000;12.168.512/0001-40;
