Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALCIONE SOUZA SILVA;ALCIONE;160;APTO (Deferido);PSTU;16;-;-;1º Suplente Senador;Feminino;1974-03-24;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;IPIAU / BA;;Não eleito;212292010;2878-02.2010.6.05.0000;12.206.521/0001-89;
ANA OLÍMPIA HORA MEDRADO;ANA OLÍMPIA;251;APTO (Deferido);DEM;25;A BAHIA MERECE MAIS;DEM / PSDB;1º Suplente Senador;Feminino;1949-12-25;Viúvo(a);Estudante, Bolsista, Estagiário e Assemelhados;Superior completo;Brasileira nata;IBIQUERA / BA;;Não eleito;179702010;1819-76.2010.6.05.0000;12.198.665/0001-30;
ANTONIO CARLOS PEIXOTO DE MAGALHÃES JÚNIOR;ACM JR;255;APTO (Deferido);DEM;25;A BAHIA MERECE MAIS;DEM / PSDB;1º Suplente Senador;Masculino;1952-09-24;Casado(a);Senador;Superior completo;Brasileira nata;SALVADOR / BA;;Não eleito;179712010;1821-46.2010.6.05.0000;12.155.803/0001-02;
CICERO RIBEIRO DE ARAÚJO;CICERO ARAÚJO;500;APTO (Deferido);PSOL;50;-;-;1º Suplente Senador;Masculino;1959-05-05;Solteiro(a);Corretor de Imóveis, Seguros, Títulos e Valores;Superior completo;Brasileira nata;RUI BARBOSA / BA;;Não eleito;193862010;2367-04.2010.6.05.0000;12.171.611/0001-81;
DIRCEU REGIS RIBEIRO;DIRCEU RÉGIS;210;INAPTO (Indeferido);PCB;21;-;-;1º Suplente Senador;Masculino;1945-10-08;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;REMANSO / BA;;;182472010;1941-89.2010.6.05.0000;12.256.050/0001-13;
NELSON ARAUJO FILHO;NELSON ARAUJO;505;APTO (Deferido);PSOL;50;-;-;1º Suplente Senador;Masculino;1955-09-13;Casado(a);Petroleiro;Superior incompleto;Brasileira nata;ITAGI / BA;;Não eleito;210662010;2863-33.2010.6.05.0000;12.256.057/0001-35;
NESTOR DUARTE GUIMARAES NETO;NESTOR DUARTE;400;APTO (Deferido);PDT;12;PRA BAHIA SEGUIR EM FRENTE;PRB / PP / PDT / PT / PSL / PHS / PSB / PC do B;1º Suplente Senador;Masculino;1956-11-14;Casado(a);Advogado;Superior completo;Brasileira nata;SALVADOR / BA;;Eleito;196822010;2366-19.2010.6.05.0000;12.171.258/0001-30;
OSVALDO AMARANTE DA GAMA SANTOS;OSVALDO GAMA;147;APTO (Deferido);PTB;14;A BAHIA TEM PRESSA;PTB / PMDB / PTN / PSC / PR / PPS / PSDC / PRTB / PMN / PTC / PRP / PT do B;1º Suplente Senador;Masculino;1945-11-30;Casado(a);Empresário;Ensino Fundamental completo;Brasileira nata;ITUACU / BA;;Não eleito;195042010;2193-92.2010.6.05.0000;12.168.538/0001-99;
ROBERTO DE OLIVEIRA MUNIZ;ROBERTO MUNIZ;130;APTO (Deferido);PP;11;PRA BAHIA SEGUIR EM FRENTE;PRB / PP / PDT / PT / PSL / PHS / PSB / PC do B;1º Suplente Senador;Masculino;1963-11-23;Solteiro(a);Engenheiro;Ensino Médio completo;Brasileira nata;SALVADOR / BA;;Eleito;196832010;2363-64.2010.6.05.0000;12.175.417/0001-74;
ROQUE ARAS;ROQUE ARAS;434;APTO (Deferido);PV;43;-;-;1º Suplente Senador;Masculino;1932-04-26;Divorciado(a);Advogado;Superior completo;Brasileira nata;MONTE SANTO / BA;;Não eleito;182602010;1951-36.2010.6.05.0000;12.325.663/0001-65;
TERCIA MARIA AZEVEDO PIMENTEL DOS SANTOS BORGES;TERCIA BORGES;222;APTO (Deferido);PR;22;A BAHIA TEM PRESSA;PTB / PMDB / PTN / PSC / PR / PPS / PSDC / PRTB / PMN / PTC / PRP / PT do B;1º Suplente Senador;Feminino;1965-09-03;Casado(a);Empresário;Superior incompleto;Brasileira nata;SALVADOR / BA;;Não eleito;195052010;2194-77.2010.6.05.0000;12.174.855/0001-18;
