Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALTEVIR PIEROZAN MAGALHÃES;ALTEVIR MAGALHÃES;132;APTO (Deferido);PMDB;15;MATO GROSSO EM PRIMEIRO LUGAR I;PRB / PP / PT / PMDB / PTN / PSC / PR / PHS / PTC / PRP / PC do B;1º Suplente Senador;Masculino;1958-11-25;Casado(a);Administrador;Superior completo;Brasileira nata;GUARANIAÇU / PR;;Não eleito;192552010;1528-11.2010.6.11.0000;12.175.904/0001-37;
ALUIZIO LEITE PAREDES;ALUIZIO LEITE DO PV;432;APTO (Deferido com recurso);PV;43;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;1º Suplente Senador;Masculino;1963-10-21;Casado(a);Advogado;Superior completo;Brasileira nata;CORUMBÁ / MS;;;274912010;2573-50.2010.6.11.0000;12.352.698/0001-93;
AUGUSTO CÉSAR TAQUES DE ALBUQUERQUE;AUGUSTO TAQUES TX;251;APTO (Deferido);PSDB;45;COLIGAÇÃO SENADOR JONAS PINHEIRO;PTB / PSL / DEM / PSDC / PRTB / PSDB / PT do B / PMN;1º Suplente Senador;Masculino;1957-11-02;Divorciado(a);Servidor Público Municipal;Ensino Médio completo;Brasileira nata;CUIABÁ / MT;;Não eleito;307002010;2823-83.2010.6.11.0000;12.422.081/0001-05;
EDIO BRUNETTA;EDIO BRUNETTA;455;APTO (Deferido);DEM;25;COLIGAÇÃO SENADOR JONAS PINHEIRO;PTB / PSL / DEM / PSDC / PRTB / PSDB / PT do B / PMN;1º Suplente Senador;Masculino;1970-06-09;Casado(a);Empresário;Superior completo;Brasileira nata;JOACABA / SC;;Não eleito;194392010;1621-71.2010.6.11.0000;12.191.058/0001-49;
FRANCISCO MARIO MONTEIRO FORTES;FRANCISCO FORTES;251;INAPTO (Renúncia);DEM;25;COLIGAÇÃO SENADOR JONAS PINHEIRO;PTB / PSL / DEM / PSDC / PRTB / PSDB / PT do B / PMN;1º Suplente Senador;Masculino;1953-05-25;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;CUIABA / MT;;Não eleito;194402010;1623-41.2010.6.11.0000;12.217.491/0001-06;
JOSÉ ANTONIO GONÇALVES VIANA;ZECA VIANA;123;INAPTO (Renúncia);PDT;12;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;1º Suplente Senador;Masculino;1956-02-07;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;FRANCISCO BELTRÃO / PR;;Eleito;200062010;1534-18.2010.6.11.0000;12.235.237/0001-30;
JOSE ANTONIO MEDEIROS;MEDEIROS;123;APTO (Deferido);PPS;23;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;1º Suplente Senador;Masculino;1970-03-18;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;CAICÓ / RN;;Eleito;274952010;2574-35.2010.6.11.0000;;
JOSE APARECIDO DOS SANTOS;CIDINHO;222;APTO (Deferido);PR;22;MATO GROSSO EM PRIMEIRO LUGAR I;PRB / PP / PT / PMDB / PTN / PSC / PR / PHS / PTC / PRP / PC do B;1º Suplente Senador;Masculino;1968-06-19;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;JANIOPOLIS / PR;;Eleito;192562010;1525-56.2010.6.11.0000;12.177.249/0001-56;
MANOEL COSTA PARRIÃO;MANOEL PARRIÃO;500;APTO (Deferido);PSOL;50;-;-;1º Suplente Senador;Masculino;1972-04-23;Solteiro(a);Advogado;Superior completo;Brasileira nata;CUIABÁ / MT;;Não eleito;192012010;1514-27.2010.6.11.0000;12.178.110/0001-27;
NAILDO DA SILVA LOPES;NAILDO;432;INAPTO (Indeferido);PV;43;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;1º Suplente Senador;Masculino;1959-01-19;Casado(a);Engenheiro;Superior completo;Brasileira nata;JAGUAPITÃ / PR;;;200072010;1891-95.2010.6.11.0000;12.199.095/0001-01;
