Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADEMILTON MIRANDA DA SILVA;ADEMILTON MIRANDA;500;INAPTO (Indeferido);PSOL;50;-;-;1º Suplente Senador;Masculino;1960-05-17;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;PESQUEIRA / PE;;Indeferido com Recurso;290882010;2277-60.2010.6.17.0000;12.173.505/0001-37;
ALINE BRITO MARTINS DA FONSECA;ALINE MARIANO;232;APTO (Deferido);PSDB;45;Pernambuco Pode Mais;PMDB / PPS / DEM / PMN / PSDB;1º Suplente Senador;Feminino;1975-06-21;Casado(a);Vereador;Superior completo;Brasileira nata;RECIFE / PE;;Não eleito;285362010;2130-34.2010.6.17.0000;12.168.278/0001-51;
ANA LUCIA BATISTA DA SILVA;ANA LUCIA;281;INAPTO (Renúncia);PRTB;28;UM NOVO TEMPO;PTN / PRTB;1º Suplente Senador;Feminino;1964-08-09;Casado(a);Administrador;Ensino Médio completo;Brasileira nata;RECIFE / PE;;Não eleito;293152010;2397-06.2010.6.17.0000;12.176.331/0001-66;
DANÚBIO JOSÉ ROCHA AGUIAR;DANÚBIO AGUIAR;211;INAPTO (Indeferido);PCB;21;-;-;1º Suplente Senador;Masculino;1943-05-07;Casado(a);Aposentado (Exceto Servidor Público);Ensino Médio completo;Brasileira nata;SERTÂNIA / PE;;;293822010;2364-16.2010.6.17.0000;12.178.852/0001-52;
DOUGLAS MAURICIO RAMOS CINTRA;DOUGLAS CINTRA;140;APTO (Deferido);PTB;14;FRENTE POPULAR DE PERNAMBUCO;PRB / PP / PDT / PT / PTB / PSL / PSC / PR / PSDC / PHS / PTC / PSB / PRP / PC do B / PT do B;1º Suplente Senador;Masculino;1966-03-16;Casado(a);Empresário;Superior completo;Brasileira nata;CARUARU / PE;;Eleito;283502010;2022-05.2010.6.17.0000;12.177.372/0001-77;
ERMIRIO JOSE LACERDA CABRAL DO REGO BARROS;ERMIRIO;433;APTO (Deferido);PV;43;-;-;1º Suplente Senador;Masculino;1957-09-06;Casado(a);Biomédico;Superior completo;Brasileira nata;ESCADA / PE;;Não eleito;293902010;2677-74.2010.6.17.0000;12.172.620/0001-97;
GUSTAVO KRAUSE GONÇALVES SOBRINHO;GUSTAVO KRAUSE;256;APTO (Deferido);DEM;25;Pernambuco Pode Mais;PMDB / PPS / DEM / PMN / PSDB;1º Suplente Senador;Masculino;1946-06-16;Casado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;VITÓRIA DE SANTO ANTÃO / PE;;Não eleito;285372010;2131-19.2010.6.17.0000;12.168.179/0001-70;
JOAQUIM FRANCISCO DE FREITAS CAVALCANTI;JOAQUIM FRANCISCO;130;APTO (Deferido);PSB;40;FRENTE POPULAR DE PERNAMBUCO;PRB / PP / PDT / PT / PTB / PSL / PSC / PR / PSDC / PHS / PTC / PSB / PRP / PC do B / PT do B;1º Suplente Senador;Masculino;1948-04-14;Casado(a);Advogado;Superior completo;Brasileira nata;RECIFE / PE;;Eleito;283512010;2023-87.2010.6.17.0000;12.167.469/0001-07;
JOSE AUGUSTO TABOSA FILHO;AUGUSTO BOBÓ;211;APTO (Deferido);PCB;21;-;-;1º Suplente Senador;Masculino;1960-12-27;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;JABOATÃO DOS GUARARAPES / PE;;;381432010;3138-46.2010.6.17.0000;12.347.263/0001-50;
JOSIVAN DE SOUZA FARIAS;JOSIVAN FARIAS;281;APTO (Deferido);PRTB;28;UM NOVO TEMPO;PTN / PRTB;1º Suplente Senador;Masculino;1966-02-02;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;SURUBIM / PE;;Não eleito;356692010;3035-39.2010.6.17.0000;12.304.593/0001-69;
LEONCIO TENÓRIO DA SILVA JUNIOR;LEONCIO;161;APTO (Deferido);PSTU;16;-;-;1º Suplente Senador;Masculino;1970-01-29;Casado(a);Servidor Público Estadual;Ensino Médio completo;Brasileira nata;RECIFE / PE;;Não eleito;291352010;2308-80.2010.6.17.0000;12.221.794/0001-00;
MARIA DE LOURDES FLORENTINO DA SILVA;LURDES;162;APTO (Deferido);PSTU;16;-;-;1º Suplente Senador;Feminino;1958-10-18;Divorciado(a);Servidor Público Estadual;Superior completo;Brasileira nata;QUEBRAMBULO / AL;;Não eleito;291362010;2309-65.2010.6.17.0000;12.175.130/0001-44;
