Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALLAN MARINHO DOS SANTOS;ALLAN PEREIRA;707;APTO (Deferido);PT do B;70;A FORÇA DO POVO - PR E PTdoB;PR / PT do B;1º Suplente Senador;Masculino;1968-05-09;Casado(a);Sacerdote ou Membro de Ordem ou Seita Religiosa;Ensino Médio completo;Brasileira nata;SAO JOAO DE MERITI / RJ;;Não eleito;489702010;2182-73.2010.6.19.0000;12.167.671/0001-20;
CARLOS ALBERTO ARAUJO SILVEIRA;CARLOS ALBERTO;162;APTO (Deferido);PSTU;16;-;-;1º Suplente Senador;Masculino;1950-08-08;Solteiro(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;466212010;529-36.2010.6.19.0000;12.280.852/0001-69;
CARLOS CORREIA;CARLOS CORREIA;155;APTO (Deferido);PDT;12;JUNTOS PELO RIO;PP / PDT / PT / PTB / PMDB / PSL / PTN / PSC / PSDC / PRTB / PHS / PMN / PTC / PSB / PRP / PC do B;1º Suplente Senador;Masculino;1947-04-20;Casado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;SAO JOAO DE MERITI / RJ;;Não eleito;458212010;302-46.2010.6.19.0000;12.172.194/0001-91;
EDUARDO BENEDITO LOPES;EDUARDO LOPES;100;APTO (Deferido);PRB;10;-;-;1º Suplente Senador;Masculino;1964-09-19;Casado(a);Paramédico;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Eleito;510142010;1983-51.2010.6.19.0000;12.170.139/0001-62;
FRANCISCO ISNARD BARROCAS;ISNARD BARROCAS;211;APTO (Deferido);PCB;21;-;-;1º Suplente Senador;Masculino;1938-04-24;Casado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;PACOTIARA / CE;;Não eleito;478472010;637-65.2010.6.19.0000;12.168.618/0001-44;
GLAUCO MUSSI LOPES TEIXEIRA;GLAUCO LOPES;233;APTO (Deferido);PSDB;45;Rio Esperança;PPS / DEM / PV / PSDB;1º Suplente Senador;Masculino;1967-09-15;Casado(a);Deputado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;484922010;1981-81.2010.6.19.0000;12.214.073/0001-65;
JOSÉ BONIFACIO FERREIRA NOVELLINO;JOSÉ BONIFÁCIO;131;INAPTO (Indeferido);PDT;12;JUNTOS PELO RIO;PP / PDT / PT / PTB / PMDB / PSL / PTN / PSC / PSDC / PRTB / PHS / PMN / PTC / PSB / PRP / PC do B;1º Suplente Senador;Masculino;1945-05-14;Divorciado(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;CABO FRIO / RJ;;Eleito;458222010;314-60.2010.6.19.0000;12.173.521/0001-20;
JOSE EDUARDO FIGUEIREDO BRAUNSCHWEIGER;ZECA DO PSTU;161;APTO (Deferido);PSTU;16;-;-;1º Suplente Senador;Masculino;1961-02-04;Solteiro(a);Advogado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;466222010;536-28.2010.6.19.0000;12.311.776/0001-01;
JOSE LUIZ AMALIO DA SILVA;ZE DA LATA;500;APTO (Deferido);PSOL;50;-;-;1º Suplente Senador;Masculino;1948-03-19;Solteiro(a);Economista;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;483942010;902-67.2010.6.19.0000;12.176.820/0001-18;
NEY BOTAFOGO VARELLA JACOB;NEY BOTAFOGO;700;APTO (Deferido);PT do B;70;A FORÇA DO POVO - PR E PTdoB;PR / PT do B;1º Suplente Senador;Masculino;1947-07-11;Separado(a) judicialmente;Advogado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;489712010;2172-29.2010.6.19.0000;12.173.909/0001-20;
OLNEY RIBEIRO BOTELHO;OLNEY BOTELHO;131;APTO (Deferido);PDT;12;JUNTOS PELO RIO;PP / PDT / PT / PTB / PMDB / PSL / PTN / PSC / PSDC / PRTB / PHS / PMN / PTC / PSB / PRP / PC do B;1º Suplente Senador;Masculino;1960-08-01;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;NOVA FRIBURGO / RJ;;Eleito;699642010;3323-30.2010.6.19.0000;12.371.624/0001-02;
RONALDO CEZAR COELHO;RONALDO CEZAR COELHO;251;APTO (Deferido);PSDB;45;Rio Esperança;PPS / DEM / PV / PSDB;1º Suplente Senador;Masculino;1947-03-23;Divorciado(a);Empresário;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;470432010;481-77.2010.6.19.0000;12.171.251/0001-18;
