Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADELAR CANSI;ADELAR;161;APTO (Deferido);PSTU;16;-;-;1º Suplente Senador;Masculino;1961-11-25;Casado(a);Advogado;Superior completo;Brasileira nata;PALMITO / SC;;Não eleito;285182010;4286-81.2010.6.21.0000;12.190.631/0001-08;
ANDREA AQUINO FERREIRA;ANDREA FERREIRA;500;APTO (Deferido);PSOL;50;-;-;1º Suplente Senador;Feminino;1961-07-16;Solteiro(a);Servidor Público Federal;Superior completo;Brasileira nata;SAO BORJA / RS;;Não eleito;265662010;3841-63.2010.6.21.0000;12.154.776/0001-45;
CARLOS ANTONIO DA SILVA COSSIO;CARLOS COSSIO;210;INAPTO (Renúncia);PCB;21;-;-;1º Suplente Senador;Masculino;1965-10-28;Casado(a);Trabalhador de Construção Civil;Ensino Fundamental completo;Brasileira nata;SANTANA DO LIVRAMENTO / RS;;;285482010;4520-63.2010.6.21.0000;12.180.043/0001-85;
ELFRIDO BERGMANN;BERGMANN;501;INAPTO (Cancelado);PSOL;50;-;-;1º Suplente Senador;Masculino;1945-03-13;Casado(a);Aposentado (Exceto Servidor Público);Superior incompleto;Brasileira nata;VENANCIO AIRES / RS;;Registro negado antes da eleição;265672010;3837-26.2010.6.21.0000;12.154.709/0001-20;
JAIME JOSE BASSO;BASSO;651;APTO (Deferido);PT;13;UNIDADE POPULAR PELO RIO GRANDE;PT / PR / PSB / PC do B;1º Suplente Senador;Masculino;1964-01-02;Casado(a);Trabalhador Metalúrgico e Siderúrgico;Superior completo;Brasileira nata;ARATIBA / RS;;Não eleito;273312010;4106-65.2010.6.21.0000;12.177.444/0001-86;
JOÃO PEDRO FERNANDES DOS SANTOS;JOÃO PEDRO FERNANDES;210;INAPTO (Cancelado);PCB;21;-;-;1º Suplente Senador;Masculino;1958-07-22;Casado(a);Trabalhador Metalúrgico e Siderúrgico;Superior completo;Brasileira nata;ALEGRETE / RS;;;368302010;5418-76.2010.6.21.0000;12.347.270/0001-52;
JOAO TOLEDO ARAUJO;ZUMBATOLEDO;333;APTO (Deferido);PMN;33;-;-;1º Suplente Senador;Masculino;1960-12-01;Casado(a);Outros;Ensino Fundamental incompleto;Brasileira nata;CANOAS / RS;;Não eleito;270392010;4047-77.2010.6.21.0000;12.174.189/0001-18;
JORGE ROMEU FONSECA DA SILVA;FONSECA;430;INAPTO (Renúncia);PV;43;-;-;1º Suplente Senador;Masculino;1961-11-06;Casado(a);Administrador;Superior completo;Brasileira nata;PELOTAS / RS;;Não eleito;283992010;4607-19.2010.6.21.0000;12.176.066/0001-16;
JOSÉ ALBERTO WENZEL;WENZEL;111;APTO (Deferido);PSDB;45;CONFIRMA RIO GRANDE;PRB / PP / PSL / PSC / PPS / PHS / PSDB / PT do B;1º Suplente Senador;Masculino;1952-01-19;Casado(a);Geólogo;Superior completo;Brasileira nata;CERRO LARGO / RS;;Eleito;283872010;4462-60.2010.6.21.0000;12.173.484/0001-50;
JOSÉ DELMAR SILVEIRA DE ARAÚJO;JOSÉ ARAÚJO;430;APTO (Deferido);PV;43;-;-;1º Suplente Senador;Masculino;1941-08-08;Casado(a);Contador;Superior incompleto;Brasileira nata;INDEPENDÊNCIA / RS;;Não eleito;359612010;5473-27.2010.6.21.0000;12.332.348/0001-65;
LICIA MARGARIDA MACEDO DE AGUIAR PERES;LICIA PERES;151;APTO (Deferido);PDT;12;JUNTOS PELO RIO GRANDE;PDT / PMDB / PTN / PSDC;1º Suplente Senador;Feminino;1940-01-31;Viúvo(a);Sociólogo;Superior completo;Brasileira nata;SALVADOR / BA;;Não eleito;276562010;4391-58.2010.6.21.0000;12.176.097/0001-77;
RUBIA NARA PACHECO VACK;RUBIA NARA;361;APTO (Deferido);PTC;36;DESPERTAR FARROUPILHA;PTC / PRP;1º Suplente Senador;Feminino;1957-10-29;Casado(a);Psicólogo;Superior completo;Brasileira nata;RIO GRANDE / RS;;Não eleito;285352010;4396-80.2010.6.21.0000;12.175.198/0001-23;
VERIDIANA MARIA TONINI;VERIDIANA TONINI;131;APTO (Deferido);PT;13;UNIDADE POPULAR PELO RIO GRANDE;PT / PR / PSB / PC do B;1º Suplente Senador;Feminino;1975-06-24;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;ARVOREZINHA / RS;;Eleito;273322010;4109-20.2010.6.21.0000;12.181.494/0001-37;
