Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADIERSON CARNEIRO MONTEIRO;ADIERSON MONTEIRO;456;APTO (Deferido);PSDB;45;-;-;1º Suplente Senador;Masculino;1961-10-26;Casado(a);Empresário;Superior completo;Brasileira nata;RIO LARGO / AL;;Não eleito;66452010;1465-93.2010.6.25.0000;12.174.364/0001-77;
BRAZ PAULO DOS SANTOS;BRAZ GARÇON;211;APTO (Deferido);PCB;21;-;-;1º Suplente Senador;Masculino;1963-11-28;Casado(a);Garçom;Ensino Médio incompleto;Brasileira nata;JAPARATUBA / SE;;Não eleito;99222010;2078-16.2010.6.25.0000;;
CLAUDIO SERGIO FERREIRA SANTOS;CLAUDIO;284;APTO (Deferido);PRTB;28;-;-;1º Suplente Senador;Masculino;1966-06-26;Solteiro(a);Auxiliar de Laboratório;Ensino Médio incompleto;Brasileira nata;ARACAJU / SE;;Não eleito;65102010;1406-08.2010.6.25.0000;12.176.337/0001-33;
ESTELITA VIEIRA SANTOS BATISTA;ESTILITA;280;APTO (Deferido);PRTB;28;-;-;1º Suplente Senador;Feminino;1955-08-23;Viúvo(a);Outros;Lê e escreve;Brasileira nata;ALAGOAS / SE;;Não eleito;65112010;1407-90.2010.6.25.0000;12.318.959/0001-59;
FATIMA VASCONCELOS DA SILVA;FATIMA VASCONCELOS;162;APTO (Deferido com recurso);PSTU;16;-;-;1º Suplente Senador;Feminino;1966-04-12;Casado(a);Dona de Casa;Ensino Médio completo;Brasileira nata;ESTANCIA / SE;;Não eleito;98352010;2067-84.2010.6.25.0000;12.379.520/0001-36;
JORAN LEITE BARROS;JORAN LEITE;432;APTO (Deferido);PV;43;-;-;1º Suplente Senador;Masculino;1969-05-30;Casado(a);Administrador;Superior completo;Brasileira nata;ARACAJU / SE;;Não eleito;66462010;1466-78.2010.6.25.0000;12.177.900/0001-98;
JOSE DE ASSIS FILHO;ASSIS;161;APTO (Deferido);PSTU;16;-;-;1º Suplente Senador;Masculino;1967-01-27;Casado(a);Outros;Ensino Fundamental incompleto;Brasileira nata;SAO JOSE DA TAPERA / AL;;Não eleito;64742010;1393-09.2010.6.25.0000;12.175.839/0001-40;
JOSE EDUARDO DE BARROS DUTRA;ZE EDUARDO;404;APTO (Deferido);PT;13;PARA SERGIPE CONTINUAR SEGUINDO EM FRENTE;PRB / PDT / PT / PMDB / PSL / PSC / PR / PTC / PSB / PC do B;1º Suplente Senador;Masculino;1957-05-11;Divorciado(a);Geólogo;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Eleito;66902010;1509-15.2010.6.25.0000;12.175.694/0001-87;
JOSE LEANDRO DE JESUS SANTOS;ZE LEANDRO;162;INAPTO (Indeferido);PSTU;16;-;-;1º Suplente Senador;Masculino;1948-12-18;Casado(a);Aposentado (Exceto Servidor Público);Ensino Fundamental incompleto;Brasileira nata;CAPELA / SE;;Não eleito;64752010;1394-91.2010.6.25.0000;12.172.954/0001-60;
JOSE MARCOS DE ANDRADE;MARCOS ANDRADE;231;APTO (Deferido);PPS;23;-;-;1º Suplente Senador;Masculino;1964-05-06;Casado(a);Empresário;Superior completo;Brasileira nata;TOBIAS BARRETO / SE;;Não eleito;67632010;1584-54.2010.6.25.0000;12.174.842/0001-49;
