"Nome Completo";"Nome para Urna Eletronica";"Numero do Candidato";"Situacao";"Sigla do Partido";"Numero do Partido";"Nome da Coligacao";"Composicao da Coligacao";"Cargo";"Sexo";"Data de Nascimento";"Estado Civil";"Ocupacao";"Grau de Instrucao";"Nacionalidade";"Municipio/UF de Nascimento";"Julgamento da Prest. de Contas";"Resultado da Eleicao";"Numero Protocolo";"Numero Processo";"CNPJ de Campanha"
"ALZIRA FERREIRA BARROS";"ALZIRA BARROS";656;"APTO (Deferido)";"PC do B";65;"AVANÇA AMAZONAS";"PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PHS / PMN / PTC / PRP / PC do B";"2º Suplente Senador";"Feminino";"1960-06-20";"Solteiro(a)";"Vereador";"Ensino Fundamental completo";"Brasileira nata";"JANAUARI / AM";;"Eleito";217902010;"2475-60.2010.6.04.0000";"12.371.615/0001-03"
"CARLOS CLEI TOMAS DA SILVA";"CARLOS CLEI";505;"INAPTO (Indeferido)";"PSOL";50;0;0;"2º Suplente Senador";"Masculino";"1968-10-12";"Casado(a)";"Agente Postal";"Ensino Médio completo";"Brasileira nata";"MANAUS / AM";;;158382010;"1925-65.2010.6.04.0000";"12.175.123/0001-42"
"DIONE DA CONCEICAO CAVALCANTE";"DIONE CAVALCANTE";211;"INAPTO (Indeferido)";"PCB";21;0;0;"2º Suplente Senador";"Feminino";"1963-10-21";"Viúvo(a)";"Empresário";"Ensino Médio completo";"Brasileira nata";"MANAUS / AM";;"Indeferido com Recurso";157402010;"1937-79.2010.6.04.0000";"12.178.503/0001-30"
"DJANISE DOS SANTOS BRAGA";"DJANISE";161;"APTO (Deferido)";"PSTU";16;0;0;"2º Suplente Senador";"Feminino";"1971-08-15";"Casado(a)";"Professor de Ensino Fundamental";"Superior completo";"Brasileira nata";"MANAUS / AM";;"Não eleito";156672010;"1677-02.2010.6.04.0000";"12.179.236/0001-16"
"EDMILSON LUCENA DOS SANTOS JUNIOR";"EDMILSON LUCENA";101;"INAPTO (Indeferido)";"PRB";10;"AVANÇA AMAZONAS";"PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PHS / PMN / PTC / PRP / PC do B";"2º Suplente Senador";"Masculino";"1969-07-07";"Casado(a)";"Advogado";"Superior completo";"Brasileira nata";"MANAUS / AM";;;164992010;"2118-80.2010.6.04.0000";"12.206.146/0001-77"
"ELIANE FERREIRA DA SILVA";"ELIANE FERREIRA";451;"APTO (Deferido)";"PV";43;"O Amazonas de Todos Nós";"PPS / PV / PSDB";"2º Suplente Senador";"Feminino";"1971-09-17";"Solteiro(a)";"Administrador";"Superior completo";"Brasileira nata";"HUMAITA / AM";;"Não eleito";159012010;"1836-42.2010.6.04.0000";"12.176.586/0001-29"
"FRANK QUEIROZ CHAVES";"FRANK CHAVES";500;"APTO (Deferido)";"PSOL";50;0;0;"2º Suplente Senador";"Masculino";"1969-04-28";"Casado(a)";"Estudante, Bolsista, Estagiário e Assemelhados";"Superior completo";"Brasileira nata";"ITACOATIARA / AM";;"Não eleito";237392010;"2671-30.2010.6.04.0000";"12.443.853/0001-87"
"GILZA BATISTA DA SILVA";"GILZA BATISTA";130;"APTO (Deferido com recurso)";"PT";13;"O AMAZONAS MELHOR PARA TODOS";"PDT / PT / PSL / PR / PSDC / PSB / PT do B";"2º Suplente Senador";"Feminino";"1962-07-02";"Solteiro(a)";"Ocupante de Cargo em Comissão";"Superior completo";"Brasileira nata";"SANTAREM / PA";;"Não eleito";156292010;"1703-97.2010.6.04.0000";"12.172.986/0001-66"
"IDENEI LACERDA CARDOSO";"IDINEI";211;"APTO (Substituto majoritário pendente de julgamento)";"PCB";21;0;0;"2º Suplente Senador";"Feminino";"1966-02-26";"Casado(a)";"Empresário";"Ensino Médio completo";"Brasileira nata";"MANAUS / AM";;"Indeferido com Recurso";225572010;"2520-64.2010.6.04.0000";"12.393.731/0001-23"
"LIRIO ALBINO PARISOTTO";"LIRIO PARISOTTO";155;"APTO (Deferido)";"PMDB";15;"AVANÇA AMAZONAS";"PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PHS / PMN / PTC / PRP / PC do B";"2º Suplente Senador";"Masculino";"1953-12-18";"Casado(a)";"Empresário";"Superior completo";"Brasileira nata";"SAO PAULO / SP";;"Eleito";157332010;"1863-25.2010.6.04.0000";"12.169.789/0001-98"
"MARIA DOS SOCORRO MOURA DA FONTOURA";"SOCORRO SAMPAIO";656;"INAPTO (Renúncia)";"PP";11;"AVANÇA AMAZONAS";"PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PHS / PMN / PTC / PRP / PC do B";"2º Suplente Senador";"Feminino";"1971-07-29";"Casado(a)";"Vereador";"Superior completo";"Brasileira nata";"ALENQUER / PA";;"Eleito";157342010;"1864-10.2010.6.04.0000";"12.177.303/0001-63"
"ROBERTO AUGUSTO RODRIGUES CAMPAINHA";"ROBERTO CAMPAINHA";123;"APTO (Deferido)";"PSB";40;"O AMAZONAS MELHOR PARA TODOS";"PDT / PT / PSL / PR / PSDC / PSB / PT do B";"2º Suplente Senador";"Masculino";"1950-09-17";"Casado(a)";"Policial Civil";"Superior completo";"Brasileira nata";"MANAUS / AM";;"Não eleito";156302010;"1704-82.2010.6.04.0000";"12.168.543/0001-00"
