Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ANDRELINA BARBOSA DA CUNHA;MARINA SÁ;500;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Feminino;1966-11-26;Casado(a);Dona de Casa;Ensino Médio completo;Brasileira nata;TIMOM / MA;;Eleito;48512010;656-18.2010.6.03.0000;12.235.196/0001-82;
CARLOS CLEY RAMOS PAIVA;CARLOS PAIVA;160;INAPTO (Indeferido);PSTU;16;-;-;2º Suplente Senador;Masculino;1972-07-08;Solteiro(a);Motorista de Veículos de Transporte Coletivo de Passageiros;Ensino Médio completo;Brasileira nata;BELÉM / PA;;;37092010;151-27.2010.6.03.0000;12.176.409/0001-42;
ERROLFLYNN DE SOUZA PAIXAO;ERROFLYNN PAIXAO;131;INAPTO (Renúncia);PT;13;Frente Popular;PT / PSB;2º Suplente Senador;Masculino;1955-11-10;Casado(a);Outros;Superior completo;Brasileira nata;AFUA / PA;;Não eleito;37192010;161-71.2010.6.03.0000;12.170.225/0001-75;
HAROLDO VITOR DE AZEVEDO SANTOS;HAROLDO VITOR;123;APTO (Deferido);PDT;12;O TRABALHO PRECISA CONTINUAR;PRB / PP / PDT / PSL / PR / DEM / PHS / PC do B / PT do B;2º Suplente Senador;Masculino;1947-01-29;Casado(a);Outros;Superior completo;Brasileira nata;BELEM / PA;;Não eleito;36972010;293-31.2010.6.03.0000;12.168.222/0001-05;
JOSÉ ERISVALDO BARROS;PROF. ERISVALDO;131;APTO (Deferido);PT;13;Frente Popular;PT / PSB;2º Suplente Senador;Masculino;1965-05-27;Casado(a);Outros;Superior completo;Brasileira nata;SENADOR SÁ / CE;;Não eleito;54342010;682-16.2010.6.03.0000;12.293.377/0001-65;
JOSIVALDO SANTOS ABRANTES;JOSIVALDO ABRANTES RATO;456;APTO (Deferido);PSDB;45;AMAPA MAIS FORTE;PMDB / PTN / PSC / PPS / PV / PSDB;2º Suplente Senador;Masculino;1967-09-28;Divorciado(a);Vereador;Superior completo;Brasileira nata;MACAPA / AP;;Não eleito;40202010;355-71.2010.6.03.0000;12.204.507/0001-46;
LUIS ANTONIO DE BRITO SILVA ALBUQUERQUE;LUCA ALBUQUERQUE;500;INAPTO (Cancelado);PTB;14;UNIÃO POPULAR PELA MUDANÇA;PTB / PCB / PSDC / PRTB / PMN / PTC / PRP / PSOL;2º Suplente Senador;Masculino;1970-05-29;Casado(a);Outros;Superior completo;Brasileira nata;MACAPÁ / AP;;;37852010;206-75.2010.6.03.0000;;
MARIA DE NAZARÉ DA SILVA FERREIRA;PROFA NAZARÉ;650;INAPTO (Renúncia);PC do B;65;O TRABALHO PRECISA CONTINUAR;PRB / PP / PDT / PSL / PR / DEM / PHS / PC do B / PT do B;2º Suplente Senador;Feminino;1971-02-08;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;SANTANA / AP;;;41942010;530-65.2010.6.03.0000;12.190.929/0001-00;
SALOMAO ALCOLUMBRE JUNIOR;SALOMAOZINHO;152;APTO (Deferido);PMDB;15;AMAPA MAIS FORTE;PMDB / PTN / PSC / PPS / PV / PSDB;2º Suplente Senador;Masculino;1966-03-09;Casado(a);Empresário;Superior completo;Brasileira nata;MACAPA / AP;;Eleito;40212010;356-56.2010.6.03.0000;12.190.142/0001-48;
UBIRACY DE AZEVEDO PICANCO JUNIOR;BIRINHA;401;APTO (Deferido);PSB;40;Frente Popular;PT / PSB;2º Suplente Senador;Masculino;1961-04-10;Divorciado(a);Outros;Superior completo;Brasileira nata;MACAPA / AP;;Indeferido com Recurso;37202010;162-56.2010.6.03.0000;12.171.792/0001-46;
