Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
CICERO LUIZ DA SILVA;CICERO LUIZ;212;INAPTO (Renúncia);PCB;21;-;-;2º Suplente Senador;Masculino;1970-01-05;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;PACAJUS / CE;;Não eleito;341432010;4530-27.2010.6.06.0000;12.318.988/0001-10;
EDSON MARCONI FERNANDES ALCOFORADO;MARCONI;210;APTO (Indeferido com recurso);PCB;21;-;-;2º Suplente Senador;Masculino;1950-03-11;Casado(a);Aposentado (Exceto Servidor Público);Ensino Médio completo;Brasileira nata;NATAL / RN;;Indeferido com Recurso;341442010;4528-57.2010.6.06.0000;12.204.074/0001-29;
FABIOLA FEITOSA LIMA;FABIOLA;432;APTO (Indeferido com recurso);PV;43;-;-;2º Suplente Senador;Feminino;1971-07-04;Solteiro(a);Empresário;Ensino Médio completo;Brasileira nata;FORTALEZA / CE;;Indeferido com Recurso;330942010;4387-38.2010.6.06.0000;12.256.107/0001-84;
FRANCISCO HOLANDA GUEDES;FRANCINI GUEDES;456;APTO (Deferido);PSDB;45;COLIGAÇÃO POR UM CEARÁ MODERNO E FORTE;DEM / PSDB;2º Suplente Senador;Masculino;1944-07-28;Casado(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;LIMOEIRO DO NORTE / CE;;Não eleito;332012010;4262-70.2010.6.06.0000;12.168.638/0001-15;
JOSE MARIO SOBRINHO COELHO;JOSE MARIO;161;APTO (Deferido);PSTU;16;-;-;2º Suplente Senador;Masculino;1973-09-03;Casado(a);Corretor de Imóveis, Seguros, Títulos e Valores;Superior completo;Brasileira nata;FORTALEZA / CE;;Não eleito;346362010;4513-88.2010.6.06.0000;12.242.482/0001-75;
JOSELITO MEDEIROS DO NASCIMENTOS;ZELITO;500;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1972-09-14;Casado(a);Agente Administrativo;Ensino Médio completo;Brasileira nata;ARACATI / CE;;Não eleito;332242010;4225-43.2010.6.06.0000;12.172.301/0001-81;
LUIS CARLOS PAES DE CASTRO;LUIS CARLOS PAES;135;APTO (Deferido);PC do B;65;POR UM CEARA MELHOR PRA TODOS;PRB / PDT / PT / PMDB / PSC / PSB / PC do B;2º Suplente Senador;Masculino;1956-04-09;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;FORTALEZA / CE;;Eleito;329222010;4081-69.2010.6.06.0000;12.170.217/0001-29;
MANOEL DE FARIAS MACIEL;MANOEL FARIAS;162;APTO (Deferido);PSTU;16;-;-;2º Suplente Senador;Masculino;1941-02-07;Casado(a);Aposentado (Exceto Servidor Público);Ensino Médio completo;Brasileira nata;CABACEIRAS / PB;;Não eleito;346372010;4518-13.2010.6.06.0000;12.198.275/0001-60;
MIGUEL DIAS DE SOUZA;MIGUEL DIAS;151;APTO (Deferido);PRB;10;POR UM CEARA MELHOR PRA TODOS;PRB / PDT / PT / PMDB / PSC / PSB / PC do B;2º Suplente Senador;Masculino;1951-05-13;Casado(a);Empresário;Superior completo;Brasileira nata;FORTALEZA / CE;;Eleito;329232010;4082-54.2010.6.06.0000;12.168.875/0001-86;
PAULO LUIZ PINHEIRO CAMPOS;PAULO LUIZ;212;APTO (Deferido);PCB;21;-;-;2º Suplente Senador;Masculino;1973-04-27;Solteiro(a);Motorista Particular;Ensino Médio incompleto;Brasileira nata;FORTALEZA / CE;;Não eleito;450632010;5478-66.2010.6.06.0000;12.371.617/0001-00;
REGIS NOGUEIRA DE MEDEIROS;REGIS MEDEIROS;234;INAPTO (Renúncia);PPS;23;PARA FAZER BRILHAR O CEARA - PR - PPS;PR / PPS;2º Suplente Senador;Masculino;1967-05-02;Casado(a);Empresário;Superior completo;Brasileira nata;FORTALEZA / CE;;Não eleito;325842010;3959-56.2010.6.06.0000;12.174.841/0001-02;
RICARDO PEREIRA SALES;RICARDO SALES;234;APTO (Deferido);PPS;23;PARA FAZER BRILHAR O CEARA - PR - PPS;PR / PPS;2º Suplente Senador;Masculino;1963-07-25;Casado(a);Empresário;Superior completo;Brasileira nata;BACABAL / MA;;Não eleito;458212010;5643-16.2010.6.06.0000;12.379.518/0001-67;
