Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ANGELO BALBINO SOARES PEREIRA;ANGELO BALBINO;500;INAPTO (Indeferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1968-11-23;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;BRASILIA / DF;;Não eleito;186902010;1311-76.2010.6.07.0000;12.214.401/0001-23;
DALVA DO NASCIMENTO;DALVA;212;INAPTO (Indeferido);PCB;21;-;-;2º Suplente Senador;Feminino;1918-07-02;Solteiro(a);Capitalista de Ativos Financeiros;Superior completo;Brasileira nata;URBELANDIA / MG;;Indeferido com Recurso;202142010;2388-23.2010.6.07.0000;12.235.176/0001-01;
DEUSIMAR MARIA DE JESUS;DEUSIMAR;290;APTO (Indeferido com recurso);PCO;29;-;-;2º Suplente Senador;Feminino;1974-10-19;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;BRASÍLIA / DF;;Indeferido com Recurso;250822010;2627-27.2010.6.07.0000;;
EGMAR TAVARES DA SILVA;PASTOR EGMAR;456;APTO (Indeferido com recurso);PT do B;70;ESPERANÇA RENOVADA;PP / PSC / PR / DEM / PSDC / PRTB / PMN / PSDB / PT do B;2º Suplente Senador;Feminino;1968-05-06;Casado(a);Outros;Superior completo;Brasileira nata;PRESIDENTE OLEGARIO / MG;;Indeferido com Recurso;194292010;1711-90.2010.6.07.0000;12.276.281/0001-99;
JOÃO MARIA ABREU BREYER JUNIOR;JOÃO BREYER;432;APTO (Deferido);PV;43;-;-;2º Suplente Senador;Masculino;1967-02-06;Solteiro(a);Corretor de Imóveis, Seguros, Títulos e Valores;Superior completo;Brasileira nata;BRASÍLIA / DF;;Não eleito;195942010;2115-44.2010.6.07.0000;12.311.754/0001-41;
JOSE ANTONIO DOS SANTOS;JOTA;160;APTO (Deferido);PSTU;16;-;-;2º Suplente Senador;Masculino;1955-03-07;Casado(a);Servidor Público Federal;Ensino Médio completo;Brasileira nata;PINDAMONHANGABA / SP;;Não eleito;185732010;1279-71.2010.6.07.0000;12.436.342/0001-38;
LUIS CLAUDIO DA COSTA AVELAR;CLAUDIO AVELAR;400;APTO (Deferido);PC do B;65;NOVO CAMINHO;PRB / PDT / PT / PTB / PMDB / PPS / PHS / PTC / PSB / PRP / PC do B;2º Suplente Senador;Masculino;1964-08-26;Divorciado(a);Servidor Público Federal;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Eleito;193582010;1770-78.2010.6.07.0000;12.175.484/0001-99;
MARCUS VINICIUS BRITTO DE ALBUQUERQUE DIAS;PACO BRITTO;255;APTO (Deferido);PT do B;70;ESPERANÇA RENOVADA;PP / PSC / PR / DEM / PSDC / PRTB / PMN / PSDB / PT do B;2º Suplente Senador;Masculino;1964-06-04;Casado(a);Empresário;Superior incompleto;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;194252010;1521-30.2010.6.07.0000;12.174.542/0001-60;
NIXON BRASIL LIMA;NIXON BRASIL;190;INAPTO (Renúncia);PTN;19;QUERO MUDAR;PSL / PTN;2º Suplente Senador;Masculino;1985-02-13;Casado(a);Outros;Superior incompleto;Brasileira nata;BRASILIA / DF;;Não eleito;188452010;1408-76.2010.6.07.0000;12.167.756/0001-09;
RAMIRO DIEGUES ALVARES JUNIOR;RAMIRO;500;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1957-11-18;Divorciado(a);Bancário e Economiário;Superior completo;Brasileira nata;SANTOS / SP;;Não eleito;269182010;2650-70.2010.6.07.0000;12.393.726/0001-10;
RAUL ULHOA;RAUL;501;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1952-09-19;Casado(a);Servidor Público Estadual;Ensino Médio completo;Brasileira nata;UNAÍ / MG;;Não eleito;186912010;1307-39.2010.6.07.0000;12.189.810/0001-17;
RENAN ROSA ARRUDA;RENAN ROSA;290;INAPTO (Renúncia);PCO;29;-;-;2º Suplente Senador;Masculino;1964-09-30;Casado(a);Bancário e Economiário;Superior completo;Brasileira nata;IGUATU / CE;;Indeferido com Recurso;187802010;1295-25.2010.6.07.0000;12.177.284/0001-75;
ROBERTO WAGNER MONTEIRO;ROBERTO WAGNER;123;APTO (Deferido);PRB;10;NOVO CAMINHO;PRB / PDT / PT / PTB / PMDB / PPS / PHS / PTC / PSB / PRP / PC do B;2º Suplente Senador;Masculino;1942-09-07;Casado(a);Advogado;Superior completo;Brasileira nata;GOIANIA / GO;;Eleito;193592010;1774-18.2010.6.07.0000;12.167.182/0001-79;
ROBERTO ZANIN;ROBERTO ZANIN;433;APTO (Deferido);PV;43;-;-;2º Suplente Senador;Masculino;1956-06-08;Casado(a);Engenheiro;Superior completo;Brasileira nata;JAÚ / SP;;Não eleito;195902010;2117-14.2010.6.07.0000;12.179.879/0001-60;
SERGIO GOMES DE SOUZA;SERGIO GOMES;190;APTO (Deferido);PSL;17;QUERO MUDAR;PSL / PTN;2º Suplente Senador;Masculino;1975-06-12;Solteiro(a);Técnico Contabilidade, Estatística, Economia Doméstica e Administração;Superior incompleto;Brasileira nata;BRASILIA / DF;;Não eleito;210502010;2495-67.2010.6.07.0000;12.229.863/0001-14;
WILIAN NEY SOUSA DE FARIAS;WILIAN NEY;178;APTO (Deferido);PSL;17;QUERO MUDAR;PSL / PTN;2º Suplente Senador;Masculino;1965-01-29;Casado(a);Contador;Superior completo;Brasileira nata;SAO LUIS / MA;;Não eleito;188462010;1445-06.2010.6.07.0000;12.174.782/0001-64;
