Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
CARLOS MARANHÃO GOMES DE SA;CARLOS MARANHÃO;451;INAPTO (Cancelado);PSDB;45;GOIÁS QUER MAIS;PRB / PTB / PSL / PPS / DEM / PRTB / PHS / PMN / PTC / PSDB / PT do B;2º Suplente Senador;Masculino;1944-06-18;Divorciado(a);Geólogo;Superior completo;Brasileira nata;BREJO / MA;;Eleito;275162010;3571-72.2010.6.09.0000;12.167.277/0001-92;
HYULLEY AQUINO MACHADO;HYULLEY MACHADO;451;INAPTO (Indeferido);PTB;14;GOIÁS QUER MAIS;PRB / PTB / PSL / PPS / DEM / PRTB / PHS / PMN / PTC / PSDB / PT do B;2º Suplente Senador;Masculino;1976-03-06;Casado(a);Advogado;Superior completo;Brasileira nata;ANÁPOLIS / GO;;Eleito;414112010;5307-28.2010.6.09.0000;12.529.766/0001-47;
JOSE EDUARDO FLEURY FERNANDES COSTA;JOSE EDUARDO FLEURY;251;APTO (Deferido);DEM;25;GOIÁS QUER MAIS;PRB / PTB / PSL / PPS / DEM / PRTB / PHS / PMN / PTC / PSDB / PT do B;2º Suplente Senador;Masculino;1952-11-03;Casado(a);Produtor Agropecuário;Ensino Médio completo;Brasileira nata;GOIANIA / GO;;Eleito;275172010;3572-57.2010.6.09.0000;12.293.364/0001-96;
JOSÉ EUSTÁQUIO SILVA;JOSÉ EUSTÁQUIO;111;APTO (Deferido);PP;11;Goiás no rumo certo;PP / PDT / PTN / PSC / PR / PSDC / PSB / PV / PRP;2º Suplente Senador;Masculino;1965-08-13;Casado(a);Empresário;Superior incompleto;Brasileira nata;BURITI ALEGRE / GO;;Não eleito;278012010;3794-25.2010.6.09.0000;12.171.414/0001-62;
MARCELO PEDRO RIBEIRO DE MAGALHAES;MARCELO MAGALHAES;151;APTO (Indeferido com recurso);PMDB;15;Goias Rumo ao Futuro;PT / PMDB / PC do B;2º Suplente Senador;Masculino;1966-06-29;Separado(a) judicialmente;Advogado;Superior completo;Brasileira nata;GOIANIA / GO;;Indeferido com Recurso;358852010;4802-37.2010.6.09.0000;12.701.554/0001-03;
MARIA LUIZA DE AQUINO MACHADO;LUIZA;451;APTO (Deferido);PTB;14;GOIÁS QUER MAIS;PRB / PTB / PSL / PPS / DEM / PRTB / PHS / PMN / PTC / PSDB / PT do B;2º Suplente Senador;Feminino;1947-01-29;Casado(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;PIRINÓPOLIS / GO;;Eleito;476542010;6243-53.2010.6.09.0000;12.610.704/0001-65;
NABSON SANTANA CUNHA;NABSON;161;APTO (Deferido);PSTU;16;GOIAS PRA VOCÊ, NÃO PRA ELES;PSTU / PSOL;2º Suplente Senador;Masculino;1969-11-17;Casado(a);Advogado;Superior completo;Brasileira nata;IPORA / GO;;Não eleito;278462010;3465-13.2010.6.09.0000;12.176.334/0001-08;
ORLANDINA FERREIRA MACHADO;DINA;112;APTO (Deferido);PSB;40;Goiás no rumo certo;PP / PDT / PTN / PSC / PR / PSDC / PSB / PV / PRP;2º Suplente Senador;Feminino;1959-11-23;Divorciado(a);Outros;Superior completo;Brasileira nata;GOIÂNIA / GO;;;278022010;3795-10.2010.6.09.0000;12.173.888/0001-43;
OSMAR PONCE LEONES;OSMAR PONCE;131;APTO (Deferido com recurso);PMDB;15;Goias Rumo ao Futuro;PT / PMDB / PC do B;2º Suplente Senador;Masculino;1972-10-24;Solteiro(a);Engenheiro;Superior completo;Brasileira nata;URUAÇU / GO;;Não eleito;280392010;4132-96.2010.6.09.0000;12.178.804/0001-64;
REINALDO COELHO;REINALDO COELHO;151;INAPTO (Renúncia);PMDB;15;Goias Rumo ao Futuro;PT / PMDB / PC do B;2º Suplente Senador;Masculino;1946-10-12;Divorciado(a);Agricultor;Ensino Médio completo;Brasileira nata;BATATAIS / SP;;Indeferido com Recurso;280402010;4133-81.2010.6.09.0000;;
RONALDO PEREIRA SARAIVA;RONALDO SARAIVA;500;APTO (Deferido);PSOL;50;GOIAS PRA VOCÊ, NÃO PRA ELES;PSTU / PSOL;2º Suplente Senador;Masculino;1971-07-27;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;PARNAGUA / PI;;Não eleito;278472010;3466-95.2010.6.09.0000;12.256.148/0001-70;
TERESINHA LUIZA ALVES;TERESINHA LUIZA;210;APTO (Deferido);PCB;21;-;-;2º Suplente Senador;Feminino;1951-01-27;Casado(a);Dona de Casa;Lê e escreve;Brasileira nata;CERES / GO;;Não eleito;401412010;5118-50.2010.6.09.0000;12.555.402/0001-31;
URIAS BISPO BEZERRA;URIAS BEZERRA;210;INAPTO (Indeferido);PCB;21;-;-;2º Suplente Senador;Masculino;1952-07-14;Casado(a);Comerciante;Ensino Fundamental completo;Brasileira nata;LAVRAS DA MANGABEIRA / CE;;Não eleito;278362010;3456-51.2010.6.09.0000;12.168.388/0001-13;
