Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ANTONIO MOREIRA SOUSA NETO;MOREIRA;212;APTO (Deferido);PCB;21;-;-;2º Suplente Senador;Masculino;1962-09-28;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;BARRA DO CORDA / MA;;Não eleito;239102010;3556-76.2010.6.10.0000;12.190.263/0001-90;
DEUZIMAR MENEZES NEGREIROS;PROFº NEGREIROS;212;INAPTO (Indeferido);PCB;21;-;-;2º Suplente Senador;Masculino;1955-12-01;Casado(a);Pedagogo;Superior completo;Brasileira nata;IMPERATRIZ / MA;;Não eleito;239112010;3557-61.2010.6.10.0000;12.189.842/0001-12;
EMANOEL DA SILVA CHAVES;EMANUEL CHAVES;500;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1968-03-26;Casado(a);Comerciante;Superior completo;Brasileira nata;JOÃO LISBOA / MA;;Não eleito;290632010;3842-54.2010.6.10.0000;12.347.267/0001-39;
GILNEI JOSE BAGGIO;GILNEI;650;INAPTO (Indeferido);PC do B;65;MUDA MARANHÃO;PPS / PSB / PC do B;2º Suplente Senador;Masculino;1962-05-13;Casado(a);Agricultor;Ensino Médio completo;Brasileira nata;SANTA BARBARA / RS;;;240412010;3632-03.2010.6.10.0000;12.190.850/0001-89;
GRACILIO CORDEIRO MARQUES;CORDEIRO MARQUES;500;INAPTO (Renúncia);PSOL;50;-;-;2º Suplente Senador;Masculino;1966-11-10;Casado(a);Administrador;Superior incompleto;Brasileira nata;PINHEIRO / MA;;Não eleito;232192010;3427-71.2010.6.10.0000;12.174.352/0001-42;
HEBER WALDO SILVA COSTA;PASTOR BEL;151;APTO (Deferido);PMDB;15;O MARANHÃO NÃO PODE PARAR;PRB / PP / PT / PTB / PMDB / PSL / PTN / PSC / PR / DEM / PRTB / PMN / PV / PRP / PT do B / PHS;2º Suplente Senador;Masculino;1968-01-06;Casado(a);Outros;Ensino Médio completo;Brasileira nata;PEDREIRAS / MA;;Eleito;231492010;3043-11.2010.6.10.0000;12.174.719/0001-28;
ILDON MARQUES DE SOUZA;ILDON MARQUES;152;INAPTO (Renúncia);DEM;25;O MARANHÃO NÃO PODE PARAR;PRB / PP / PT / PTB / PMDB / PSL / PTN / PSC / PR / DEM / PRTB / PMN / PV / PRP / PT do B / PHS;2º Suplente Senador;Masculino;1945-10-20;Casado(a);Empresário;Superior incompleto;Brasileira nata;MALTA / PB;;Eleito;231502010;3044-93.2010.6.10.0000;12.167.346/0001-68;
JORGE ANTONIO CARVALHO;JORGE ANTONIO;651;APTO (Deferido);PC do B;65;MUDA MARANHÃO;PPS / PSB / PC do B;2º Suplente Senador;Masculino;1964-01-09;Casado(a);Administrador;Superior completo;Brasileira nata;SÃO LUIS / MA;;Indeferido com Recurso;290822010;3849-46.2010.6.10.0000;12.347.262/0001-06;
JOSÉ JOAQUIM GUIMARÃES RAMOS;JOSÉ JOAQUIM;456;APTO (Deferido);PSDB;45;O POVO É MAIOR;PDT / PTC / PSDB;2º Suplente Senador;Masculino;1948-07-12;Casado(a);Vereador;Superior completo;Brasileira nata;SÃO LUÍS / MA;;Não eleito;228882010;3135-86.2010.6.10.0000;12.168.813/0001-74;
JOSE RAIMUNDO SILVA DE ALMEIDA;LULA ALMEIDA;455;APTO (Deferido);PSDB;45;O POVO É MAIOR;PDT / PTC / PSDB;2º Suplente Senador;Masculino;1963-09-12;Casado(a);Advogado;Superior completo;Brasileira nata;ITORORO / BA;;Não eleito;228872010;3134-04.2010.6.10.0000;12.174.511/0001-09;
MARIA DO SOCORRO NASCIMENTO BARBOSA;SOCORRO NASCIMENTO;400;APTO (Deferido);PSB;40;MUDA MARANHÃO;PPS / PSB / PC do B;2º Suplente Senador;Feminino;1964-01-11;Casado(a);Agricultor;Ensino Fundamental incompleto;Brasileira nata;SÃO LUIS / MA;;Não eleito;235772010;3447-62.2010.6.10.0000;12.207.323/0001-30;
MARIA IDALINA MACHADO;IDA MACHADO;505;APTO (Indeferido com recurso);PSOL;50;-;-;2º Suplente Senador;Feminino;1952-04-23;Divorciado(a);Dona de Casa;Superior completo;Brasileira nata;LENÇOIS PAULISTA / SP;;Indeferido com Recurso;248322010;3526-41.2010.6.10.0000;12.190.037/0001-09;
MARIA SALES DA SILVA;MARIA SALES;163;APTO (Deferido);PSTU;16;-;-;2º Suplente Senador;Feminino;1947-04-15;Casado(a);Aposentado (Exceto Servidor Público);Ensino Fundamental completo;Brasileira nata;SAO LUIZ GONZAGA / MA;;Não eleito;228462010;3033-64.2010.6.10.0000;12.175.441/0001-03;
MAURO DE ALENCAR FECURY;MAURO FECURY;152;APTO (Deferido);PMDB;15;O MARANHÃO NÃO PODE PARAR;PRB / PP / PT / PTB / PMDB / PSL / PTN / PSC / PR / DEM / PRTB / PMN / PV / PRP / PT do B / PHS;2º Suplente Senador;Masculino;1941-01-13;Casado(a);Senador;Superior completo;Brasileira nata;RIO BRANCO / AC;;Eleito;383642010;4574-35.2010.6.10.0000;12.617.384/0001-75;
VALDELINO FERREIRA DA SILVA;VALDELINO;161;APTO (Deferido);PSTU;16;-;-;2º Suplente Senador;Masculino;1964-05-22;Casado(a);Trabalhador de Construção Civil;Ensino Fundamental completo;Brasileira nata;CEDRAL / MA;;Não eleito;228472010;3034-49.2010.6.10.0000;12.174.329/0001-58;
