Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABIANCY CARDOSO ROSA;BIA CARDOSO;456;APTO (Deferido);PPS;23;JUNTOS COM O POVO;PPS / DEM / PSDC / PRTB / PMN / PRP / PSDB;2º Suplente Senador;Feminino;1968-12-20;Divorciado(a);Jornalista e Redator;Superior completo;Brasileira nata;MARABA / PA;;Eleito;117342010;1479-83.2010.6.14.0000;12.276.261/0001-18;
ARMANDO DA SILVA SOARES;ARMANDO;161;APTO (Deferido);PSTU;16;-;-;2º Suplente Senador;Masculino;1949-06-17;Solteiro(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;BELÉM / PA;;Não eleito;86202010;532-29.2010.6.14.0000;12.168.444/0001-10;
FÉLIX URANO GAMA DE SOUZA;TIBIRICA;500;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1959-08-17;Casado(a);Professor de Ensino Fundamental;Superior incompleto;Brasileira nata;BELÉM / PA;;Eleito;86322010;606-83.2010.6.14.0000;12.171.615/0001-60;
FRANCISCO WILSON RIBEIRO;WILSON RIBEIRO;151;APTO (Indeferido com recurso);PMDB;15;-;-;2º Suplente Senador;Masculino;1930-03-27;Casado(a);Advogado;Superior completo;Brasileira nata;QUIXADA / CE;;Indeferido com Recurso;86932010;647-50.2010.6.14.0000;12.167.162/0001-06;
JOSÉ TAVARES DE OLIVEIRA;TAVARES;160;INAPTO (Indeferido);PSTU;16;-;-;2º Suplente Senador;Masculino;1972-09-04;Solteiro(a);Trabalhador de Construção Civil;Lê e escreve;Brasileira nata;MUANÁ / PA;;Não eleito;86212010;533-14.2010.6.14.0000;12.176.402/0001-20;
LEODATO DA CONCEICAO MARQUES;PASTOR LEODATO MARQUES;131;APTO (Indeferido com recurso);PP;11;COLIGAÇÃO FRENTE POPULAR ACELERA PARÁ;PRB / PP / PDT / PT / PTB / PTN / PSC / PR / PHS / PTC / PSB / PV / PC do B / PT do B;2º Suplente Senador;Masculino;1966-05-22;Casado(a);Comerciário;Superior completo;Brasileira nata;DEMERVAL LOBAO / PI;;Indeferido com Recurso;91422010;1203-52.2010.6.14.0000;12.172.769/0001-76;
MARLENE MATEUS DO NASCIMENTO;MARLENE MATEUS;433;INAPTO (Indeferido);PV;43;-;-;2º Suplente Senador;Feminino;1976-11-29;Casado(a);Administrador;Superior completo;Brasileira nata;BENEVIDES / PA;;;85082010;1046-79.2010.6.14.0000;12.178.494/0001-88;
PAULO VITOR LISBOA DA SILVA;PAULO VITOR;456;INAPTO (Renúncia);PSDB;45;JUNTOS COM O POVO;PPS / DEM / PSDC / PRTB / PMN / PRP / PSDB;2º Suplente Senador;Masculino;1957-04-20;Divorciado(a);Contador;Superior completo;Brasileira nata;CAPANEMA / PA;;Eleito;88352010;1266-77.2010.6.14.0000;12.169.921/0001-61;
RAIMUNDO DE ARAUJO SOARES;RAIMUNDO SOARES;401;INAPTO (Indeferido);PSB;40;-;-;2º Suplente Senador;Masculino;1977-01-16;Casado(a);Outros;Superior completo;Brasileira nata;SANTA LUZIA / PA;;;90012010;1196-60.2010.6.14.0000;12.179.176/0001-31;
ROBERTO ZAHLUTH DE CARVALHO;ROBERTO ZAHLUTH;152;INAPTO (Renúncia);PMDB;15;-;-;2º Suplente Senador;Masculino;1950-06-26;Casado(a);Advogado;Superior completo;Brasileira nata;BELEM / PA;;;95282010;1302-22.2010.6.14.0000;12.198.211/0001-60;
SERGIO LUIS DE SOUZA ALMEIDA;SERGIO LUIS;160;APTO (Deferido);PSTU;16;-;-;2º Suplente Senador;Masculino;1964-12-13;Casado(a);Trabalhador de Construção Civil;Ensino Fundamental incompleto;Brasileira nata;BELÉM / PA;;Não eleito;138152010;1508-36.2010.6.14.0000;12.347.260/0001-17;
WALMIR BRITO FREIRE;WALMIR FREIRE;501;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1959-02-25;Solteiro(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;MONTANHA / ES;;Não eleito;86332010;607-68.2010.6.14.0000;12.170.983/0001-93;
WALTER WILTON ARBAGE;ARBAGE;144;INAPTO (Indeferido);PTB;14;COLIGAÇÃO FRENTE POPULAR ACELERA PARÁ;PRB / PP / PDT / PT / PTB / PTN / PSC / PR / PHS / PTC / PSB / PV / PC do B / PT do B;2º Suplente Senador;Masculino;1939-09-09;Casado(a);Vereador;Superior completo;Brasileira nata;NOVA TIMBOTEUA / PA;;;98402010;1330-87.2010.6.14.0000;12.189.301/0001-94;
