Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADRIANA ROCHA DA COSTA;ADRIANA;501;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Feminino;1973-09-27;Solteiro(a);Secretário e Datilógrafo;Superior incompleto;Brasileira nata;JOÃO PESSOA / PB;;Não eleito;246412010;5693-90.2010.6.15.0000;12.371.631/0001-04;
ARISTAVORA DE SOUZA SANTOS;TAVINHO SANTOS;155;APTO (Deferido);PTB;14;PARAÍBA UNIDA;PRB / PP / PT / PTB / PMDB / PSL / PSC / PR / PHS / PMN / PC do B / PT do B;2º Suplente Senador;Masculino;1956-03-12;Casado(a);Vereador;Superior completo;Brasileira nata;JOAO PESSOA / PB;;Eleito;192672010;4698-77.2010.6.15.0000;12.189.994/0001-15;
FABIANO GALDINO DE SOUZA;FABIANO;502;INAPTO (Indeferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1972-01-10;Solteiro(a);Servidor Público Federal;Ensino Médio completo;Brasileira nata;JOÃO PESSOA / PB;;Indeferido com Recurso;186522010;4321-09.2010.6.15.0000;12.181.054/0001-80;
GERALDO VIEGAS GERÔNIMO;GERALDO VIEGAS;299;INAPTO (Indeferido);PCO;29;-;-;2º Suplente Senador;Masculino;1950-03-30;Casado(a);Agricultor;Ensino Fundamental incompleto;Brasileira nata;CRUZ O ESPIRITO SANTO / PB;;;186272010;4305-55.2010.6.15.0000;12.199.731/0001-97;
IVANDRO MOURA CUNHA LIMA;IVANDRO CUNHA LIMA;456;APTO (Indeferido com recurso);PSDB;45;Uma Nova Paraíba;PDT / PTN / PPS / DEM / PTC / PSB / PV / PRP / PSDB;2º Suplente Senador;Masculino;1930-05-26;Viúvo(a);Tabelião;Superior completo;Brasileira nata;GUARABIRA / PB;;Indeferido com Recurso;191302010;4603-47.2010.6.15.0000;12.197.965/0001-03;
JOAO GONCALVES VIEIRA;JOAO GONCALVES;151;INAPTO (Renúncia);PMDB;15;PARAÍBA UNIDA;PRB / PP / PT / PTB / PMDB / PSL / PSC / PR / PHS / PMN / PC do B / PT do B;2º Suplente Senador;Masculino;1947-06-23;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;UIRAUNA / PB;;Eleito;192682010;4695-25.2010.6.15.0000;12.189.583/0001-20;
MARCOS ALBERTO RIBEIRO DE BARROS;MARCOS BARROS;501;INAPTO (Indeferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1937-05-15;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;JOÃO PESSOA / PB;;Não eleito;186532010;4322-91.2010.6.15.0000;12.168.850/0001-82;
MARIA GRACIETE ALVES DA CUNHA;GRACIETE CUNHA;211;APTO (Deferido);PCB;21;-;-;2º Suplente Senador;Feminino;1962-08-28;Solteiro(a);Policial Militar;Ensino Médio completo;Brasileira nata;JOÃO PESSOA / PB;;Não eleito;185942010;4276-05.2010.6.15.0000;12.175.062/0001-13;
SANNY JAPIASSÚ DOS SANTOS;SANNY JAPIASSÚ;151;APTO (Deferido);PMDB;15;PARAÍBA UNIDA;PRB / PP / PT / PTB / PMDB / PSL / PSC / PR / PHS / PMN / PC do B / PT do B;2º Suplente Senador;Feminino;1961-01-01;Casado(a);Advogado;Superior completo;Brasileira nata;CAMPINA GRANDE / PB;;Eleito;210742010;5194-09.2010.6.15.0000;12.372.869/0001-46;
SEVERINO RAMALHO LEITE;RAMALHO LEITE;256;APTO (Deferido);PPS;23;Uma Nova Paraíba;PDT / PTN / PPS / DEM / PTC / PSB / PV / PRP / PSDB;2º Suplente Senador;Masculino;1943-10-06;Casado(a);Advogado;Superior completo;Brasileira nata;BANANEIRAS / PB;;Não eleito;191312010;4604-32.2010.6.15.0000;12.189.375/0001-20;
