Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABDIAS LIMA DE QUEIROZ FILHO;QUEIROZ DO JUDÔ;112;APTO (Deferido);PTB;14;POR UM PIAUÍ NOVO;PP / PDT / PTB / PRTB / PHS / PTC / PT do B;2º Suplente Senador;Masculino;1970-12-29;Casado(a);Outros;Superior incompleto;Brasileira nata;FORTALEZA / CE;;Não eleito;164062010;2237-51.2010.6.18.0000;12.204.622/0001-10;
ALVARO NERI;PROFº ALVARO;331;INAPTO (Renúncia);PMN;33;-;-;2º Suplente Senador;Masculino;1947-10-11;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;TERESINA / PI;;Não eleito;152872010;1947-36.2010.6.18.0000;12.169.065/0001-44;
DANIEL ULISSES ALMEIDA VIANA;DANIEL;177;APTO (Deferido);PSL;17;-;-;2º Suplente Senador;Masculino;1974-11-19;Casado(a);Arquivista e Museólogo;Superior completo;Brasileira nata;TERESINA / PI;;Não eleito;153452010;1915-31.2010.6.18.0000;12.177.373/0001-11;
DEOCLECIANO GUEDES FERREIRA;DEOCLECIANO GUEDES;431;APTO (Deferido);PV;43;-;-;2º Suplente Senador;Masculino;1948-03-08;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;FORTALEZA / PI;;Não eleito;151432010;2037-44.2010.6.18.0000;12.170.443/0001-00;
ELCINA BRANDT DAS CHAGAS SILVA;ELCINA;501;INAPTO (Indeferido);PSOL;50;-;-;2º Suplente Senador;Feminino;1970-01-09;Casado(a);Professor de Ensino Médio;Ensino Médio completo;Brasileira nata;TERESINA / PI;;Registro negado antes da eleição;219582010;2700-90.2010.6.18.0000;12.379.522/0001-25;
FRANCISCO DAS CHAGAS SILVA VALE;FRANCISCO DO VALE;502;INAPTO (Indeferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1986-11-07;Solteiro(a);Auxiliar de Escritório e Assemelhados;Ensino Médio completo;Brasileira nata;TERESINA / PI;;Indeferido com Recurso;153552010;2175-11.2010.6.18.0000;;
FRANCISCO DE DEUS SILVA;DE DEUS;330;INAPTO (Indeferido);PMN;33;-;-;2º Suplente Senador;Masculino;1964-09-11;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;CAMPO MAIOR / PI;;;162762010;2347-50.2010.6.18.0000;12.204.461/0001-65;
FREDSON ALVES SARAIVA;FREDSON SARAIVA;501;INAPTO (Indeferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1976-01-22;Casado(a);Auxiliar de Escritório e Assemelhados;Superior incompleto;Brasileira nata;FLORES / PI;;Registro negado antes da eleição;153562010;2176-93.2010.6.18.0000;12.178.961/0001-70;
ISMAIAS SANTANA DE MESQUITA;ISMAIAS MESQUITA;200;APTO (Deferido);PSC;20;A FORÇA DO POVO;PSC / PPS / DEM / PSDB;2º Suplente Senador;Masculino;1963-08-03;Casado(a);Contador;Superior completo;Brasileira nata;CAMPO MAIOR / PI;;Não eleito;150482010;1942-14.2010.6.18.0000;12.173.433/0001-28;
JOSÉ AMAURI PEREIRA DE ARAÚJO;JOSÉ AMAURI;111;APTO (Deferido);PRTB;28;POR UM PIAUÍ NOVO;PP / PDT / PTB / PRTB / PHS / PTC / PT do B;2º Suplente Senador;Masculino;1960-11-17;Solteiro(a);Industrial;Superior incompleto;Brasileira nata;TAQUARITINGA DO NORTE / PE;;Eleito;151912010;1985-48.2010.6.18.0000;12.221.707/0001-07;
JOSÉ ANSELMO OLIVEIRA DIAS;ANSELMO DIAS;132;APTO (Deferido);PC do B;65;PARA O PIAUÍ SEGUIR MUDANDO;PRB / PT / PMDB / PTN / PR / PSB / PRP / PC do B;2º Suplente Senador;Masculino;1955-12-30;Casado(a);Servidor Público Municipal;Superior completo;Brasileira nata;TERESINA / PI;;Não eleito;157242010;2180-33.2010.6.18.0000;12.170.425/0001-28;
JOSÉ RIBAMAR NOLETO DE SANTANA;JOSE SANTANA;131;APTO (Deferido);PMDB;15;PARA O PIAUÍ SEGUIR MUDANDO;PRB / PT / PMDB / PTN / PR / PSB / PRP / PC do B;2º Suplente Senador;Masculino;1964-02-05;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;PARAÍBANO / MA;;Eleito;158072010;2181-18.2010.6.18.0000;12.190.192/0001-25;
MARCOS ANTONIO PARENTE ELVAS COELHO;MARCOS ELVAS;251;APTO (Deferido com recurso);PSDB;45;A FORÇA DO POVO;PSC / PPS / DEM / PSDB;2º Suplente Senador;Masculino;1961-06-10;Casado(a);Empresário;Superior completo;Brasileira nata;BOM JESUS / PI;;Não eleito;150492010;1951-73.2010.6.18.0000;12.172.390/0001-66;
MARIA DO SOCORRO SANTANA DE SOUSA;SOCORRO BIM;291;INAPTO (Indeferido);PCO;29;-;-;2º Suplente Senador;Feminino;1966-05-30;Solteiro(a);Agente Administrativo;Superior completo;Brasileira nata;NOVA YORK / MA;;;152792010;1777-64.2010.6.18.0000;12.175.699/0001-00;
RAIMUNDO NONATO DA SILVA;PASTOR RAIMUNDO;331;APTO (Deferido);PMN;33;-;-;2º Suplente Senador;Masculino;1960-07-18;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;PIRACURUCA / PI;;Não eleito;209282010;2588-24.2010.6.18.0000;12.347.259/0001-92;
ROMILDO DE CASTRO ARAÚJO;ROMILDO CASTRO;160;INAPTO (Indeferido);PSTU;16;-;-;2º Suplente Senador;Masculino;1969-12-29;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;TERESINA / PI;;Não eleito;153362010;1873-79.2010.6.18.0000;12.180.161/0001-93;
