Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
BENTO BATISTA DA SILVA;BENTO BATISTA;111;INAPTO (Renúncia);PTB;14;COLIGAÇÃO NOVO PARANÁ;PRB / PP / PTB / PSL / PTN / PPS / DEM / PSDC / PHS / PMN / PTC / PSB / PRP / PSDB;2º Suplente Senador;Masculino;1963-04-07;Casado(a);Vereador;Superior completo;Brasileira nata;ARARUNA / PR;;Não eleito;147812010;619-28.2010.6.16.0000;12.241.657/0001-20;
CELSO LUIZ CARAZZAI DE MATOS;CARAZZAI;280;APTO (Substituto majoritário pendente de julgamento);PRTB;28;-;-;2º Suplente Senador;Masculino;1967-06-26;Solteiro(a);Policial Militar;Superior completo;Brasileira nata;CORNÉLIO PROCÓPIO / PR;;Não eleito;226322010;2307-25.2010.6.16.0000;;
EDSON LUIZ CASAGRANDE;CASAGRANDE;456;APTO (Deferido);DEM;25;COLIGAÇÃO NOVO PARANÁ;PRB / PP / PTB / PSL / PTN / PPS / DEM / PSDC / PHS / PMN / PTC / PSB / PRP / PSDB;2º Suplente Senador;Masculino;1969-03-27;Casado(a);Empresário;Superior completo;Brasileira nata;ARVOREZINHA / RS;;Não eleito;170012010;1611-86.2010.6.16.0000;12.311.763/0001-32;
ELIEL VIEIRA AGUIAR;ELIEL AGUIAR;280;INAPTO (Renúncia);PRTB;28;-;-;2º Suplente Senador;Masculino;1962-04-17;Casado(a);Serventuário de Justiça;Superior completo;Brasileira nata;CURITIBA / PR;;Não eleito;145922010;554-33.2010.6.16.0000;12.177.121/0001-92;
ELISIO EDUARDO MARQUES;ELISIO MARQUES;211;APTO (Deferido);PCB;21;-;-;2º Suplente Senador;Masculino;1945-11-19;Casado(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;CURITIBA / PR;;Não eleito;145512010;1430-85.2010.6.16.0000;12.496.805/0001-57;
JOAO FLAUSINO DIAS;JOAO FLAUSINO;287;APTO (Deferido);PRTB;28;-;-;2º Suplente Senador;Masculino;1952-06-28;Casado(a);Operador de Equipamento de Rádio, Televisão, Som e Cinema;Ensino Fundamental completo;Brasileira nata;CURITIBA / PR;;Não eleito;145932010;556-03.2010.6.16.0000;12.173.058/0001-16;
LUÍS GUILHERME GOMES MUSSI;LUIS MUSSI;151;APTO (Deferido);PMDB;15;A UNIÃO FAZ UM NOVO AMANHÃ;PDT / PT / PMDB / PSC / PR / PC do B;2º Suplente Senador;Masculino;1953-09-26;Casado(a);Diretor de Empresas;Superior incompleto;Brasileira nata;CURITIBA / PR;;Eleito;146212010;915-50.2010.6.16.0000;12.176.415/0001-08;
MÁRCIA FARHERR;MÁRCIA;160;APTO (Deferido);PSTU;16;-;-;2º Suplente Senador;Feminino;1971-05-31;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;TOLEDO / PR;;Não eleito;137422010;514-51.2010.6.16.0000;12.180.500/0001-31;
MARIO CELSO PUGLIELLI DA CUNHA;MARIO CELSO;111;APTO (Deferido);PSB;40;COLIGAÇÃO NOVO PARANÁ;PRB / PP / PTB / PSL / PTN / PPS / DEM / PSDC / PHS / PMN / PTC / PSB / PRP / PSDB;2º Suplente Senador;Masculino;1946-07-17;Casado(a);Jornalista e Redator;Superior incompleto;Brasileira nata;CURITIBA / PR;;Não eleito;189032010;1725-25.2010.6.16.0000;12.378.533/0001-90;
MAURICIO VITOR LEONE DE SOUZA;MAURICIO VITOR;430;APTO (Deferido);PV;43;-;-;2º Suplente Senador;Masculino;1966-10-06;Divorciado(a);Advogado;Superior completo;Brasileira nata;PARANAGUA / PR;;Não eleito;138702010;530-05.2010.6.16.0000;12.178.590/0001-26;
MYRIAN DO PILAR OLIVEIRA ROSA;MYRIAN;505;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Feminino;1958-08-28;Casado(a);Advogado;Superior completo;Brasileira nata;CURITIBA / PR;;Não eleito;143062010;557-85.2010.6.16.0000;12.175.870/0001-80;
PAULO BEARZOTI FILHO;PAULO BEARZOTI;500;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1965-06-07;Separado(a) judicialmente;Professor de Ensino Médio;Superior completo;Brasileira nata;CAMPINAS / SP;;Não eleito;161142010;1571-07.2010.6.16.0000;12.269.993/0001-80;
PEDRO IRNO TONELLI;TONELLI;131;APTO (Deferido);PT;13;A UNIÃO FAZ UM NOVO AMANHÃ;PDT / PT / PMDB / PSC / PR / PC do B;2º Suplente Senador;Masculino;1951-05-29;Casado(a);Eletricista e Assemelhados;Ensino Fundamental completo;Brasileira nata;ENCANTADO / RS;;Eleito;146222010;917-20.2010.6.16.0000;12.172.975/0001-86;
VERA HELENA TEIXEIRA;VERA;280;INAPTO (Renúncia);PRTB;28;-;-;2º Suplente Senador;Feminino;1961-08-12;Divorciado(a);Arquiteto;Superior completo;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;178922010;1671-59.2010.6.16.0000;12.490.773/0001-82;
VICENTE CARLOS DA SILVA;VICENTE CARLOS;707;APTO (Deferido);PT do B;70;-;-;2º Suplente Senador;Masculino;1939-07-19;Casado(a);Representante Comercial;Superior incompleto;Brasileira nata;ITAJAÍ / SC;;Não eleito;147622010;523-13.2010.6.16.0000;12.167.684/0001-08;
