Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ANTÔNIO JOSÉ BISSANI;BISSANI;112;APTO (Deferido);PP;11;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;2º Suplente Senador;Masculino;1943-10-06;Casado(a);Empresário;Ensino Fundamental incompleto;Brasileira nata;ÁGUA DOCE / SC;;Não eleito;509362010;364502010;;
ANTONIO MARCOS GAVAZZONI;ANTONIO GAVAZZONI;155;APTO (Deferido);DEM;25;AS PESSOAS EM PRIMEIRO LUGAR;PTB / PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;2º Suplente Senador;Masculino;1974-08-20;Casado(a);Advogado;Superior completo;Brasileira nata;XANXERÊ / SC;;Eleito;370372010;370372010;12.191.308/0001-40;
ATHOS DE ALMEIDA LOPES;ATHOS;456;APTO (Deferido);PMDB;15;AS PESSOAS EM PRIMEIRO LUGAR;PTB / PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;2º Suplente Senador;Masculino;1948-09-11;Viúvo(a);Agrônomo;Superior completo;Brasileira nata;FLORIANÓPOLIS / SC;;Eleito;404932010;404932010;12.256.047/0001-08;
CESAR ANTONIO DE SOUZA;CESAR SOUZA;456;INAPTO (Renúncia);DEM;25;AS PESSOAS EM PRIMEIRO LUGAR;PTB / PMDB / PSL / PSC / PPS / DEM / PTC / PRP / PSDB;2º Suplente Senador;Masculino;1957-11-08;Separado(a) judicialmente;Empresário;Ensino Médio incompleto;Brasileira nata;RIO DO SUL / SC;;Eleito;370382010;;12.190.361/0001-27;
CESAR DE MEDEIROS REGIS;CESAR REGIS;500;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1950-05-29;Divorciado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;JOACABA / SC;;Não eleito;365332010;365332010;12.221.688/0001-19;
CLAUDEMIR CESCA;CLAUDEMIR CESCA;130;APTO (Deferido);PR;22;A FAVOR DE SANTA CATARINA;PRB / PT / PR / PSDC / PRTB / PHS / PSB / PC do B;2º Suplente Senador;Masculino;1953-11-17;Casado(a);Empresário;Superior completo;Brasileira nata;ARROIO TRINTA / SC;;Não eleito;376362010;376362010;12.217.461/0001-08;
GENÉSIO MOISÉS SPILLERE;GENÉSIO;111;APTO (Deferido);PP;11;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;2º Suplente Senador;Masculino;1952-09-25;Casado(a);Empresário;Superior completo;Brasileira nata;NOVA VENEZA / SC;;Não eleito;364532010;8935-08.2010.6.24.0000;12.214.251/0001-58;
LUIZ DIVONSIR SCHIMOGUIRI;LUIZ SHIMOGUIRI;112;INAPTO (Renúncia);PP;11;ALIANÇA COM SANTA CATARINA;PP / PDT / PT do B;2º Suplente Senador;Masculino;1958-05-05;Separado(a) judicialmente;Produtor Agropecuário;Superior incompleto;Brasileira nata;CONTENDA / PR;;Não eleito;364542010;364542010;12.174.765/0001-27;
LUIZ ROBERTO DE QUADROS;CORONEL QUADROS;234;APTO (Indeferido com recurso);PPS;23;-;-;2º Suplente Senador;Masculino;1957-10-06;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;JOAÇABA / SC;;Indeferido com Recurso;384852010;384852010;12.190.491/0001-60;
LUIZ SÉRGIO DE ASSIS PEREIRA;LUIZ SÉRGIO;430;APTO (Deferido);PV;43;-;-;2º Suplente Senador;Masculino;1954-10-02;Casado(a);Empresário;Superior completo;Brasileira nata;BLUMENAU / SC;;Não eleito;380312010;380312010;12.311.752/0001-52;
MARCELO BATISTA SERAFIM DOS SANTOS;MARCELO SERAFIM;160;APTO (Indeferido com recurso);PSTU;16;-;-;2º Suplente Senador;Masculino;1966-11-20;Separado(a) judicialmente;Servidor Público Estadual;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Indeferido com Recurso;365202010;365202010;12.177.801/0001-06;
ODAIR LUIZ ANDREANI;ODAIR ANDREANI;650;APTO (Deferido);PT;13;A FAVOR DE SANTA CATARINA;PRB / PT / PR / PSDC / PRTB / PHS / PSB / PC do B;2º Suplente Senador;Masculino;1957-05-29;Casado(a);Advogado;Superior completo;Brasileira nata;ASCURRA / SC;;Não eleito;376372010;9315-31.2010.6.24.0000;12.198.989/0001-79;
TARCISIO EBERHARDT;TARCISIO;161;APTO (Deferido);PSTU;16;-;-;2º Suplente Senador;Masculino;1956-11-23;Casado(a);Comerciante;Superior incompleto;Brasileira nata;GASPAR / SC;;Não eleito;365212010;8836-38.2010.6.24.0000;12.205.992/0001-72;
