Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
AIRTON SANDOVAL SANTANA;AIRTON SANDOVAL;151;INAPTO (Cancelado);PMDB;15;UNIDOS POR SÃO PAULO;PMDB / PSC / PPS / DEM / PHS / PMN / PSDB;2º Suplente Senador;Masculino;1943-06-21;Casado(a);Advogado;Superior completo;Brasileira nata;ITIRAPUÃ / SP;;;432292010;3022-88.2010.6.26.0000;12.172.175/0001-65;
ANA PAULA PASCARELLI DOS SANTOS;PAULA PASCARELLI;160;APTO (Deferido);PSTU;16;-;-;2º Suplente Senador;Feminino;1968-08-27;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;SÃO PAULO / SP;;Não eleito;443012010;3353-70.2010.6.26.0000;12.170.747/0001-77;
DEVANIR MORARI;DEVANIR MORARI;500;APTO (Deferido);PSOL;50;-;-;2º Suplente Senador;Masculino;1953-11-12;Separado(a) judicialmente;Advogado;Superior completo;Brasileira nata;ARAPONGAS / PR;;Não eleito;444692010;3925-26.2010.6.26.0000;12.179.300/0001-69;
GILBERTO NASCIMENTO SILVA;GILBERTO;451;INAPTO (Renúncia);PSDB;45;UNIDOS POR SÃO PAULO;PMDB / PSC / PPS / DEM / PHS / PMN / PSDB;2º Suplente Senador;Masculino;1956-07-09;Casado(a);Advogado;Superior completo;Brasileira nata;SAO PAULO / SP;;Eleito;432302010;3023-73.2010.6.26.0000;12.179.257/0001-31;
LUIZ ANTONIO PIZZOLATO;PIZZOLATO;360;APTO (Deferido);PTC;36;Em Defesa do Cidadão;PP / PTC;2º Suplente Senador;Masculino;1958-04-14;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;SÃO PAULO / SP;;Não eleito;442802010;3560-69.2010.6.26.0000;12.172.506/0001-67;
LUIZ CARLOS GRECCO;LUIZ CARLOS GRECCO;111;APTO (Deferido);PP;11;Em Defesa do Cidadão;PP / PTC;2º Suplente Senador;Masculino;1946-05-28;Casado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;RIBEIRÃO PIRES / SP;;;442812010;3561-54.2010.6.26.0000;12.169.708/0001-50;
LUIZ MANOEL DA SILVA;LUIZ DA PADARIA;212;INAPTO (Indeferido);PCB;21;-;-;2º Suplente Senador;Masculino;1945-03-18;Viúvo(a);Comerciante;Ensino Fundamental completo;Brasileira nata;RECIFE / PE;;Indeferido com Recurso;511082010;5671-26.2010.6.26.0000;12.241.651/0001-52;
MANOEL MESSIAS PEREIRA;MANOEL MESSIAS;211;INAPTO (Indeferido);PCB;21;-;-;2º Suplente Senador;Masculino;1955-08-16;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;SÃO JOSE DO RIO PRETO / SP;;;458832010;5069-35.2010.6.26.0000;12.325.730/0001-41;
MARA REGINA PRADO;MARA PRADO;430;APTO (Deferido);PV;43;-;-;2º Suplente Senador;Feminino;1961-11-12;Divorciado(a);Comunicólogo;Superior completo;Brasileira nata;SÃO PAULO / SP;;Não eleito;451022010;3668-98.2010.6.26.0000;12.167.824/0001-30;
MARTA MARIA FREIRE DA COSTA;MARTA COSTA;451;APTO (Deferido);DEM;25;UNIDOS POR SÃO PAULO;PMDB / PSC / PPS / DEM / PHS / PMN / PSDB;2º Suplente Senador;Feminino;1956-10-30;Casado(a);Vereador;Superior completo;Brasileira nata;SAO PAULO / SP;;Eleito;699232010;6407-44.2010.6.26.0000;12.719.150/0001-39;
