Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADECIO SARTORI;ADECIO;12710;APTO (Deferido);PDT;12;-;-;Deputado Distrital;Masculino;1949-10-11;Casado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;TAMBAÚ / SP;;Suplente;187842010;1303-02.2010.6.07.0000;12.167.328/0001-86;
ADEILSE ROCHA SANTOS;ADEILSE ROCHA;14999;APTO (Deferido);PTB;14;UM NOVO CAMINHO PTB, PRB;PRB / PTB;Deputado Distrital;Masculino;1963-09-11;Divorciado(a);Outros;Ensino Médio completo;Brasileira nata;RUBIM / MG;;Suplente;193872010;1732-66.2010.6.07.0000;12.206.332/0001-06;
ADILSON AZEVEDO BARRETO;ADILSON BARRETO;43001;APTO (Deferido);PV;43;-;-;Deputado Distrital;Masculino;1958-10-24;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;CAMPOS DOS GOYTACAZES / RJ;;Não eleito;195292010;2083-39.2010.6.07.0000;12.204.842/0001-44;
ADILSON OLIVEIRA GOMES;ADILSON GOMES;28513;APTO (Deferido);PRTB;28;A FORÇA DO POVO;PSC / PRTB;Deputado Distrital;Masculino;1971-01-08;Casado(a);Motorista de Veículos de Transporte de Carga;Ensino Médio completo;Brasileira nata;BRASÍLIA / DF;;Suplente;194572010;1927-51.2010.6.07.0000;12.199.240/0001-46;
ADOLPHO LUIZ BEZERRA KESSELRING;ADOLPHO FUÍCA;43043;APTO (Deferido);PV;43;-;-;Deputado Distrital;Masculino;1961-01-07;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;GUARATINGUETÁ / SP;;Não eleito;195312010;2076-47.2010.6.07.0000;12.204.305/0001-02;
AGACIEL DA SILVA MAIA;AGACIEL MAIA;36123;APTO (Deferido);PTC;36;NOVO CAMINHO;PTC / PRP;Deputado Distrital;Masculino;1958-07-21;Casado(a);Economista;Superior completo;Brasileira nata;BREJO DA CRUZ / PB;;Eleito;189092010;1491-92.2010.6.07.0000;12.172.434/0001-58;
AGENILDO NERI DA SILVA;AGENILDO NERI;17357;APTO (Deferido);PSL;17;QUERO MUDAR;PSL / PTN;Deputado Distrital;Masculino;1969-08-23;Casado(a);Outros;Superior completo;Brasileira nata;SANTA MARIA DA VITORIA / BA;;Suplente;188532010;1443-36.2010.6.07.0000;12.177.460/0001-79;
AGUINALDO LELIS;AGUINALDO LELIS;11211;INAPTO (Indeferido);PP;11;MOBILIZAÇÃO PROGRESSISTA;PP / PMN;Deputado Distrital;Masculino;1946-09-26;Casado(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;INHUMAS / GO;;;196572010;2119-81.2010.6.07.0000;;
AILTON AGUIAR BARBOSA;AILTON AGUIAR;17123;APTO (Deferido);PSL;17;QUERO MUDAR;PSL / PTN;Deputado Distrital;Masculino;1973-07-29;Solteiro(a);Empresário;Superior incompleto;Brasileira nata;BOQUEIRAO / PB;;Suplente;188542010;1439-96.2010.6.07.0000;12.179.083/0001-07;
AILTON ANTONIO ENEAS;PR. AILTON ENEAS;44112;APTO (Deferido);PRP;44;NOVO CAMINHO;PTC / PRP;Deputado Distrital;Masculino;1960-04-03;Casado(a);Técnico Contabilidade, Estatística, Economia Doméstica e Administração;Superior completo;Brasileira nata;FORMOSA / GO;;Suplente;189102010;1546-43.2010.6.07.0000;12.198.761/0001-89;
