Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADALFONSO DE OLIVEIRA LIMA;SAN;27456;APTO (Deferido);PSDC;27;FRENTE SOCIAL TRABALHISTA CRISTÃ;PSDC / PTC;Deputado Estadual;Masculino;1967-08-20;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;BRASILEIA / AC;;Suplente;58072010;698-24.2010.6.01.0000;12.177.454/0001-11;
ADALTON MOREIRA DE OLIVEIRA;ADALTON OLIVEIRA;43013;APTO (Deferido);PV;43;FRENTE REPUBLICANA TRABALHISTA VERDE;PRB / PTB / PV / PRP;Deputado Estadual;Masculino;1979-01-31;Solteiro(a);Bancário e Economiário;Ensino Médio completo;Brasileira nata;PIMENTA BUENO / RO;;Suplente;56872010;773-63.2010.6.01.0000;12.178.883/0001-03;
ADAMOR DAS MERCES PEREIRA;ADAMOR DAS MERCÊS;65111;APTO (Deferido);PC do B;65;-;-;Deputado Estadual;Masculino;1952-08-12;Divorciado(a);Vereador;Ensino Fundamental completo;Brasileira nata;BOCA DO ACRE / AM;;Suplente;54052010;525-97.2010.6.01.0000;12.170.917/0001-13;
ADELINO LIMA DE MELO;ADELINO;40444;APTO (Deferido);PSB;40;-;-;Deputado Estadual;Masculino;1960-12-14;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;RIO BRANCO / AC;;Suplente;53392010;461-87.2010.6.01.0000;12.170.761/0001-70;
AGENOR GERONIMO DE SOUZA;AGENOR GERONIMO;50000;INAPTO (Indeferido);PSOL;50;-;-;Deputado Estadual;Masculino;1962-04-25;Solteiro(a);Servidor Público Estadual;Superior completo;Brasileira nata;RIO BRANCO / AC;;;56882010;765-86.2010.6.01.0000;12.171.899/0001-94;
AGNUS AGACIS DE LIMA;AGNUS;27500;APTO (Deferido);PSDC;27;FRENTE SOCIAL TRABALHISTA CRISTÃ;PSDC / PTC;Deputado Estadual;Masculino;1984-02-29;Casado(a);Outros;Ensino Médio completo;Brasileira nata;PORTO VELHO / RO;;Suplente;58082010;699-09.2010.6.01.0000;12.177.973/0001-80;
ALAN HUDSON GANUM AREAL;ALAN AREAL;40777;APTO (Deferido);PSB;40;-;-;Deputado Estadual;Masculino;1978-01-28;Casado(a);Médico;Superior completo;Brasileira nata;SENA MADUREIRA / AC;;Suplente;53402010;464-42.2010.6.01.0000;12.178.746/0001-79;
ALBERCI JOSÉ BRAS DE ANDRADE;ALBERCI BRAS;14455;APTO (Deferido);PTB;14;FRENTE REPUBLICANA TRABALHISTA VERDE;PRB / PTB / PV / PRP;Deputado Estadual;Masculino;1942-05-18;Casado(a);Almoxarife;Ensino Médio completo;Brasileira nata;TARAUACÁ / AC;;Suplente;56892010;776-18.2010.6.01.0000;12.198.400/0001-32;
ALCILENE CUNHA DE SOUZA;ALCILENE CUNHA;45690;APTO (Deferido);PSDB;45;LIBERDADE E PRODUZIR PARA EMPREGAR II;PSL / PSDB;Deputado Estadual;Feminino;1970-03-01;Divorciado(a);Produtor Agropecuário;Ensino Fundamental completo;Brasileira nata;BRASILEIA / AC;;Suplente;54972010;580-48.2010.6.01.0000;12.175.913/0001-28;
ALDELICE GOMES FERREIRA;ALDELICE FERREIRA;28155;INAPTO (Renúncia);PRTB;28;COLIGAÇÃO PODER POPULAR ACREANO;PRTB / PSOL;Deputado Estadual;Feminino;1987-07-10;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;XAPURI / AC;;;60572010;918-22.2010.6.01.0000;12.242.504/0001-05;
ALEXSANDRO DANIEL BARROS;ALEX BARROS;11223;APTO (Deferido);PP;11;-;-;Deputado Estadual;Masculino;1976-01-02;Casado(a);Administrador;Superior completo;Brasileira nata;TARAUACA / AC;;Suplente;53762010;496-47.2010.6.01.0000;12.175.905/0001-81;
ALFREDO BEZERRA DA SILVA;ALFREDO BEZERRA;14236;INAPTO (Indeferido);PTB;14;FRENTE REPUBLICANA TRABALHISTA VERDE;PRB / PTB / PV / PRP;Deputado Estadual;Masculino;1934-11-20;Casado(a);Aposentado (Exceto Servidor Público);Ensino Fundamental completo;Brasileira nata;HUMAITA / AC;;;56902010;778-85.2010.6.01.0000;12.169.300/0001-88;
ALONSO GOMES DE ANDRADE;ALONSO ANDRADE;45233;APTO (Deferido);PSDB;45;LIBERDADE E PRODUZIR PARA EMPREGAR II;PSL / PSDB;Deputado Estadual;Masculino;1968-05-06;Divorciado(a);Vereador;Ensino Médio incompleto;Brasileira nata;RIO BANCO / AC;;Suplente;54982010;581-33.2010.6.01.0000;12.175.575/0001-24;
ALTEMAR VIRGINIO DA SILVA;ALTEMAR;11011;INAPTO (Renúncia);PP;11;-;-;Deputado Estadual;Masculino;1970-04-15;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;CRUZEIRO DO SUL / AC;;;53772010;497-32.2010.6.01.0000;12.175.301/0001-35;
ALZENIR GOMES DA SILVA;NEGA;28444;APTO (Deferido);PRTB;28;COLIGAÇÃO PODER POPULAR ACREANO;PRTB / PSOL;Deputado Estadual;Feminino;1971-05-30;Casado(a);Outros;Ensino Médio completo;Brasileira nata;LABREA / AM;;Não eleito;60312010;908-75.2010.6.01.0000;12.204.651/0001-82;
ANA CLAUDIA BRITO DE CARVALHO SILVA;ANA CLAUDIA;28721;APTO (Deferido);PRTB;28;COLIGAÇÃO PODER POPULAR ACREANO;PRTB / PSOL;Deputado Estadual;Feminino;1974-09-17;Casado(a);Outros;Superior incompleto;Brasileira nata;RIO BRANCO / AC;;Não eleito;60562010;917-37.2010.6.01.0000;12.204.653/0001-71;
ANDRÉ LUIS TAVARES DA CRUZ MAIA;ANDRÉ MAIA;13000;APTO (Deferido);PT;13;FPA III;PDT / PT / PTN / PR / PHS;Deputado Estadual;Masculino;1978-09-14;Solteiro(a);Odontólogo;Superior completo;Brasileira nata;RIO BRANCO / AC;;Suplente;56002010;694-84.2010.6.01.0000;12.180.883/0001-48;
ANDRE ROBERTO ROGERIO VALE DOS SANTOS;ANDRE DA DROGA VALE;33444;APTO (Deferido);PMN;33;LIBERDADE, PRODUZIR PARA EMPREGAR III;PSC / PPS / DEM / PMN / PT do B;Deputado Estadual;Masculino;1975-10-20;Casado(a);Farmacêutico;Superior incompleto;Brasileira nata;RIO BRANCO / AC;;Suplente;57382010;751-05.2010.6.01.0000;12.204.866/0001-01;
ANSELMO ALFREDO FORNECK;ANSELMO FORNECK;43043;APTO (Deferido);PV;43;FRENTE REPUBLICANA TRABALHISTA VERDE;PRB / PTB / PV / PRP;Deputado Estadual;Masculino;1956-09-17;Divorciado(a);Antropólogo;Superior completo;Brasileira nata;ITAPIRANGA / SC;;Suplente;56912010;771-93.2010.6.01.0000;12.175.613/0001-49;
ANTONIA EDNEIA DA SILVA TOME;EDNEIA CORRETORA;36122;APTO (Deferido);PTC;36;FRENTE SOCIAL TRABALHISTA CRISTÃ;PSDC / PTC;Deputado Estadual;Feminino;1982-07-08;Solteiro(a);Corretor de Imóveis, Seguros, Títulos e Valores;Superior completo;Brasileira nata;CRUZEIRO DO SUL / AC;;Suplente;58092010;700-91.2010.6.01.0000;12.204.974/0001-76;
ANTONIA FRANÇA DE OLIVEIRA VIEIRA;TOINHA VIEIRA;45111;APTO (Deferido);PSDB;45;LIBERDADE E PRODUZIR PARA EMPREGAR II;PSL / PSDB;Deputado Estadual;Feminino;1961-01-10;Casado(a);Servidor Público Municipal;Ensino Fundamental completo;Brasileira nata;BOCA DO ACRE / AM;;Eleito;54992010;582-18.2010.6.01.0000;12.171.900/0001-80;
ANTONIA MARIA OLIVEIRA DE SOUZA;TOINHA SOUZA;11888;APTO (Deferido);PP;11;-;-;Deputado Estadual;Feminino;1966-03-05;Viúvo(a);Comerciante;Ensino Médio completo;Brasileira nata;RIO BRANCO / AC;;Suplente;53782010;498-17.2010.6.01.0000;12.175.580/0001-37;
ANTONIA ROJAS SALES;ANTONIA SALES;15122;APTO (Deferido);PMDB;15;-;-;Deputado Estadual;Feminino;1954-06-13;Casado(a);Deputado;Superior completo;Brasileira (naturalizada);CRUZEIRO DO SUL / AC;;Eleito;53122010;437-59.2010.6.01.0000;12.177.919/0001-34;
ANTONIO BERNARDO DE LIMA;ANTONIO BERNARDO;27110;APTO (Deferido);PSDC;27;FRENTE SOCIAL TRABALHISTA CRISTÃ;PSDC / PTC;Deputado Estadual;Masculino;1966-02-18;Casado(a);Agricultor;Ensino Médio completo;Brasileira nata;TARAUACA / AC;;Suplente;58102010;701-76.2010.6.01.0000;12.175.900/0001-59;
ANTONIO CARLOS OLIMPIO FELISBERTO;CORONEL CARLOS;25444;APTO (Deferido);DEM;25;LIBERDADE, PRODUZIR PARA EMPREGAR III;PSC / PPS / DEM / PMN / PT do B;Deputado Estadual;Masculino;1957-03-24;Casado(a);Advogado;Superior incompleto;Brasileira nata;RIO BRANCO / AC;;Suplente;57392010;753-72.2010.6.01.0000;12.169.804/0001-06;
ANTONIO CELIO SARAIVA DOS SANTOS;CELIO SANTOS;28777;APTO (Deferido);PRTB;28;COLIGAÇÃO PODER POPULAR ACREANO;PRTB / PSOL;Deputado Estadual;Masculino;1971-02-08;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;TARAUACA / AC;;Não eleito;59092010;875-85.2010.6.01.0000;12.190.684/0001-10;
ANTONIO DA SILVA DE SOUZA;ANTONIO SILVA;40007;APTO (Deferido);PSB;40;-;-;Deputado Estadual;Masculino;1973-11-17;Solteiro(a);Outros;Ensino Fundamental completo;Brasileira nata;FEIJÓ / AC;;Suplente;53412010;467-94.2010.6.01.0000;12.177.463/0001-02;
ANTONIO DA SILVA MACHADO;ANTONIO MACHADO;28120;INAPTO (Renúncia);PRTB;28;COLIGAÇÃO PODER POPULAR ACREANO;PRTB / PSOL;Deputado Estadual;Masculino;1961-04-26;Casado(a);Outros;Ensino Fundamental incompleto;Brasileira nata;TARAUCA / AC;;;59992010;900-98.2010.6.01.0000;12.204.190/0001-48;
ANTONIO DA SILVA OLIVEIRA;DA SILVA;27111;INAPTO (Indeferido);PSDC;27;FRENTE SOCIAL TRABALHISTA CRISTÃ;PSDC / PTC;Deputado Estadual;Masculino;1967-10-23;Solteiro(a);Pedagogo;Superior completo;Brasileira nata;FEIJO / AC;;;58112010;702-61.2010.6.01.0000;12.175.033/0001-51;
ANTONIO DELORGEM NERIS CAMPOS;DELORGEM CAMPOS;40500;APTO (Deferido);PSB;40;-;-;Deputado Estadual;Masculino;1953-10-10;Casado(a);Deputado;Ensino Médio completo;Brasileira nata;BRASILÉIA / AC;;Suplente;53422010;470-49.2010.6.01.0000;12.198.138/0001-26;
ANTONIO FERREIRA DA SILVA;CEREZO;27700;APTO (Deferido);PSDC;27;FRENTE SOCIAL TRABALHISTA CRISTÃ;PSDC / PTC;Deputado Estadual;Masculino;1962-02-20;Casado(a);Administrador;Superior completo;Brasileira nata;XAPURI / AC;;Suplente;58122010;703-46.2010.6.01.0000;12.171.796/0001-24;
ANTONIO GOMES DA SILVA;ANTÔNIO GOMES;43789;APTO (Deferido);PV;43;FRENTE REPUBLICANA TRABALHISTA VERDE;PRB / PTB / PV / PRP;Deputado Estadual;Masculino;1966-02-14;Casado(a);Empresário;Superior completo;Brasileira nata;SENA MADUREIRA / AC;;Suplente;56922010;768-41.2010.6.01.0000;12.175.908/0001-15;
ANTONIO JAIRO COSTA ARAUJO;JAIRO;33256;APTO (Deferido);PMN;33;LIBERDADE, PRODUZIR PARA EMPREGAR III;PSC / PPS / DEM / PMN / PT do B;Deputado Estadual;Masculino;1973-06-07;Casado(a);Comerciante;Ensino Fundamental completo;Brasileira nata;CRUZEIRO DO SUL / AC;;Suplente;57402010;755-42.2010.6.01.0000;12.167.147/0001-50;
ANTONIO JOSE CORREIA DANIEL;DANIEL DO SINTESAC;45333;APTO (Deferido);PSDB;45;LIBERDADE E PRODUZIR PARA EMPREGAR II;PSL / PSDB;Deputado Estadual;Masculino;1969-02-10;Solteiro(a);Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);Ensino Médio completo;Brasileira nata;TARAUACÁ / AC;;Suplente;55002010;583-03.2010.6.01.0000;12.175.302/0001-80;
ANTONIO JOSE DA SILVA OLIVEIRA;NEGUINHO GARCOM;33888;APTO (Deferido);PMN;33;LIBERDADE, PRODUZIR PARA EMPREGAR III;PSC / PPS / DEM / PMN / PT do B;Deputado Estadual;Masculino;1972-04-16;Casado(a);Garçom;Ensino Fundamental completo;Brasileira nata;TARAUACA / AC;;Suplente;57412010;757-12.2010.6.01.0000;12.204.736/0001-60;
ANTONIO JOSE SOUZA DOS SANTOS;TOINHO DO BEZERRA;65444;APTO (Deferido);PC do B;65;-;-;Deputado Estadual;Masculino;1969-01-05;Solteiro(a);Administrador;Superior completo;Brasileira nata;RIO BRANCO / AC;;Suplente;54062010;526-82.2010.6.01.0000;12.175.925/0001-52;
ANTONIO JOSENILDO INACIO DA SILVA;JOSA DA FARMACIA;19019;APTO (Deferido);PTN;19;FPA III;PDT / PT / PTN / PR / PHS;Deputado Estadual;Masculino;1973-02-04;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;CRUZEIRO DO SUL / AC;;Suplente;59212010;876-70.2010.6.01.0000;12.199.351/0001-52;
