Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABDALA HABIB FRAXE JUNIOR;ABDALA;19000;APTO (Deferido);PTN;19;UNIDOS PELO AMAZONAS;PTN / PTC;Deputado Estadual;Masculino;1969-09-19;Casado(a);Economista;Superior completo;Brasileira nata;BOA VISTA / RR;;Eleito;157642010;1728-13.2010.6.04.0000;12.175.498/0001-02;
ABEL DE FRANCA PEDRACA FILHO;ABEL PEDRACA;12633;APTO (Deferido);PDT;12;O AMAZONAS MELHOR PARA TODOS 2;PDT / PT / PSL / PSDC;Deputado Estadual;Masculino;1958-04-23;Casado(a);Outros;Superior completo;Brasileira nata;MANICORÉ / AM;;Suplente;153492010;1606-97.2010.6.04.0000;12.170.860/0001-52;
ABRAHAM LINCOLN DIB BASTOS;DR ABRAHAM LINCOLN;23123;APTO (Deferido);PPS;23;O Amazonas de Todos Nós;PPS / PV / PSDB;Deputado Estadual;Masculino;1964-05-31;Casado(a);Médico;Superior completo;Brasileira nata;CODAJAS / AM;;Suplente;163222010;2091-97.2010.6.04.0000;12.198.930/0001-80;
ADALBERTO CORREA SOARES;ADALBERTO SOARES;25888;APTO (Deferido);DEM;25;DEMOCRACIA E TRABALHO;PTB / DEM / PRP;Deputado Estadual;Masculino;1956-08-23;Casado(a);Eletricista e Assemelhados;Ensino Médio completo;Brasileira nata;MANAUS / AM;;Suplente;159052010;1762-85.2010.6.04.0000;12.171.846/0001-73;
ADALMIR DURVAL BRITO RAMOS;DUDA RAMOS;22777;APTO (Deferido);PR;22;O AMAZONAS MELHOR PARA TODOS 1;PR / PSB / PT do B;Deputado Estadual;Masculino;1974-05-19;Casado(a);Empresário;Superior completo;Brasileira nata;BENJAMIN CONSTANT-AM / AM;;Suplente;155742010;1681-39.2010.6.04.0000;12.166.410/0001-96;
ADAMASTOR ONETY DE FIGUEIREDO NETO;ADAMASTOR FIGUEIREDO;12789;APTO (Deferido);PDT;12;O AMAZONAS MELHOR PARA TODOS 2;PDT / PT / PSL / PSDC;Deputado Estadual;Masculino;1969-06-08;Casado(a);Outros;Superior completo;Brasileira nata;MANAUS / AM;;Suplente;153502010;1607-82.2010.6.04.0000;12.175.268/0001-43;
ADELSON DOS SANTOS;ADELSON SANTOS;45345;APTO (Deferido com recurso);PSDB;45;O Amazonas de Todos Nós;PPS / PV / PSDB;Deputado Estadual;Masculino;1951-09-10;Casado(a);Protético;Ensino Médio incompleto;Brasileira nata;IRANDUBA / AM;;Suplente;162722010;2048-63.2010.6.04.0000;12.198.122/0001-13;
ADEMAR VIEIRA DA SILVA;ADEMAR BANDEIRA;13663;APTO (Deferido com recurso);PT;13;O AMAZONAS MELHOR PARA TODOS 2;PDT / PT / PSL / PSDC;Deputado Estadual;Masculino;1968-02-13;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;MANAUS / AM;;Suplente;153512010;1608-67.2010.6.04.0000;12.175.131/0001-99;
ADEMIR PRINCIPE DE ROJAS;ADEMIR ROJAS;23888;APTO (Deferido);PPS;23;O Amazonas de Todos Nós;PPS / PV / PSDB;Deputado Estadual;Masculino;1977-05-02;Solteiro(a);Outros;Superior incompleto;Brasileira nata;TABATINGA / AM;;Suplente;162852010;2018-28.2010.6.04.0000;12.199.737/0001-64;
ADIMILSON MENEZES PRAXEDES MATOS;MATOS VIGILANTE;43143;APTO (Deferido);PV;43;O Amazonas de Todos Nós;PPS / PV / PSDB;Deputado Estadual;Masculino;1969-12-12;Casado(a);Vigilante;Ensino Médio completo;Brasileira nata;BRAGANCA / PA;;Suplente;165572010;2127-42.2010.6.04.0000;12.204.597/0001-75;
