Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABRAÃO JARDIM MACHADO;ABRAÃO;14125;INAPTO (Cancelado);PTB;14;UNIÃO POPULAR PELA MUDANÇA;PTB / PCB / PSDC / PRTB / PMN / PTC / PRP / PSOL;Deputado Estadual;Masculino;1974-05-10;Casado(a);Policial Militar;Ensino Médio completo;Brasileira nata;MACAPÁ / AP;;;38092010;230-06.2010.6.03.0000;12.178.501/0001-41;
ABRAÃO JARDIM MACHADO;ABRAÃO;14125;APTO (Deferido);PTB;14;UNIÃO PELA MUDANÇA;PTB / PCB / PSDC / PMN / PTC / PRP;Deputado Estadual;Masculino;1974-05-09;Casado(a);Policial Militar;Ensino Médio completo;Brasileira nata;MACAPÁ / AP;;Suplente;45072010;586-98.2010.6.03.0000;12.178.501/0001-41;
ACENILDO FURTADO DA COSTA;ACENILDO COSTA;28096;APTO (Deferido);PRTB;28;-;-;Deputado Estadual;Masculino;1982-03-05;Solteiro(a);Músico;Superior completo;Brasileira nata;MACAPA / AP;;Suplente;41412010;484-76.2010.6.03.0000;12.214.477/0001-59;
ADELSON FERREIRA FIGUEIREDO;ADELSON;70789;APTO (Deferido);PT do B;70;ALIANÇA DEMOCRATA E TRABALHISTA;DEM / PT do B;Deputado Estadual;Masculino;1964-11-17;Casado(a);Outros;Ensino Médio completo;Brasileira nata;SANTO ANTONIO DO TAUA / PA;;Suplente;40432010;321-96.2010.6.03.0000;12.293.368/0001-74;
ADILSON DIAS DA SILVA;ADILSON DIAS;40113;APTO (Deferido);PSB;40;Frente Popular;PT / PSB;Deputado Estadual;Masculino;1952-03-16;Solteiro(a);Pescador;Ensino Médio incompleto;Brasileira nata;ABAETETUBA / PA;;Suplente;37322010;174-70.2010.6.03.0000;12.176.345/0001-80;
ADONIAS DE FREITAS TRAJANO DE SOUZA;ADONIAS TRAJANO;45789;APTO (Deferido);PSDB;45;AMAPA PODE MAIS;PMDB / PPS / PV / PSDB;Deputado Estadual;Masculino;1939-11-16;Casado(a);Policial Civil;Ensino Médio completo;Brasileira nata;AFUA / PA;;Suplente;39762010;373-92.2010.6.03.0000;12.203.800/0001-99;
ADRIANA DO SOCORRO BRITO DE SOUZA;ADRIANA SOUZA;11611;APTO (Deferido);PP;11;AVANÇA AMAPÁ;PP / PC do B;Deputado Estadual;Feminino;1970-08-27;Solteiro(a);Outros;Superior completo;Brasileira nata;MACAPÁ / AP;;Suplente;40912010;434-50.2010.6.03.0000;12.190.588/0001-72;
ADRIELI FERREIRA PORTO;DRICA PORTO;16124;APTO (Deferido);PSTU;16;-;-;Deputado Estadual;Feminino;1986-08-13;Solteiro(a);Outros;Superior incompleto;Brasileira nata;ITAITUBA / PA;;Não eleito;55932010;689-08.2010.6.03.0000;12.496.806/0001-00;
AGENOR BARBOSA CORREA;AGENOR;28555;APTO (Deferido);PRTB;28;-;-;Deputado Estadual;Masculino;1962-03-05;Solteiro(a);Serralheiro;Ensino Fundamental incompleto;Brasileira nata;ANAJAS / PA;;Suplente;41422010;485-61.2010.6.03.0000;12.191.074/0001-31;
AGNALDO BALIEIRO DA GAMA;BALIEIRO;40190;APTO (Deferido);PSB;40;Frente Popular;PT / PSB;Deputado Estadual;Masculino;1970-07-19;Solteiro(a);Policial Militar;Superior completo;Brasileira nata;BREVES / PA;;Eleito;37332010;175-55.2010.6.03.0000;12.176.716/0001-23;
AILDO SANTOS DA SILVA;PROF AILDO SILVA;13789;APTO (Deferido);PT;13;Frente Popular;PT / PSB;Deputado Estadual;Masculino;1966-10-07;Solteiro(a);Professor de Ensino Fundamental;Ensino Médio completo;Brasileira nata;VIGIA / PA;;Suplente;37342010;176-40.2010.6.03.0000;12.174.580/0001-12;
ALAIDE DE MOURA SOUSA;DIDI;28280;INAPTO (Indeferido);PRTB;28;-;-;Deputado Estadual;Feminino;1966-01-18;Casado(a);Dona de Casa;Ensino Médio completo;Brasileira nata;JOÃO LISBOA / MA;;;41432010;486-46.2010.6.03.0000;12.190.127/0001-08;
ALCIR FIGUEIRA MATOS;ALCIR MATOS;12333;APTO (Deferido);PDT;12;-;-;Deputado Estadual;Masculino;1965-01-08;Solteiro(a);Outros;Superior completo;Brasileira nata;BELEM / PA;;Suplente;37602010;300-23.2010.6.03.0000;12.176.092/0001-44;
ALCYR BORGES DE ALMEIDA;ALCYR ALMEIDA;11123;APTO (Deferido);PP;11;AVANÇA AMAPÁ;PP / PC do B;Deputado Estadual;Masculino;1971-12-31;Casado(a);Administrador;Superior completo;Brasileira nata;SANTANA / AP;;Suplente;40922010;410-22.2010.6.03.0000;12.175.330/0001-05;
ALDEBARO DA SILVA AMORAS;AMORAS;14333;APTO (Deferido);PTB;14;UNIÃO PELA MUDANÇA;PTB / PCB / PSDC / PMN / PTC / PRP;Deputado Estadual;Masculino;1956-05-12;Casado(a);Agente Administrativo;Ensino Médio completo;Brasileira nata;AMAPÁ / AP;;Suplente;45082010;587-83.2010.6.03.0000;12.169.524/0001-90;
ALDEBARO DA SILVA AMORAS;AMORAS;14333;INAPTO (Cancelado);PTB;14;UNIÃO POPULAR PELA MUDANÇA;PTB / PCB / PSDC / PRTB / PMN / PTC / PRP / PSOL;Deputado Estadual;Masculino;1956-05-13;Casado(a);Agente Administrativo;Ensino Médio completo;Brasileira nata;AMAPÁ / AP;;;38102010;231-88.2010.6.03.0000;12.169.524/0001-90;
ALDERICO DA SILVA PINHEIRO FILHO;ALDERICO PINHEIRO;14777;INAPTO (Cancelado);PTB;14;UNIÃO POPULAR PELA MUDANÇA;PTB / PCB / PSDC / PRTB / PMN / PTC / PRP / PSOL;Deputado Estadual;Masculino;1980-02-16;Casado(a);Economista;Superior completo;Brasileira nata;MACAPÁ / AP;;;38112010;232-73.2010.6.03.0000;12.177.844/0001-91;
