Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABENILDO SANTANA DOS SANTOS;JUQUINHA DO TRENZINHO;45100;INAPTO (Renúncia);PSDB;45;-;-;Deputado Estadual;Masculino;1977-01-21;Solteiro(a);Outros;Superior incompleto;Brasileira nata;FEIRA DE SANTANA / BA;;;202232010;2840-87.2010.6.05.0000;12.206.480/0001-20;
ABISOLON PEREIRA DE OLIVEIRA;SAGT. ABISOLON;17417;APTO (Deferido);PSL;17;FRENTE DOIS DE JULHO;PSL / PSB;Deputado Estadual;Masculino;1951-08-12;Casado(a);Policial Militar;Ensino Fundamental incompleto;Brasileira nata;ITAPETINGA / BA;;Suplente;204792010;2672-85.2010.6.05.0000;12.189.829/0001-63;
ADAILTON VILAS BOAS DE SOUZA;ADAILTON VILAS BOAS;10800;APTO (Deferido);PRB;10;PRA FRENTE BAHIA;PRB / PP / PDT / PT;Deputado Estadual;Masculino;1954-01-19;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;SALVADOR / BA;;Suplente;206802010;2386-10.2010.6.05.0000;12.198.416/0001-45;
ADALBERTO LELIS FILHO;BETO LELIS;15333;APTO (Deferido com recurso);PMDB;15;MAIS AÇÃO, MAIS BAHIA;PMDB / PSC / PR / PRTB;Deputado Estadual;Masculino;1956-07-19;Casado(a);Agricultor;Ensino Médio incompleto;Brasileira nata;IBIPEBA / BA;;Suplente;212442010;2884-09.2010.6.05.0000;12.206.175/0001-39;
ADALBERTO PEREIRA DE SOUZA;SARGENTO XORROXÓ;44077;INAPTO (Indeferido);PRP;44;LUTA DE UMA BAHIA QUE TEM PRESSA;PPS / PSDC / PMN / PRP / PT do B;Deputado Estadual;Masculino;1961-03-22;Solteiro(a);Policial Militar;Ensino Médio completo;Brasileira nata;JUAZEIRO / BA;;;216682010;2998-45.2010.6.05.0000;12.221.694/0001-76;
ADEMILTON MELO BARBOSA;NEM GRANDE;15127;APTO (Deferido);PMDB;15;MAIS AÇÃO, MAIS BAHIA;PMDB / PSC / PR / PRTB;Deputado Estadual;Masculino;1976-06-21;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;FEIRA DE SANTANA / BA;;Suplente;195712010;2206-91.2010.6.05.0000;12.205.116/0001-46;
ADERBAL FULCO CALDAS;ADERBAL CALDAS;11111;APTO (Deferido);PP;11;PRA FRENTE BAHIA;PRB / PP / PDT / PT;Deputado Estadual;Masculino;1943-03-18;Solteiro(a);Deputado;Ensino Médio completo;Brasileira nata;CRISÓPOLIS / BA;;Eleito;206812010;2387-92.2010.6.05.0000;12.198.001/0001-71;
ADILSON DE SOUZA GUIMARAES SANTOS;ADILSON;20130;APTO (Deferido);PSC;20;MAIS AÇÃO, MAIS BAHIA;PMDB / PSC / PR / PRTB;Deputado Estadual;Masculino;1955-06-05;Solteiro(a);Agente de Saúde e Sanitarista;Ensino Fundamental completo;Brasileira nata;AGUA FRIA / BA;;Suplente;195722010;2207-76.2010.6.05.0000;12.170.870/0001-98;
ADJALBAS PEREIRA SOUSA;ADJALBAS PEREIRA;20633;APTO (Deferido);PSC;20;MAIS AÇÃO, MAIS BAHIA;PMDB / PSC / PR / PRTB;Deputado Estadual;Masculino;1962-04-02;Casado(a);Servidor Público Estadual;Superior incompleto;Brasileira nata;VALENÇA / BA;;Suplente;195732010;2208-61.2010.6.05.0000;12.175.163/0001-94;
ADOLFO EMANUEL MONTEIRO DE MENEZES;ADOLFO MENEZES;44111;APTO (Deferido);PRP;44;LUTA DE UMA BAHIA QUE TEM PRESSA;PPS / PSDC / PMN / PRP / PT do B;Deputado Estadual;Masculino;1958-11-04;Casado(a);Economista;Superior completo;Brasileira nata;CAMPO FORMOSO / BA;;Eleito;185512010;2029-30.2010.6.05.0000;12.171.525/0001-79;
ADOLFO VIANA DE CASTRO NETO;ADOLFO VIANA;45450;APTO (Deferido);PSDB;45;-;-;Deputado Estadual;Masculino;1981-02-02;Solteiro(a);Outros;Superior incompleto;Brasileira nata;SALVADOR / BA;;Eleito;182002010;1904-62.2010.6.05.0000;12.180.622/0001-28;
ADRIANO BARBOSA MEIRELES;ADRIANO MEIRELES;20663;APTO (Deferido);PSC;20;MAIS AÇÃO, MAIS BAHIA;PMDB / PSC / PR / PRTB;Deputado Estadual;Masculino;1968-06-03;Divorciado(a);Vereador;Ensino Médio completo;Brasileira nata;SALVADOR / BA;;Suplente;195742010;2209-46.2010.6.05.0000;12.190.755/0001-85;
ADSON MUNIZ SANTOS;ADSON MUNIZ;12666;APTO (Deferido);PDT;12;PRA FRENTE BAHIA;PRB / PP / PDT / PT;Deputado Estadual;Masculino;1982-11-30;Solteiro(a);Outros;Superior incompleto;Brasileira nata;LIVRAMENTO DE NOSSA SENHORA / BA;;Suplente;206822010;2558-49.2010.6.05.0000;12.197.967/0001-94;
AECIO FLAVIO PERAZZO ROSENDO;DR AECIO;33366;APTO (Deferido);PMN;33;LUTA DE UMA BAHIA QUE TEM PRESSA;PPS / PSDC / PMN / PRP / PT do B;Deputado Estadual;Masculino;1952-07-15;Casado(a);Médico;Superior completo;Brasileira nata;AFAGADOS DA INGAZEIRA / PE;;Suplente;204432010;2829-58.2010.6.05.0000;12.189.688/0001-89;
AGNALDO DIAS DA CONCEIÇÃO;AGNALDO DIAS;10110;APTO (Deferido);PRB;10;PRA FRENTE BAHIA;PRB / PP / PDT / PT;Deputado Estadual;Masculino;1963-04-16;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;SALVADOR / BA;;Suplente;206832010;2388-77.2010.6.05.0000;12.198.882/0001-20;
AGNALDO ROQUE CARDEAL DA SILVA;PROF AGNALDO CARDEAL;17017;APTO (Deferido);PSL;17;FRENTE DOIS DE JULHO;PSL / PSB;Deputado Estadual;Masculino;1980-07-05;Solteiro(a);Professor e Instrutor de Formação Profissional;Ensino Médio completo;Brasileira nata;SALVADOR / BA;;Suplente;264242010;3298-07.2010.6.05.0000;12.318.993/0001-23;
AGRIPINO EDUARDO RAMOS;EDUARDO RAMOS;22778;APTO (Deferido);PR;22;MAIS AÇÃO, MAIS BAHIA;PMDB / PSC / PR / PRTB;Deputado Estadual;Masculino;1925-12-12;Casado(a);Aposentado (Exceto Servidor Público);Ensino Médio completo;Brasileira nata;IPIAÚ / BA;;Suplente;195752010;2210-31.2010.6.05.0000;12.203.772/0001-00;
AILTON DE ALMEIDA BARBOSA;AILTON BARBOSA;70321;APTO (Deferido);PT do B;70;LUTA DE UMA BAHIA QUE TEM PRESSA;PPS / PSDC / PMN / PRP / PT do B;Deputado Estadual;Masculino;1960-09-09;Divorciado(a);Policial Militar;Ensino Médio incompleto;Brasileira nata;SALVADOR / BA;;Suplente;185522010;2030-15.2010.6.05.0000;12.198.689/0001-90;
AILTON DE JESUS DIAS;EUTICO;27239;APTO (Deferido);PSDC;27;LUTA DE UMA BAHIA QUE TEM PRESSA;PPS / PSDC / PMN / PRP / PT do B;Deputado Estadual;Masculino;1955-01-09;Casado(a);Servidor Público Federal;Ensino Médio completo;Brasileira nata;SALVADOR / BA;;Suplente;185532010;2031-97.2010.6.05.0000;12.170.438/0001-05;
AILTON EVANGELISTA;AILTON;23000;APTO (Deferido);PPS;23;LUTA DE UMA BAHIA QUE TEM PRESSA;PPS / PSDC / PMN / PRP / PT do B;Deputado Estadual;Masculino;1964-05-29;Casado(a);Encanador, Soldador, Chapeador e Caldeireiro;Ensino Médio completo;Brasileira nata;ITAJUIPE / BA;;Suplente;185542010;2032-82.2010.6.05.0000;12.175.165/0001-83;
AILTON FERREIRA DE AQUINO;AILTON AQUINO;65888;APTO (Deferido);PC do B;65;-;-;Deputado Estadual;Masculino;1971-09-09;Solteiro(a);Professor de Ensino Fundamental;Superior incompleto;Brasileira nata;VALENTE / BA;;Suplente;199532010;2395-69.2010.6.05.0000;12.178.860/0001-07;
AILTON FLORENCIO DOS SANTOS;AILTON FLORENCIO;13121;APTO (Deferido);PT;13;PRA FRENTE BAHIA;PRB / PP / PDT / PT;Deputado Estadual;Masculino;1964-12-06;Solteiro(a);Economista;Superior completo;Brasileira nata;RIOP REAL / BA;;Suplente;206842010;2389-62.2010.6.05.0000;12.229.816/0001-70;
AILTON JOSE DOS SANTOS;AILTON DO SINDICATO;13631;APTO (Deferido);PT;13;PRA FRENTE BAHIA;PRB / PP / PDT / PT;Deputado Estadual;Masculino;1969-10-07;Casado(a);Vereador;Superior incompleto;Brasileira nata;SANTO ANTÔNIO DE JESUS / BA;;Suplente;206852010;2560-19.2010.6.05.0000;12.207.300/0001-25;
AILTON TOMAZELLI;AILTON TOMAZELLI;36444;APTO (Deferido);PTC;36;A BAHIA QUER PAZ, A BAHIA QUER MAIS;PTB / PTN / PTC;Deputado Estadual;Masculino;1963-09-07;Separado(a) judicialmente;Administrador;Ensino Médio completo;Brasileira nata;NOVA VENECIA / ES;;Suplente;194222010;2591-39.2010.6.05.0000;12.174.406/0001-70;
ALAN ALVES FIALHO;DR. ALAN FIALHO;14444;APTO (Deferido);PTB;14;A BAHIA QUER PAZ, A BAHIA QUER MAIS;PTB / PTN / PTC;Deputado Estadual;Masculino;1968-10-29;Casado(a);Médico;Superior completo;Brasileira nata;ALAGOINHAS / BA;;Suplente;194232010;2611-30.2010.6.05.0000;12.177.563/0001-39;
ALAN DE CASTRO DAYUBE;ALAN CASTRO;19700;APTO (Deferido);PTN;19;A BAHIA QUER PAZ, A BAHIA QUER MAIS;PTB / PTN / PTC;Deputado Estadual;Masculino;1973-06-16;Divorciado(a);Vereador;Superior completo;Brasileira nata;CRUZ DAS ALMAS / BA;;Suplente;194242010;2570-63.2010.6.05.0000;12.179.048/0001-98;
ALAN EDUARDO SANCHES DOS SANTOS;ALAN SANCHES;15600;APTO (Deferido);PMDB;15;MAIS AÇÃO, MAIS BAHIA;PMDB / PSC / PR / PRTB;Deputado Estadual;Masculino;1968-01-13;Divorciado(a);Outros;Superior completo;Brasileira nata;SALVADOR / BA;;Eleito;195762010;2211-16.2010.6.05.0000;12.199.252/0001-70;
ALBERTO DE SOUZA FILHO;NECA PRODUÇÕES;70345;APTO (Deferido);PT do B;70;LUTA DE UMA BAHIA QUE TEM PRESSA;PPS / PSDC / PMN / PRP / PT do B;Deputado Estadual;Masculino;1967-04-28;Divorciado(a);Outros;Ensino Médio completo;Brasileira nata;SALVADOR / BA;;Suplente;212572010;2881-54.2010.6.05.0000;12.206.444/0001-67;
ALBERTO FABIO FERREIRA DE SANTANA;CAPITÃO FABIO;44321;APTO (Deferido);PRP;44;LUTA DE UMA BAHIA QUE TEM PRESSA;PPS / PSDC / PMN / PRP / PT do B;Deputado Estadual;Masculino;1965-06-05;Casado(a);Deputado;Superior completo;Brasileira nata;ITABUNA / BA;;Suplente;185552010;2033-67.2010.6.05.0000;12.175.999/0001-99;
