Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADAHIL BARRETO CAVALCANTE SOBRINHO;ADAHIL BARRETO;22222;APTO (Deferido);PR;22;PARA FAZER BRILHAR O CEARA - PR - PPS;PR / PPS;Deputado Estadual;Masculino;1959-12-22;Casado(a);Deputado;Superior completo;Brasileira nata;FORTALEZA / CE;;Suplente;325992010;3974-25.2010.6.06.0000;12.172.887/0001-84;
ADILSON LARA CARDOSO;ADILSON LARA;65121;APTO (Deferido);PC do B;65;PCDOB PSC;PSC / PC do B;Deputado Estadual;Masculino;1964-04-28;Viúvo(a);Motorista de Veículos de Transporte Coletivo de Passageiros;Ensino Médio completo;Brasileira nata;SAO PAULO / SP;;Suplente;327482010;4011-52.2010.6.06.0000;12.169.618/0001-69;
ADRIANA DA ROCHA TOME;ADRIANA TOME;43333;APTO (Deferido);PV;43;-;-;Deputado Estadual;Feminino;1963-01-01;Solteiro(a);Professor de Ensino Superior;Superior completo;Brasileira nata;FORTALEZA / CE;;Suplente;331112010;4411-66.2010.6.06.0000;12.173.939/0001-37;
ADRIANA TORQUATO PEDROSA;ADRIANA PEDROSA;33000;APTO (Deferido);PMN;33;-;-;Deputado Estadual;Feminino;1967-11-30;Casado(a);Pedagogo;Superior completo;Brasileira nata;IPUP / CE;;Suplente;328952010;4068-70.2010.6.06.0000;12.174.656/0001-00;
ADRIANO BENTO DA SILVA;ADRIANO BENTO;36600;INAPTO (Indeferido);PTC;36;-;-;Deputado Estadual;Masculino;1982-11-28;Casado(a);Outros;Ensino Médio completo;Brasileira nata;ARACOIABA / CE;;;427152010;5446-61.2010.6.06.0000;12.339.068/0001-89;
AGAMENON CORREIA GARCEZ;IRMAO AGAMENON;25777;APTO (Deferido);DEM;25;-;-;Deputado Estadual;Masculino;1967-06-10;Solteiro(a);Aposentado (Exceto Servidor Público);Ensino Fundamental completo;Brasileira nata;FORTALEZA / CE;;Suplente;329722010;4101-60.2010.6.06.0000;12.221.723/0001-08;
AGOSTINHO FREDERICO CARMO GOMES;TIN GOMES;31234;APTO (Deferido);PHS;31;PP/PTB/PSL/PHS;PP / PTB / PSL / PHS;Deputado Estadual;Masculino;1960-09-28;Casado(a);Técnico Contabilidade, Estatística, Economia Doméstica e Administração;Ensino Médio completo;Brasileira nata;FORTALEZA / CE;;Eleito;338102010;4456-70.2010.6.06.0000;12.198.506/0001-36;
AGUIARA NEVES AGUIAR;AGUIARA;45544;INAPTO (Indeferido);PSDB;45;-;-;Deputado Estadual;Feminino;1973-02-16;Divorciado(a);Administrador;Superior completo;Brasileira nata;MARCO / CE;;;417142010;5337-47.2010.6.06.0000;12.318.973/0001-52;
ALDIZIO ALVES BRITO;ALDIZIO BITO;14555;INAPTO (Indeferido);PTB;14;PP/PTB/PSL/PHS;PP / PTB / PSL / PHS;Deputado Estadual;Masculino;1954-05-02;Casado(a);Garçom;Ensino Médio completo;Brasileira nata;AMONTADA / CE;;Indeferido com Recurso;338112010;4457-55.2010.6.06.0000;12.206.192/0001-76;
ALEXANDRA DA CUNHA SA;ALEXANDRA SA;19881;APTO (Deferido);PTN;19;FRENTE DA CIDADANIA;PTN / PRTB / PT do B;Deputado Estadual;Feminino;1981-05-18;Solteiro(a);Administrador;Superior completo;Brasileira nata;FORTALEZA / CE;;Suplente;342492010;4662-84.2010.6.06.0000;12.191.283/0001-85;
ALEXANDRE MACEDO MAIA;ALEXANDRE MAIA;50505;APTO (Deferido);PSOL;50;-;-;Deputado Estadual;Masculino;1976-11-30;Casado(a);Advogado;Superior completo;Brasileira nata;CRATEÚS / CE;;Não eleito;332312010;4232-35.2010.6.06.0000;12.180.087/0001-05;
ALEXANDRE PAIVA DAMASCENO;ALEXANDRE DAMASCENO;22333;INAPTO (Renúncia);PR;22;PARA FAZER BRILHAR O CEARA - PR - PPS;PR / PPS;Deputado Estadual;Masculino;1966-06-12;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;FORTALEZA / CE;;;326002010;3975-10.2010.6.06.0000;12.174.422/0001-62;
ALMIR ANTONIO DE SOUSA;ALMIR GUILHERME;45001;INAPTO (Indeferido);PSDB;45;-;-;Deputado Estadual;Masculino;1966-10-10;Casado(a);Diretor de Empresas;Ensino Médio completo;Brasileira nata;FORTALEZA / CE;;;417152010;5338-32.2010.6.06.0000;12.318.969/0001-94;
AMARILIO FRANCISCO MOURA DE MELO;AMARILIO;40140;APTO (Deferido);PSB;40;PRB/PT/PMDB/PSB;PRB / PT / PMDB / PSB;Deputado Estadual;Masculino;1963-10-08;Casado(a);Militar Reformado;Superior completo;Brasileira nata;CAUCAIA / CE;;Suplente;332842010;4315-51.2010.6.06.0000;12.173.270/0001-83;
AMILCAR XIMENES PONTE;DR. AMILCAR XIMENES;13513;APTO (Deferido);PT;13;PRB/PT/PMDB/PSB;PRB / PT / PMDB / PSB;Deputado Estadual;Masculino;1952-06-05;Casado(a);Outros;Superior completo;Brasileira nata;SOBRAL / CE;;Suplente;332852010;4316-36.2010.6.06.0000;12.168.666/0001-32;
