Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADAIR MARIA DE FÁTIMA SANTOS BIANCHI;FATIMA BIANCHI;44740;APTO (Deferido);PRP;44;ESPIRITO SANTO QUE DA CERTO;PTN / PRP / PC do B;Deputado Estadual;Feminino;1959-06-04;Casado(a);Advogado;Superior completo;Brasileira nata;TEÓFILO OTONI / MG;;Suplente;89512010;1958-44.2010.6.08.0000;12.221.756/0001-40;
ADALBERTO SOARES;BETO CARIOCA;65222;APTO (Deferido);PC do B;65;ESPIRITO SANTO QUE DA CERTO;PTN / PRP / PC do B;Deputado Estadual;Masculino;1958-07-01;Casado(a);Comerciante;Superior completo;Brasileira nata;PETRÓPOLIS / RJ;;Suplente;89532010;1942-90.2010.6.08.0000;12.177.204/0001-81;
ADELSON ANTONIO SALVADOR;ADELSON SALVADOR;23222;INAPTO (Renúncia);PPS;23;O ESPÍRITO SANTO NO RUMO CERTO;PPS / DEM / PMN / PSDB;Deputado Estadual;Masculino;1954-10-12;Casado(a);Produtor Agropecuário;Superior completo;Brasileira nata;COLATINA / ES;;;96442010;2293-63.2010.6.08.0000;12.199.067/0001-86;
ADELSON FERNANDES ALÍPIO;HELLEN BRIZZARTT;44765;APTO (Deferido);PRP;44;ESPIRITO SANTO QUE DA CERTO;PTN / PRP / PC do B;Deputado Estadual;Masculino;1982-12-06;Solteiro(a);Corretor de Imóveis, Seguros, Títulos e Valores;Ensino Fundamental completo;Brasileira nata;NOVA VIÇOSA / BA;;Suplente;89662010;1919-47.2010.6.08.0000;12.169.679/0001-26;
ADEMIR LUIZ PEREIRA ROSA;ADEMIR PEREIRA;20122;APTO (Deferido);PSC;20;FRENTE POPULAR PROGRESSISTA;PRB / PP / PSC / PR;Deputado Estadual;Masculino;1956-12-11;Divorciado(a);Servidor Público Municipal;Superior completo;Brasileira nata;SANTA TERESA / ES;;Suplente;87632010;1811-18.2010.6.08.0000;12.178.488/0001-20;
ADIEL SILVA SANTOS;ADIEL CARTEIRO POETA;14741;APTO (Deferido);PTB;14;-;-;Deputado Estadual;Masculino;1958-11-08;Casado(a);Outros;Ensino Médio completo;Brasileira nata;VITORIA / ES;;Suplente;92262010;2026-91.2010.6.08.0000;12.190.961/0001-95;
ADILSON ESPINDULA;ADILSON ESPINDULA;14123;APTO (Deferido);PTB;14;-;-;Deputado Estadual;Masculino;1970-10-20;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;VITÓRIA / ES;;Suplente;92272010;2009-55.2010.6.08.0000;12.197.999/0001-90;
ADILSON LUIZ BARATELLA;ADILSON BARATELLA;31000;APTO (Deferido);PHS;31;CAPIXABA DE CORAÇÃO;PHS / PTC / PV / PT do B;Deputado Estadual;Masculino;1963-07-14;Solteiro(a);Produtor Agropecuário;Superior completo;Brasileira nata;SANTATERESA / ES;;Suplente;94102010;2211-32.2010.6.08.0000;12.204.987/0001-45;
ADILSON RAMOS ALMEIDA;ADILSON CAFU;17888;APTO (Deferido);PSL;17;FRENTE RENOVA ESPIRITO SANTO;PSL / PRTB;Deputado Estadual;Masculino;1967-11-07;Divorciado(a);Comerciante;Superior incompleto;Brasileira nata;PEDRO CANARIO / ES;;Não eleito;90492010;1977-50.2010.6.08.0000;12.167.518/0001-01;
ADMILSON DIAS RIBEIRO;ADMILSON RIBEIRO;20333;APTO (Deferido);PSC;20;FRENTE POPULAR PROGRESSISTA;PRB / PP / PSC / PR;Deputado Estadual;Masculino;1970-05-06;Casado(a);Vereador;Superior completo;Brasileira nata;VITORIA / ES;;Suplente;87732010;1832-91.2010.6.08.0000;12.197.981/0001-98;
