Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABRAÃO NAVES DA SILVA FILHO;ABRAÃO NAVES;22555;APTO (Deferido);PR;22;Goiás no rumo certo 2;PP / PR;Deputado Estadual;Masculino;1984-09-04;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;GUIRATINGA / MT;;Suplente;279162010;4060-12.2010.6.09.0000;12.181.839/0001-52;
ADAIR CORREIA DE ASSIS;ADAIR CORREA;50777;APTO (Deferido);PSOL;50;GOIAS PRA VOCÊ, NÃO PRA ELES;PSTU / PSOL;Deputado Estadual;Masculino;1970-06-19;Solteiro(a);Outros;Ensino Fundamental incompleto;Brasileira nata;LEOPOLDO DE BULHÕES / GO;;Não eleito;278532010;3644-44.2010.6.09.0000;12.179.134/0001-09;
ADAIR VAZ DOS SANTOS;ADAIR VAZ;10333;APTO (Deferido);PRB;10;PARA GOIÁS CRESCER;PRB / PRTB / PTC;Deputado Estadual;Masculino;1954-11-17;Casado(a);Contador;Ensino Médio completo;Brasileira nata;IPORÁ / GO;;Suplente;280672010;3587-26.2010.6.09.0000;12.171.738/0001-09;
ADALBERTA DA ROCHA DOS SANTOS PEREIRA NETO;BETINHA TEJOTA;40123;INAPTO (Indeferido);PSB;40;Goiás no rumo certo 4;PTN / PSDC / PSB / PV;Deputado Estadual;Feminino;1963-01-19;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;CRIXÁS / GO;;;279512010;3783-93.2010.6.09.0000;12.176.619/0001-30;
ADÃO DA SILVA MATOS;ADAOZINHO DO PT;13678;APTO (Deferido);PT;13;-;-;Deputado Estadual;Masculino;1955-08-30;Separado(a) judicialmente;Aposentado (Exceto Servidor Público);Ensino Fundamental completo;Brasileira nata;LORETO / MA;;Suplente;277532010;3949-28.2010.6.09.0000;12.167.459/0001-63;
ADÃO EUSTÁQUIO FERREIRA;ADÃO EUSTAQUIO;40678;APTO (Deferido);PSB;40;Goiás no rumo certo 4;PTN / PSDC / PSB / PV;Deputado Estadual;Masculino;1960-01-28;Solteiro(a);Servidor Público Municipal;Superior completo;Brasileira nata;BOTUMIRIM / MG;;Suplente;279522010;3772-64.2010.6.09.0000;12.174.548/0001-37;
ADAO IRIS DA SILVA;SARGENTO IRIS;10193;APTO (Deferido);PRB;10;PARA GOIÁS CRESCER;PRB / PRTB / PTC;Deputado Estadual;Masculino;1968-10-05;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;GOIÂNIA / GO;;Suplente;280682010;3588-11.2010.6.09.0000;12.176.879/0001-06;
ADÃO LADE FERNANDES BRAGA;ADÃO BRAGA;33276;APTO (Deferido);PMN;33;GOIÁS PRA VALER;PHS / PMN;Deputado Estadual;Masculino;1961-10-31;Casado(a);Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;Ensino Médio completo;Brasileira nata;JATAI / GO;;Suplente;272332010;4206-53.2010.6.09.0000;12.175.616/0001-82;
ADÃO PEREIRA DE MORAIS;ADÃO DA FEIRA;31123;INAPTO (Indeferido);PHS;31;GOIÁS PRA VALER;PHS / PMN;Deputado Estadual;Masculino;1954-12-15;Viúvo(a);Feirante, Ambulante e Mascate;Ensino Médio completo;Brasileira nata;URUANA / GO;;;272342010;4207-38.2010.6.09.0000;12.170.661/0001-44;
ADEBALDO MOREIRA GONÇALVES;ADEBALDO MOREIRA;50010;APTO (Deferido);PSOL;50;GOIAS PRA VOCÊ, NÃO PRA ELES;PSTU / PSOL;Deputado Estadual;Masculino;1967-03-25;Casado(a);Comerciante;Ensino Médio completo;Brasileira nata;VIANÓPOLIS / GO;;Não eleito;278542010;3645-29.2010.6.09.0000;12.176.802/0001-36;
