Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABIMAEL AGUIAR DOS SANTOS;ABIMAEL AGUIAR;36147;APTO (Deferido);PTC;36;O POVO É MAIOR;PDT / PTC / PSDB;Deputado Estadual;Masculino;1965-09-14;Solteiro(a);Comerciário;Ensino Fundamental incompleto;Brasileira nata;BARREIRINHAS / MA;;Suplente;238272010;3528-11.2010.6.10.0000;12.190.275/0001-14;
ACRISIO ALVES DA SILVA;ACRISIO ALVES;40322;APTO (Deferido);PSB;40;MUDA MARANHÃO;PPS / PSB / PC do B;Deputado Estadual;Masculino;1935-10-16;Casado(a);Aposentado (Exceto Servidor Público);Ensino Médio completo;Brasileira nata;PARNAIBA / PI;;Suplente;237262010;3470-08.2010.6.10.0000;12.190.159/0001-03;
ADAO ALVES VIANA;ADAO VIANA;43221;INAPTO (Indeferido);PV;43;O MARANHÃO NÃO PODE PARAR E1;PTB / PMDB / DEM / PV;Deputado Estadual;Masculino;1948-12-19;Casado(a);Agricultor;Ensino Fundamental incompleto;Brasileira nata;BURITI DOS LOPES / PI;;;248232010;3224-12.2010.6.10.0000;12.217.430/0001-49;
ADELSON DE SOUZA LOPES;DRº. ADELSON LOPES;22369;INAPTO (Indeferido);PR;22;UNIDOS PELO MARANHÃO;PR / PRTB / PRP / PT do B;Deputado Estadual;Masculino;1943-10-19;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;ITACOATIARA / AM;;;231522010;3069-09.2010.6.10.0000;12.167.460/0001-98;
ADERSON DE CARVALHO LAGO FILHO;ADERSON LAGO;45122;APTO (Deferido);PSDB;45;O POVO É MAIOR;PDT / PTC / PSDB;Deputado Estadual;Masculino;1948-04-04;Casado(a);Outros;Superior completo;Brasileira nata;SAO LUIS / MA;;Suplente;229202010;3167-91.2010.6.10.0000;12.167.803/0001-14;
ADILTON SOUZA SILVA;DR. ADILTON;22217;APTO (Deferido);PR;22;UNIDOS PELO MARANHÃO;PR / PRTB / PRP / PT do B;Deputado Estadual;Masculino;1950-07-09;Casado(a);Advogado;Superior completo;Brasileira nata;IPIAÚ / BA;;Suplente;231532010;3070-91.2010.6.10.0000;12.169.493/0001-77;
ADIRAILTON LOPES DE OLIVEIRA;ADIRAILTON LOPES;36541;APTO (Deferido);PTC;36;O POVO É MAIOR;PDT / PTC / PSDB;Deputado Estadual;Masculino;1963-12-10;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;PAULO RAMOS / MA;;Suplente;229212010;3168-76.2010.6.10.0000;12.176.868/0001-26;
ADRIANA LIMA DE ARAUJO;ADRIANA ARAUJO;17555;APTO (Deferido);PSL;17;O MARANHÃO NÃO PODE PARAR E-2;PRB / PSL / PHS / PMN;Deputado Estadual;Feminino;1969-03-06;Divorciado(a);Outros;Ensino Médio completo;Brasileira nata;BACABAL / MA;;Suplente;234302010;3304-73.2010.6.10.0000;12.180.085/0001-16;
AFONSO MANOEL BORGES FERREIRA;AFONSO MANOEL;15369;APTO (Deferido);PMDB;15;O MARANHÃO NÃO PODE PARAR E1;PTB / PMDB / DEM / PV;Deputado Estadual;Masculino;1956-02-12;Casado(a);Deputado;Superior completo;Brasileira nata;SÃO LUS / MA;;Eleito;233012010;3078-68.2010.6.10.0000;12.171.012/0001-68;
AGENOR MARQUES COLLINS;MARQUESCOLLINS AGENOR;33313;APTO (Deferido);PMN;33;O MARANHÃO NÃO PODE PARAR E-2;PRB / PSL / PHS / PMN;Deputado Estadual;Masculino;1937-11-09;Casado(a);Aposentado (Exceto Servidor Público);Ensino Fundamental incompleto;Brasileira nata;ANAJATUBA / MA;;Suplente;234312010;3305-58.2010.6.10.0000;12.174.731/0001-32;
AIRES DO ESPÍRITO SANTO RIBEIRO NETO;RIBEIRO NETO;22333;INAPTO (Indeferido);PR;22;UNIDOS PELO MARANHÃO;PR / PRTB / PRP / PT do B;Deputado Estadual;Masculino;1991-04-20;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Superior incompleto;Brasileira nata;SÃO LUÍS / MA;;;231542010;3071-76.2010.6.10.0000;12.168.071/0001-87;
ALANA MARA DE SOUZA SANTOS;ALANA ALVES;20147;APTO (Deferido);PSC;20;O MARANHÃO NÃO PODE PARAR E4;PP / PTN / PSC;Deputado Estadual;Feminino;1979-08-30;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;SAO LUIS / MA;;Suplente;234052010;3045-78.2010.6.10.0000;12.180.935/0001-86;
