"Nome Completo";"Nome para Urna Eletronica";"Numero do Candidato";"Situacao";"Sigla do Partido";"Numero do Partido";"Nome da Coligacao";"Composicao da Coligacao";"Cargo";"Sexo";"Data de Nascimento";"Estado Civil";"Ocupacao";"Grau de Instrucao";"Nacionalidade";"Municipio/UF de Nascimento";"Julgamento da Prest. de Contas";"Resultado da Eleicao";"Numero Protocolo";"Numero Processo";"CNPJ de Campanha"
"ADALBERTO DIMAS ANDRADE PAIVA";"DR. ADALBERTO";15188;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1954-09-03";"Casado(a)";"Advogado";"Superior completo";"Brasileira nata";"JUIZ DE FORA / MG";;"Suplente";446902010;"5490-85.2010.6.13.0000";"12.204.385/0001-98"
"ADALCLEVER RIBEIRO LOPES";"ADALCLEVER LOPES";15123;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1966-11-24";"Casado(a)";"Deputado";"Superior incompleto";"Brasileira nata";"BELO HORIZONTE / MG";;"Eleito";423872010;"4961-66.2010.6.13.0000";"12.178.099/0001-03"
"ADAO GUEDES";"ADAO CONSTRUTOR";33100;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1964-09-10";"Casado(a)";"Empresário";"Ensino Fundamental incompleto";"Brasileira nata";"CARATINGA / MG";;"Suplente";406362010;"3759-54.2010.6.13.0000";"12.178.578/0001-11"
"ADÃO MIGUEL ARCANJO";"ADÃO ARCANJO";65545;"INAPTO (Indeferido)";"PC do B";65;0;0;"Deputado Estadual";"Masculino";"1945-09-29";"Casado(a)";"Agricultor";"Ensino Fundamental incompleto";"Brasileira nata";"AMPARO DO SERRA / MG";;;434512010;"5343-59.2010.6.13.0000";"12.311.778/0001-09"
"ADÃO PEREIRA MARQUES";"PASTOR ADÃO";36368;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1940-06-24";"Casado(a)";"Aposentado (Exceto Servidor Público)";"Ensino Médio incompleto";"Brasileira nata";"RIBEIRÃO DAS NEVES / MG";;"Suplente";414892010;"4297-35.2010.6.13.0000";"12.170.852/0001-06"
"ADÃO PEREIRA SANTOS";"ADÃO SANTOS";36777;"INAPTO (Renúncia)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1973-01-19";"Casado(a)";"Administrador";"Superior completo";"Brasileira nata";"MONTES CLAROS / MG";;;498582010;"5662-27.2010.6.13.0000";"12.241.688/0001-80"
"ADÃO PEREIRA SANTOS";"ADÃO SANTOS";36777;"APTO (Indeferido com recurso)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1973-01-19";"Casado(a)";"Administrador";"Ensino Médio completo";"Brasileira nata";"MONTES CLAROS / MG";;"Indeferido com Recurso";586912010;"6334-35.2010.6.13.0000";"12.241.688/0001-80"
"ADAUTO JORGE BRASIL DO AMARAL";"ADAUTO BRASIL";36125;"APTO (Deferido)";"PTC";36;"PTC/PRTB";"PRTB / PTC";"Deputado Estadual";"Masculino";"1965-04-23";"Casado(a)";"Servidor Público Municipal";"Superior completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";414882010;"4296-50.2010.6.13.0000";"12.178.363/0001-09"
"ADELAINE CRISTINA DE FREITAS";"ADELAINE FREITAS";40456;"APTO (Deferido)";"PSB";40;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Feminino";"1976-11-04";"Casado(a)";"Outros";"Ensino Médio completo";"Brasileira nata";"BELO HORIZONTE / MG";;"Suplente";418182010;"4624-77.2010.6.13.0000";"12.168.817/0001-52"
"ADELINO PEREIRA DIAS";"ADELINO DIAS";15111;"APTO (Deferido)";"PMDB";15;0;0;"Deputado Estadual";"Masculino";"1935-07-22";"Casado(a)";"Outros";"Lê e escreve";"Brasileira nata";"SALINAS / MG";;"Suplente";454412010;"5513-31.2010.6.13.0000";"12.206.011/0001-01"
"ADELMO CARNEIRO LEÃO";"ADELMO LEÃO";13220;"APTO (Deferido)";"PT";13;"MUDA MINAS";"PRB / PT";"Deputado Estadual";"Masculino";"1949-05-25";"Casado(a)";"Deputado";"Superior completo";"Brasileira nata";"ITAPAGIPE / MG";;"Eleito";420232010;"4773-73.2010.6.13.0000";"12.198.553/0001-80"
"ADEMIR LUCAS GOMES";"ADEMIR LUCAS";45444;"APTO (Deferido)";"PSDB";45;"PSDB/DEM/PP";"PP / DEM / PSDB";"Deputado Estadual";"Masculino";"1943-09-29";"Divorciado(a)";"Deputado";"Superior completo";"Brasileira nata";"ESMERALDAS / MG";;"Suplente";417032010;"4471-44.2010.6.13.0000";"12.170.193/0001-08"
"ADEMIR PEREIRA DA SILVA";"ADEMIR PEREIRA";40740;"APTO (Deferido)";"PSB";40;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1950-05-02";"Casado(a)";"Garimpeiro";"Ensino Médio completo";"Brasileira nata";"SAO BERNARDO DO CAMPO / SP";;"Suplente";418192010;"4625-62.2010.6.13.0000";"12.178.411/0001-50"
"ADILSON ALVES DA ROCHA";"ADILSON ALVES";33301;"APTO (Deferido)";"PMN";33;"UNIDOS POR MINAS";"PSL / PSDC / PMN";"Deputado Estadual";"Masculino";"1966-09-07";"Casado(a)";"Contador";"Ensino Médio completo";"Brasileira nata";"GOV. VALADARES / MG";;"Suplente";406372010;"3760-39.2010.6.13.0000";
"ADILSON GOMES PEREIRA";"ADILSON GOMES";14567;"INAPTO (Indeferido)";"PTB";14;"JUSTIÇA SOCIAL E TRABALHO";"PTB / PSB";"Deputado Estadual";"Masculino";"1962-08-16";"Solteiro(a)";"Empresário";"Ensino Médio incompleto";"Brasileira nata";"CARAI / MG";;;418202010;"4626-47.2010.6.13.0000";"12.256.123/0001-77"
