Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABMAEL BARBOSA PEREIRA;ABMAEL PEREIRA;20222;APTO (Deferido);PSC;20;A FORÇA DO POVO 3;PSC / PV / PRP / PC do B;Deputado Estadual;Masculino;1977-06-06;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;CORUMBÁ / MS;;Não eleito;209492010;2721-34.2010.6.12.0000;12.179.706/0001-41;
ADA MARIA NOGUEIRA DA SILVA;ADA;31333;APTO (Deferido);PHS;31;AMOR, TRABALHO E FÉ IV;PRB / PPS / PRTB / PHS / PT do B;Deputado Estadual;Feminino;1962-02-20;Solteiro(a);Outros;Ensino Fundamental incompleto;Brasileira nata;TERENOS / MS;;Suplente;207462010;2448-55.2010.6.12.0000;12.204.374/0001-08;
ADAIR OLIVEIRA MARTINS;ADAIR MARTINS;33100;INAPTO (Renúncia);PMN;33;AMOR, TRABALHO E FÉ V;PTB / PTN / PMN / PTC / PSB;Deputado Estadual;Masculino;1948-09-26;Casado(a);Empresário;Superior completo;Brasileira nata;CAMPO GRANDE / MS;;;207872010;2551-62.2010.6.12.0000;12.169.310/0001-13;
ADALTRO ALBINELI PINTO;SARGENTO ALBINELI;14777;APTO (Deferido);PTB;14;AMOR, TRABALHO E FÉ V;PTB / PTN / PMN / PTC / PSB;Deputado Estadual;Masculino;1964-06-01;Casado(a);Militar Reformado;Ensino Médio completo;Brasileira nata;SÃO VICENTE DO SUL / RS;;Suplente;207882010;2554-17.2010.6.12.0000;12.175.992/0001-77;
ADÃO CEZAR DE SOUZA MENDONÇA;ADÃO MENDONÇA;33033;APTO (Deferido);PMN;33;AMOR, TRABALHO E FÉ V;PTB / PTN / PMN / PTC / PSB;Deputado Estadual;Masculino;1962-01-21;Casado(a);Corretor de Imóveis, Seguros, Títulos e Valores;Superior completo;Brasileira nata;NIOAQUE / MS;;Suplente;207912010;2560-24.2010.6.12.0000;12.173.983/0001-47;
ADÃO CORNELIO DA SILVA;ADÃO DA GRAÇA;20456;APTO (Deferido);PSC;20;A FORÇA DO POVO 3;PSC / PV / PRP / PC do B;Deputado Estadual;Masculino;1977-06-06;Casado(a);Sacerdote ou Membro de Ordem ou Seita Religiosa;Superior completo;Brasileira nata;CORUMBÁ / MS;;Não eleito;209512010;2729-11.2010.6.12.0000;12.174.667/0001-90;
ADÃO DE ARRUDA SALES;ADÃO SALEMAQ;43210;APTO (Deferido);PV;43;A FORÇA DO POVO 3;PSC / PV / PRP / PC do B;Deputado Estadual;Masculino;1956-05-21;Casado(a);Advogado;Superior completo;Brasileira nata;AQUIDAUANA / MS;;Não eleito;209522010;2722-19.2010.6.12.0000;12.171.180/0001-53;
ADEMAR DOS SANTOS;SUB OFICIAL ADEMAR;36013;APTO (Deferido);PTC;36;AMOR, TRABALHO E FÉ V;PTB / PTN / PMN / PTC / PSB;Deputado Estadual;Masculino;1944-03-16;Solteiro(a);Militar Reformado;Ensino Médio completo;Brasileira nata;CAMPO GRANDE / MS;;Suplente;207892010;2556-84.2010.6.12.0000;12.189.786/0001-16;
ADILSON ALVES DE OLIVEIRA;ADILSON;44555;APTO (Deferido);PRP;44;A FORÇA DO POVO 3;PSC / PV / PRP / PC do B;Deputado Estadual;Masculino;1964-04-11;Casado(a);Sacerdote ou Membro de Ordem ou Seita Religiosa;Ensino Médio completo;Brasileira nata;PRESIDENTE VENCESLAU / SP;;Não eleito;209502010;2724-86.2010.6.12.0000;12.180.718/0001-96;
ADONIS MARCOS DE SOUZA;ADONIS MARCOS;36633;APTO (Deferido);PTC;36;AMOR, TRABALHO E FÉ V;PTB / PTN / PMN / PTC / PSB;Deputado Estadual;Masculino;1984-05-14;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;CASCAVEL / PR;;Suplente;207902010;2558-54.2010.6.12.0000;12.169.509/0001-41;
