Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADALTO DE FREITAS FILHO;DALTINHO;15456;APTO (Deferido);PMDB;15;MATO GROSSO EM PRIMEIRO LUGAR III;PT / PMDB / PR;Deputado Estadual;Masculino;1964-01-01;Separado(a) judicialmente;Deputado;Superior incompleto;Brasileira nata;JATAI / GO;;Suplente;197812010;1570-60.2010.6.11.0000;12.199.060/0001-64;
ADEMIR ANTONIO BRUNETTO;ADEMIR BRUNETTO;13000;APTO (Deferido);PT;13;MATO GROSSO EM PRIMEIRO LUGAR III;PT / PMDB / PR;Deputado Estadual;Masculino;1960-06-09;Casado(a);Veterinário;Superior completo;Brasileira nata;PAIM FILHO / RS;;Eleito;198532010;1701-35.2010.6.11.0000;12.204.439/0001-15;
ADERMO SERAFIM;ADERMO SERAFIM;45100;APTO (Deferido);PSDB;45;COLIGAÇÃO SENADOR JONAS PINHEIRO III;DEM / PSDB;Deputado Estadual;Masculino;1946-01-12;Separado(a) judicialmente;Pecuarista;Ensino Fundamental completo;Brasileira nata;ARAPONGAS / PR;;Suplente;197202010;1688-36.2010.6.11.0000;12.189.918/0001-00;
ADIL ANTÔNIO ALVES DE OLIVEIRA;ADIL DE OLIVEIRA;40233;APTO (Deferido);PSB;40;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Estadual;Masculino;1959-05-05;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;RONDONOPOLIS / MT;;Suplente;200162010;1563-68.2010.6.11.0000;12.198.663/0001-41;
ADILSON ROQUE TEIXEIRA;QUINO;25789;APTO (Indeferido com recurso);DEM;25;COLIGAÇÃO SENADOR JONAS PINHEIRO III;DEM / PSDB;Deputado Estadual;Masculino;1968-12-02;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;AJURICABA / RS;;Indeferido com Recurso;194872010;1633-85.2010.6.11.0000;12.190.822/0001-61;
ADILSON SOARES ROCHA;ADILSON MAD 3R;13333;APTO (Deferido);PT;13;MATO GROSSO EM PRIMEIRO LUGAR III;PT / PMDB / PR;Deputado Estadual;Masculino;1968-10-20;Casado(a);Outros;Ensino Médio completo;Brasileira nata;GOVERNADOR VALADARES / MG;;Suplente;198832010;1710-94.2010.6.11.0000;12.199.298/0001-90;
ADOLFO GRASSI DE OLIVEIRA;ADOLFO GRASSI;40444;APTO (Deferido);PSB;40;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Estadual;Masculino;1959-11-03;Divorciado(a);Advogado;Superior completo;Brasileira nata;GOIO-ERE / PR;;Suplente;200172010;1548-02.2010.6.11.0000;12.198.656/0001-40;
AGDA DO CARMOS ANDRADE OJEDA;AGDA OJEDA;19025;APTO (Indeferido com recurso);PTN;19;COLIGAÇÃO MATO GROSSO PARA TODOS;PRB / PTN / PSC / PHS / PTC / PRP / PC do B;Deputado Estadual;Feminino;1986-07-25;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;CUIABA / MT;;Indeferido com Recurso;242502010;2263-44.2010.6.11.0000;12.293.376/0001-10;
AILTON ALVES TEIXEIRA;BIROSKA;23192;APTO (Deferido);PPS;23;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Estadual;Masculino;1962-05-24;Casado(a);Servidor Público Municipal;Superior incompleto;Brasileira nata;GOIANIA / GO;;Suplente;207692010;1979-36.2010.6.11.0000;12.206.286/0001-45;
AIRTO LUIZ FRANCHINI;AIRTO FRANCHINI;11333;APTO (Deferido);PP;11;-;-;Deputado Estadual;Masculino;1967-01-21;Casado(a);Empresário;Superior incompleto;Brasileira nata;XAXIM / SC;;Suplente;203372010;1744-69.2010.6.11.0000;12.206.383/0001-38;
AIRTON CALLAI;CALLAI;40000;INAPTO (Renúncia);PSB;40;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Estadual;Masculino;1969-06-30;Casado(a);Analista de Sistemas;Superior incompleto;Brasileira nata;GIRUA / RS;;;200182010;1558-46.2010.6.11.0000;12.199.464/0001-58;
AIRTON RONDINA LUIZ;PORTUGUÊS;11222;APTO (Deferido);PP;11;-;-;Deputado Estadual;Masculino;1959-12-24;Solteiro(a);Pecuarista;Ensino Médio completo;Brasileira nata;DOURADOS / MS;;Eleito;207252010;1916-11.2010.6.11.0000;12.214.231/0001-87;
AISLAN SEBASTIÃO CUNHA GALVÃO;AISLAN;65123;APTO (Deferido);PC do B;65;COLIGAÇÃO MATO GROSSO PARA TODOS;PRB / PTN / PSC / PHS / PTC / PRP / PC do B;Deputado Estadual;Masculino;1979-07-09;Casado(a);Servidor Público Municipal;Superior completo;Brasileira nata;CHAPADA DOS GUIMARÃES / MT;;Não eleito;202822010;1788-88.2010.6.11.0000;12.205.137/0001-61;
ALCINO PEREIRA BARCELOS;ALCINO BARCELOS;12222;APTO (Deferido);PDT;12;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Estadual;Masculino;1973-01-20;Solteiro(a);Produtor Agropecuário;Ensino Médio completo;Brasileira nata;APARECIDA DO TABOADO / MS;;Suplente;207412010;1923-03.2010.6.11.0000;12.206.484/0001-09;
ALESSANDRA APARECIDA MATTES;ALESSANDRA MATTES;70665;APTO (Deferido);PT do B;70;O POVO NO PODER;PTB / PSL / PSDC / PRTB / PMN / PT do B;Deputado Estadual;Feminino;1983-03-27;Solteiro(a);Outros;Ensino Fundamental completo;Brasileira nata;CHAPECO / SC;;Suplente;206672010;1845-09.2010.6.11.0000;12.214.067/0001-08;
