Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADALBERTO AGUIAR NUNES;ADALBERTO AGUIAR;13613;APTO (Deferido);PT;13;FRENTE ACELERA PARÁ;PP / PT / PHS;Deputado Estadual;Masculino;1962-04-04;Casado(a);Vereador;Superior completo;Brasileira nata;BELEM / PA;;Suplente;91602010;1215-66.2010.6.14.0000;12.171.952/0001-57;
ADANILDE MARIA VALENTE COIMBRA;DANI COIMBRA;40013;APTO (Deferido);PSB;40;-;-;Deputado Estadual;Feminino;1972-05-05;Casado(a);Outros;Ensino Médio completo;Brasileira nata;CAMETA / PA;;Suplente;87532010;707-23.2010.6.14.0000;12.190.758/0001-19;
ADILSON SEVERINO DA SILVA;ADILSON CASA DA BORRACHA;40444;APTO (Deferido);PSB;40;-;-;Deputado Estadual;Masculino;1954-04-26;Casado(a);Empresário;Superior completo;Brasileira nata;ALTO ARAGUAIA / MT;;Suplente;87542010;708-08.2010.6.14.0000;12.169.987/0001-51;
ADRIANA MIRANDA DE LIMA;ADRIANA LIMA;15199;APTO (Deferido);PMDB;15;-;-;Deputado Estadual;Feminino;1980-11-13;Casado(a);Administrador;Superior incompleto;Brasileira nata;BELEM / PA;;Suplente;87122010;705-53.2010.6.14.0000;12.204.936/0001-13;
AELSON GOMES CARNEIRO;CABELUDO IRMAOS CARNEIROS;40567;APTO (Deferido);PSB;40;-;-;Deputado Estadual;Masculino;1965-12-28;Casado(a);Empresário;Ensino Fundamental completo;Brasileira nata;PRESIDENTE DUTRA / MA;;Suplente;87552010;709-90.2010.6.14.0000;12.174.021/0001-02;
AFONSO AUGUSTO DE BRITO;AFONSO BRITO;12688;APTO (Deferido);PDT;12;-;-;Deputado Estadual;Masculino;1977-09-16;Casado(a);Ocupante de Cargo em Comissão;Ensino Médio completo;Brasileira nata;BRAGANÇA / PA;;Suplente;89692010;785-17.2010.6.14.0000;12.178.854/0001-41;
AFONSO ROMILDO PIMENTEL DE ALMEIDA;AFONSO ALMEIDA;20123;APTO (Deferido);PSC;20;Coligação POR UM PARÁ MAIS UNIDO;PTN / PSC / PTC / PT do B;Deputado Estadual;Masculino;1959-08-23;Casado(a);Vereador;Superior completo;Brasileira nata;BRAGANÇA / PA;;Suplente;90752010;847-57.2010.6.14.0000;12.198.252/0001-56;
AGUINALDO COSTA DA SILVA;AGUINALDO;43227;INAPTO (Indeferido);PV;43;-;-;Deputado Estadual;Masculino;1955-08-21;Solteiro(a);Economista;Superior completo;Brasileira nata;BELEM / PA;;Indeferido com Recurso;85092010;1047-64.2010.6.14.0000;12.170.654/0001-42;
AIRTON LUIZ FALEIRO;AIRTON FALEIRO;13500;APTO (Deferido);PT;13;FRENTE ACELERA PARÁ;PP / PT / PHS;Deputado Estadual;Masculino;1951-03-16;Casado(a);Agricultor;Ensino Fundamental completo;Brasileira nata;TENENTE PORTELA / RS;;Eleito;91612010;1216-51.2010.6.14.0000;12.172.923/0001-00;
ALADIM MARTINS DE PAULA;ALADIM;45150;APTO (Deferido);PSDB;45;PSDB E DEM;DEM / PSDB;Deputado Estadual;Masculino;1947-03-19;Divorciado(a);Comerciante;Ensino Fundamental completo;Brasileira nata;IGARAPE MIRI / PA;;Suplente;94722010;1192-23.2010.6.14.0000;12.189.357/0001-49;
ALBERTO MENASSEH ZAGURY;ALBERTO ZAGURY;11011;APTO (Deferido);PP;11;FRENTE ACELERA PARÁ;PP / PT / PHS;Deputado Estadual;Masculino;1958-10-23;Divorciado(a);Agente Administrativo;Ensino Médio completo;Brasileira nata;BELÉM / PA;;Suplente;93292010;1114-29.2010.6.14.0000;12.229.752/0001-08;
ALBERTO NOGUEIRA DOS SANTOS;ALBERTO NOGUEIRA;20789;APTO (Deferido);PSC;20;Coligação POR UM PARÁ MAIS UNIDO;PTN / PSC / PTC / PT do B;Deputado Estadual;Masculino;1964-07-12;Casado(a);Servidor Público Municipal;Superior completo;Brasileira nata;ALCOBAÇA / BA;;Suplente;133962010;1494-52.2010.6.14.0000;12.332.370/0001-05;
ALCEMIR PAIXÃO DA COSTA PALHETA;DR PALHETA;20001;APTO (Deferido);PSC;20;Coligação POR UM PARÁ MAIS UNIDO;PTN / PSC / PTC / PT do B;Deputado Estadual;Masculino;1961-03-31;Casado(a);Médico;Superior completo;Brasileira nata;BELÉM / PA;;Suplente;90762010;848-42.2010.6.14.0000;12.204.101/0001-63;
ALCIDES ALVES CARDOSO FILHO;CARDOSO;14733;INAPTO (Indeferido);PTB;14;-;-;Deputado Estadual;Masculino;1960-11-04;Solteiro(a);Comerciante;Ensino Fundamental completo;Brasileira nata;SÃO LUIS / MA;;Registro negado antes da eleição;86692010;1091-83.2010.6.14.0000;12.172.071/0001-50;
ALCIDES PAES BERRETO;ALCIDES BARRETO;11150;APTO (Deferido);PP;11;FRENTE ACELERA PARÁ;PP / PT / PHS;Deputado Estadual;Masculino;1943-08-16;Casado(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;BELÉM / PA;;Suplente;93602010;1297-97.2010.6.14.0000;12.189.531/0001-53;
ALDERSON SANTOS DAS CHAGAS;SUB-TENENTE ALDERSON;44190;APTO (Deferido);PRP;44;Coligação PPS/PSDC/PMN/PRTB/PRP ;PPS / PSDC / PRTB / PMN / PRP;Deputado Estadual;Masculino;1968-03-20;Casado(a);Policial Militar;Ensino Médio completo;Brasileira nata;BELEM / PA;;Suplente;88762010;928-06.2010.6.14.0000;12.175.414/0001-30;
ALESSANDRO ALBUQUERQUE NOVELINO;ALESSANDRO NOVELINO;33123;APTO (Deferido);PMN;33;Coligação PPS/PSDC/PMN/PRTB/PRP ;PPS / PSDC / PRTB / PMN / PRP;Deputado Estadual;Masculino;1972-09-30;Casado(a);Deputado;Ensino Fundamental completo;Brasileira nata;BELÉM / PA;;Eleito;88772010;929-88.2010.6.14.0000;12.177.905/0001-10;
ALEXANDRE RAIMUNDO DE VASCONCELOS WANGHON;ALEXANDRE VON;45222;APTO (Deferido);PSDB;45;PSDB E DEM;DEM / PSDB;Deputado Estadual;Masculino;1965-02-26;Casado(a);Deputado;Superior completo;Brasileira nata;SANTAREM / PA;;Eleito;93632010;1208-74.2010.6.14.0000;12.206.195/0001-00;
ALEXANDRE WILLIANS ATAÍDE BARRA;PROF. ATAÍDE;65005;APTO (Deferido);PC do B;65;-;-;Deputado Estadual;Masculino;1971-02-05;Casado(a);Policial Civil;Superior incompleto;Brasileira nata;BELÉM / PA;;Não eleito;85522010;538-36.2010.6.14.0000;12.175.408/0001-83;
ALFREDO ANTONIO GOULART SADE;ALFREDO SADE;23555;APTO (Deferido);PPS;23;Coligação PPS/PSDC/PMN/PRTB/PRP ;PPS / PSDC / PRTB / PMN / PRP;Deputado Estadual;Masculino;1949-06-01;Casado(a);Advogado;Superior completo;Brasileira nata;BELÉM / PA;;Suplente;88782010;930-73.2010.6.14.0000;12.205.979/0001-13;
ALFREDO CARDOSO COSTA;PROFESSOR ALFREDO COSTA;13630;APTO (Deferido);PT;13;FRENTE ACELERA PARÁ;PP / PT / PHS;Deputado Estadual;Masculino;1966-02-25;Casado(a);Vereador;Superior completo;Brasileira nata;ACARÁ / PA;;Média;91622010;1217-36.2010.6.14.0000;12.173.564/0001-05;
ALFREDO PEREIRA GOMES;ALFREDO MULTIFITI;20689;APTO (Deferido);PSC;20;Coligação POR UM PARÁ MAIS UNIDO;PTN / PSC / PTC / PT do B;Deputado Estadual;Masculino;1971-08-27;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;SÃO SEBASTIÃO DA BOA VISTA / PA;;Suplente;133972010;1496-22.2010.6.14.0000;12.548.022/0001-70;
ALTAIR SALES COUTINHO;ALTAIR COUTINHO;25800;APTO (Deferido);DEM;25;PSDB E DEM;DEM / PSDB;Deputado Estadual;Masculino;1958-05-07;Divorciado(a);Empresário;Superior completo;Brasileira nata;MONTE ALEGRE / PA;;Suplente;89492010;835-43.2010.6.14.0000;12.170.818/0001-31;
AMARILDO DE ALMEIDA FERNANDES;AMARILDO FERNANDES;10789;APTO (Deferido);PRB;10;-;-;Deputado Estadual;Masculino;1962-04-29;Solteiro(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;BAIÃO / PA;;Suplente;87902010;744-50.2010.6.14.0000;12.172.576/0001-15;
AMELIA LEOPOLDINA PIMENTA PARENTE;AMELIA PARENTE;43444;APTO (Deferido);PV;43;-;-;Deputado Estadual;Feminino;1956-10-02;Solteiro(a);Técnico de Mineração, Metalurgia e Geologia;Ensino Médio completo;Brasileira nata;BELÉM / PA;;Suplente;85102010;1048-49.2010.6.14.0000;12.171.503/0001-09;
AMIRALDO BARBOZA PEREIRA;DR. MIRO;23456;APTO (Deferido);PPS;23;Coligação PPS/PSDC/PMN/PRTB/PRP ;PPS / PSDC / PRTB / PMN / PRP;Deputado Estadual;Masculino;1968-10-31;Casado(a);Advogado;Superior completo;Brasileira nata;PORTEL / PA;;Suplente;88792010;931-58.2010.6.14.0000;12.173.473/0001-70;
ANA CARLA CARVALHO DE MELO;CARLA;40664;INAPTO (Indeferido);PSB;40;-;-;Deputado Estadual;Feminino;1976-01-14;Solteiro(a);Servidor Público Estadual;Ensino Médio completo;Brasileira nata;BELEM / PA;;Registro negado antes da eleição;152462010;1636-56.2010.6.14.0000;12.466.046/0001-80;
ANA ISABEL MESQUITA DE OLIVEIRA;BEL MESQUITA;15010;APTO (Deferido);PMDB;15;-;-;Deputado Estadual;Feminino;1952-09-24;Divorciado(a);Deputado;Superior completo;Brasileira nata;JUNDIAI / SP;;Suplente;87132010;695-09.2010.6.14.0000;12.181.716/0001-11;
ANA MACHADO DO PRADO;ANA PRADO;15105;APTO (Deferido);PMDB;15;-;-;Deputado Estadual;Feminino;1939-11-15;Viúvo(a);Agente Administrativo;Ensino Médio incompleto;Brasileira nata;MUANÁ / PA;;Suplente;87142010;698-61.2010.6.14.0000;12.171.804/0001-32;
ANA MARIA BARRETO NABIÇA;ANA NABIÇA;65133;APTO (Deferido);PC do B;65;-;-;Deputado Estadual;Feminino;1955-07-26;Solteiro(a);Servidor Público Federal;Superior incompleto;Brasileira nata;CAMETA / PA;;Não eleito;85532010;539-21.2010.6.14.0000;12.170.032/0001-14;
ANA MARIA DO SOCORRO MAGNO CUNHA;ANA CUNHA;45130;APTO (Deferido);PSDB;45;PSDB E DEM;DEM / PSDB;Deputado Estadual;Feminino;1965-02-25;Casado(a);Deputado;Superior completo;Brasileira nata;BARCARENA / PA;;Média;92512010;1182-76.2010.6.14.0000;12.174.869/0001-31;
ANA REGINA CABRAL SUSUKI;REGINA DE FÉ EM DEUS;23125;INAPTO (Indeferido);PPS;23;Coligação PPS/PSDC/PMN/PRTB/PRP ;PPS / PSDC / PRTB / PMN / PRP;Deputado Estadual;Masculino;1959-12-04;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;MOSQUEIRO / PA;;;88802010;932-43.2010.6.14.0000;12.173.446/0001-05;
ANA RITA NASCIMENTO DA ANUNCIAÇÃO;ANA RITA;23548;APTO (Deferido);PPS;23;Coligação PPS/PSDC/PMN/PRTB/PRP ;PPS / PSDC / PRTB / PMN / PRP;Deputado Estadual;Feminino;1954-08-07;Casado(a);Outros;Ensino Médio completo;Brasileira nata;BELÉM / PA;;Suplente;88812010;933-28.2010.6.14.0000;12.169.114/0001-49;
ANA SUELY MAIA DE OLIVEIRA;SUELY;13014;APTO (Deferido);PT;13;FRENTE ACELERA PARÁ;PP / PT / PHS;Deputado Estadual;Feminino;1957-06-14;Divorciado(a);Outros;Superior completo;Brasileira nata;BELEM / PA;;Suplente;91632010;1218-21.2010.6.14.0000;12.198.987/0001-80;
