Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABIMADABE VIEIRA;ABIMADABE;25999;APTO (Deferido);DEM;25;Uma Nova Paraíba II;PDT / DEM / PSB / PSDB;Deputado Estadual;Feminino;1966-05-14;Divorciado(a);Outros;Superior completo;Brasileira nata;JOÃO PESSOA / PB;;Suplente;187762010;4505-62.2010.6.15.0000;12.181.661/0001-40;
ABMAEL DE SOUSA LACERDA;DR VERISINHO;15122;INAPTO (Indeferido);PMDB;15;PARAÍBA UNIDA 5;PMDB / PSC;Deputado Estadual;Masculino;1954-05-26;Casado(a);Médico;Superior completo;Brasileira nata;POMBAL / PB;;Registro negado antes da eleição;192782010;4880-63.2010.6.15.0000;12.189.938/0001-80;
ADEILTON FERREIRA DE LIMA;ADEILTON DA TEKCEL;31000;APTO (Deferido);PHS;31;PARAÍBA UNIDA III;PRTB / PHS / PMN / PC do B / PT do B;Deputado Estadual;Masculino;1974-08-07;Casado(a);Empresário;Ensino Fundamental incompleto;Brasileira nata;INGÁ / PB;;Suplente;188432010;4649-36.2010.6.15.0000;12.180.946/0001-66;
ADOLFO BRAZ DOS SANTOS;ADOLFO BRAZ;17555;APTO (Deferido);PSL;17;PARAÍBA UNIDA VII;PSL / PR;Deputado Estadual;Masculino;1961-02-11;Casado(a);Policial Militar;Ensino Médio completo;Brasileira nata;PRINCESA ISABEL / PB;;Suplente;186762010;4344-52.2010.6.15.0000;12.173.971/0001-12;
ADRIANA IEDJA FERREIRA AGRA;ADRIANA AGRA;44123;APTO (Deferido);PRP;44;UMA NOVA PARAÍBA 3;PTN / PPS / PTC / PV / PRP;Deputado Estadual;Feminino;1968-11-09;Casado(a);Outros;Ensino Médio completo;Brasileira nata;CAMPINA GRANDE / PB;;Suplente;187042010;4368-80.2010.6.15.0000;12.171.448/0001-57;
ADRIANO CEZAR GALDINO DE ARAÚJO;ADRIANO GALDINO;40444;APTO (Deferido);PSB;40;Uma Nova Paraíba II;PDT / DEM / PSB / PSDB;Deputado Estadual;Masculino;1960-10-21;Casado(a);Engenheiro;Superior completo;Brasileira nata;POCINHOS / PB;;Eleito;187772010;4506-47.2010.6.15.0000;12.175.983/0001-86;
ALAN DELON SA SILVA ALBUQUERQUE;ALAN;31111;APTO (Deferido);PHS;31;PARAÍBA UNIDA III;PRTB / PHS / PMN / PC do B / PT do B;Deputado Estadual;Masculino;1975-11-17;Casado(a);Motoboy;Superior incompleto;Brasileira nata;JOÃO PESSOA / PB;;Suplente;188442010;4650-21.2010.6.15.0000;12.168.462/0001-00;
ALBA LYGIA BRINDEIRO ARAUJO DE OLIVEIRA;ALBA;40007;INAPTO (Renúncia);PSB;40;Uma Nova Paraíba II;PDT / DEM / PSB / PSDB;Deputado Estadual;Feminino;1951-11-11;Casado(a);Aposentado (Exceto Servidor Público);Superior incompleto;Brasileira nata;JOAO PESSOA / PB;;;198372010;5002-76.2010.6.15.0000;12.813.350/0001-56;
ALBERICO FRANCISCO DO MONTE;ALBERICO MONTE;28242;APTO (Deferido);PRTB;28;PARAÍBA UNIDA III;PRTB / PHS / PMN / PC do B / PT do B;Deputado Estadual;Masculino;1978-11-04;Casado(a);Analista de Sistemas;Superior completo;Brasileira nata;RECIFE / PE;;Suplente;194872010;4848-58.2010.6.15.0000;12.198.143/0001-39;
ALBERTO ALEXANDRINO PEREIRA BRITO;CABRITO;27190;APTO (Deferido);PSDC;27;-;-;Deputado Estadual;Masculino;1959-01-26;Casado(a);Policial Militar;Ensino Médio completo;Brasileira nata;PEDREIRAS / MA;;Não eleito;220362010;5381-17.2010.6.15.0000;12.190.347/0001-23;
ALÉCIO COSTA;ALÉCIO COSTA;50150;APTO (Deferido);PSOL;50;-;-;Deputado Estadual;Masculino;1960-11-14;Casado(a);Representante Comercial;Ensino Médio completo;Brasileira nata;JOÃO PESSOA / PB;;Não eleito;186612010;4330-68.2010.6.15.0000;12.173.483/0001-05;
ALEXANDRE CRUZ MESQUITA;ALEXANDRE MESQUITA;65222;APTO (Deferido);PC do B;65;PARAÍBA UNIDA III;PRTB / PHS / PMN / PC do B / PT do B;Deputado Estadual;Masculino;1968-06-18;Casado(a);Taxista;Ensino Médio completo;Brasileira nata;JOA PESSOA / PB;;Suplente;188452010;4647-66.2010.6.15.0000;12.217.505/0001-91;
ALEXANDRE URQUIZA DE SÁ;URQUIZA;40040;APTO (Deferido);PSB;40;Uma Nova Paraíba II;PDT / DEM / PSB / PSDB;Deputado Estadual;Masculino;1959-10-25;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;PATOS / PB;;Suplente;187782010;4508-17.2010.6.15.0000;12.173.812/0001-18;
ALFREDO JOSÉ FERRETTI CISNEROS;DR ALFREDO FERRETTI;43100;APTO (Deferido);PV;43;UMA NOVA PARAÍBA 3;PTN / PPS / PTC / PV / PRP;Deputado Estadual;Masculino;1961-09-30;Solteiro(a);Médico;Superior completo;Brasileira (naturalizada);Nicarágua / DF;;Suplente;187052010;4369-65.2010.6.15.0000;12.177.352/0001-04;
ALVARO GAUDENCIO NETO;ALVARO NETO;15100;APTO (Deferido);PMDB;15;PARAÍBA UNIDA 5;PMDB / PSC;Deputado Estadual;Masculino;1957-02-23;Casado(a);Advogado;Superior completo;Brasileira nata;CAMPINA GRANDE / PB;;Suplente;192792010;4881-48.2010.6.15.0000;12.198.604/0001-73;
AMÉRICO GOMES DE ALMEIDA;DR. AMÉRICO;17666;APTO (Deferido);PSL;17;PARAÍBA UNIDA VII;PSL / PR;Deputado Estadual;Masculino;1956-08-22;Casado(a);Advogado;Superior completo;Brasileira nata;JOAO PESSOA / PB;;Suplente;186772010;4345-37.2010.6.15.0000;12.171.262/0001-06;
AMERICO MARCONE CABRAL DE LIRA;DR AMERICO CABRAL;40000;APTO (Deferido);PSB;40;Uma Nova Paraíba II;PDT / DEM / PSB / PSDB;Deputado Estadual;Masculino;1951-11-07;Divorciado(a);Servidor Público Estadual;Superior completo;Brasileira nata;NATUBA / PB;;Suplente;187792010;4509-02.2010.6.15.0000;12.206.155/0001-68;
