Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABDONIL FERREIRA DE SOUZA;ABDIAS FERREIRA;28500;APTO (Deferido);PRTB;28;UM NOVO TEMPO;PTN / PRTB;Deputado Estadual;Masculino;1963-06-24;Casado(a);Servidor Público Estadual;Ensino Médio completo;Brasileira nata;OLINDA / PE;;Não eleito;293352010;2423-04.2010.6.17.0000;12.177.167/0001-01;
ABINADABE BARBOSA BARBALHO DOS SANTOS;BINA;43012;APTO (Deferido);PV;43;-;-;Deputado Estadual;Feminino;1965-05-17;Casado(a);Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);Ensino Médio completo;Brasileira nata;GOIANA / PE;;Suplente;294092010;2696-80.2010.6.17.0000;12.179.860/0001-13;
ADALBERTO ALENCAR ALVES;ADALBERTO ALENCAR;50500;APTO (Deferido);PSOL;50;-;-;Deputado Estadual;Masculino;1979-01-05;Solteiro(a);Outros;Ensino Médio incompleto;Brasileira nata;JUAZEIRO DO NORTE / CE;;Não eleito;291012010;2290-59.2010.6.17.0000;12.181.804/0001-13;
ADALBERTO CAVALCANTI RODRIGUES;ADALBERTO CAVALCANTI;31111;APTO (Deferido);PHS;31;-;-;Deputado Estadual;Masculino;1958-02-10;Casado(a);Outros;Superior completo;Brasileira nata;JUAZEIRO / BA;;Eleito;291472010;2317-42.2010.6.17.0000;12.171.590/0001-02;
ADEILDO PEREIRA DA SILVA;ADEILDO PEREIRA;19019;APTO (Deferido);PTN;19;UM NOVO TEMPO;PTN / PRTB;Deputado Estadual;Masculino;1965-10-16;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;RECIFE / PE;;Não eleito;293362010;2425-71.2010.6.17.0000;12.177.433/0001-04;
ADELMO DUARTE RIBEIRO;ADELMO DUARTE;25777;INAPTO (Indeferido);DEM;25;-;-;Deputado Estadual;Masculino;1950-06-24;Viúvo(a);Deputado;Superior completo;Brasileira nata;LAJEDO / PE;;;284732010;2085-30.2010.6.17.0000;12.171.582/0001-58;
ADELSON CALDAS VERAS;ADELSON VERAS;22522;APTO (Deferido);PR;22;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL E ESTADUAL;PRB / PP / PDT / PT / PTB / PSC / PR / PSB / PC do B;Deputado Estadual;Masculino;1957-01-11;Casado(a);Outros;Superior incompleto;Brasileira nata;AFOGADOS DA INGAZEIRA / PE;;Suplente;294732010;2590-21.2010.6.17.0000;12.171.569/0001-07;
ADEMILTON GOMES DA COSTA;ADEMILTON COSTA GARÇON;70170;INAPTO (Renúncia);PT do B;70;PERNAMBUCO PARA TODOS;PSL / PSDC / PTC / PT do B;Deputado Estadual;Masculino;1967-01-20;Casado(a);Garçom;Ensino Médio completo;Brasileira nata;RECIFE / PE;;;292212010;2420-49.2010.6.17.0000;12.177.232/0001-07;
ADEMIR ALVES DA SILVA;ADEMIR FISCAL;50345;APTO (Deferido);PSOL;50;-;-;Deputado Estadual;Masculino;1951-09-10;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;RECIFE / PE;;Não eleito;291022010;2291-44.2010.6.17.0000;12.173.943/0001-03;
ADRIANA MARIA DUTRA DE GOIS;ADRIANA DE GOIS;23023;INAPTO (Renúncia);PPS;23;PERNAMBUCO PODE MUITO MAIS;PMDB / PPS / PMN;Deputado Estadual;Feminino;1969-05-08;Viúvo(a);Outros;Ensino Médio completo;Brasileira nata;SAO PAULO / SP;;;284162010;2031-64.2010.6.17.0000;12.179.349/0001-11;
ADRIANA SA LEITAO CORREIA DE ARAUJO;ADRIANA ARAUJO;31999;INAPTO (Indeferido);PHS;31;-;-;Deputado Estadual;Feminino;1984-07-04;Solteiro(a);Advogado;Ensino Médio completo;Brasileira nata;OLINDA / PE;;;291482010;2318-27.2010.6.17.0000;12.169.532/0001-36;
ADRIANO LOPES DE ANDRADE;ADRIANO LOPES;44789;INAPTO (Indeferido);PRP;44;-;-;Deputado Estadual;Masculino;1977-06-15;Casado(a);Comerciário;Ensino Fundamental completo;Brasileira nata;RECIFE / PE;;;288732010;2194-44.2010.6.17.0000;12.168.748/0001-87;
ADRIANO NEMESIO MARTINS;ADRIANO MARTINS;45545;APTO (Deferido);PSDB;45;-;-;Deputado Estadual;Masculino;1989-08-04;Solteiro(a);Agricultor;Superior incompleto;Brasileira nata;AGUAS BELAS / PE;;Suplente;286282010;2170-16.2010.6.17.0000;12.169.852/0001-96;
AÉCIO ROBSON DE ANDRADE VIANA;AÉCIO VIANA;44544;APTO (Deferido);PRP;44;-;-;Deputado Estadual;Masculino;1951-11-01;Solteiro(a);Advogado;Superior completo;Brasileira nata;RECIFE / PE;;Suplente;288792010;2200-51.2010.6.17.0000;12.170.418/0001-26;
AFRANIO AUGUSTO ARRUDA CHAVES;AFRANIO CHAVES;50550;INAPTO (Indeferido);PSOL;50;-;-;Deputado Estadual;Masculino;1963-03-31;Separado(a) judicialmente;Advogado;Superior completo;Brasileira nata;FORTALEZA / CE;;;291032010;2292-29.2010.6.17.0000;12.175.606/0001-47;
AGRINALDO JOSE E SILVA JUNIOR;AGRINALDO JOSE;44181;APTO (Deferido);PRP;44;-;-;Deputado Estadual;Masculino;1964-07-25;Solteiro(a);Servidor Público Municipal;Ensino Médio incompleto;Brasileira nata;RECIFE / PE;;Suplente;288742010;2195-29.2010.6.17.0000;12.176.734/0001-05;
ALBERTO JORGE DO NASCIMENTO FEITOSA;ALBERTO FEITOSA;22022;APTO (Deferido);PR;22;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL E ESTADUAL;PRB / PP / PDT / PT / PTB / PSC / PR / PSB / PC do B;Deputado Estadual;Masculino;1962-12-08;Casado(a);Militar Reformado;Superior completo;Brasileira nata;RECIFE / PE;;Eleito;294742010;2592-88.2010.6.17.0000;12.175.760/0001-19;
ALBERY LUCIANO DE OLIVEIRA FREITAS;ALBERY FREITAS;28007;APTO (Deferido);PRTB;28;UM NOVO TEMPO;PTN / PRTB;Deputado Estadual;Masculino;1974-02-16;Casado(a);Professor de Ensino Fundamental;Ensino Médio completo;Brasileira nata;RECIFE / PE;;Não eleito;293372010;2426-56.2010.6.17.0000;12.217.523/0001-73;
ALCINEA SANTOS PADILHA;ALCINEA PADILHA;31600;APTO (Deferido);PHS;31;-;-;Deputado Estadual;Feminino;1976-12-08;Solteiro(a);Técnico de Enfermagem e Assemelhados (Exceto Enfermeiro);Ensino Médio completo;Brasileira nata;RECIFE / PE;;Suplente;291492010;2319-12.2010.6.17.0000;12.167.667/0001-62;
ALEXANDRE DA SILVA RÊGO;ALEXANDRE RÊGO;25888;APTO (Deferido);DEM;25;-;-;Deputado Estadual;Masculino;1965-08-22;Solteiro(a);Servidor Público Estadual;Superior completo;Brasileira nata;RECIFE / PE;;Suplente;284742010;2088-82.2010.6.17.0000;12.175.421/0001-32;
ALEXANDRE DE ALBUQUERQUE GALVAO;DR GALVAO;33222;INAPTO (Indeferido);PMN;33;PERNAMBUCO PODE MUITO MAIS;PMDB / PPS / PMN;Deputado Estadual;Masculino;1973-09-29;Casado(a);Médico;Superior completo;Brasileira nata;RECIFE / PE;;;284172010;2032-49.2010.6.17.0000;12.181.226/0001-15;
ALMIR SANDRO DE MACEDO;PICA PAU;31613;APTO (Deferido);PHS;31;-;-;Deputado Estadual;Masculino;1979-04-11;Solteiro(a);Motorista de Veículos de Transporte de Carga;Ensino Fundamental incompleto;Brasileira nata;RECIFE / PE;;Suplente;291502010;2320-94.2010.6.17.0000;12.168.556/0001-70;
ALTAIR DA SILVA FERREIRA;ALTAIR DA SILVA;25165;APTO (Deferido);DEM;25;-;-;Deputado Estadual;Masculino;1977-01-01;Casado(a);Outros;Ensino Médio completo;Brasileira nata;RECIFE / PE;;Suplente;284752010;2124-27.2010.6.17.0000;12.167.283/0001-40;
ALTAMIR JOSE NUNES DE ANDRADE;ZINHO DO IBURA;27610;APTO (Deferido);PSDC;27;PERNAMBUCO PARA TODOS;PSL / PSDC / PTC / PT do B;Deputado Estadual;Masculino;1961-07-10;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;RECIFE / PE;;Suplente;292222010;2424-86.2010.6.17.0000;12.175.273/0001-56;
ALVORLANDE HENRIQUE DA CRUZ;ALVORLANDE CRUZ;36700;APTO (Deferido);PTC;36;PERNAMBUCO PARA TODOS;PSL / PSDC / PTC / PT do B;Deputado Estadual;Masculino;1963-02-25;Solteiro(a);Vereador;Superior completo;Brasileira nata;JUAZEIRO DA BAHIA / BA;;Suplente;292232010;2427-41.2010.6.17.0000;12.175.594/0001-50;
AMADEU DELANHY BERTHO DA SILVA;AMADEUS;23101;APTO (Deferido);PPS;23;PERNAMBUCO PODE MUITO MAIS;PMDB / PPS / PMN;Deputado Estadual;Masculino;1972-11-17;Solteiro(a);Empresário;Superior completo;Brasileira nata;PARINTINS / AM;;Suplente;284182010;2033-34.2010.6.17.0000;12.168.963/0001-88;
AMADEU SOUZA LIMA;AMADEU SOUZA LIMA;19345;APTO (Deferido);PTN;19;UM NOVO TEMPO;PTN / PRTB;Deputado Estadual;Masculino;1944-04-25;Casado(a);Outros;Ensino Fundamental incompleto;Brasileira nata;SERRA TALHADA / PE;;Não eleito;293382010;2428-26.2010.6.17.0000;12.170.006/0001-96;
AMARO CORREIA DOS SANTOS;PASTOR AMARO CORREIA;28100;APTO (Deferido);PRTB;28;UM NOVO TEMPO;PTN / PRTB;Deputado Estadual;Masculino;1970-09-22;Casado(a);Operador de Equipamento de Rádio, Televisão, Som e Cinema;Ensino Médio completo;Brasileira nata;RECIFE / PE;;Não eleito;293392010;2430-93.2010.6.17.0000;12.179.721/0001-90;
AMARO HONORATO DA SILVA;AMARO DO SINDICATO;44000;APTO (Deferido);PRP;44;-;-;Deputado Estadual;Masculino;1964-10-26;Divorciado(a);Vereador;Ensino Médio completo;Brasileira nata;CABO DE SANTO AGOSTINHO / PE;;Suplente;288752010;2196-14.2010.6.17.0000;12.176.936/0001-57;
AMARO JOAQUIM GALDINO;MARIO DO RESGATE;25456;APTO (Deferido);DEM;25;-;-;Deputado Estadual;Masculino;1968-06-07;Casado(a);Professor de Ensino Fundamental;Ensino Médio completo;Brasileira nata;BARREIROS / PE;;Suplente;284762010;2089-67.2010.6.17.0000;12.176.504/0001-46;
AMAURI CANDIDO DA SILVA;AMAURI CANDIDO;17633;APTO (Deferido);PSL;17;PERNAMBUCO PARA TODOS;PSL / PSDC / PTC / PT do B;Deputado Estadual;Masculino;1958-02-28;Casado(a);Comerciante;Ensino Médio completo;Brasileira nata;JABOATÃO DOS GUARARAPES / PE;;Suplente;292242010;2429-11.2010.6.17.0000;12.172.709/0001-53;
AMAURY DA SILVA PINTO;AMAURY PINTO;22500;APTO (Deferido);PR;22;FRENTE POPULAR DE PERNAMBUCO PARA DEPUTADO FEDERAL E ESTADUAL;PRB / PP / PDT / PT / PTB / PSC / PR / PSB / PC do B;Deputado Estadual;Masculino;1949-04-01;Casado(a);Outros;Ensino Médio completo;Brasileira nata;RECIFE / PE;;Suplente;294752010;2593-73.2010.6.17.0000;12.169.519/0001-87;
ANA PAULA DA SILVA;ANA PAULA;31612;APTO (Deferido);PHS;31;-;-;Deputado Estadual;Feminino;1980-06-30;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;JABOATÃO DOS GUARARAPES / PE;;Suplente;291512010;2321-79.2010.6.17.0000;12.168.722/0001-39;
ANDRE ALMEIDA DA SILVA;RADIALISTA ANDRE ALMEIDA;33100;APTO (Deferido);PMN;33;PERNAMBUCO PODE MUITO MAIS;PMDB / PPS / PMN;Deputado Estadual;Masculino;1977-11-28;Casado(a);Locutor e Comentarista de Rádio e Televisão e Radialista;Superior incompleto;Brasileira nata;RECIFE / PE;;Suplente;284192010;2035-04.2010.6.17.0000;12.198.102/0001-42;
ANDRE DE SENA GOMES;VAQUEIRO;31610;APTO (Deferido);PHS;31;-;-;Deputado Estadual;Masculino;1981-12-20;Solteiro(a);Outros;Ensino Fundamental completo;Brasileira nata;RECIFE / PE;;Suplente;291522010;2322-64.2010.6.17.0000;12.167.799/0001-94;
ANDRE LUIZ RANGEL DE FARIAS;ALF;44655;APTO (Indeferido com recurso);PRP;44;-;-;Deputado Estadual;Masculino;1973-02-04;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;OLINDA / PE;;Indeferido com Recurso;288762010;2197-96.2010.6.17.0000;12.180.544/0001-61;
