Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALDAMIR FERREIRA PONTES;ALDAMIR;33107;APTO (Deferido);PMN;33;-;-;Deputado Estadual;Masculino;1948-07-19;Casado(a);Agricultor;Lê e escreve;Brasileira nata;LUZILANDIA / PI;;Não eleito;162552010;2217-60.2010.6.18.0000;12.204.222/0001-05;
ALICE LOPES DE ANDRADE E SILVA LEBRE;ALICE LOPES;43143;APTO (Deferido);PV;43;-;-;Deputado Estadual;Feminino;1957-11-14;Casado(a);Diretor de Estabelecimento de Ensino;Superior completo;Brasileira nata;TERESINA / PI;;Não eleito;151482010;2045-21.2010.6.18.0000;12.172.768/0001-21;
ANA CRISTINA DA SILVA VERAS;ANA VERAS;50567;APTO (Deferido);PSOL;50;-;-;Deputado Estadual;Feminino;1979-07-23;Solteiro(a);Agente de Saúde e Sanitarista;Superior completo;Brasileira nata;TERESINA / PI;;Não eleito;153622010;1932-67.2010.6.18.0000;12.205.074/0001-43;
ANA PAULA MENDES ARAÚJO;ANA PAULA;15110;APTO (Deferido);PMDB;15;PARA O PIAUÍ SEGUIR MUDANDO II;PRB / PMDB / PTN / PR / PSB / PRP / PC do B;Deputado Estadual;Feminino;1969-04-14;Separado(a) judicialmente;Deputado;Superior completo;Brasileira nata;GUADALUPE / PI;;Eleito;152352010;1752-51.2010.6.18.0000;12.176.312/0001-30;
ANA ROSA ELIAS GOMES;ANA ROSA;45333;INAPTO (Renúncia);PSDB;45;A FORÇA DO POVO;PSC / PPS / DEM / PSDB;Deputado Estadual;Feminino;1986-03-11;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Ensino Médio incompleto;Brasileira nata;TERESINA / PI;;;150692010;2009-76.2010.6.18.0000;12.178.767/0001-94;
ANGELICA COELHO LACERDA;ANGELICA COELHO;40451;APTO (Deferido);PSB;40;PARA O PIAUÍ SEGUIR MUDANDO II;PRB / PMDB / PTN / PR / PSB / PRP / PC do B;Deputado Estadual;Feminino;1977-07-04;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Superior incompleto;Brasileira nata;SÃO PAULO / SP;;Suplente;152362010;1761-13.2010.6.18.0000;12.179.967/0001-61;
ANGÉLICA MARIA ARAUJO ALMEIDA DE SOUSA;ANGÉLICA;17177;APTO (Deferido);PSL;17;-;-;Deputado Estadual;Feminino;1987-04-10;Solteiro(a);Professor de Ensino Médio;Superior incompleto;Brasileira nata;TERESINA / PI;;Não eleito;153472010;1931-82.2010.6.18.0000;12.169.019/0001-45;
ANISIO ALMEIDA NEVES NETO;ANISIO NEVES;25456;APTO (Deferido);DEM;25;A FORÇA DO POVO;PSC / PPS / DEM / PSDB;Deputado Estadual;Masculino;1955-11-03;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;PARNAIBA / PI;;Suplente;150702010;2012-31.2010.6.18.0000;12.176.544/0001-98;
ANTONIA MARIA DA SILVA;ANTONIA MARIA;43222;APTO (Deferido);PV;43;-;-;Deputado Estadual;Feminino;1965-01-31;Divorciado(a);Terapeuta;Ensino Médio completo;Brasileira nata;REGENERAÇÃO / PI;;Não eleito;151492010;2049-58.2010.6.18.0000;12.173.856/0001-48;
ANTONIO DE JESUS SANTOS DE VASCONCELOS;VASCO;44000;APTO (Deferido);PRP;44;PARA O PIAUÍ SEGUIR MUDANDO II;PRB / PMDB / PTN / PR / PSB / PRP / PC do B;Deputado Estadual;Masculino;1954-01-31;Casado(a);Economista;Superior completo;Brasileira nata;MATIAS OLIMPIO / PI;;Suplente;152372010;1763-80.2010.6.18.0000;12.169.419/0001-50;
ANTONIO DIONISIO DO NASCIMENTO;TOINHO NEMÉSIO;19333;APTO (Deferido);PTN;19;PARA O PIAUÍ SEGUIR MUDANDO II;PRB / PMDB / PTN / PR / PSB / PRP / PC do B;Deputado Estadual;Masculino;1953-06-13;Divorciado(a);Comerciante;Ensino Médio completo;Brasileira nata;BARRAS / PI;;Suplente;152382010;1766-35.2010.6.18.0000;12.171.811/0001-34;
ANTONIO DO NASCIMENTO SIRIANO;SIRIANO;36777;APTO (Deferido);PTC;36;UNIDOS PELO PIAUÍ;PHS / PTC / PT do B;Deputado Estadual;Masculino;1963-09-07;Casado(a);Policial Militar;Superior completo;Brasileira nata;INDEPENDENCIA / CE;;Suplente;150042010;1790-63.2010.6.18.0000;12.174.992/0001-52;
ANTONIO FRANCISCO FELIX DE ANDRADE;ANTÔNIO FÉLIX;23123;APTO (Deferido);PPS;23;A FORÇA DO POVO;PSC / PPS / DEM / PSDB;Deputado Estadual;Masculino;1966-10-17;Casado(a);Deputado;Superior completo;Brasileira nata;CAMPO MAIOR / PI;;Média;150712010;2002-84.2010.6.18.0000;12.176.453/0001-52;
ANTONIO REINALDO FERNANDES DA SILVA;REINALDO;33115;INAPTO (Indeferido);PMN;33;-;-;Deputado Estadual;Masculino;1969-09-02;Solteiro(a);Empresário;Ensino Médio completo;Brasileira nata;B.BRAVO / MA;;;152902010;1954-28.2010.6.18.0000;12.179.753/0001-95;
ANTONIO UCHOA DE OLIVEIRA;UCHOA;12222;APTO (Deferido);PDT;12;PP - PDT;PP / PDT;Deputado Estadual;Masculino;1951-01-01;Casado(a);Advogado;Superior completo;Brasileira nata;TERESINA / PI;;Suplente;151712010;1930-97.2010.6.18.0000;12.169.417/0001-61;
ARIOVALDO MARTINS DO LAGO;ARI MARTINS;45444;INAPTO (Indeferido);PSDB;45;A FORÇA DO POVO;PSC / PPS / DEM / PSDB;Deputado Estadual;Masculino;1967-08-17;Separado(a) judicialmente;Servidor Público Estadual;Superior incompleto;Brasileira nata;BOM JESUS / PI;;;150722010;1950-88.2010.6.18.0000;12.176.421/0001-57;
BARTOLOMEU DE MORAIS SOUSA;BARTOZIM;44555;APTO (Deferido);PRP;44;PARA O PIAUÍ SEGUIR MUDANDO II;PRB / PMDB / PTN / PR / PSB / PRP / PC do B;Deputado Estadual;Masculino;1970-11-29;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;DEMERVAL LOBAO / PI;;Suplente;152392010;1768-05.2010.6.18.0000;12.214.388/0001-02;
BENTO ALVES DA SILVA;BENTO ALVES;12000;APTO (Deferido);PDT;12;PP - PDT;PP / PDT;Deputado Estadual;Masculino;1954-09-20;Casado(a);Servidor Público Federal;Ensino Médio completo;Brasileira nata;SÃO JOÃO DOS PATOS / MA;;Suplente;151722010;1900-62.2010.6.18.0000;12.170.955/0001-76;
CAIO LUSTOSA BUCAR;CAIO LUSTOSA BUCAR;14111;APTO (Deferido);PTB;14;TRABALHO E PROGRESSO;PTB / PRTB;Deputado Estadual;Masculino;1968-04-27;Casado(a);Bancário e Economiário;Superior completo;Brasileira nata;FLORIANO / PI;;Suplente;151082010;1796-70.2010.6.18.0000;12.175.565/0001-99;
CANDIDO INACIO DA SILVA JUNIOR;CANDINHO;12612;APTO (Deferido);PDT;12;PP - PDT;PP / PDT;Deputado Estadual;Masculino;1959-06-30;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;PARNAIBA / PI;;Suplente;151732010;1902-32.2010.6.18.0000;12.172.364/0001-38;
CARIOLANDO PEREIRA DE FRANÇA;MINAS DE FRANÇA;50222;APTO (Deferido);PSOL;50;-;-;Deputado Estadual;Masculino;1961-01-23;Casado(a);Músico;Ensino Médio incompleto;Brasileira nata;SERRA TALHADA / PE;;Não eleito;153632010;1933-52.2010.6.18.0000;12.235.223/0001-17;
CARLA MARGARIDA MARIA BAHURIN DE SOUSA RAMOS;CARLA RAMOS;70370;APTO (Deferido);PT do B;70;UNIDOS PELO PIAUÍ;PHS / PTC / PT do B;Deputado Estadual;Feminino;1961-04-12;Solteiro(a);Músico;Lê e escreve;Brasileira nata;TERESINA / PI;;Suplente;150052010;1791-48.2010.6.18.0000;12.173.132/0001-02;
CARLITO NEVES CARVALHO;ZEBRA NELES;36123;APTO (Deferido);PTC;36;UNIDOS PELO PIAUÍ;PHS / PTC / PT do B;Deputado Estadual;Masculino;1961-06-04;Solteiro(a);Motorista de Veículos de Transporte Coletivo de Passageiros;Ensino Fundamental incompleto;Brasileira nata;BARRAS / PI;;Suplente;150062010;1792-33.2010.6.18.0000;12.172.760/0001-65;
CARLOS ALBERTO ALVES DE SOUSA;CARLOS ALBERTO;25654;APTO (Deferido);DEM;25;A FORÇA DO POVO;PSC / PPS / DEM / PSDB;Deputado Estadual;Masculino;1964-01-17;Separado(a) judicialmente;Auxiliar de Escritório e Assemelhados;Superior incompleto;Brasileira nata;TERESINA / PI;;Suplente;162502010;2215-90.2010.6.18.0000;12.204.344/0001-00;
CARLOS ALBERTO DA COSTA;CARLOS ALBERTO NENEN;31123;APTO (Deferido);PHS;31;UNIDOS PELO PIAUÍ;PHS / PTC / PT do B;Deputado Estadual;Masculino;1955-11-10;Casado(a);Outros;Ensino Médio completo;Brasileira nata;TERESINA / PR;;Suplente;150072010;1793-18.2010.6.18.0000;12.170.935/0001-03;
CARLOS ALBERTO DA ROCHA;PULIM;43121;INAPTO (Indeferido);PV;43;-;-;Deputado Estadual;Masculino;1949-08-27;Casado(a);Comerciante;Ensino Médio incompleto;Brasileira nata;PICOS / PI;;;164622010;2246-13.2010.6.18.0000;12.206.055/0001-31;
CARLOS ANTONIO FERREIRA LOPES;CARLOS LOPES;43122;INAPTO (Indeferido);PV;43;-;-;Deputado Estadual;Masculino;1963-04-16;Casado(a);Auxiliar de Escritório e Assemelhados;Superior completo;Brasileira nata;TERESINA / PI;;;151502010;2050-43.2010.6.18.0000;12.176.457/0001-30;
CARLOS AUGUSTO DE OLIVEIRA MEDEIROS;CARLOS MEDEIRO;70147;APTO (Deferido);PT do B;70;UNIDOS PELO PIAUÍ;PHS / PTC / PT do B;Deputado Estadual;Masculino;1953-07-25;Casado(a);Advogado;Ensino Médio completo;Brasileira nata;ESPERANTINA / PI;;Suplente;150082010;1794-03.2010.6.18.0000;12.171.780/0001-11;
