Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADABETE FERREIRA DIAS;ANABETE DIAS;22345;INAPTO (Indeferido);PR;22;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Estadual;Feminino;1963-09-06;Divorciado(a);Empresário;Ensino Fundamental completo;Brasileira nata;CONSELHEIRO MAINARD / PR;;;146682010;1042-85.2010.6.16.0000;12.179.971/0001-20;
ADAILSON CARLOS IGNACIO DA COSTA;DADÁ;12100;APTO (Deferido);PDT;12;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Estadual;Masculino;1975-01-07;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;CIANORTE / PR;;Suplente;146692010;1044-55.2010.6.16.0000;12.180.785/0001-00;
ADALBERTO CORDEIRO ROCHA;DR. ROCHINHA;50234;APTO (Deferido);PSOL;50;-;-;Deputado Estadual;Masculino;1962-11-18;Solteiro(a);Advogado;Superior completo;Brasileira nata;PARANAGUA / PR;;Não eleito;143202010;680-83.2010.6.16.0000;12.177.725/0001-39;
ADAO KARPINSKI BOHENIK;ADAO KARPINSKI BOHENIK;20300;APTO (Deferido);PSC;20;-;-;Deputado Estadual;Masculino;1956-06-19;Casado(a);Outros;Ensino Médio completo;Brasileira nata;RIO NEGRO / PR;;Suplente;145052010;1327-78.2010.6.16.0000;12.173.147/0001-62;
ADAUTO DA SILVA;PROFESSOR ADAUTO;13900;APTO (Deferido);PT;13;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Estadual;Masculino;1969-05-29;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;CIANORTE / PR;;Suplente;146702010;1046-25.2010.6.16.0000;12.241.676/0001-56;
ADAYR CABRAL FILHO;ADAYR CABRAL;11234;APTO (Deferido);PP;11;PSDB - PP - DEM - PTB - PRB;PRB / PP / PTB / DEM / PSDB;Deputado Estadual;Masculino;1959-04-20;Divorciado(a);Engenheiro;Superior completo;Brasileira nata;CURITIBA / PR;;Suplente;141472010;1274-97.2010.6.16.0000;12.175.241/0001-50;
ADEL LUIZ YOUSSEF;PROF. ADEL;27789;APTO (Deferido);PSDC;27;PARANA MAIS FORTE;PSDC / PHS / PMN / PTC;Deputado Estadual;Masculino;1960-12-26;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;CURITIBA / PR;;Suplente;143882010;1009-95.2010.6.16.0000;12.204.617/0001-08;
ADELAIDE GONSALES COLOMBARI;PROFª ADELAIDE;15020;INAPTO (Renúncia);PMDB;15;UNIÃO PELO PARANÁ;PDT / PT / PMDB / PR / PC do B;Deputado Estadual;Feminino;1944-02-02;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;REGENTE FEIJÓ / SP;;;146712010;1048-92.2010.6.16.0000;12.178.238/0001-90;
ADELINA DA GRAÇA FAGUNDES FREITAS;GRAÇA;33112;INAPTO (Indeferido);PMN;33;PARANA MAIS FORTE;PSDC / PHS / PMN / PTC;Deputado Estadual;Feminino;1950-10-22;Divorciado(a);Administrador;Superior completo;Brasileira nata;FLORIANOPOLIS / SC;;;143892010;1011-65.2010.6.16.0000;12.173.703/0001-09;
ADELINO RIBEIRO SILVA;ADELINO RIBEIRO;17800;APTO (Deferido);PSL;17;PARANÁ PELA VITÓRIA;PSL / PTN / PRP;Deputado Estadual;Masculino;1984-03-16;Casado(a);Agente Administrativo;Ensino Médio completo;Brasileira nata;GOIOERE / PR;;Eleito;140722010;1201-28.2010.6.16.0000;12.178.186/0001-52;
