Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABRAÃO LINCOLN FERREIRA DA CRUZ;ABRAÃO LINCOLN;15555;APTO (Deferido);PMDB;15;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Estadual;Masculino;1961-04-11;Casado(a);Servidor Público Municipal;Superior incompleto;Brasileira nata;NATAL / RN;;Suplente;165162010;3861-81.2010.6.20.0000;12.198.810/0001-83;
ADAO ERIDAN DE ANDRADE;ADAO ERIDAN;22123;APTO (Deferido);PR;22;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Estadual;Masculino;1961-08-29;Casado(a);Vereador;Ensino Fundamental completo;Brasileira nata;AIUBA / CE;;Suplente;165172010;3771-73.2010.6.20.0000;12.199.419/0001-01;
AFRANIO DE SOUSA AMORIM;AFRANIO AMORIM - AFRANIO - AMO;12120;APTO (Deferido);PDT;12;CORAGEM PRA MUDAR II;PDT / PRP / PC do B;Deputado Estadual;Masculino;1936-05-10;Casado(a);Industrial;Superior completo;Brasileira nata;MARTINS / RN;;Suplente;171842010;4036-75.2010.6.20.0000;12.189.399/0001-80;
AGNALDO JOSE DA SILVA;SARGENTO AGNALDO;36193;APTO (Deferido);PTC;36;-;-;Deputado Estadual;Masculino;1967-11-16;Solteiro(a);Bombeiro Militar;Ensino Médio completo;Brasileira nata;NATAL / RN;;Não eleito;163572010;3727-54.2010.6.20.0000;12.179.494/0001-00;
AGNELO ALVES;AGNELO ALVES;12123;APTO (Deferido);PDT;12;CORAGEM PRA MUDAR II;PDT / PRP / PC do B;Deputado Estadual;Masculino;1932-07-16;Casado(a);Jornalista e Redator;Ensino Fundamental completo;Brasileira nata;CEARÁ MIRIM / RN;;Eleito;167252010;3913-77.2010.6.20.0000;12.197.961/0001-17;
ALBERIS ERON FLAVIO DE OLIVEIRA;ERON OLIVEIRA;13123;APTO (Deferido);PT;13;-;-;Deputado Estadual;Masculino;1971-04-04;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;PARNAMIRIN / RN;;Suplente;165532010;3726-69.2010.6.20.0000;12.178.384/0001-16;
ANA DILMA DA SILVA;ANA DILMA;21111;APTO (Deferido);PCB;21;-;-;Deputado Estadual;Feminino;1971-05-10;Casado(a);Agente de Saúde e Sanitarista;Ensino Fundamental completo;Brasileira nata;TAIPU / RN;;Não eleito;173512010;3809-85.2010.6.20.0000;12.199.917/0001-46;
ANA SOARES VITAL;ANA SOARES;13644;APTO (Deferido);PT;13;-;-;Deputado Estadual;Feminino;1949-12-09;Solteiro(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;CANGUARETAMA / RN;;Suplente;172022010;4050-59.2010.6.20.0000;12.198.444/0001-62;
ANIZIO LUCIO BARBOSA;ANIZIO;12333;APTO (Deferido);PDT;12;CORAGEM PRA MUDAR II;PDT / PRP / PC do B;Deputado Estadual;Masculino;1963-01-29;Casado(a);Policial Militar;Ensino Médio completo;Brasileira nata;RECIFE / PE;;Suplente;170392010;3987-34.2010.6.20.0000;12.190.402/0001-85;
ANTONIO ANDRE DA SILVA JUNIOR;JUNIOR ANTÔNIO;13444;APTO (Deferido);PT;13;-;-;Deputado Estadual;Masculino;1968-10-10;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Ensino Médio incompleto;Brasileira nata;PARNAMIRIN / RN;;Suplente;165542010;3725-84.2010.6.20.0000;12.179.516/0001-24;
ANTÔNIO CARLOS DANTAS SILVA;TOINHO DO FRUTILÂNDIA;45678;APTO (Deferido);PSDB;45;FORÇA DA UNIÃO;PSL / PTN / PSC / DEM / PMN / PSDB;Deputado Estadual;Masculino;1966-01-13;Casado(a);Servidor Público Municipal;Ensino Médio completo;Brasileira nata;ASSÚ / RN;;Suplente;165942010;3755-22.2010.6.20.0000;12.177.592/0001-09;
ANTONIO CARLOS JESUS DOS SANTOS;CARLOS SANTOS;22333;APTO (Deferido);PR;22;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Estadual;Masculino;1965-05-02;Casado(a);Administrador;Ensino Médio completo;Brasileira nata;MARAGOGIPE / BA;;Suplente;165182010;3769-06.2010.6.20.0000;12.199.150/0001-55;
ANTONIO FERREIRA DE LIMA JUNIOR;ANTONIO JUNIOR;40133;APTO (Deferido);PSB;40;VITORIA DO POVO I;PTB / PPS / PSB;Deputado Estadual;Masculino;1965-12-20;Casado(a);Outros;Ensino Médio completo;Brasileira nata;NATAL / RN;;Suplente;166552010;3868-73.2010.6.20.0000;12.190.528/0001-50;
ANTONIO FONSECA SILVA;ARAPUÁ;10777;APTO (Deferido);PRB;10;MUDANÇA E RENOVAÇÃO;PRB / PP / PSDC / PHS;Deputado Estadual;Masculino;1964-07-03;Casado(a);Empresário;Ensino Fundamental incompleto;Brasileira nata;IPANGUAÇU / RN;;Suplente;167562010;3938-90.2010.6.20.0000;12.176.793/0001-83;
ANTÔNIO JÁCOME DE LIMA JÚNIOR;ANTÔNIO JÁCOME;33133;APTO (Deferido);PMN;33;FORÇA DA UNIÃO;PSL / PTN / PSC / DEM / PMN / PSDB;Deputado Estadual;Masculino;1962-05-26;Casado(a);Médico;Superior completo;Brasileira nata;SOUZA / PB;;Eleito;165952010;3754-37.2010.6.20.0000;12.199.181/0001-06;
ANTÔNIO PETRONILO DANTAS FILHO;DR. ANTÔNIO PETRONILO;15111;APTO (Deferido);PMDB;15;POR UM RIO GRANDE DO NORTE MELHOR;PMDB / PR / PV;Deputado Estadual;Masculino;1943-11-03;Casado(a);Médico;Superior completo;Brasileira nata;CARNAÚBA DOS DANTAS / RN;;Suplente;165192010;3768-21.2010.6.20.0000;12.198.276/0001-05;
ARAO OLIVEIRA DE FARIA;ARÃO;31777;APTO (Deferido);PHS;31;MUDANÇA E RENOVAÇÃO;PRB / PP / PSDC / PHS;Deputado Estadual;Masculino;1938-10-11;Casado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;AÇU / RN;;Suplente;167572010;3939-75.2010.6.20.0000;12.174.356/0001-20;
ARNÓBIO DA PENHA PACHECO;ARNÓBIO PACHECO;33456;APTO (Deferido);PMN;33;FORÇA DA UNIÃO;PSL / PTN / PSC / DEM / PMN / PSDB;Deputado Estadual;Masculino;1952-01-13;Casado(a);Médico;Superior completo;Brasileira nata;NATAL / RN;;Suplente;165962010;3753-52.2010.6.20.0000;12.198.448/0001-40;
AUGUSTO CÉSAR LEMOS COSTA;AUGUSTO CÉSAR;45444;APTO (Deferido);PSDB;45;FORÇA DA UNIÃO;PSL / PTN / PSC / DEM / PMN / PSDB;Deputado Estadual;Masculino;1975-07-02;Solteiro(a);Engenheiro;Superior completo;Brasileira nata;NATAL / RN;;Suplente;165972010;3796-86.2010.6.20.0000;12.181.349/0001-56;
AUREA MARIA FELICIANO DE ALBUQUERQUE;AUREA ALBUQUERQUE;27077;APTO (Deferido);PSDC;27;MUDANÇA E RENOVAÇÃO;PRB / PP / PSDC / PHS;Deputado Estadual;Feminino;1983-10-11;Casado(a);Advogado;Superior completo;Brasileira nata;BARBALHA / CE;;Suplente;189092010;4306-02.2010.6.20.0000;12.262.751/0001-65;
CAMILA LIMA GUERREIRO;CAMILA LIMA;23888;APTO (Deferido);PPS;23;VITORIA DO POVO I;PTB / PPS / PSB;Deputado Estadual;Feminino;1982-11-06;Casado(a);Comerciário;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;206832010;4533-89.2010.6.20.0000;12.325.659/0001-05;
