Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADAIR CARDOSO BATISTA;ADAIR CARDOSO;27678;INAPTO (Renúncia);PSDC;27;PPS/PSDC;PPS / PSDC;Deputado Estadual;Masculino;1980-03-28;Casado(a);Vereador;Ensino Fundamental completo;Brasileira nata;ARAPUTANGA / MT;;;153092010;1071-70.2010.6.22.0000;12.204.940/0001-81;
ADAIR MOULAZ;ADAIR MOULAZ;45670;APTO (Deferido);PSDB;45;PARA RONDONIA DESENVOLVER;PTC / PSDB;Deputado Estadual;Masculino;1954-11-13;Solteiro(a);Vereador;Ensino Médio completo;Brasileira nata;BARRA DE SÃO FRANCISCO / ES;;Suplente;157642010;1175-62.2010.6.22.0000;12.190.233/0001-83;
ADEIR DO BOM FIM;PROF. ADEIR;23580;APTO (Deferido);PPS;23;PPS/PSDC;PPS / PSDC;Deputado Estadual;Masculino;1965-01-17;Separado(a) judicialmente;Professor de Ensino Médio;Superior completo;Brasileira nata;IGUATEMI / MG;;Suplente;153102010;1072-55.2010.6.22.0000;12.214.192/0001-18;
ADELINO ÂNGELO FOLLADOR;ADELINO FOLLADOR;25500;APTO (Deferido);DEM;25;ALIANÇA POR UMA RONDONIA MELHOR PARA TODOS II;PDT / DEM / PRTB / PC do B;Deputado Estadual;Masculino;1952-03-10;Casado(a);Agricultor;Ensino Médio completo;Brasileira (naturalizada);BARÃO DE COTEGIPE / RS;;Eleito;152532010;853-42.2010.6.22.0000;12.204.159/0001-07;
ADELSON ALVES NAZARET;ADELSON ALVES;44345;APTO (Deferido);PRP;44;UNIDOS POR RONDÔNIA;PSL / PHS / PMN / PRP;Deputado Estadual;Masculino;1967-06-06;Solteiro(a);Agricultor;Ensino Fundamental incompleto;Brasileira nata;INVEJARA / ES;;Suplente;154542010;991-09.2010.6.22.0000;12.206.370/0001-69;
ADELSON FRANCISCO DA SILVA;ADELSON;20559;APTO (Deferido);PSC;20;RONDONIA DE TODOS NÓS;PRB / PSC / PR / PT do B;Deputado Estadual;Masculino;1971-10-15;Casado(a);Cobrador de Transporte Coletivo;Ensino Médio incompleto;Brasileira nata;IPORÃ / PR;;Suplente;158482010;1157-41.2010.6.22.0000;12.190.594/0001-20;
ADEMAR DUTRA PEREIRA;CAMARÃO DA SUCAM;15200;APTO (Deferido);PMDB;15;-;-;Deputado Estadual;Masculino;1962-08-17;Solteiro(a);Outros;Superior incompleto;Brasileira (naturalizada);FRANCISCO BELTRAN / PR;;Suplente;151272010;944-35.2010.6.22.0000;12.256.128/0001-08;
ADEMIR CASTELLANI;ADEMIR MIL;43330;APTO (Deferido);PV;43;-;-;Deputado Estadual;Masculino;1955-04-15;Casado(a);Comerciante;Ensino Médio completo;Brasileira nata;DRACEMA / SP;;Suplente;151052010;1030-06.2010.6.22.0000;12.204.992/0001-58;
ADILSON JULIO PEREIRA;ADILSON JULIO;44333;APTO (Deferido);PRP;44;UNIDOS POR RONDÔNIA;PSL / PHS / PMN / PRP;Deputado Estadual;Masculino;1970-03-15;Casado(a);Servidor Público Municipal;Superior completo;Brasileira nata;GUAIRA / PR;;Suplente;154552010;992-91.2010.6.22.0000;12.206.295/0001-36;
ADILSON RODRIGUES TULIO;TULIO;23223;INAPTO (Indeferido);PPS;23;PPS/PSDC;PPS / PSDC;Deputado Estadual;Masculino;1964-10-21;Casado(a);Jornalista e Redator;Ensino Médio completo;Brasileira nata;CURITIBA / PR;;;153112010;1073-40.2010.6.22.0000;12.177.920/0001-69;
