Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABILIO DIAS DE ANDRADE NETO;ABILIO DIAS;10567;APTO (Deferido);PRB;10;PRB - PC do B;PRB / PC do B;Deputado Estadual;Masculino;1978-02-08;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;RECIFE / PE;;Suplente;23202010;815-03.2010.6.23.0000;12.177.826/0001-00;
ADALBERTO ALVES DA SILVA;ADALBERTO CEARA;44126;APTO (Deferido);PRP;44;A FORÇA DO POVO;PDT / PSDC / PRP;Deputado Estadual;Masculino;1954-11-11;Solteiro(a);Outros;Ensino Fundamental incompleto;Brasileira nata;FORTALEZA / CE;;Suplente;23722010;944-08.2010.6.23.0000;12.173.578/0001-29;
ADELINO DIAS DE SOUSA FILHO;ADELINO FILHO;17123;APTO (Deferido);PSL;17;PSL E PMN;PSL / PMN;Deputado Estadual;Masculino;1954-03-03;Casado(a);Taxista;Ensino Médio completo;Brasileira nata;BACABAL / MA;;Suplente;25092010;747-53.2010.6.23.0000;12.173.002/0001-61;
ADEMIR FERREIRA DE LIMA;NEGÃO DO PRIMAVERA;17121;APTO (Deferido);PSL;17;PSL E PMN;PSL / PMN;Deputado Estadual;Masculino;1968-10-09;Casado(a);Servidor Público Municipal;Ensino Médio completo;Brasileira nata;LAGO DO JUNCO / MA;;Suplente;25102010;748-38.2010.6.23.0000;12.176.279/0001-48;
ADENAUER FERREIRA NICACIO;NICACIO FILHO;44467;INAPTO (Renúncia);PRP;44;A FORÇA DO POVO;PDT / PSDC / PRP;Deputado Estadual;Masculino;1978-07-28;Casado(a);Eletricista e Assemelhados;Ensino Fundamental completo;Brasileira nata;BOA VISTA / RR;;;23732010;945-90.2010.6.23.0000;;
ADILSON SOARES DE ALMEIDA;ADILSON DO ASA;11777;APTO (Deferido);PP;11;MUDAR PRA SER FELIZ;PP / PSB;Deputado Estadual;Masculino;1967-10-14;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;BOQUIRA / BA;;Suplente;27932010;1158-96.2010.6.23.0000;12.176.340/0001-57;
ADJANE BRAZ DA LUZ;ADJANE BRAZ;11654;APTO (Deferido);PP;11;MUDAR PRA SER FELIZ;PP / PSB;Deputado Estadual;Feminino;1968-08-01;Solteiro(a);Outros;Ensino Fundamental completo;Brasileira nata;AVEIRO / PA;;Suplente;34442010;1296-63.2010.6.23.0000;12.293.373/0001-87;
ADRIANE CRISTINA LEOCADIO VIANA;ADRIANE LEOCADIO;44001;APTO (Deferido);PRP;44;A FORÇA DO POVO;PDT / PSDC / PRP;Deputado Estadual;Feminino;1987-11-28;Casado(a);Dona de Casa;Ensino Médio completo;Brasileira nata;MANAUS / AM;;Suplente;23742010;946-75.2010.6.23.0000;12.178.037/0001-93;
ADRIANO ALVES DE SOUZA;ADRIANO DE RORAINOPOLIS;43123;APTO (Deferido);PV;43;-;-;Deputado Estadual;Masculino;1976-09-08;Casado(a);Técnico em Agronomia e Agrimensura;Superior completo;Brasileira nata;IMPERATRIZ / MA;;Suplente;25782010;1012-55.2010.6.23.0000;12.177.781/0001-73;
AIRTON CARVALHO DE OLIVEIRA;AIRTON CARVALHO;23222;APTO (Deferido);PPS;23;UNIÃO POR RORAIMA 3;PMDB / PTN / PPS;Deputado Estadual;Masculino;1968-10-19;Casado(a);Outros;Superior incompleto;Brasileira nata;MANAUS / AM;;Suplente;26192010;883-50.2010.6.23.0000;12.175.259/0001-52;
