Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABILIO MOREIRA;ABILIO MOREIRA;45450;APTO (Deferido);PSDB;45;GRANDE RIO GRANDE;PRB / PSL / PSC / PPS / PHS / PSDB / PT do B;Deputado Estadual;Masculino;1941-09-26;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;SANTO ANTONIO DA PATRULHA / RS;;Suplente;282962010;4539-69.2010.6.21.0000;12.167.988/0001-67;
ADAO ASSIS BRASIL;ASSIS BRASIL;25573;APTO (Deferido);DEM;25;-;-;Deputado Estadual;Masculino;1937-09-08;Casado(a);Militar Reformado;Superior completo;Brasileira nata;CACHOEIRA DO SUL / RS;;Suplente;279822010;4238-25.2010.6.21.0000;12.167.223/0001-27;
ADÃO JOSE CORREA PAIANI;ADÃO PAIANI;25525;APTO (Deferido);DEM;25;-;-;Deputado Estadual;Masculino;1964-09-24;Casado(a);Advogado;Superior completo;Brasileira nata;PORTO ALEGRE / RS;;Suplente;279832010;4235-70.2010.6.21.0000;12.180.637/0001-96;
ADÃO MOACIR GEGLER;ADÃO MOACIR GEGLER;36010;INAPTO (Indeferido);PTC;36;-;-;Deputado Estadual;Masculino;1958-11-11;Divorciado(a);Comerciante;Ensino Fundamental completo;Brasileira nata;TUPANDI / RJ;;;279592010;4752-75.2010.6.21.0000;12.173.872/0001-30;
ADAO REGINEI DOS SANTOS CAMARGO;NEIZINHO CAMARGO;40555;APTO (Deferido);PSB;40;UNIDADE PELO RIO GRANDE;PR / PSB / PC do B;Deputado Estadual;Masculino;1979-07-28;Solteiro(a);Agricultor;Ensino Fundamental completo;Brasileira nata;BARROS CASSAL / RS;;Suplente;269272010;4026-04.2010.6.21.0000;12.156.257/0001-16;
ADÃO ROBERTO RODRIGUES VILLAVERDE;ADÃO VILLAVERDE;13013;APTO (Deferido);PT;13;-;-;Deputado Estadual;Masculino;1958-02-06;Casado(a);Deputado;Superior completo;Brasileira nata;ALEGRETE / RS;;Eleito;273552010;4112-72.2010.6.21.0000;12.173.281/0001-63;
ADAO TELMO RAMBOR;ADAO RAMBOR;40653;APTO (Deferido);PSB;40;UNIDADE PELO RIO GRANDE;PR / PSB / PC do B;Deputado Estadual;Masculino;1960-03-25;Casado(a);Vereador;Ensino Médio incompleto;Brasileira nata;TRINFO / RS;;Suplente;269282010;3969-83.2010.6.21.0000;12.156.112/0001-15;
ADI PEREIRA DE BRUM;DRA. ADI DE BRUM;45888;APTO (Deferido);PSDB;45;GRANDE RIO GRANDE;PRB / PSL / PSC / PPS / PHS / PSDB / PT do B;Deputado Estadual;Feminino;1953-09-12;Solteiro(a);Advogado;Superior completo;Brasileira nata;SANTO ANGELO / RS;;Suplente;282972010;4484-21.2010.6.21.0000;12.173.682/0001-13;
ADILSO LUIS DA SILVA;ADILSO SILVA;36778;APTO (Deferido);PTC;36;-;-;Deputado Estadual;Masculino;1980-06-18;Solteiro(a);Outros;Ensino Fundamental completo;Brasileira nata;ENCANTADO / RS;;Não eleito;279582010;4780-43.2010.6.21.0000;12.167.648/0001-36;
ADILSON TROCA;ADILSON TROCA;45123;APTO (Deferido);PSDB;45;GRANDE RIO GRANDE;PRB / PSL / PSC / PPS / PHS / PSDB / PT do B;Deputado Estadual;Masculino;1950-01-15;Casado(a);Deputado;Ensino Médio completo;Brasileira nata;RIO GRANDE / RS;;Eleito;282982010;4502-42.2010.6.21.0000;12.175.087/0001-17;
ADOLFO JOSE BRITO;ADOLFO BRITO;11240;APTO (Deferido);PP;11;-;-;Deputado Estadual;Masculino;1950-05-30;Casado(a);Deputado;Ensino Médio completo;Brasileira nata;SOBRADINHO / RS;;Eleito;281282010;4379-44.2010.6.21.0000;12.171.996/0001-87;
ADRIANA ESMERIO MEDEIROS;ADRIANA MEDEIROS;31225;APTO (Deferido);PHS;31;GRANDE RIO GRANDE;PRB / PSL / PSC / PPS / PHS / PSDB / PT do B;Deputado Estadual;Feminino;1976-12-25;Solteiro(a);Dona de Casa;Ensino Médio completo;Brasileira nata;DOM PEDRITO / RS;;Suplente;329582010;5264-58.2010.6.21.0000;12.269.958/0001-61;
ADRIANA STEIMETZ DA LUZ;ADRIANA STEIMETZ;33999;APTO (Deferido);PMN;33;-;-;Deputado Estadual;Feminino;1971-11-13;Solteiro(a);Vereador;Ensino Médio incompleto;Brasileira nata;PORTO ALEGRE / RS;;Não eleito;270142010;4049-47.2010.6.21.0000;12.179.084/0001-51;
ADROALDO DAL MASS;DAL MASS;14040;APTO (Deferido);PTB;14;-;-;Deputado Estadual;Masculino;1960-11-17;Casado(a);Advogado;Superior completo;Brasileira nata;BENTO GONÇALVES / RS;;Suplente;281962010;4823-77.2010.6.21.0000;12.174.465/0001-48;
ADROALDO MOUSQUER LOUREIRO;ADROALDO LOUREIRO;12412;APTO (Deferido com recurso);PDT;12;PDT - PTN;PDT / PTN;Deputado Estadual;Masculino;1948-03-15;Casado(a);Empresário;Superior completo;Brasileira nata;SANTO ANGELO / RS;;Eleito;278812010;4711-11.2010.6.21.0000;12.170.749/0001-66;
AIRTO FERRONATO;AIRTO FERRONATO;40540;APTO (Deferido);PSB;40;UNIDADE PELO RIO GRANDE;PR / PSB / PC do B;Deputado Estadual;Masculino;1952-09-03;Divorciado(a);Vereador;Superior completo;Brasileira nata;ANTA GORDA / RS;;Suplente;269292010;4013-05.2010.6.21.0000;12.172.669/0001-40;
AIRTO RODRIGUES GARCIA;TIO AIRTO;50700;APTO (Deferido);PSOL;50;-;-;Deputado Estadual;Masculino;1948-05-15;Casado(a);Motorista Particular;Ensino Fundamental completo;Brasileira nata;GRAVATAI / RS;;Não eleito;333982010;5283-64.2010.6.21.0000;12.276.250/0001-38;
