Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADELSON BARRETO DOS SANTOS;ADELSON BARRETO;40123;APTO (Deferido);PSB;40;SERGIPE CONTINUA AVANÇANDO;PRB / PDT / PT / PMDB / PSC / PR / PSB / PC do B;Deputado Estadual;Masculino;1964-09-22;Solteiro(a);Deputado;Superior completo;Brasileira nata;ARACAJU / SE;;Eleito;67142010;1533-43.2010.6.25.0000;12.173.782/0001-40;
ALEXANDRE MACEDO SOBRAL;ALEXANDRE SOBRAL;40400;APTO (Deferido);PSB;40;SERGIPE CONTINUA AVANÇANDO;PRB / PDT / PT / PMDB / PSC / PR / PSB / PC do B;Deputado Estadual;Masculino;1972-06-09;Casado(a);Agricultor;Superior completo;Brasileira nata;ARACAJU / SE;;Suplente;67152010;1534-28.2010.6.25.0000;12.178.629/0001-05;
ALEXIS MAGNUM AZEVEDO DE JESUS;ALEXIS PEDRÃO;50500;APTO (Deferido);PSOL;50;-;-;Deputado Estadual;Masculino;1986-05-09;Solteiro(a);Servidor Público Estadual;Superior incompleto;Brasileira nata;ARACAJU / SE;;Não eleito;64512010;1383-62.2010.6.25.0000;12.155.734/0001-29;
ALEXSANDRO LINO DA CONCEICAO;TENENTE ALEXSANDRO LINO;36190;APTO (Deferido);PTC;36;SERGIPE NO CAMINHO DAS MUDANCAS;PSL / PTC;Deputado Estadual;Masculino;1973-12-04;Solteiro(a);Policial Militar;Ensino Médio completo;Brasileira nata;ARACAJU / SE;;Suplente;66962010;1514-37.2010.6.25.0000;12.178.766/0001-40;
ANA CLAUDIA VIANA SILVEIRA;ANA CLAUDIA;70001;APTO (Deferido);PT do B;70;SERGIPE NO CAMINHO CERTO;PTB / PRP / PT do B;Deputado Estadual;Feminino;1978-03-18;Solteiro(a);Bancário e Economiário;Superior completo;Brasileira nata;ARACAJU / SE;;Suplente;66122010;1450-27.2010.6.25.0000;12.181.570/0001-04;
ANA LUCIA VIEIRA MENEZES;ANA LUCIA;13900;APTO (Deferido);PT;13;SERGIPE CONTINUA AVANÇANDO;PRB / PDT / PT / PMDB / PSC / PR / PSB / PC do B;Deputado Estadual;Feminino;1949-05-17;Casado(a);Deputado;Superior completo;Brasileira nata;ARACAJU / SE;;Média;67162010;1535-13.2010.6.25.0000;12.170.097/0001-60;
ANACÍLIO MARCOLINO DOS SANTOS;ANACILIO;70789;APTO (Deferido);PT do B;70;SERGIPE NO CAMINHO CERTO;PTB / PRP / PT do B;Deputado Estadual;Masculino;1956-11-26;Casado(a);Outros;Ensino Médio incompleto;Brasileira nata;PACATUBA / SE;;Suplente;66132010;1452-94.2010.6.25.0000;12.167.597/0001-42;
ANDERSON CERQUEIRA DE OLIVEIRA;SARGENTO CERQUEIRA;36102;INAPTO (Renúncia);PTC;36;SERGIPE NO CAMINHO DAS MUDANCAS;PSL / PTC;Deputado Estadual;Masculino;1972-03-24;Casado(a);Policial Militar;Superior incompleto;Brasileira nata;ARACAJU / SE;;Renúncia/falecimento/cassação antes da eleição;66972010;1515-22.2010.6.25.0000;12.178.462/0001-82;
ANDERSON FABIANO DA CRUZ GOIS;ANDERSON GOIS;43101;APTO (Deferido);PV;43;SERGIPE EM PRIMEIRO LUGAR;PV / PSDB;Deputado Estadual;Masculino;1978-12-06;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;ARACAJU / SE;;Suplente;66502010;1470-18.2010.6.25.0000;12.179.547/0001-85;
ANTONIO CORREIA DE ANDRADE JUNIOR;JUNIOR DE EDNA VALADARES;21456;APTO (Deferido);PCB;21;-;-;Deputado Estadual;Masculino;1963-02-11;Separado(a) judicialmente;Eletricista e Assemelhados;Ensino Médio completo;Brasileira nata;SIMÃO DIAS / SE;;Não eleito;65892010;1422-59.2010.6.25.0000;12.174.125/0001-17;
ANTONIO DE MENEZES COSTA;TONY TECIDOS;36789;APTO (Deferido);PTC;36;SERGIPE NO CAMINHO DAS MUDANCAS;PSL / PTC;Deputado Estadual;Masculino;1962-04-30;Casado(a);Comerciante;Ensino Fundamental incompleto;Brasileira nata;ITABAIANA / SE;;Suplente;66982010;1516-07.2010.6.25.0000;12.169.992/0001-64;
ANTONIO DOS SANTOS;PASTOR ANTONIO;20123;APTO (Deferido);PSC;20;SERGIPE CONTINUA AVANÇANDO;PRB / PDT / PT / PMDB / PSC / PR / PSB / PC do B;Deputado Estadual;Masculino;1955-12-26;Casado(a);Deputado;Superior completo;Brasileira nata;JAPARATUBA / SE;;Eleito;67172010;1536-95.2010.6.25.0000;12.171.459/0001-37;
ANTÔNIO PASSOS SOBRINHO;ANTÔNIO PASSOS;25110;APTO (Deferido);DEM;25;VONTADE DO POVO;PP / PTN / PPS / DEM / PHS / PMN;Deputado Estadual;Masculino;1951-08-28;Casado(a);Deputado;Superior completo;Brasileira nata;CICERO DANTAS / BA;;Suplente;67872010;1581-02.2010.6.25.0000;12.203.831/0001-40;
ARNALDO BISPO DE LIMA;ARNALDO BISPO;25000;APTO (Deferido);DEM;25;VONTADE DO POVO;PP / PTN / PPS / DEM / PHS / PMN;Deputado Estadual;Masculino;1950-11-30;Casado(a);Deputado;Superior completo;Brasileira nata;ITABAIANA / SE;;Eleito;67882010;1583-69.2010.6.25.0000;12.170.400/0001-24;
AUGUSTO BEZERRA DE ASSIS FILHO;AUGUSTO BEZERRA;25555;APTO (Deferido com recurso);DEM;25;VONTADE DO POVO;PP / PTN / PPS / DEM / PHS / PMN;Deputado Estadual;Masculino;1953-04-26;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;ARACAJU / SE;;Eleito;67892010;1585-39.2010.6.25.0000;12.170.066/0001-09;
