Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABELARDO BEZERRA NETO;CMTE ABELARDO;45777;APTO (Deferido);PSDB;45;FRENTE TOCANTINS LEVADO A SÉRIO;PRB / PTN / PRTB / PMN / PTC / PV / PSDB / PT do B;Deputado Estadual;Masculino;1969-10-07;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;PORTO NACIONAL / TO;;Suplente;79122010;749-12.2010.6.27.0000;12.177.658/0001-52;
ABRAÃO CAVALCANTE LIMA;ABRAÃO LIMA;23456;APTO (Indeferido com recurso);PPS;23;FORÇA DO POVO II;PP / PDT / PMDB / PPS / PSB;Deputado Estadual;Masculino;1953-12-12;Casado(a);Bancário e Economiário;Superior completo;Brasileira nata;MIRACEMA DO NORTE / TO;;Indeferido com Recurso;76332010;566-41.2010.6.27.0000;12.311.730/0001-92;
ADALBERTO BARBOSA BARROS;BARROS;13555;APTO (Deferido);PT;13;Trabalho e Democracia;PT / PSL / PSDC / PHS / PRP / PC do B;Deputado Estadual;Masculino;1959-04-28;Casado(a);Engenheiro;Superior completo;Brasileira nata;PONTE DE PEDRAS / PA;;Suplente;76972010;716-22.2010.6.27.0000;12.170.168/0001-24;
ADELMAN PEREIRA PORTO;ADELMAN PORTO;22147;APTO (Deferido);PR;22;UNIÃO PARA VITÓRIA;PTB / PSC / PR;Deputado Estadual;Masculino;1940-05-11;Divorciado(a);Empresário;Ensino Fundamental completo;Brasileira nata;FILADÉLFIA / TO;;Suplente;84212010;854-86.2010.6.27.0000;12.198.114/0001-77;
ADENILDE RODRIGUES DOS SANTOS;ADENILDE SANTOS;45815;APTO (Deferido);PSDB;45;FRENTE TOCANTINS LEVADO A SÉRIO;PRB / PTN / PRTB / PMN / PTC / PV / PSDB / PT do B;Deputado Estadual;Masculino;1975-06-10;Solteiro(a);Servidor Público Estadual;Ensino Médio completo;Brasileira nata;DIANÓPOLIS / TO;;Suplente;85042010;845-27.2010.6.27.0000;12.207.351/0001-57;
ADRIANA CRISTINA NEVES PIRES;ADRIANA PIRES;33045;APTO (Deferido);PMN;33;FRENTE TOCANTINS LEVADO A SÉRIO;PRB / PTN / PRTB / PMN / PTC / PV / PSDB / PT do B;Deputado Estadual;Feminino;1984-05-08;Solteiro(a);Empresário;Ensino Médio completo;Brasileira nata;GURUPI / TO;;Suplente;79132010;640-95.2010.6.27.0000;12.181.759/0001-05;
AGNALDO LUIZ DE OLIVEIRA;AGNALDO LUIZ BOIADEIRO;44777;APTO (Deferido);PRP;44;Trabalho e Democracia;PT / PSL / PSDC / PHS / PRP / PC do B;Deputado Estadual;Masculino;1970-11-11;Casado(a);Servidor Público Estadual;Ensino Médio completo;Brasileira nata;INHAPIM / MG;;Suplente;76982010;724-96.2010.6.27.0000;12.177.694/0001-16;
AÍDA MARIA BONFIM LEITE;AÍDA DO NATURATINS;25258;INAPTO (Renúncia);DEM;25;-;-;Deputado Estadual;Masculino;1964-08-26;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;CROTEÚS / CE;;;78872010;653-94.2010.6.27.0000;12.200.065/0001-60;
AILTON PARENTE ARAÚJO;AILTON ARAUJO;45455;APTO (Deferido);PSDB;45;FRENTE TOCANTINS LEVADO A SÉRIO;PRB / PTN / PRTB / PMN / PTC / PV / PSDB / PT do B;Deputado Estadual;Masculino;1964-10-20;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;GOIÂNIA / GO;;Suplente;79142010;751-79.2010.6.27.0000;12.181.249/0001-20;
AIRTON VALDIR PORTILHO;AIRTON PORTILHO;12333;APTO (Deferido);PDT;12;FORÇA DO POVO II;PP / PDT / PMDB / PPS / PSB;Deputado Estadual;Masculino;1952-01-12;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;CHAPECÓ / SC;;Suplente;76342010;589-84.2010.6.27.0000;12.198.673/0001-87;
