Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALDENOR FERNANDES DE SOUZA;ALDENOR FERNANDES;2333;INAPTO (Renúncia);PPS;23;LIBERDADE E PRODUZIR PARA EMPREGAR I;PMDB / PSL / PSC / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1956-02-28;Divorciado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;AREIA BRANCA / RN;;;55312010;614-23.2010.6.01.0000;12.204.131/0001-70;
ANTONIA LUCILEIA CRUZ RAMOS CAMARA;ANTONIA LUCIA;2010;APTO (Deferido);PSC;20;LIBERDADE E PRODUZIR PARA EMPREGAR I;PMDB / PSL / PSC / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Feminino;1970-07-17;Casado(a);Empresário;Superior completo;Brasileira nata;SENADOR GUIOMARD / AC;;Eleito;55322010;615-08.2010.6.01.0000;12.177.771/0001-38;
DEODATO NUNES DE FRANÇA;CORONEL DEODATO;1515;APTO (Deferido);PMDB;15;LIBERDADE E PRODUZIR PARA EMPREGAR I;PMDB / PSL / PSC / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1957-07-14;Casado(a);Outros;Superior completo;Brasileira nata;TARAUACA / AC;;Suplente;55332010;616-90.2010.6.01.0000;12.169.327/0001-70;
EDILBERTO AFONSO DE MORAES JUNIOR;JUNIOR BETÃO;2222;APTO (Deferido);PR;22;FPA II;PRB / PP / PDT / PT / PTB / PTN / PR / PSDC / PHS / PTC / PSB / PV / PRP / PC do B;Deputado Federal;Masculino;1977-03-10;Casado(a);Empresário;Superior incompleto;Brasileira nata;RIO BRANCO / AC;;Suplente;55772010;637-66.2010.6.01.0000;12.177.311/0001-00;
EDSON FIRMINO DE PAULA;EDSON DE PAULA;4563;APTO (Deferido);PSDB;45;LIBERDADE E PRODUZIR PARA EMPREGAR I;PMDB / PSL / PSC / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1965-07-01;Casado(a);Operador de Equipamento de Rádio, Televisão, Som e Cinema;Superior incompleto;Brasileira nata;ITAPIRAPUA / GO;;Suplente;55342010;617-75.2010.6.01.0000;12.168.147/0001-74;
ELISABETH APARECIDA GARCIA RODRIGUES;BETH BOCALOM;4588;APTO (Deferido);PSDB;45;LIBERDADE E PRODUZIR PARA EMPREGAR I;PMDB / PSL / PSC / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Feminino;1955-07-01;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;ASSAI / PR;;Suplente;55352010;618-60.2010.6.01.0000;12.178.025/0001-69;
FABIO PEREIRA DOS SANTOS;FABIO SANTOS;1919;INAPTO (Renúncia);PTN;19;FPA II;PRB / PP / PDT / PT / PTB / PTN / PR / PSDC / PHS / PTC / PSB / PV / PRP / PC do B;Deputado Federal;Masculino;1959-07-24;Casado(a);Outros;Superior completo;Brasileira nata;UBERABA / MG;;;55782010;638-51.2010.6.01.0000;12.175.304/0001-79;
FERNANDO MELO DA COSTA;FERNANDO MELO;1399;APTO (Deferido);PT;13;FPA II;PRB / PP / PDT / PT / PTB / PTN / PR / PSDC / PHS / PTC / PSB / PV / PRP / PC do B;Deputado Federal;Masculino;1958-08-20;Separado(a) judicialmente;Deputado;Superior completo;Brasileira nata;CRUZEIRO DO SUL / AC;;Suplente;55792010;639-36.2010.6.01.0000;12.170.011/0001-07;
FLAVIANO FLAVIO BAPTISTA DE MELO;FLAVIANO MELO;1555;APTO (Deferido com recurso);PMDB;15;LIBERDADE E PRODUZIR PARA EMPREGAR I;PMDB / PSL / PSC / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1949-11-17;Divorciado(a);Deputado;Superior completo;Brasileira nata;RIO BRANCO / AC;;Eleito;55362010;619-45.2010.6.01.0000;12.175.456/0001-71;
FRANCISCO ALVES VIEIRA;SGTO VIEIRA;2323;APTO (Deferido);PPS;23;LIBERDADE E PRODUZIR PARA EMPREGAR I;PMDB / PSL / PSC / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1959-12-16;Casado(a);Outros;Superior completo;Brasileira nata;TARAUACA / AC;;Suplente;55372010;620-30.2010.6.01.0000;12.204.048/0001-09;
FRANCISCO CARLOS DE OLIVEIRA DE LIMA;CHICARLOS;4569;APTO (Deferido);PSDB;45;LIBERDADE E PRODUZIR PARA EMPREGAR I;PMDB / PSL / PSC / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1968-04-17;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;RIO BRANCO / AC;;Suplente;55382010;621-15.2010.6.01.0000;12.175.053/0001-22;
FRANCISCO JOSE BENICIO DIAS;BENICIO DIAS;4580;APTO (Deferido);PSDB;45;LIBERDADE E PRODUZIR PARA EMPREGAR I;PMDB / PSL / PSC / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1967-03-14;Divorciado(a);Representante Comercial;Superior incompleto;Brasileira nata;RIO BRANCO / AC;;Suplente;55392010;622-97.2010.6.01.0000;12.173.039/0001-90;
FRANCISCO RODSON DOS SANTOS SOUZA;PASTOR RODSON;2212;APTO (Indeferido com recurso);PR;22;FPA II;PRB / PP / PDT / PT / PTB / PTN / PR / PSDC / PHS / PTC / PSB / PV / PRP / PC do B;Deputado Federal;Masculino;1969-03-14;Casado(a);Outros;Superior completo;Brasileira nata;BRASILEIA / AC;;Indeferido com Recurso;55802010;640-21.2010.6.01.0000;12.173.713/0001-36;
GEHLEN DINIZ ANDRADE;GEHLEN DINIZ;4444;APTO (Deferido);PRP;44;FPA II;PRB / PP / PDT / PT / PTB / PTN / PR / PSDC / PHS / PTC / PSB / PV / PRP / PC do B;Deputado Federal;Masculino;1974-04-08;Solteiro(a);Servidor Público Federal;Superior completo;Brasileira nata;SENA MADUREIRA / AC;;Suplente;55812010;641-06.2010.6.01.0000;12.175.901/0001-01;
GILDA OLIVEIRA DA SILVA;GILDA OLIVEIRA;2828;INAPTO (Renúncia);PRTB;28;COLIGAÇÃO PODER POPULAR ACREANO;PRTB / PSOL;Deputado Federal;Feminino;1965-06-27;Divorciado(a);Outros;Ensino Fundamental incompleto;Brasileira nata;PIRANHAS / GO;;;59582010;896-61.2010.6.01.0000;12.190.540/0001-64;
