Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADA MERCEDES DE MELLO MARQUES LUZ;ADA MELLO;1455;APTO (Deferido);PTB;14;PTB-PRB-PMN-PSL-PHS-PTC;PRB / PTB / PSL / PHS / PMN / PTC;Deputado Federal;Feminino;1953-12-16;Solteiro(a);Assistente Social;Superior completo;Brasileira nata;MACEIO / AL;;Suplente;66072010;669-44.2010.6.02.0000;12.173.620/0001-01;
ALDO ALEXANDRE TAVARES DA SILVA;ALDO TAVARES;4422;APTO (Deferido);PRP;44;FRENTE POPULAR POR ALAGOAS I;PDT / PT / PMDB / PR / PSDC / PRP / PC do B / PT do B;Deputado Federal;Masculino;1974-06-11;Solteiro(a);Outros;Ensino Fundamental incompleto;Brasileira nata;MACEIÓ / AL;;Suplente;68402010;971-73.2010.6.02.0000;12.168.362/0001-75;
ALEXANDRE DE MELO TOLEDO;ALEXANDRE TOLEDO;4566;APTO (Deferido);PSDB;45;FRENTE PELO BEM DE ALAGOAS;PP / PSC / PPS / DEM / PSB / PSDB;Deputado Federal;Masculino;1956-03-28;Casado(a);Engenheiro;Superior completo;Brasileira nata;MACEIO / AL;;Suplente;68692010;767-29.2010.6.02.0000;12.172.697/0001-67;
ALEXANDRE FLEMING VASQUES BASTOS;ALEXANDRE FLEMING;5010;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1967-06-08;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;SAO GONÇALO / RJ;;Não eleito;64652010;601-94.2010.6.02.0000;12.203.856/0001-43;
ANADETE MARTINS MOURA;ANADETE MOURA;4599;INAPTO (Indeferido);PSDB;45;FRENTE PELO BEM DE ALAGOAS;PP / PSC / PPS / DEM / PSB / PSDB;Deputado Federal;Feminino;1960-03-31;Solteiro(a);Outros;Superior completo;Brasileira nata;VIÇOSA / AL;;;72252010;1035-83.2010.6.02.0000;12.199.074/0001-88;
ANTONIO CARLOS RAMOS;CHAMARIZ;1414;APTO (Deferido);PTB;14;PTB-PRB-PMN-PSL-PHS-PTC;PRB / PTB / PSL / PHS / PMN / PTC;Deputado Federal;Masculino;1956-02-26;Casado(a);Comerciante;Superior completo;Brasileira nata;PORTO REAL DO COLEGIO / AL;;Suplente;66082010;670-29.2010.6.02.0000;12.180.615/0001-26;
ARANILDO DE VASCONCELOS ELISIÁRIO;ELISIÁRIO;4004;APTO (Deferido);PSB;40;FRENTE PELO BEM DE ALAGOAS;PP / PSC / PPS / DEM / PSB / PSDB;Deputado Federal;Masculino;1965-03-13;Casado(a);Policial Militar;Ensino Médio completo;Brasileira nata;PALMEIRA DOS ÍNDIOS / AL;;Suplente;71512010;1006-33.2010.6.02.0000;12.190.623/0001-53;
ARTHUR CESAR PEREIRA DE LIRA;ARTHUR LIRA;1111;APTO (Deferido);PP;11;FRENTE PELO BEM DE ALAGOAS;PP / PSC / PPS / DEM / PSB / PSDB;Deputado Federal;Masculino;1969-06-25;Solteiro(a);Deputado;Superior completo;Brasileira nata;MACEIO / AL;;Eleito;68702010;768-14.2010.6.02.0000;12.179.569/0001-45;
CARLOS ALBERTO DA SILVA;CARLOS ALBERTO;6555;INAPTO (Indeferido);PC do B;65;FRENTE POPULAR POR ALAGOAS I;PDT / PT / PMDB / PR / PSDC / PRP / PC do B / PT do B;Deputado Federal;Masculino;1957-10-08;Casado(a);Agricultor;Ensino Médio completo;Brasileira nata;RECIFE / PE;;;68412010;972-58.2010.6.02.0000;12.171.694/0001-09;
CARLOS ALBERTO MOREIRA DE MENDONÇA CANUTO;CARLOS ALBERTO CANUTO;2000;INAPTO (Renúncia);PSC;20;FRENTE PELO BEM DE ALAGOAS;PP / PSC / PPS / DEM / PSB / PSDB;Deputado Federal;Masculino;1952-01-12;Casado(a);Deputado;Superior completo;Brasileira nata;MACEIÓ / AL;;Renúncia/falecimento/cassação antes da eleição;72392010;1021-02.2010.6.02.0000;12.198.265/0001-25;
CAUBI MONTEIRODA SILVA;CAUBI MONTEIRO;5013;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1962-01-17;Casado(a);Policial Militar;Ensino Fundamental completo;Brasileira nata;MACEIÓ / AL;;Não eleito;64662010;602-79.2010.6.02.0000;12.174.687/0001-60;
CELIA MARIA BARBOSA ROCHA;CELIA ROCHA;1444;APTO (Deferido);PTB;14;PTB-PRB-PMN-PSL-PHS-PTC;PRB / PTB / PSL / PHS / PMN / PTC;Deputado Federal;Feminino;1952-10-29;Divorciado(a);Médico;Superior completo;Brasileira nata;ARAPIRACA / AL;;Eleito;66092010;671-14.2010.6.02.0000;12.178.659/0001-11;
CLAUDIA ANICETO CAETANO PETUBA;CLAUDIA PETUBA;6565;APTO (Deferido);PC do B;65;FRENTE POPULAR POR ALAGOAS I;PDT / PT / PMDB / PR / PSDC / PRP / PC do B / PT do B;Deputado Federal;Feminino;1988-10-31;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Superior incompleto;Brasileira nata;ARAPIRACA / AL;;Suplente;68422010;973-43.2010.6.02.0000;12.169.475/0001-95;
