Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALEXANDRE DIAS BARBOSA;ALEX DIAS;4000;APTO (Deferido);PSB;40;O AMAZONAS MELHOR PARA TODOS;PDT / PT / PSL / PR / PSDC / PSB / PT do B;Deputado Federal;Masculino;1959-03-25;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;CARAUARI / AM;;Suplente;156312010;1705-67.2010.6.04.0000;12.173.371/0001-54;
ALTANIRA U ALMEIDA OLIVEIRA;DRA ALTANIRA UCHOA;1312;APTO (Deferido);PT;13;O AMAZONAS MELHOR PARA TODOS;PDT / PT / PSL / PR / PSDC / PSB / PT do B;Deputado Federal;Feminino;1962-08-22;Casado(a);Outros;Superior completo;Brasileira nata;HUMAITA / AM;;Suplente;156322010;1706-52.2010.6.04.0000;12.172.788/0001-00;
ANA MARIA DOS SANTOS DE BRITO;ANINHA;1522;APTO (Deferido);PMDB;15;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PMN / PTC / PRP / PC do B;Deputado Federal;Feminino;1958-08-19;Separado(a) judicialmente;Agente Administrativo;Superior completo;Brasileira nata;MANAUS / AM;;Suplente;164142010;2100-59.2010.6.04.0000;12.198.939/0001-91;
ANTONIA ALMEIDA DE SOUZA;TOINHA ALMEIDA;1511;INAPTO (Indeferido);PMDB;15;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PMN / PTC / PRP / PC do B;Deputado Federal;Feminino;1954-06-06;Solteiro(a);Cobrador de Transporte Coletivo;Ensino Médio completo;Brasileira nata;SANTAREM / PA;;;164242010;2097-07.2010.6.04.0000;12.198.539/0001-86;
ANTONIO BISMAR DE LIMA CUNHA;MAZINHO;7022;APTO (Deferido);PT do B;70;O AMAZONAS MELHOR PARA TODOS;PDT / PT / PSL / PR / PSDC / PSB / PT do B;Deputado Federal;Masculino;1969-10-27;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;COREAU / CE;;Suplente;156332010;1707-37.2010.6.04.0000;12.176.722/0001-80;
ANTONIO MENEZES;SARGENTO A MENEZES;1456;INAPTO (Indeferido);PTB;14;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PMN / PTC / PRP / PC do B;Deputado Federal;Masculino;1964-10-27;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;SANTAREM / PA;;;164362010;2096-22.2010.6.04.0000;12.198.760/0001-34;
ATILA SIDNEY LINS DE ALBUQUERQUE;ÁTILA LINS;1555;APTO (Deferido);PMDB;15;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PMN / PTC / PRP / PC do B;Deputado Federal;Masculino;1950-11-22;Casado(a);Deputado;Superior completo;Brasileira nata;FONTE BOA / AM;;Eleito;157462010;1841-64.2010.6.04.0000;12.167.600/0001-28;
AUGUSTO BASILIO NETO;BASILIO;3366;APTO (Indeferido com recurso);PMN;33;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PMN / PTC / PRP / PC do B;Deputado Federal;Masculino;1977-08-02;Solteiro(a);Outros;Ensino Médio incompleto;Brasileira nata;MANAUS / AM;;Indeferido com Recurso;166312010;2143-93.2010.6.04.0000;12.206.500/0001-63;
AUGUSTO FELIPE DE CASTRO;AUGUSTO CASTRO;2121;APTO (Deferido);PCB;21;-;-;Deputado Federal;Masculino;1951-08-16;Casado(a);Empresário;Ensino Fundamental completo;Brasileira nata;ORIXIMINA / AM;;Não eleito;157412010;1938-64.2010.6.04.0000;12.170.971/0001-69;
CARLOS ALBERTO CAVALCANTE DE SOUZA;CARLOS SOUZA;1111;APTO (Deferido);PP;11;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PMN / PTC / PRP / PC do B;Deputado Federal;Masculino;1952-08-17;Casado(a);Outros;Superior completo;Brasileira nata;MANAUS / AM;;Eleito;157472010;1842-49.2010.6.04.0000;12.168.496/0001-96;
CARLOS ALEXANDRE FERREIRA SILVA;ALEXANDRE DA CARBRÁS;2022;APTO (Deferido);PSC;20;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PMN / PTC / PRP / PC do B;Deputado Federal;Masculino;1975-10-07;Solteiro(a);Administrador;Superior completo;Brasileira nata;MANAUS / AM;;Suplente;157482010;1843-34.2010.6.04.0000;12.176.594/0001-75;
DARCY HUMBERTO MICHILES;HUMBERTO MICHILES;2233;APTO (Deferido);PR;22;O AMAZONAS MELHOR PARA TODOS;PDT / PT / PSL / PR / PSDC / PSB / PT do B;Deputado Federal;Masculino;1952-12-14;Casado(a);Empresário;Superior incompleto;Brasileira nata;SAO PAULO / SP;;Suplente;156342010;1708-22.2010.6.04.0000;12.168.344/0001-93;
DARLENE PEREIRA NEVES;DAS NEVES;2522;APTO (Deferido com recurso);DEM;25;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PMN / PTC / PRP / PC do B;Deputado Federal;Feminino;1974-06-25;Solteiro(a);Empresário;Superior incompleto;Brasileira nata;SANTARÉM / PA;;Suplente;157492010;1844-19.2010.6.04.0000;12.177.000/0001-40;
DEUSAMIR PEREIRA;DEUSAMIR PEREIRA;4545;APTO (Deferido);PSDB;45;O Amazonas de Todos Nós;PPS / PV / PSDB;Deputado Federal;Masculino;1957-08-06;Separado(a) judicialmente;Professor de Ensino Superior;Superior completo;Brasileira nata;BORBA / AM;;Não eleito;163582010;2081-53.2010.6.04.0000;12.198.134/0001-48;
EDILSON GURGEL NORONHA;EDÍLSON GURGEL;4467;APTO (Indeferido com recurso);PRP;44;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PMN / PTC / PRP / PC do B;Deputado Federal;Masculino;1962-10-18;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;LÁBREA / AM;;Indeferido com Recurso;157502010;1845-04.2010.6.04.0000;12.171.838/0001-27;
ELIZALDO SOARES DE ARAUJO;ELIZALDO SOARES;3113;APTO (Indeferido com recurso);PHS;31;-;-;Deputado Federal;Masculino;1967-06-09;Casado(a);Corretor de Imóveis, Seguros, Títulos e Valores;Ensino Fundamental completo;Brasileira nata;CURAÇÁ / BA;;Indeferido com Recurso;164532010;2126-57.2010.6.04.0000;12.204.917/0001-97;
ELSON CELIO DA SILVA COSTA;ELSON COSTA;4345;APTO (Deferido com recurso);PV;43;O Amazonas de Todos Nós;PPS / PV / PSDB;Deputado Federal;Masculino;1966-12-15;Solteiro(a);Contador;Superior completo;Brasileira nata;MANAUS / AM;;Não eleito;162692010;2046-93.2010.6.04.0000;12.198.825/0001-41;
ERONILDO BRAGA BEZERRA;ERON BEZERRA;6565;APTO (Deferido);PC do B;65;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PMN / PTC / PRP / PC do B;Deputado Federal;Masculino;1953-02-09;Casado(a);Deputado;Superior completo;Brasileira nata;BOCA DO ACRE / AM;;Suplente;157512010;1846-86.2010.6.04.0000;12.168.519/0001-62;
FRANCISCO EDINALDO PRACIANO;PRACIANO;1313;APTO (Deferido);PT;13;O AMAZONAS MELHOR PARA TODOS;PDT / PT / PSL / PR / PSDC / PSB / PT do B;Deputado Federal;Masculino;1956-02-18;Casado(a);Deputado;Superior completo;Brasileira nata;ITAPIPOCA / CE;;Eleito;156352010;1709-07.2010.6.04.0000;12.168.503/0001-50;
FRANCISCO PLÍNIO VALÉRIO TOMAZ;PLÍNIO VALÉRIO;2500;APTO (Deferido);DEM;25;AVANÇA AMAZONAS;PRB / PP / PTB / PMDB / PTN / PSC / DEM / PRTB / PMN / PTC / PRP / PC do B;Deputado Federal;Masculino;1955-01-31;Viúvo(a);Administrador;Superior completo;Brasileira nata;EIRUNEPÉ / AM;;Suplente;157522010;1847-71.2010.6.04.0000;12.168.931/0001-82;
GILBERTO VASCONCELOS DA SILVA;GILBERTO VASCONCELOS;1616;APTO (Deferido);PSTU;16;-;-;Deputado Federal;Masculino;1967-04-15;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;MANAUS / AM;;Não eleito;156682010;1678-84.2010.6.04.0000;12.173.137/0001-27;
HELILTON JOSE ANDRADE SOARES;HELILTON;5050;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1960-09-13;Casado(a);Serventuário de Justiça;Superior completo;Brasileira nata;URUCURITUBA / AM;;Não eleito;158392010;1926-50.2010.6.04.0000;12.171.969/0001-04;
