Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ALLAN ROSAS SALES;ALLAN SALES;2345;APTO (Deferido);PPS;23;AMAPA MAIS FORTE;PMDB / PTN / PSC / PPS / PV / PSDB;Deputado Federal;Masculino;1960-12-04;Casado(a);Empresário;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;40222010;357-41.2010.6.03.0000;12.191.152/0001-06;
ALUIZO ROBERTO CAVALCANTE DA SILVA;ALUIZO MUNGUBA;1211;APTO (Deferido);PDT;12;UNIAO PROGRESSISTA;PRB / PP / PDT / PR / DEM / PHS / PC do B;Deputado Federal;Masculino;1955-04-15;Casado(a);Agente Administrativo;Ensino Médio completo;Brasileira nata;MAZAGAO / AP;;Suplente;39232010;437-05.2010.6.03.0000;12.169.273/0001-43;
AMADEU FERREIRA DOS SANTOS;AMADEU;2011;APTO (Deferido);PSC;20;AMAPA MAIS FORTE;PMDB / PTN / PSC / PPS / PV / PSDB;Deputado Federal;Masculino;1960-09-13;Casado(a);Servidor Público Estadual;Ensino Fundamental completo;Brasileira nata;MACAPA / AP;;Suplente;40232010;358-26.2010.6.03.0000;12.189.917/0001-65;
AMARILDO PORTO ARAUJO;AMARILDO PORTO;2863;APTO (Deferido);PRTB;28;UNIÃO POPULAR PELA MUDANÇA;PTB / PCB / PSDC / PRTB / PMN / PTC / PRP;Deputado Federal;Masculino;1964-01-12;Casado(a);Produtor Agropecuário;Ensino Fundamental completo;Brasileira nata;MEDEIROS NETO / BA;;Suplente;49882010;660-55.2010.6.03.0000;12.190.156/0001-61;
AMARILDO PORTO ARAUJO;AMARILDO PORTO;2863;INAPTO (Cancelado);PRTB;28;UNIÃO POPULAR PELA MUDANÇA;PTB / PCB / PSDC / PRTB / PMN / PTC / PRP / PSOL;Deputado Federal;Masculino;1964-01-12;Solteiro(a);Produtor Agropecuário;Ensino Fundamental completo;Brasileira nata;MEDEIROS NETO / BA;;;41852010;526-28.2010.6.03.0000;12.190.156/0001-61;
ANDRÉ DOS SANTOS ABDON;ANDRÉ;1477;APTO (Deferido);PTB;14;UNIÃO POPULAR PELA MUDANÇA;PTB / PCB / PSDC / PRTB / PMN / PTC / PRP;Deputado Federal;Masculino;1970-11-09;Casado(a);Engenheiro;Superior completo;Brasileira nata;BELÉM / PA;;Suplente;44852010;564-40.2010.6.03.0000;12.175.166/0001-28;
ANDRÉ DOS SANTOS ABDON;ANDRÉ;1477;INAPTO (Cancelado);PTB;14;UNIÃO POPULAR PELA MUDANÇA;PTB / PCB / PSDC / PRTB / PMN / PTC / PRP / PSOL;Deputado Federal;Masculino;1970-11-10;Casado(a);Engenheiro;Superior completo;Brasileira nata;BELÉM / PA;;;37862010;207-60.2010.6.03.0000;12.175.166/0001-28;
ANTONIO CARLOS DINIZ;AC DINIZ;4030;APTO (Deferido);PSB;40;Frente Popular;PT / PSB;Deputado Federal;Masculino;1950-06-13;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;BOM FUTURO / MA;;Suplente;37212010;163-41.2010.6.03.0000;12.169.906/0001-13;
ANTONIO CIRILO FERNANDES BORGES;CIRILO BORGES;1423;APTO (Deferido);PTB;14;UNIÃO POPULAR PELA MUDANÇA;PTB / PCB / PSDC / PRTB / PMN / PTC / PRP;Deputado Federal;Masculino;1967-07-04;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;MACAPÁ / AP;;Suplente;44862010;565-25.2010.6.03.0000;12.173.600/0001-30;
ANTONIO CIRILO FERNANDES BORGES;CIRILO BORGES;1423;INAPTO (Cancelado);PTB;14;UNIÃO POPULAR PELA MUDANÇA;PTB / PCB / PSDC / PRTB / PMN / PTC / PRP / PSOL;Deputado Federal;Masculino;1967-07-05;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;MACAPÁ / AP;;;37872010;208-45.2010.6.03.0000;12.173.600/0001-30;
