Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ACELINO FREITAS;POPÓ;1000;APTO (Deferido);PRB;10;PRA BAHIA SEGUIR MUDANDO;PRB / PP / PDT / PT / PHS / PSB / PC do B;Deputado Federal;Masculino;1975-09-21;Casado(a);Empresário;Superior incompleto;Brasileira nata;SALVADOR / BA;;Suplente;206232010;2645-05.2010.6.05.0000;12.200.001/0001-69;
ADALBERTO SOUZA GALVÃO;BEBETO;4013;APTO (Deferido com recurso);PSB;40;PRA BAHIA SEGUIR MUDANDO;PRB / PP / PDT / PT / PHS / PSB / PC do B;Deputado Federal;Masculino;1962-06-09;Casado(a);Outros;Superior incompleto;Brasileira nata;URUÇUCA / BA;;Suplente;206242010;2646-87.2010.6.05.0000;12.204.299/0001-85;
AFONSO BANDEIRA FLORENCE;AFONSO;1301;APTO (Deferido);PT;13;PRA BAHIA SEGUIR MUDANDO;PRB / PP / PDT / PT / PHS / PSB / PC do B;Deputado Federal;Masculino;1960-10-15;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;SALVADOR / BA;;Eleito;206252010;2647-72.2010.6.05.0000;12.198.660/0001-08;
AGENOR RIBEIRO DE JESUS FILHO;AGENOR RIBEIRO;4422;APTO (Deferido);PRP;44;VITORIA DE UMA BAHIA QUE TEM PRESSA;PTN / PPS / PSDC / PMN / PTC / PRP / PT do B;Deputado Federal;Masculino;1953-03-21;Casado(a);Médico;Superior completo;Brasileira nata;PARIPIRANGA / BA;;Suplente;196912010;2461-49.2010.6.05.0000;12.170.850/0001-17;
ALICE MAZZUCO PORTUGAL;ALICE PORTUGAL;6522;APTO (Deferido);PC do B;65;PRA BAHIA SEGUIR MUDANDO;PRB / PP / PDT / PT / PHS / PSB / PC do B;Deputado Federal;Feminino;1959-05-16;Divorciado(a);Servidor Público Federal;Superior completo;Brasileira nata;SALVADOR / BA;;Eleito;208882010;2649-42.2010.6.05.0000;12.206.149/0001-00;
ALMIRO AURORA DA SILVA;MIRO;7014;APTO (Deferido);PT do B;70;VITORIA DE UMA BAHIA QUE TEM PRESSA;PTN / PPS / PSDC / PMN / PTC / PRP / PT do B;Deputado Federal;Masculino;1951-12-28;Divorciado(a);Outros;Lê e escreve;Brasileira nata;BARREIRAS / BA;;Suplente;196922010;2463-19.2010.6.05.0000;12.167.463/0001-21;
AMARO PINTO SILVA JÚNIOR;AMARO JÚNIOR;2510;APTO (Deferido);DEM;25;-;-;Deputado Federal;Masculino;1965-06-22;Separado(a) judicialmente;Empresário;Superior completo;Brasileira nata;CARUARU / PE;;Suplente;179752010;1828-38.2010.6.05.0000;12.156.256/0001-71;
AMAURI SANTOS TEIXEIRA;AMAURI TEIXEIRA;1311;APTO (Deferido);PT;13;PRA BAHIA SEGUIR MUDANDO;PRB / PP / PDT / PT / PHS / PSB / PC do B;Deputado Federal;Masculino;1957-12-01;Solteiro(a);Outros;Superior completo;Brasileira nata;JACOBINA / BA;;Média;206262010;2650-27.2010.6.05.0000;12.198.667/0001-20;
ANDERSON DOS SANTOS CARVALHAL;ANDERSON CARVALHAL;3613;APTO (Deferido);PTC;36;VITORIA DE UMA BAHIA QUE TEM PRESSA;PTN / PPS / PSDC / PMN / PTC / PRP / PT do B;Deputado Federal;Masculino;1979-09-26;Casado(a);Outros;Ensino Médio completo;Brasileira nata;SALVADOR / BA;;Suplente;196932010;2465-86.2010.6.05.0000;12.180.825/0001-14;
ANDRÉ LUIZ ARAUJO FEITOSA;FEITOSA;1777;APTO (Deferido);PSL;17;-;-;Deputado Federal;Masculino;1966-08-10;Casado(a);Policial Civil;Superior completo;Brasileira nata;JACOBINA / BA;;Não eleito;199462010;2202-54.2010.6.05.0000;12.176.556/0001-12;
ANDREILSON GUEDES DOS SANTOS;ANDREILSON GUEDES;5007;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1970-12-10;Solteiro(a);Outros;Superior incompleto;Brasileira nata;MARAGOGIPE / BA;;Não eleito;193882010;2342-88.2010.6.05.0000;12.178.482/0001-53;
ANTONIA MAGALHAES DA CRUZ;TONHA MAGALHAES;2211;APTO (Deferido);PR;22;PARA FAZER ACONTECER;PTB / PMDB / PSC / PR / PRTB;Deputado Federal;Feminino;1958-01-16;Casado(a);Deputado;Ensino Médio completo;Brasileira nata;SAO FELIPE / BA;;Suplente;195092010;2128-97.2010.6.05.0000;12.174.501/0001-73;
ANTONIO ALBINO LEAL DA SILVA;ANTONIO ALBINO;2727;APTO (Deferido);PSDC;27;VITORIA DE UMA BAHIA QUE TEM PRESSA;PTN / PPS / PSDC / PMN / PTC / PRP / PT do B;Deputado Federal;Masculino;1964-08-16;Solteiro(a);Empresário;Superior incompleto;Brasileira nata;SALVADOR / BA;;Suplente;196942010;2467-56.2010.6.05.0000;12.214.327/0001-45;
