Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADELITA MONTEIRO NUNES;ADELITA MONTEIRO;5000;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Feminino;1983-07-28;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Superior incompleto;Brasileira nata;LIMOEIRO DO NORTE / CE;;Não eleito;332252010;4226-28.2010.6.06.0000;12.205.145/0001-08;
ADLER PRIMEIRO DAMASCENO GIRAO;ADLER GIRAO;2222;APTO (Indeferido com recurso);PR;22;PARA FAZER BRILHAR O CEARA - PR - PPS;PR / PPS;Deputado Federal;Masculino;1974-11-10;Casado(a);Empresário;Superior completo;Brasileira nata;MORADA NOVA / CE;;Indeferido com Recurso;325852010;3960-41.2010.6.06.0000;12.177.064/0001-41;
ADRIANIZIO PAULO DE OLIVEIRA ALVES;MAJOR ADRIANIZIO;2220;APTO (Deferido);PR;22;PARA FAZER BRILHAR O CEARA - PR - PPS;PR / PPS;Deputado Federal;Masculino;1971-06-02;Casado(a);Policial Militar;Superior completo;Brasileira nata;FORTALEZA / CE;;Suplente;325862010;3961-26.2010.6.06.0000;12.199.256/0001-59;
AIRTON DE ALMEIDA OLIVEIRA;PROFESSOR AIRTON;4020;APTO (Deferido);PSB;40;PRB/PDT/PT/PMDB/PSC/PSB/PCdoB;PRB / PDT / PT / PMDB / PSC / PSB / PC do B;Deputado Federal;Masculino;1953-10-06;Casado(a);Empresário;Superior completo;Brasileira nata;BREJO DA CRUZ / PB;;Suplente;329292010;4150-04.2010.6.06.0000;12.170.763/0001-60;
ALLENDE GUEDES FERREIRA;ALLENDE GUEDES;2333;APTO (Deferido);PPS;23;PARA FAZER BRILHAR O CEARA - PR - PPS;PR / PPS;Deputado Federal;Masculino;1972-11-24;Casado(a);Policial Militar;Superior completo;Brasileira nata;FORTALEZA / CE;;Suplente;325872010;3962-11.2010.6.06.0000;12.177.819/0001-08;
ANA CRISTINA DA SILVA;ANA CRISTINA;5099;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Feminino;1974-12-27;Solteiro(a);Cabeleireiro e Barbeiro;Ensino Médio completo;Brasileira nata;QUIXERAMOBIM / CE;;Não eleito;393192010;5108-87.2010.6.06.0000;12.277.113/0001-18;
ANA MARIA DE SOUSA PEREIRA;ANA MARIA;1600;INAPTO (Indeferido);PSTU;16;-;-;Deputado Federal;Feminino;1981-01-01;Casado(a);Agente de Saúde e Sanitarista;Superior completo;Brasileira nata;MISSAO VELHA / CE;;;346382010;4523-35.2010.6.06.0000;12.199.705/0001-69;
ANA NAIRA CAMPELO DE QUEIROZ;ANA NAIRA;2369;APTO (Deferido);PPS;23;PARA FAZER BRILHAR O CEARA - PR - PPS;PR / PPS;Deputado Federal;Feminino;1969-07-21;Solteiro(a);Secretário e Datilógrafo;Ensino Médio completo;Brasileira nata;INDEPENDENCIA / CE;;Suplente;392082010;5089-81.2010.6.06.0000;12.347.265/0001-40;
ANDRÉ PEIXOTO FIGUEIREDO LIMA;ANDRE FIGUEIREDO;1234;APTO (Deferido);PDT;12;PRB/PDT/PT/PMDB/PSC/PSB/PCdoB;PRB / PDT / PT / PMDB / PSC / PSB / PC do B;Deputado Federal;Masculino;1966-11-10;Casado(a);Economista;Superior completo;Brasileira nata;FORTALEZA / CE;;Eleito;344212010;4702-66.2010.6.06.0000;12.190.292/0001-51;
ANGELA MARIA AMORIM DE OLIVEIRA;ANGELA;4530;APTO (Deferido);PSDB;45;COLIGAÇÃO POR UM CEARÁ MODERNO E FORTE;DEM / PSDB;Deputado Federal;Feminino;1955-11-05;Casado(a);Dona de Casa;Ensino Fundamental incompleto;Brasileira nata;FORTALEZA / CE;;Suplente;404252010;5249-09.2010.6.06.0000;12.304.547/0001-60;
ANIBAL FERREIRA GOMES;ANIBAL;1500;APTO (Deferido);PMDB;15;PRB/PDT/PT/PMDB/PSC/PSB/PCdoB;PRB / PDT / PT / PMDB / PSC / PSB / PC do B;Deputado Federal;Masculino;1953-06-07;Casado(a);Deputado;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Eleito;329302010;4151-86.2010.6.06.0000;12.169.197/0001-76;
ANNA ANDREA SIQUEIRA PINHEIRO;ANNA ANDREA;1501;INAPTO (Indeferido);PMDB;15;PRB/PDT/PT/PMDB/PSC/PSB/PCdoB;PRB / PDT / PT / PMDB / PSC / PSB / PC do B;Deputado Federal;Feminino;1974-10-17;Solteiro(a);Outros;Superior completo;Brasileira nata;SENADOR POMPEU / CE;;;329312010;4152-71.2010.6.06.0000;12.176.804/0001-25;
ANTÔNIA CLÉSIA FERREIRA DA CUNHA;CLÉSIA;1420;APTO (Deferido);PTB;14;PP/PTB/PSL/PTN/PRTB/PHS/PMN/PT do B;PP / PTB / PSL / PTN / PHS / PMN / PT do B / PRTB;Deputado Federal;Feminino;1960-01-01;Casado(a);Dona de Casa;Superior completo;Brasileira nata;SENADOR POMPEU / CE;;Suplente;392832010;5115-79.2010.6.06.0000;;
ANTONIO ATILANO SOUSA AYRES DE MOURA;ATILANO;1441;APTO (Deferido);PTB;14;PP/PTB/PSL/PTN/PRTB/PHS/PMN/PT do B;PP / PTB / PSL / PTN / PHS / PMN / PT do B / PRTB;Deputado Federal;Masculino;1951-07-10;Solteiro(a);Engenheiro;Superior completo;Brasileira nata;FORTALEZA / CE;;Suplente;427232010;5448-31.2010.6.06.0000;12.338.985/0001-49;
ANTONIO BALHMANN CARDOSO NUNES FILHO;BALMAN;4000;APTO (Deferido);PSB;40;PRB/PDT/PT/PMDB/PSC/PSB/PCdoB;PRB / PDT / PT / PMDB / PSC / PSB / PC do B;Deputado Federal;Masculino;1949-08-22;Casado(a);Engenheiro;Superior completo;Brasileira nata;RUSSAS / CE;;Média;329322010;4153-56.2010.6.06.0000;12.169.847/0001-83;
ANTONIO DELLANI FREIRE DE LIMA;DELLANI FREIRE;1160;APTO (Deferido);PP;11;PP/PTB/PSL/PTN/PRTB/PHS/PMN/PT do B;PP / PTB / PSL / PTN / PHS / PMN / PT do B / PRTB;Deputado Federal;Masculino;1950-01-22;Casado(a);Gerente;Superior completo;Brasileira nata;ESPERANÇA / PB;;Suplente;330462010;4148-34.2010.6.06.0000;12.170.176/0001-70;
ANTÔNIO EUDES XAVIER;EUDES XAVIER;1312;APTO (Deferido);PT;13;PRB/PDT/PT/PMDB/PSC/PSB/PCdoB;PRB / PDT / PT / PMDB / PSC / PSB / PC do B;Deputado Federal;Masculino;1964-09-11;Casado(a);Outros;Ensino Médio completo;Brasileira nata;FORTALEZA / CE;;Eleito;329342010;4155-26.2010.6.06.0000;12.173.711/0001-47;
ANTONIO FERNANDES DA SILVA FILHO;FERNANDES FILHO;2231;APTO (Deferido);PR;22;PARA FAZER BRILHAR O CEARA - PR - PPS;PR / PPS;Deputado Federal;Masculino;1965-02-03;Divorciado(a);Outros;Ensino Médio completo;Brasileira nata;FORTALEZA / CE;;Suplente;325882010;3963-93.2010.6.06.0000;12.204.338/0001-44;
ANTONIO IDALMIR CARVALHO FEITOSA;IDALMIR FEITOSA;2525;APTO (Deferido);DEM;25;COLIGAÇÃO POR UM CEARÁ MODERNO E FORTE;DEM / PSDB;Deputado Federal;Masculino;1940-06-13;Casado(a);Advogado;Superior completo;Brasileira nata;TAUA / CE;;Suplente;332022010;4263-55.2010.6.06.0000;12.167.267/0001-57;
ANTONIO LUIZ DE ARAUJO MENEZES;DR. TANILO;1511;APTO (Deferido);PMDB;15;PRB/PDT/PT/PMDB/PSC/PSB/PCdoB;PRB / PDT / PT / PMDB / PSC / PSB / PC do B;Deputado Federal;Masculino;1964-11-27;Casado(a);Advogado;Superior completo;Brasileira nata;CAUCAIA / CE;;Suplente;329332010;4154-41.2010.6.06.0000;12.173.937/0001-48;
ANTONIO MARCELO TEIXEIRA SOUSA;MARCELO TEIXEIRA;2211;APTO (Deferido com recurso);PR;22;PARA FAZER BRILHAR O CEARA - PR - PPS;PR / PPS;Deputado Federal;Masculino;1957-04-06;Casado(a);Deputado;Superior completo;Brasileira nata;FORTALEZA / CE;;Suplente;325892010;3964-78.2010.6.06.0000;12.171.092/0001-51;
