Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADELMIR ARAUJO SANTANA;ADELMIR SANTANA;2525;APTO (Deferido);DEM;25;O DF PODE MAIS;PP / PSC / PR / DEM / PSDC / PRTB / PMN / PSDB / PT do B;Deputado Federal;Masculino;1945-04-19;Casado(a);Senador;Superior completo;Brasileira nata;NOVA IORQUE / MA;;Suplente;194312010;1645-13.2010.6.07.0000;12.168.404/0001-78;
ADRIANA BORGES DELGADO;ADRIANA DELGADO;5045;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Feminino;1965-04-19;Casado(a);Médico;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Não eleito;186922010;1313-46.2010.6.07.0000;12.229.728/0001-79;
ADRIANA DO NASCIMENTO DIAS HOTH DOS REIS;ADRIANA DIAS;5001;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Feminino;1969-08-20;Casado(a);Bancário e Economiário;Ensino Médio completo;Brasileira nata;BRASÍLIA / DF;;Não eleito;186932010;1314-31.2010.6.07.0000;12.190.810/0001-37;
ADRIANO HENRIQUE GUIMARAES;GUIMARAES;1719;APTO (Deferido);PSL;17;QUERO MUDAR;PSL / PTN;Deputado Federal;Masculino;1973-06-12;Casado(a);Bombeiro Militar;Superior incompleto;Brasileira nata;BRASILIA / DF;;Não eleito;188472010;1435-59.2010.6.07.0000;12.190.974/0001-64;
ALCIMAR ALVES DE FARIA;ALCIMAR PARA AJUDAR;1231;INAPTO (Indeferido);PDT;12;NOVO CAMINHO;PDT / PT / PPS / PSB;Deputado Federal;Masculino;1960-02-25;Solteiro(a);Outros;Superior incompleto;Brasileira nata;BRASILIA / DF;;;204882010;2377-91.2010.6.07.0000;12.207.215/0001-67;
ALESSANDRO CAMELO DE SOUSA;ALESSANDRO CAMELO;1219;APTO (Deferido);PDT;12;NOVO CAMINHO;PDT / PT / PPS / PSB;Deputado Federal;Masculino;1973-03-26;Casado(a);Policial Militar;Superior completo;Brasileira nata;BRASILIA / DF;;Suplente;197302010;2198-60.2010.6.07.0000;12.199.596/0001-80;
ALEXANDRE LUIS HORTA VIANNA;ALEXANDRE HORTA;3345;APTO (Deferido);PMN;33;O DF PODE MAIS;PP / PSC / PR / DEM / PSDC / PRTB / PMN / PSDB / PT do B;Deputado Federal;Masculino;1970-06-03;Solteiro(a);Servidor Público Federal;Superior completo;Brasileira nata;BELO HORIZONTE / MG;;Suplente;194322010;1642-58.2010.6.07.0000;12.178.116/0001-02;
ALEXANDRE TEIXEIRA GRIPP;DR. GRIPP;5012;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1974-08-13;Casado(a);Médico;Superior completo;Brasileira nata;PIRACICABA / SP;;Não eleito;186942010;1331-67.2010.6.07.0000;12.179.143/0001-91;
ANA BEATRIZ CANELHAS ECHART DE ABREU;ANA BEATRIZ;2808;APTO (Deferido);PRTB;28;O DF PODE MAIS;PP / PSC / PR / DEM / PSDC / PRTB / PMN / PSDB / PT do B;Deputado Federal;Feminino;1959-08-28;Casado(a);Arquiteto;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;194332010;1635-66.2010.6.07.0000;12.180.368/0001-68;
ANA LUCIA DA SILVA COLUSSO;ANA COLUSSO;5002;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Feminino;1967-07-23;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;SANTA MARIA / RS;;Não eleito;186952010;1317-83.2010.6.07.0000;12.178.280/0001-01;
ANDRÉ RODOLFO DE LIMA;ANDRÉ LIMA;4343;APTO (Deferido);PV;43;-;-;Deputado Federal;Masculino;1971-12-09;Casado(a);Advogado;Superior completo;Brasileira nata;ARARAQUARA / SP;;Não eleito;195782010;2114-59.2010.6.07.0000;12.172.196/0001-80;
ANTONIO CARLOS CASSIANO SILVA;CASSIANO;2720;APTO (Deferido);PSDC;27;O DF PODE MAIS;PP / PSC / PR / DEM / PSDC / PRTB / PMN / PSDB / PT do B;Deputado Federal;Masculino;1959-10-28;Solteiro(a);Motorista Particular;Ensino Fundamental completo;Brasileira nata;AMAPORÃ / PR;;Suplente;194342010;1648-65.2010.6.07.0000;12.198.762/0001-23;
ANTONIO CARLOS TEODORO;TEODORO;1212;INAPTO (Indeferido);PDT;12;NOVO CAMINHO;PDT / PT / PPS / PSB;Deputado Federal;Masculino;1965-01-10;Casado(a);Advogado;Superior completo;Brasileira nata;BRASILIA / DF;;Indeferido com Recurso;204782010;2372-69.2010.6.07.0000;12.206.333/0001-50;
ANTONIO CÉSAR SANTANA;AC SANTANA;2727;APTO (Deferido);PSDC;27;O DF PODE MAIS;PP / PSC / PR / DEM / PSDC / PRTB / PMN / PSDB / PT do B;Deputado Federal;Masculino;1948-11-28;Casado(a);Empresário;Superior completo;Brasileira nata;ARACAJU / SE;;Suplente;194352010;1649-50.2010.6.07.0000;12.178.544/0001-27;
ANTONIO JOSÉ PEREIRA GARCIA;TONINHO POP;1410;APTO (Deferido);PTB;14;NOVO CAMINHO PCdoB, PTB, PMDB, PRP, PRB;PRB / PTB / PMDB / PRP / PC do B;Deputado Federal;Masculino;1962-06-12;Divorciado(a);Outros;Superior completo;Brasileira nata;SÃO LUIZ / MA;;Suplente;192492010;2031-43.2010.6.07.0000;12.204.428/0001-35;
ARIONILDO BARROS LIMA;ARI LIMA;3124;APTO (Deferido);PHS;31;-;-;Deputado Federal;Masculino;1971-12-14;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;CODO / MA;;Não eleito;193372010;1948-27.2010.6.07.0000;12.199.313/0001-08;
