Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABEL SANT'ANNA JUNIOR;ABEL SANT'ANNA;4343;APTO (Deferido);PV;43;FRENTE POPULAR CAPIXABA;PRB / PP / PDT / PSC / PR / PHS / PV / PC do B;Deputado Federal;Masculino;1953-01-01;Solteiro(a);Médico;Superior completo;Brasileira nata;CACHOEIRO DE ITAPEMIRIM / ES;;Suplente;88322010;1874-43.2010.6.08.0000;12.175.400/0001-17;
ADEMIR ANTONIO FREITAS DA SILVA;ADEMIR FREITAS;1010;APTO (Deferido);PRB;10;FRENTE POPULAR CAPIXABA;PRB / PP / PDT / PSC / PR / PHS / PV / PC do B;Deputado Federal;Masculino;1956-08-18;Casado(a);Aposentado (Exceto Servidor Público);Ensino Fundamental completo;Brasileira nata;COLATINA / ES;;Suplente;88332010;1901-26.2010.6.08.0000;12.178.504/0001-85;
ADRIANO FRANCISCO ROCHA;ADRIANO ROCHA;1700;APTO (Deferido);PSL;17;FRENTE RENOVA ESPIRITO SANTO;PSL / PRTB;Deputado Federal;Masculino;1972-05-17;Solteiro(a);Contador;Superior completo;Brasileira nata;VITORIA / ES;;Não eleito;90562010;1972-28.2010.6.08.0000;12.170.261/0001-39;
AFONSO RODRIGUES PEREIRA FILHO;AFONSO RODRIGUES;4566;APTO (Deferido);PSDB;45;O ESPIRITO SANTO QUER MAIS;PTB / PPS / DEM / PMN / PSDB;Deputado Federal;Masculino;1964-09-12;Casado(a);Administrador;Superior completo;Brasileira nata;IBERTIOGA / MG;;Suplente;93742010;2195-78.2010.6.08.0000;12.177.731/0001-96;
ALCANTARO VICTOR LAZZARINI CAMPOS;ALCANTARO FILHO;2345;APTO (Deferido);PPS;23;O ESPIRITO SANTO QUER MAIS;PTB / PPS / DEM / PMN / PSDB;Deputado Federal;Masculino;1987-12-03;Solteiro(a);Advogado;Superior completo;Brasileira nata;ARACRUZ / ES;;Suplente;94432010;2282-34.2010.6.08.0000;12.198.488/0001-92;
ALECSANDRO MOREIRA DOS SANTOS;ALEX SANTOS;1520;APTO (Deferido);PMDB;15;FRENTE JUNTOS PELO FUTURO;PT / PMDB / PTN / PTC / PSB / PRP / PT do B;Deputado Federal;Masculino;1976-10-08;Solteiro(a);Contador;Superior incompleto;Brasileira nata;VITORIA / ES;;Suplente;89952010;1884-87.2010.6.08.0000;12.168.770/0001-27;
ALEXANDRE VALDO MAITAN;MAITAN;1245;APTO (Deferido);PDT;12;FRENTE POPULAR CAPIXABA;PRB / PP / PDT / PSC / PR / PHS / PV / PC do B;Deputado Federal;Masculino;1971-06-02;Solteiro(a);Advogado;Superior completo;Brasileira nata;CACHOEIRO DE ITAPEMIRIM / ES;;Suplente;96602010;2299-70.2010.6.08.0000;12.205.994/0001-61;
ANDREIA DE OLIVEIRA BOTELHO;DR ANDREIA;2344;APTO (Deferido);PPS;23;O ESPIRITO SANTO QUER MAIS;PTB / PPS / DEM / PMN / PSDB;Deputado Federal;Feminino;1975-05-29;Divorciado(a);Advogado;Superior completo;Brasileira nata;IPATINGA / MG;;Suplente;94442010;2281-49.2010.6.08.0000;12.198.307/0001-28;
ANTONIO MOREIRA;TONINHO MOREIRA;2525;APTO (Deferido);DEM;25;O ESPIRITO SANTO QUER MAIS;PTB / PPS / DEM / PMN / PSDB;Deputado Federal;Masculino;1941-06-26;Casado(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;SANTA TERESA / ES;;Suplente;120882010;2564-72.2010.6.08.0000;12.332.346/0001-76;
AUDIFAX CHARLES PIMENTEL BARCELOS;AUDIFAX;4010;APTO (Deferido);PSB;40;FRENTE JUNTOS PELO FUTURO;PT / PMDB / PTN / PTC / PSB / PRP / PT do B;Deputado Federal;Masculino;1964-05-09;Casado(a);Administrador;Superior completo;Brasileira nata;SERRA / ES;;Eleito;90022010;1847-60.2010.6.08.0000;12.180.776/0001-10;
