Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABEL ALVES VIANA;ABEL VIANA;1456;INAPTO (Renúncia);PTB;14;AVANÇAR MAIS;PRB / PTB / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1952-08-21;Casado(a);Outros;Superior completo;Brasileira nata;FORMOSA / GO;;;274712010;4087-92.2010.6.09.0000;12.168.421/0001-05;
ADOLFO LOPES JAMEL EDIN;ADOLFO LOPES;2588;APTO (Deferido);DEM;25;AVANÇAR MAIS;PRB / PTB / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1942-04-15;Divorciado(a);Advogado;Superior completo;Brasileira nata;BELO HORIZONTE / MG;;Suplente;348422010;4744-34.2010.6.09.0000;12.325.656/0001-63;
ALESSANDRO MENDONÇA CABRAL;CAXOTINHO;1411;APTO (Deferido);PTB;14;AVANÇAR MAIS;PRB / PTB / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1970-08-02;Divorciado(a);Outros;Superior completo;Brasileira nata;RIO VERDE / GO;;Suplente;274722010;4091-32.2010.6.09.0000;12.190.857/0001-09;
ALONSO PEREIRA DE MENEZES;ALONSO;2238;INAPTO (Renúncia);PR;22;Goiás no rumo certo;PP / PDT / PTN / PSC / PR / PSDC / PSB / PV / PRP;Deputado Federal;Masculino;1948-05-24;Casado(a);Aposentado (Exceto Servidor Público);Ensino Médio completo;Brasileira nata;BARREIRAS / BA;;;291592010;4389-24.2010.6.09.0000;12.203.829/0001-70;
AMARILDO DOMINGOS CARDOSO;AMARILDO CARDOSO;1346;APTO (Deferido);PT;13;Goias Rumo ao Futuro;PT / PMDB / PC do B;Deputado Federal;Masculino;1963-07-03;Divorciado(a);Advogado;Superior completo;Brasileira nata;JATAI / GO;;Suplente;280412010;4134-66.2010.6.09.0000;12.174.527/0001-11;
AMIM DE OLIVEIRA SILVA;AMIM;1700;APTO (Deferido);PSL;17;GOIÁS PODE MAIS;PSL / PRTB / PHS / PTC;Deputado Federal;Masculino;1947-08-02;Casado(a);Motorista de Veículos de Transporte Coletivo de Passageiros;Ensino Fundamental completo;Brasileira nata;CARMO DO CAJURU / MG;;Não eleito;276072010;3398-48.2010.6.09.0000;12.173.318/0001-53;
ANA CAROLINA ALVES BOTELHO;ANA CAROLINA;5001;INAPTO (Indeferido);PSOL;50;GOIAS PRA VOCÊ, NÃO PRA ELES;PSTU / PSOL;Deputado Federal;Feminino;1975-11-23;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Ensino Médio completo;Brasileira nata;BRASILIA / DF;;;278482010;3467-80.2010.6.09.0000;12.167.945/0001-81;
ANSELMO QUADROS;ANSELMO QUADROS;4333;APTO (Deferido);PV;43;Goiás no rumo certo;PP / PDT / PTN / PSC / PR / PSDC / PSB / PV / PRP;Deputado Federal;Masculino;1952-03-30;Casado(a);Administrador;Superior incompleto;Brasileira nata;PALMEIRAS DAS MISSOES / RS;;Suplente;278032010;3798-62.2010.6.09.0000;12.172.947/0001-69;
ANTONIO ALENCAR FILHO;ALENCAR;4552;APTO (Deferido);PSDB;45;AVANÇAR MAIS;PRB / PTB / PPS / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1957-09-27;Casado(a);Administrador;Superior completo;Brasileira nata;RONDONOPOLIS / MT;;Suplente;274732010;4092-17.2010.6.09.0000;12.173.000/0001-72;
ANTONIO BENEDITO DA SILVEIRA;TONINHO PV;4311;APTO (Deferido);PV;43;Goiás no rumo certo;PP / PDT / PTN / PSC / PR / PSDC / PSB / PV / PRP;Deputado Federal;Masculino;1955-11-03;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;LUZIÂNIA / GO;;Suplente;278042010;3800-32.2010.6.09.0000;12.171.391/0001-96;
