Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
AGEMIRO MEDEIROS DE SOUSA;AGEMIRO;1717;APTO (Deferido);PSL;17;O MARANHÃO NÃO PODE PARAR - F2;PSL / PRTB / PHS / PMN / PRP / PT do B;Deputado Federal;Masculino;1957-09-24;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;CRATEÚS / CE;;Suplente;235062010;3468-38.2010.6.10.0000;12.170.702/0001-00;
AGENOR ALMEIDA FILHO;AGENOR FILHO;3300;INAPTO (Renúncia);PMN;33;O MARANHÃO NÃO PODE PARAR - F2;PSL / PRTB / PHS / PMN / PRP / PT do B;Deputado Federal;Masculino;1964-01-01;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;MIRINZAL / MA;;;235072010;3469-23.2010.6.10.0000;12.173.806/0001-60;
AGUINALDO DA SILVA PORTO NETO;NETO BACABAL;3322;APTO (Deferido);PMN;33;O MARANHÃO NÃO PODE PARAR - F2;PSL / PRTB / PHS / PMN / PRP / PT do B;Deputado Federal;Masculino;1959-12-02;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;BACABAL / MA;;Suplente;235082010;3471-90.2010.6.10.0000;12.229.789/0001-36;
ALBERTINO ALVES PEREIRA;DR ALBERTINO;4014;APTO (Deferido);PSB;40;MUDA MARANHÃO;PPS / PSB / PC do B;Deputado Federal;Masculino;1970-11-09;Solteiro(a);Advogado;Superior completo;Brasileira nata;JOÃO LISBOA / MA;;Suplente;237072010;3456-24.2010.6.10.0000;12.190.486/0001-57;
ALEXANDRA MIGUEL CRUZ TAVARES;ALEXANDRA TAVARES;4000;APTO (Deferido);PSB;40;MUDA MARANHÃO;PPS / PSB / PC do B;Deputado Federal;Feminino;1973-03-17;Divorciado(a);Empresário;Superior completo;Brasileira nata;BRASILIA / DF;;Suplente;237082010;3457-09.2010.6.10.0000;12.190.959/0001-16;
ALICE MARIA MENDES PORTO;ALICE PORTO;3132;APTO (Deferido);PHS;31;O MARANHÃO NÃO PODE PARAR - F2;PSL / PRTB / PHS / PMN / PRP / PT do B;Deputado Federal;Feminino;1961-11-06;Casado(a);Pedagogo;Superior completo;Brasileira nata;BACABAL / MA;;Suplente;235092010;3472-75.2010.6.10.0000;12.174.752/0001-58;
ALTEMAR LIMA DE SOUSA;ALTEMAR LIMA;2365;APTO (Deferido);PPS;23;MUDA MARANHÃO;PPS / PSB / PC do B;Deputado Federal;Masculino;1964-08-21;Divorciado(a);Servidor Público Municipal;Superior completo;Brasileira nata;ALTAMIRA / MA;;Suplente;238652010;3533-33.2010.6.10.0000;12.191.306/0001-51;
AMANDIO SANTO;DR. AMANDIO;4020;APTO (Deferido);PSB;40;MUDA MARANHÃO;PPS / PSB / PC do B;Deputado Federal;Masculino;1952-10-08;Divorciado(a);Advogado;Superior completo;Brasileira nata;FERNADOPOLIS / SP;;Suplente;237092010;3458-91.2010.6.10.0000;12.190.901/0001-72;
ANTONIA SINHORINHA SILVA;SINHORINHA;2828;APTO (Deferido);PRTB;28;O MARANHÃO NÃO PODE PARAR - F2;PSL / PRTB / PHS / PMN / PRP / PT do B;Deputado Federal;Masculino;1962-09-12;Casado(a);Pedagogo;Superior completo;Brasileira nata;MIRADOR / MA;;Suplente;236682010;3608-72.2010.6.10.0000;12.172.752/0001-19;
ANTONIO AUGUSTO SOUSA;SOUSA AUGUSTO;4044;APTO (Deferido);PSB;40;MUDA MARANHÃO;PPS / PSB / PC do B;Deputado Federal;Masculino;1970-10-06;Casado(a);Advogado;Superior completo;Brasileira nata;TURIAÇU / MA;;Suplente;237102010;3459-76.2010.6.10.0000;12.190.693/0001-01;
