Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABNER DENER DINO PEDRA;DINO;1567;INAPTO (Indeferido);PMDB;15;TODOS JUNTOS POR MINAS;PRB / PT / PMDB / PC do B;Deputado Federal;Masculino;1962-06-04;Casado(a);Outros;Superior incompleto;Brasileira nata;BELO HORIZONTE / MG;;;534732010;5629-37.2010.6.13.0000;12.270.024/0001-40;
ADAO LUCIO DELGADO;DR ADAO;3147;APTO (Deferido);PHS;31;PHS/PTC;PHS / PTC;Deputado Federal;Masculino;1948-03-23;Casado(a);Médico;Superior completo;Brasileira nata;PONTE NOVA / MG;;Suplente;412032010;4024-56.2010.6.13.0000;12.171.896/0001-50;
ADÃO MARTINS DE SOUZA;ADÃO DA ASSOCIAÇÃO;3399;APTO (Deferido);PMN;33;UNIDOS POR MINAS;PSL / PSDC / PMN;Deputado Federal;Masculino;1973-11-16;Casado(a);Técnico de Mecânica;Ensino Médio completo;Brasileira nata;CONTAGEM / MG;;Suplente;405462010;3604-51.2010.6.13.0000;12.181.165/0001-96;
ADÃO RIBEIRO DA SILVA;ADÃO MANGABEIRA;4060;APTO (Deferido);PSB;40;JUSTIÇA SOCIAL E TRABALHO;PTB / PSB;Deputado Federal;Masculino;1943-07-02;Casado(a);Vendedor Pracista, Representante, Caixeiro-Viajante e Assemelhados;Ensino Fundamental incompleto;Brasileira nata;MIRABELA / MG;;Suplente;417602010;4566-74.2010.6.13.0000;12.176.068/0001-05;
ADARLEI DIAS DA SILVA;ADARLEI;7007;APTO (Deferido);PT do B;70;MINAS NO RUMO CERTO;PTN / PRTB / PRP / PT do B;Deputado Federal;Masculino;1973-01-16;Casado(a);Vigilante;Superior incompleto;Brasileira nata;ST. ANT. DO JACINTO / MG;;Suplente;413792010;4187-36.2010.6.13.0000;12.167.638/0001-09;
ADEIR BATISTA PEREIRA;ADEIR BATISTA;4070;APTO (Deferido);PSB;40;JUSTIÇA SOCIAL E TRABALHO;PTB / PSB;Deputado Federal;Masculino;1965-09-12;Separado(a) judicialmente;Representante Comercial;Ensino Fundamental incompleto;Brasileira nata;BELO HORIZONTE / MG;;Suplente;417612010;4567-59.2010.6.13.0000;12.318.977/0001-30;
ADEMAR FERREIRA DE CASTILHO;ADEMAR DA PREFEITURA;1333;APTO (Deferido);PT;13;TODOS JUNTOS POR MINAS;PRB / PT / PMDB / PC do B;Deputado Federal;Masculino;1947-04-04;Viúvo(a);Agente Administrativo;Superior completo;Brasileira nata;IEPÊ / SP;;Suplente;431172010;5353-06.2010.6.13.0000;12.189.935/0001-47;
ADEMIR CAMILO PRATES RODRIGUES;ADEMIR CAMILO;1231;APTO (Deferido);PDT;12;-;-;Deputado Federal;Masculino;1964-05-30;Casado(a);Deputado;Superior completo;Brasileira nata;TEÓFILO OTONI / MG;;Eleito;428832010;4724-32.2010.6.13.0000;12.177.571/0001-85;
ADEMIR SOARES DE SOUZA;ADEMIR SOARES;1770;APTO (Deferido);PSL;17;UNIDOS POR MINAS;PSL / PSDC / PMN;Deputado Federal;Masculino;1964-06-28;Divorciado(a);Comerciante;Ensino Médio completo;Brasileira nata;CORAÇAO DE JESUS / MG;;Suplente;405442010;3602-81.2010.6.13.0000;12.214.406/0001-56;
ADENOR LUIZ SIMÕES COELHO;ADENOR SIMÕES;4045;APTO (Deferido);PSB;40;JUSTIÇA SOCIAL E TRABALHO;PTB / PSB;Deputado Federal;Masculino;1957-08-31;Solteiro(a);Produtor de Espetáculos Públicos;Ensino Fundamental completo;Brasileira nata;SAO JOAO DEL REI / MG;;Suplente;417622010;4568-44.2010.6.13.0000;12.175.652/0001-46;
ADICIO DIAS SOARES;ADILSON DA VALE VERDE;1945;APTO (Deferido);PTN;19;MINAS NO RUMO CERTO;PTN / PRTB / PRP / PT do B;Deputado Federal;Masculino;1943-01-13;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;SAO S. RIO PRETO / MG;;Suplente;413802010;4188-21.2010.6.13.0000;12.171.819/0001-09;
ADMAR RODRIGUES SOARES;ADMAR SOARES;3698;INAPTO (Indeferido);PTC;36;PHS/PTC;PHS / PTC;Deputado Federal;Masculino;1969-01-05;Casado(a);Agricultor;Ensino Médio completo;Brasileira nata;MANHUMIRIM / MG;;;412042010;4025-41.2010.6.13.0000;12.181.858/0001-89;
ADOLFO ISABEL DA COSTA;CB ADOLFO COSTA;3120;APTO (Deferido);PHS;31;PHS/PTC;PHS / PTC;Deputado Federal;Masculino;1967-09-15;Casado(a);Policial Militar;Superior completo;Brasileira nata;IBIRITE / MG;;Suplente;412052010;4026-26.2010.6.13.0000;12.178.241/0001-04;
ADRIANA GONCALVES RIBEIRO BENEDITO;ADRIANA;3318;APTO (Deferido);PMN;33;UNIDOS POR MINAS;PSL / PSDC / PMN;Deputado Federal;Feminino;1971-05-16;Casado(a);Outros;Ensino Médio completo;Brasileira nata;CONTAGEM / MG;;Suplente;405452010;3603-66.2010.6.13.0000;12.181.567/0001-90;
AELSON PEREIRA DOS SANTOS;AELSON NEVES;1567;APTO (Indeferido com recurso);PMDB;15;TODOS JUNTOS POR MINAS;PRB / PT / PMDB / PC do B;Deputado Federal;Masculino;1972-06-17;Solteiro(a);Agente de Viagem;Ensino Fundamental completo;Brasileira nata;BELO HORIZONTE / MG;;Indeferido com Recurso;427042010;5051-74.2010.6.13.0000;12.189.562/0001-04;
AELTON JOSE DE FREITAS;AELTON FREITAS;2222;APTO (Deferido);PR;22;PSDB/DEM/PP/PR/PPS;PP / PR / PPS / DEM / PSDB;Deputado Federal;Masculino;1961-12-14;Casado(a);Deputado;Superior completo;Brasileira nata;ITURAMA / MG;;Eleito;413092010;4119-86.2010.6.13.0000;12.175.953/0001-70;
ALADÍLSON CRUZ MARTINS;ALADÍLSON;4325;APTO (Deferido);PV;43;-;-;Deputado Federal;Masculino;1958-03-25;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;CAMPOS / RJ;;Suplente;409962010;3889-44.2010.6.13.0000;12.177.399/0001-60;
ALAN VINICIUS JORGE;ALAN VINICIUS;3110;APTO (Deferido);PHS;31;PHS/PTC;PHS / PTC;Deputado Federal;Masculino;1969-04-16;Solteiro(a);Locutor e Comentarista de Rádio e Televisão e Radialista;Ensino Médio completo;Brasileira nata;BELO HORIZONTE / MG;;Suplente;412062010;4027-11.2010.6.13.0000;12.214.469/0001-02;
ALAÔR LEITE DE ALMEIDA;ALAÔR LEITE;1244;APTO (Deferido);PDT;12;-;-;Deputado Federal;Masculino;1967-06-07;Casado(a);Servidor Público Municipal;Superior completo;Brasileira nata;PEDRO TEIXEIRA / MG;;Suplente;428842010;4725-17.2010.6.13.0000;12.178.525/0001-09;
ALDREY VASCONCELOS CHAVES;ALDREY VASCONCELOS;3618;APTO (Deferido);PTC;36;PHS/PTC;PHS / PTC;Deputado Federal;Masculino;1970-04-17;Casado(a);Engenheiro;Superior completo;Brasileira nata;BELO HORIZONTE / MG;;Suplente;425762010;5376-49.2010.6.13.0000;12.199.787/0001-41;
ALESSANDRO JOSE DA SILVA;ALESSANDRO GARI;2000;APTO (Deferido);PSC;20;-;-;Deputado Federal;Masculino;1975-11-05;Separado(a) judicialmente;Servidor Público Municipal;Ensino Médio completo;Brasileira nata;TRES MARIAS / MG;;Suplente;412372010;4051-39.2010.6.13.0000;12.181.328/0001-30;
ALESSANDRO MARQUES;ALESSANDRO MARQUES;2700;APTO (Deferido);PSDC;27;UNIDOS POR MINAS;PSL / PSDC / PMN;Deputado Federal;Masculino;1968-01-14;Casado(a);Empresário;Ensino Médio incompleto;Brasileira nata;BELO HORIZONTE / MG;;Suplente;405472010;3605-36.2010.6.13.0000;12.179.239/0001-50;
ALEX LOMBELLO AMARAL;ALEX LOMBELLO AMARAL;2121;APTO (Deferido);PCB;21;-;-;Deputado Federal;Masculino;1975-09-21;Divorciado(a);Historiador;Superior completo;Brasileira nata;SÃO JOÃO DEL REY / MG;;Não eleito;425372010;5026-61.2010.6.13.0000;12.189.365/0001-95;
ALEXANDER NERY SANT ANNA;ALEX NERY;4332;APTO (Deferido);PV;43;-;-;Deputado Federal;Masculino;1969-01-23;Casado(a);Outros;Ensino Fundamental incompleto;Brasileira nata;BELO HORIZONTE / MG;;Suplente;409972010;3890-29.2010.6.13.0000;12.339.062/0001-01;
ALEXANDRA POLICARPO DOS SANTOS;ALEXANDRA POLICARPO;3337;INAPTO (Renúncia);PMN;33;UNIDOS POR MINAS;PSL / PSDC / PMN;Deputado Federal;Feminino;1975-12-28;Casado(a);Empresário;Superior incompleto;Brasileira nata;BELO HORIZONTE / MG;;;405482010;3606-21.2010.6.13.0000;12.168.767/0001-03;
ALEXANDRE BOSSI QUEIROZ;PROFESSOR ALEXANDRE BOSSI;4333;APTO (Deferido);PV;43;-;-;Deputado Federal;Masculino;1963-08-09;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;BELO HORIZONTE / MG;;Suplente;409982010;3891-14.2010.6.13.0000;12.172.967/0001-30;
ALEXANDRE GERALDO DE SOUZA;ALEXANDRE DO BARREIRO;1725;APTO (Deferido);PSL;17;UNIDOS POR MINAS;PSL / PSDC / PMN;Deputado Federal;Masculino;1964-10-17;Separado(a) judicialmente;Comerciante;Ensino Médio completo;Brasileira nata;BELO HORIZONTE / MG;;Suplente;405492010;3607-06.2010.6.13.0000;12.177.849/0001-14;
ALEXANDRE PEREIRA DA SILVA;ALEXANDRE;1021;APTO (Deferido);PRB;10;TODOS JUNTOS POR MINAS;PRB / PT / PMDB / PC do B;Deputado Federal;Masculino;1970-05-19;Casado(a);Outros;Ensino Médio completo;Brasileira nata;PASSOS / MG;;Suplente;427052010;5052-59.2010.6.13.0000;12.180.186/0001-97;
ALEXANDRE SILVEIRA DE OLIVEIRA;ALEXANDRE SILVEIRA;2323;APTO (Deferido);PPS;23;PSDB/DEM/PP/PR/PPS;PP / PR / PPS / DEM / PSDB;Deputado Federal;Masculino;1970-07-15;Casado(a);Deputado;Superior completo;Brasileira nata;BELO HORIZONTE / MG;;Eleito;413112010;4121-56.2010.6.13.0000;12.180.523/0001-46;
ALFREDO CARDOSO TEIXEIRA FILHO;ALFREDO CARDOSO;3333;APTO (Deferido);PMN;33;UNIDOS POR MINAS;PSL / PSDC / PMN;Deputado Federal;Masculino;1950-02-17;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;BELO HORIZONTE / MG;;Suplente;405502010;3608-88.2010.6.13.0000;12.206.137/0001-86;
ALFREDO PASTORI NETO;ALFREDO PASTORI;1722;APTO (Indeferido com recurso);PSL;17;UNIDOS POR MINAS;PSL / PSDC / PMN;Deputado Federal;Masculino;1965-11-22;Casado(a);Comerciante;Ensino Médio completo;Brasileira nata;ARAGUARI / MG;;Indeferido com Recurso;405512010;3609-73.2010.6.13.0000;12.177.832/0001-67;
ALINE RODRIGUES RIBEIRO;ALINE;1306;APTO (Deferido);PT;13;TODOS JUNTOS POR MINAS;PRB / PT / PMDB / PC do B;Deputado Federal;Feminino;1989-07-20;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Superior incompleto;Brasileira nata;SÃO FRANCISCO / MG;;Suplente;427062010;5053-44.2010.6.13.0000;12.189.815/0001-40;
ALTINO REGINATTO DA CONCEIÇÃO;ALTINO REGINATTO;1001;INAPTO (Renúncia);PRB;10;TODOS JUNTOS POR MINAS;PRB / PT / PMDB / PC do B;Deputado Federal;Masculino;1972-09-29;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;CARATINGA / MG;;;427072010;5054-29.2010.6.13.0000;12.169.361/0001-45;
ALTIVO ALVES DE SOUZA;ALTIVO ALVES;3107;APTO (Deferido);PHS;31;PHS/PTC;PHS / PTC;Deputado Federal;Masculino;1943-07-28;Casado(a);Policial Militar;Superior incompleto;Brasileira nata;RESPLENDOR / MG;;Suplente;412072010;4028-93.2010.6.13.0000;12.172.171/0001-87;
ALVARO RODRIGUES COELHO;CABO COELHO;7010;APTO (Deferido);PT do B;70;MINAS NO RUMO CERTO;PTN / PRTB / PRP / PT do B;Deputado Federal;Masculino;1966-01-28;Casado(a);Policial Militar;Ensino Médio completo;Brasileira nata;BELO HORIZONTE / MG;;Suplente;413812010;4189-06.2010.6.13.0000;12.179.078/0001-02;
ANA MARIA DO CARMO MACIEL;ANINHA;1270;APTO (Deferido);PDT;12;-;-;Deputado Federal;Feminino;1956-10-03;Casado(a);Cozinheiro;Ensino Médio completo;Brasileira nata;PIUMHI / MG;;Suplente;583762010;6217-44.2010.6.13.0000;12.332.402/0001-72;
