Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADEMIR DE SOUSA OSIRO;ADEMIR OSIRO;2525;APTO (Deferido com recurso);DEM;25;AMOR, TRABALHO E FÉ I;PRB / PMDB / PR / DEM / PMN / PSB / PSDB;Deputado Federal;Masculino;1970-07-07;Casado(a);Administrador;Superior completo;Brasileira nata;SIDROLANDIA / MS;;Suplente;205622010;2406-06.2010.6.12.0000;12.178.008/0001-21;
AKIRA OTSUBO;AKIRA;1515;APTO (Deferido);PMDB;15;AMOR, TRABALHO E FÉ I;PRB / PMDB / PR / DEM / PMN / PSB / PSDB;Deputado Federal;Masculino;1938-01-15;Casado(a);Deputado;Superior completo;Brasileira nata;COMANDANTE ARTUS / SP;;Suplente;205632010;2418-20.2010.6.12.0000;12.167.523/0001-06;
ALBERTO DE MEDEIROS GUIMARÃES;ALBERTO GUIMARAES;1469;APTO (Deferido);PTB;14;AMOR, TRABALHO E FÉ II;PTB / PTN / PPS / PRTB / PHS / PTC / PT do B;Deputado Federal;Masculino;1958-09-25;Divorciado(a);Advogado;Superior completo;Brasileira nata;CORUMBA / MS;;Não eleito;212702010;2862-53.2010.6.12.0000;12.190.024/0001-30;
ANTONIO CARLOS BIFFI;BIFFI;1322;APTO (Deferido);PT;13;A FORÇA DO POVO;PP / PDT / PT / PSL / PSC / PSDC / PV / PRP / PC do B;Deputado Federal;Masculino;1952-03-09;Casado(a);Deputado;Superior completo;Brasileira nata;TUPA / SP;;Eleito;208572010;2538-63.2010.6.12.0000;12.199.896/0001-69;
ANTONIO FERREIRA DA CRUZ FILHO;DR ANTONIO CRUZ;1111;APTO (Deferido);PP;11;A FORÇA DO POVO;PP / PDT / PT / PSL / PSC / PSDC / PV / PRP / PC do B;Deputado Federal;Masculino;1949-12-05;Casado(a);Médico;Superior completo;Brasileira nata;CUIABÁ / MT;;Suplente;208582010;2539-48.2010.6.12.0000;12.169.085/0001-15;
ANTONIO JULIANO DE BARROS;ANTONIO JULIANO;4554;APTO (Deferido);PSDB;45;AMOR, TRABALHO E FÉ I;PRB / PMDB / PR / DEM / PMN / PSB / PSDB;Deputado Federal;Masculino;1949-07-06;Casado(a);Médico;Superior completo;Brasileira nata;CORUMBA / MS;;Suplente;205642010;2399-14.2010.6.12.0000;12.171.990/0001-00;
APENZELER DUTRA CARNEIRO;PR DUTRA;1919;APTO (Deferido);PTN;19;AMOR, TRABALHO E FÉ II;PTB / PTN / PPS / PRTB / PHS / PTC / PT do B;Deputado Federal;Masculino;1948-10-28;Casado(a);Servidor Público Estadual;Ensino Médio completo;Brasileira nata;PONTA PORA / MS;;Não eleito;205862010;2441-63.2010.6.12.0000;12.198.080/0001-10;
ARYANA DA SILVA MOURA;ARYANA;2320;APTO (Deferido);PPS;23;AMOR, TRABALHO E FÉ II;PTB / PTN / PPS / PRTB / PHS / PTC / PT do B;Deputado Federal;Feminino;1987-01-08;Solteiro(a);Assistente Social;Ensino Médio completo;Brasileira nata;SIMPLÍCIO MENDES / PI;;Não eleito;217622010;2887-66.2010.6.12.0000;12.203.798/0001-58;
CAIO AUGUSTO CESAR DE SOUZA MORAES;CAIO AUGUSTO;4555;APTO (Deferido);PSDB;45;AMOR, TRABALHO E FÉ I;PRB / PMDB / PR / DEM / PMN / PSB / PSDB;Deputado Federal;Masculino;1981-04-19;Solteiro(a);Vereador;Superior completo;Brasileira nata;CAMPO GRANDE / MS;;Suplente;205652010;2396-59.2010.6.12.0000;12.181.535/0001-95;
CARLOS ALBERTO MACHADO;MACHADO;1340;APTO (Deferido);PT;13;A FORÇA DO POVO;PP / PDT / PT / PSL / PSC / PSDC / PV / PRP / PC do B;Deputado Federal;Masculino;1951-04-29;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;AQUIDAUANA / MS;;Suplente;208592010;2540-33.2010.6.12.0000;12.169.443/0001-90;
