Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADAIR RUFINO DA SILVA FILHO;DAIRINHO FILHO;1415;APTO (Deferido);PTB;14;COLIGAÇÃO SENADOR JONAS PINHEIRO II;PTB / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1983-04-02;Casado(a);Pecuarista;Ensino Médio completo;Brasileira nata;IPORÁ / GO;;Suplente;198492010;1699-65.2010.6.11.0000;12.191.451/0001-32;
ALEDES DE SOUZA GAMA;ALEDES;1510;INAPTO (Renúncia);PMDB;15;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Masculino;1942-01-20;Casado(a);Aposentado (Exceto Servidor Público);Ensino Médio completo;Brasileira nata;SANTO ANTONIO DE PADUA / RJ;;;200512010;1833-92.2010.6.11.0000;12.198.258/0001-23;
ALEDINER MESQUITA BORBA;DR MESQUITA;2363;APTO (Deferido);PPS;23;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Masculino;1957-04-01;Casado(a);Médico;Superior completo;Brasileira nata;CUIABA / MT;;Suplente;207552010;1946-46.2010.6.11.0000;12.206.128/0001-95;
ALENCAR FARINA;DR FARINA;1300;INAPTO (Renúncia);PT;13;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Masculino;1963-01-22;Casado(a);Médico;Superior completo;Brasileira nata;SAO CARLOS DO IVAI / PR;;;200522010;1832-10.2010.6.11.0000;12.198.620/0001-66;
ÁLVARO JOSÉ ORMOND;ÁLVARO ORMOND;5000;APTO (Indeferido com recurso);PSOL;50;-;-;Deputado Federal;Masculino;1957-11-02;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;CHAPADA DOS GUIMÃRAES / MT;;Indeferido com Recurso;192042010;1517-79.2010.6.11.0000;12.172.673/0001-08;
AMOREZIO DIAS VIDRAGO;AMOREZIO;3636;APTO (Deferido);PTC;36;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Masculino;1955-03-08;Casado(a);Empresário;Superior incompleto;Brasileira nata;DIAMANTINO / MT;;Suplente;203282010;1755-98.2010.6.11.0000;12.204.070/0001-40;
ANA FLAVIA BOTELHO RODRIGUES;ANA FLAVIA;6510;APTO (Deferido);PC do B;65;-;-;Deputado Federal;Feminino;1988-03-14;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Superior incompleto;Brasileira nata;CUIABA / MT;;Não eleito;207232010;1822-63.2010.6.11.0000;12.205.995/0001-06;
ANDRE GERARD TRÉCHAUD;ANDRÉ TRECHAUD;2213;APTO (Deferido);PR;22;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Masculino;1962-08-13;Casado(a);Administrador;Superior completo;Brasileira nata;CUIABA / MT;;Suplente;200532010;1843-39.2010.6.11.0000;12.198.621/0001-00;
ANTONIO MARCOS NASCIMENTO LEMOS;MARCOS BAIANO;1490;APTO (Deferido);PTB;14;COLIGAÇÃO SENADOR JONAS PINHEIRO II;PTB / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1972-06-29;Solteiro(a);Mecânico de Manutenção;Ensino Fundamental incompleto;Brasileira nata;ILHEUS / BA;;Suplente;197622010;1694-43.2010.6.11.0000;12.243.006/0001-79;
ARAHAO NUNES CABRAL;ARAO CABRAL;1223;APTO (Deferido);PDT;12;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Masculino;1947-02-13;Casado(a);Corretor de Imóveis, Seguros, Títulos e Valores;Ensino Médio completo;Brasileira nata;ERECHIM / RS;;Suplente;207452010;1935-17.2010.6.11.0000;12.206.185/0001-74;
AURIKA ELIZA SIMM;PROFESSORA AURIKA SIMM;1977;INAPTO (Indeferido);PTN;19;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Feminino;1962-12-14;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;HORIZONTINA / RS;;Indeferido com Recurso;265072010;2510-25.2010.6.11.0000;12.206.367/0001-45;
AURIKA ELIZA SIMM;PROFESSORA AURIKA SIMM;1977;INAPTO (Indeferido);PTN;19;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Feminino;1962-12-14;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;HORIZONTINA / RS;;;207212010;1924-85.2010.6.11.0000;12.206.367/0001-45;
AVELINO RIBEIRO DA SILVA NETO;MAMÃO;3699;APTO (Deferido);PTC;36;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Masculino;1965-12-21;Casado(a);Outros;Ensino Médio completo;Brasileira nata;SANTO ANTONIO DE LEVERGER / MT;;Suplente;203302010;1762-90.2010.6.11.0000;12.204.410/0001-33;
BENEDITO DA COSTA RIBEIRO FILHO;BENEDITO RIBEIRO - DIDI;1234;INAPTO (Indeferido);PDT;12;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Masculino;1956-09-10;Casado(a);Servidor Público Civil Aposentado;Superior completo;Brasileira nata;CACERES / MT;;;207472010;1927-40.2010.6.11.0000;12.206.130/0001-64;
CARLOS GOMES BEZERRA;CARLOS BEZERRA;1515;APTO (Deferido);PMDB;15;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Masculino;1941-11-04;Casado(a);Deputado;Superior completo;Brasileira nata;CHAPADA DOS GUIMARÃES / MT;;Eleito;200542010;1846-91.2010.6.11.0000;12.203.781/0001-09;
CÁTIA HACKBARTH;CÁTIA HACKBARTH;1033;APTO (Indeferido com recurso);PRB;10;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Feminino;1988-06-07;Solteiro(a);Estudante, Bolsista, Estagiário e Assemelhados;Superior incompleto;Brasileira nata;CUIABÁ / MT;;Indeferido com Recurso;207222010;1909-19.2010.6.11.0000;12.205.991/0001-28;
CLAUDIO JOSE DA SILVA;CLÁUDIO;1010;APTO (Indeferido com recurso);PRB;10;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Masculino;1951-03-03;Casado(a);Economista;Superior completo;Brasileira nata;SÃO MIGUEL / SP;;Indeferido com Recurso;203692010;1929-10.2010.6.11.0000;12.204.833/0001-53;
CLOVIS ANTONIO DE PAULA;CLOVIS DE PAULA;2300;APTO (Deferido);PPS;23;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Masculino;1973-07-10;Casado(a);Vereador;Ensino Médio completo;Brasileira nata;CAPITÃO LEONIDAS MARQUES / PR;;Suplente;207612010;1972-44.2010.6.11.0000;12.229.835/0001-05;
CRISTIANE MENDES MACHADO ROCHA;CRISTIANE MENDES;2321;APTO (Deferido);PPS;23;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Feminino;1981-10-23;Solteiro(a);Servidor Público Municipal;Superior incompleto;Brasileira nata;CUIABA / MT;;Suplente;207572010;1949-98.2010.6.11.0000;12.205.946/0001-73;
CRISTIANO NOGUEIRA PERES;TUCA NOGUEIRA;7020;APTO (Deferido);PT do B;70;COLIGAÇÃO SENADOR JONAS PINHEIRO II;PTB / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1979-12-25;Casado(a);Advogado;Superior completo;Brasileira nata;BETIM / MG;;Suplente;203332010;1989-80.2010.6.11.0000;12.205.082/0001-90;
DAVI MANOEL DO NASCIMENTO;DAVI NASCIMENTO;3633;APTO (Deferido);PTC;36;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Masculino;1982-10-15;Casado(a);Empresário;Ensino Médio completo;Brasileira nata;PIMENTA BUENO / RO;;Suplente;203312010;1768-97.2010.6.11.0000;12.205.172/0001-80;
DEMETRIO CEZAR TEIXEIRA DE SOUZA;DEMETRIO CEZAR;1244;INAPTO (Renúncia);PDT;12;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Masculino;1968-10-19;Solteiro(a);Operador de Equipamento de Rádio, Televisão, Som e Cinema;Ensino Fundamental completo;Brasileira nata;PALOTINA / PR;;;207432010;1943-91.2010.6.11.0000;12.206.552/0001-30;
DORGIVAL DA SILVA;DORGIVAL;4444;APTO (Deferido);PRP;44;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Masculino;1965-03-28;Casado(a);Jornalista e Redator;Superior completo;Brasileira nata;PATU / RS;;Suplente;201662010;1741-17.2010.6.11.0000;12.199.348/0001-39;
EDERSON DAL MOLIN;XUXU DAL MOLIN;2222;INAPTO (Renúncia);PR;22;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Masculino;1975-12-16;Solteiro(a);Agricultor;Superior completo;Brasileira nata;REALEZA / PR;;Renúncia/falecimento/cassação antes da eleição;200552010;1848-61.2010.6.11.0000;12.199.876/0001-98;
EDILSON PEREIRA NERY;EDILSON NERY;1331;APTO (Deferido);PT;13;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Masculino;1960-01-10;Casado(a);Outros;Superior completo;Brasileira nata;BURITIS / MG;;Suplente;200562010;1834-77.2010.6.11.0000;12.198.759/0001-00;
EDIVAL DE PINHO COSTA;EDIVAL PINHO;2277;APTO (Deferido);PR;22;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Masculino;1979-09-04;Casado(a);Administrador;Ensino Médio completo;Brasileira nata;CUIABA / MT;;Suplente;200572010;1831-25.2010.6.11.0000;12.199.784/0001-08;
EDNA MARA DE BACO NOGUEIRA;EDNA MARA;1315;APTO (Deferido);PT;13;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Feminino;1973-10-13;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;ALTONIA / PR;;Suplente;200582010;1830-40.2010.6.11.0000;12.199.633/0001-50;
EDUARDO ALVES MOURA;EDUARDO MOURA;2366;APTO (Deferido);PPS;23;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Masculino;1951-08-22;Casado(a);Pecuarista;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;207622010;1973-29.2010.6.11.0000;12.206.218/0001-86;
EDUARDO GOMES SILVA;DR. EDUARDO;1000;APTO (Indeferido com recurso);PRB;10;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Masculino;1954-02-05;Casado(a);Odontólogo;Superior completo;Brasileira nata;CUIABÁ / MT;;Indeferido com Recurso;203682010;1930-92.2010.6.11.0000;12.207.183/0001-08;
ELIENE JOSÉ DE LIMA;ELIENE LIMA;1140;APTO (Deferido);PP;11;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Masculino;1955-09-09;Separado(a) judicialmente;Deputado;Superior completo;Brasileira nata;TIROS / MG;;Eleito;203232010;1779-29.2010.6.11.0000;12.204.431/0001-59;
ELIEZER MOREIRA DOS SANTOS;ELIEZER MOREIRA;1480;APTO (Deferido);PTB;14;COLIGAÇÃO SENADOR JONAS PINHEIRO II;PTB / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1961-01-13;Casado(a);Contador;Superior completo;Brasileira nata;RONONOPOLIS / MT;;Suplente;201312010;1726-48.2010.6.11.0000;12.235.216/0001-15;
ELSO RODRIGUES;ELSO RODRIGUES;1250;APTO (Deferido);PDT;12;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Masculino;1959-01-13;Casado(a);Advogado;Superior completo;Brasileira nata;IRAI / RS;;Suplente;207402010;1947-31.2010.6.11.0000;12.242.462/0001-02;
EUNICE TEODORA DOS SANTOS;PROFª NICE;4321;APTO (Deferido);PV;43;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Feminino;1978-09-28;Casado(a);Servidor Público Estadual;Superior completo;Brasileira nata;CUIABÁ / MT;;Suplente;200102010;1889-28.2010.6.11.0000;12.199.930/0001-03;
FLAVIO GOMES DA SILVA;FLAVIO GOMES;1330;INAPTO (Renúncia);PT;13;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Masculino;1971-04-26;Casado(a);Outros;Superior incompleto;Brasileira nata;PEDRO AFONSO / TO;;;200592010;1828-70.2010.6.11.0000;12.199.561/0001-40;
FLORIVALDO ROBALO DA ROSA;PROF FLORIVALDO;1320;APTO (Deferido);PT;13;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Masculino;1951-08-20;Casado(a);Professor de Ensino Superior;Superior completo;Brasileira nata;SAO LUIZ GONZAGA / RS;;Suplente;200602010;1826-03.2010.6.11.0000;12.198.612/0001-10;
FRANCISCO ASSIS DE OLIVEIRA;FRANCISCO ASSIS;1221;INAPTO (Não conhecimento do pedido);PDT;12;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Masculino;1952-06-19;Divorciado(a);Empresário;Ensino Fundamental completo;Brasileira nata;CUIABA / MT;;;207512010;1940-39.2010.6.11.0000;12.206.126/0001-04;
FRANCISCO VALTENIO SALES FERREIRA;CHICO DO INDEA;4010;INAPTO (Não conhecimento do pedido);PSB;40;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Masculino;1970-10-09;Casado(a);Veterinário;Superior completo;Brasileira nata;IGUATU / CE;;;200112010;1539-40.2010.6.11.0000;12.529.757/0001-56;
FRANCISCO WAGNER LOPES SIMPLICIO;WAGNER SIMPLICIO;2333;INAPTO (Indeferido);PPS;23;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Masculino;1961-03-04;Divorciado(a);Servidor Público Municipal;Superior completo;Brasileira nata;CUIABÁ / MT;;Registro negado antes da eleição;207682010;1977-66.2010.6.11.0000;12.235.252/0001-89;
GENESSY ASSUNÇÃO SOUZA;GENESSY;4544;APTO (Deferido);PSDB;45;COLIGAÇÃO SENADOR JONAS PINHEIRO II;PTB / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1980-10-26;Solteiro(a);Servidor Público Federal;Superior completo;Brasileira nata;NORTELÂNDIA / MT;;Suplente;201492010;1910-04.2010.6.11.0000;12.199.985/0001-05;
GILBERTO LOPES FILHO;LOPES FILHO;5050;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1962-12-15;Separado(a) judicialmente;Administrador;Superior completo;Brasileira nata;TESOURO / MT;;Não eleito;192032010;1516-94.2010.6.11.0000;12.174.625/0001-59;
HOMERO ALVES PEREIRA;HOMERO PEREIRA;2200;APTO (Deferido);PR;22;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Masculino;1955-05-25;Casado(a);Deputado;Superior completo;Brasileira nata;ADAMANTINA / SP;;Eleito;200612010;1827-85.2010.6.11.0000;12.199.825/0001-66;
ISMAILCE CANO BRITO;ISMAILCE BRITO;4440;INAPTO (Indeferido);PRP;44;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Feminino;1975-11-13;Solteiro(a);Comerciante;Superior completo;Brasileira nata;VILA BELA DA SANTISSIMA TRINDADE / MT;;;207902010;1955-08.2010.6.11.0000;12.207.327/0001-18;
ISRAEL SILVA BORGES;ISRAEL ROLAMENTO;2580;APTO (Deferido);DEM;25;COLIGAÇÃO SENADOR JONAS PINHEIRO II;PTB / DEM / PMN / PSDB / PT do B;Deputado Federal;Masculino;1958-10-08;Casado(a);Empresário;Superior completo;Brasileira nata;DOURADO / MS;;Suplente;194512010;1658-98.2010.6.11.0000;12.190.045/0001-55;
IVANILDES FERREIRA DOS SANTOS;PROFESSORA IVANILDES;1321;INAPTO (Renúncia);PT;13;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Feminino;1946-07-12;Viúvo(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;GUIRATINGA / MT;;;200622010;1840-84.2010.6.11.0000;12.198.437/0001-60;
IZABEL MELO;IZABEL MELO;4041;APTO (Deferido);PSB;40;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Feminino;1957-01-07;Casado(a);Dona de Casa;Ensino Fundamental completo;Brasileira nata;TAMBOARA / PR;;Suplente;200122010;1537-70.2010.6.11.0000;12.199.918/0001-90;
JAQUELINE BEBER GUIMARÃES;DRA JAQUELINE;3131;APTO (Deferido);PHS;31;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Feminino;1964-08-13;Casado(a);Médico;Superior completo;Brasileira nata;ALEGRE / ES;;Suplente;203202010;1750-76.2010.6.11.0000;12.205.046/0001-26;
JOANA DARC MIRANDA SOUSA;JOANA;2202;APTO (Deferido);PR;22;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Feminino;1968-01-24;Casado(a);Enfermeiro;Ensino Médio completo;Brasileira nata;GOIANIA / GO;;Suplente;200632010;1836-47.2010.6.11.0000;12.199.630/0001-16;
JOSE ANTONIO DOS SANTOS MEDEIROS;MEDEIROS;2345;INAPTO (Indeferido);PPS;23;MATO GROSSO MELHOR PRA VOCÊ;PDT / PPS / PSB / PV;Deputado Federal;Masculino;1970-03-18;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;CAICO / RN;;;207602010;1952-53.2010.6.11.0000;12.214.373/0001-44;
JOSE CARLOS RAMALHO DA SILVA;JOSE RAMALHO;2233;INAPTO (Indeferido);PR;22;MATO GROSSO EM PRIMEIRO LUGAR II;PT / PMDB / PR;Deputado Federal;Masculino;1961-12-10;Separado(a) judicialmente;Corretor de Imóveis, Seguros, Títulos e Valores;Ensino Médio completo;Brasileira nata;UMUARAMA / PR;;;200642010;1823-48.2010.6.11.0000;12.199.259/0001-92;
JOSE MARCONDES DOS SANTOS NETO;MUVUCA;1151;INAPTO (Indeferido);PP;11;COLIGAÇÃO MATO GROSSO PROGRESSISTA;PRB / PP / PTN / PSC / PHS / PTC / PRP;Deputado Federal;Masculino;1975-05-02;Solteiro(a);Jornalista e Redator;Superior completo;Brasileira nata;ALTO PARAGUAI / MT;;;267862010;2517-17.2010.6.11.0000;12.339.064/0001-09;
