Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ADALMILSON DE SOUZA DUARTE;CORONEL ADALMILSON;2500;APTO (Deferido);DEM;25;JUNTOS COM O POVO;PPS / DEM / PSDC / PRTB / PMN / PRP / PSDB;Deputado Federal;Masculino;1945-11-10;Casado(a);Militar Reformado;Superior completo;Brasileira nata;BELÉM / PA;;Suplente;89612010;987-91.2010.6.14.0000;12.197.972/0001-05;
ADEMIR GALVAO ANDRADE;ADEMIR ANDRADE;4040;APTO (Deferido);PSB;40;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Masculino;1950-07-19;Separado(a) judicialmente;Vereador;Superior completo;Brasileira nata;MILAGRES / BA;;Suplente;90362010;1156-78.2010.6.14.0000;12.189.621/0001-44;
ADRIEL MOREIRA DO NASCIMENTO;ADRIEL;2766;INAPTO (Renúncia);PSDC;27;JUNTOS COM O POVO;PPS / DEM / PSDC / PRTB / PMN / PRP / PSDB;Deputado Federal;Masculino;1967-01-15;Solteiro(a);Empresário;Ensino Fundamental completo;Brasileira nata;IGARAPÉ AÇÚ / PA;;;88582010;910-82.2010.6.14.0000;12.280.851/0001-14;
AFONSO DIAS DAS SILVA;AFONSO DIAS;3363;INAPTO (Indeferido);PMN;33;JUNTOS COM O POVO;PPS / DEM / PSDC / PRTB / PMN / PRP / PSDB;Deputado Federal;Masculino;1961-08-21;Solteiro(a);Outros;Ensino Fundamental completo;Brasileira nata;BARCARENA / PA;;;88592010;911-67.2010.6.14.0000;12.173.237/0001-53;
AILSON CAVALHEIRO CUNHA;AILSON CUNHA;1616;INAPTO (Indeferido);PSTU;16;-;-;Deputado Federal;Masculino;1966-06-26;Casado(a);Trabalhador de Construção Civil;Ensino Fundamental completo;Brasileira nata;BELÉM / PA;;Indeferido com Recurso;86222010;534-96.2010.6.14.0000;12.173.799/0001-05;
ALBERTO FERREIRA DE ANDRADE JÚNIOR;BETO ANDRADE;5050;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1978-03-16;Casado(a);Professor de Ensino Fundamental;Superior completo;Brasileira nata;BELÉM / PA;;Não eleito;86342010;608-53.2010.6.14.0000;12.204.951/0001-61;
ALVINA SILVA DE JESUS;ALVINA SILVA;4516;INAPTO (Indeferido);PSDB;45;JUNTOS COM O POVO;PPS / DEM / PSDC / PRTB / PMN / PRP / PSDB;Deputado Federal;Feminino;1950-02-19;Casado(a);Dona de Casa;Ensino Médio completo;Brasileira nata;QUATIPURU / PA;;;112042010;1431-27.2010.6.14.0000;12.262.749/0001-96;
ANA CLAUDIA RODRIGUES BRAGA;CLUADIA BRAGA;4007;APTO (Deferido);PSB;40;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Feminino;1972-12-28;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;BELEM / PA;;Suplente;90372010;1128-13.2010.6.14.0000;12.175.950/0001-36;
ANA DO SOCORRO BARBOSA BARROS;ANA DO SOCORRO;4333;APTO (Deferido);PV;43;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Feminino;1959-04-17;Casado(a);Dona de Casa;Ensino Médio completo;Brasileira nata;BELÉM / PA;;Suplente;151952010;1630-49.2010.6.14.0000;12.541.011/0001-68;
ANDRE TEIXERA DIAS;ANDRE DIAS;4500;APTO (Deferido com recurso);PSDB;45;JUNTOS COM O POVO;PPS / DEM / PSDC / PRTB / PMN / PRP / PSDB;Deputado Federal;Masculino;1960-12-25;Casado(a);Deputado;Superior completo;Brasileira nata;BELEM / PA;;Suplente;88372010;815-52.2010.6.14.0000;12.170.538/0001-23;
ANTONIA VANDERLISA OLIVEIRA DE PAIVA;VANDERLISA;1318;INAPTO (Indeferido);PT;13;ACELERA PARÁ;PP / PT / PTB / PSC / PR / PHS / PTC / PT do B;Deputado Federal;Feminino;1975-12-12;Solteiro(a);Servidor Público Municipal;Ensino Médio completo;Brasileira nata;IRITUIA / PA;;;93662010;1278-91.2010.6.14.0000;12.280.878/0001-07;
ANTONIO BENJAMIN DE SOUZA NETO;NETO;4056;INAPTO (Indeferido);PSB;40;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Masculino;1960-01-15;Casado(a);Outros;Superior incompleto;Brasileira nata;CASTANHAL / PA;;;90382010;1127-28.2010.6.14.0000;12.173.897/0001-34;
ANTONIO CAXINAUA GUALBERTO JUNIOR;PROF CAXINAUA;1202;APTO (Deferido);PDT;12;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Masculino;1965-08-26;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;BELEÉM / PA;;Suplente;90392010;1125-58.2010.6.14.0000;12.172.668/0001-03;
ANTÔNIO JOSÉ DO EPÍRITO SANTO MAUÉS;MAUÉS;5069;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1956-03-31;Solteiro(a);Servidor Público Federal;Superior incompleto;Brasileira nata;ABAETETUBA / PA;;Não eleito;86352010;609-38.2010.6.14.0000;12.170.834/0001-24;
ANTONIO MASSUD DE SALES PEREIRA;MASSUD;1410;APTO (Deferido);PTB;14;ACELERA PARÁ;PP / PT / PTB / PSC / PR / PHS / PTC / PT do B;Deputado Federal;Masculino;1957-12-24;Casado(a);Vereador;Ensino Médio incompleto;Brasileira nata;INHANGAPI / PA;;Suplente;94672010;1283-16.2010.6.14.0000;12.189.846/0001-09;
ANTONIO SAMPAIO NETO;SAMPAIO;1020;APTO (Deferido);PRB;10;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Masculino;1953-09-16;Casado(a);Advogado;Superior completo;Brasileira nata;MARABA / PA;;Suplente;90402010;1126-43.2010.6.14.0000;12.168.966/0001-11;
ARNALDO DOS SANTOS FERREIRA;PROFESSOR ARNALDO;5006;INAPTO (Renúncia);PSOL;50;-;-;Deputado Federal;Masculino;1962-07-09;Casado(a);Professor de Ensino Médio;Superior completo;Brasileira nata;CAMETÁ / PA;;Renúncia/falecimento/cassação antes da eleição;86362010;610-23.2010.6.14.0000;12.172.124/0001-33;
ARNALDO JORDY FIGUEIREDO;ARNALDO JORDY;2323;APTO (Deferido);PPS;23;JUNTOS COM O POVO;PPS / DEM / PSDC / PRTB / PMN / PRP / PSDB;Deputado Federal;Masculino;1958-11-30;Divorciado(a);Deputado;Superior incompleto;Brasileira nata;BELEM / PA;;Eleito;88602010;912-52.2010.6.14.0000;12.173.289/0001-20;
ASDRUBAL MENDES BENTES;ASDRUBAL;1512;APTO (Deferido);PMDB;15;-;-;Deputado Federal;Masculino;1939-07-27;Separado(a) judicialmente;Deputado;Superior completo;Brasileira nata;HUMAITA / AM;;Eleito;86942010;648-35.2010.6.14.0000;12.167.668/0001-07;
AUREA ANJOS DA SILVA DIAS;AUREA DIAS;1025;INAPTO (Indeferido);PRB;10;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Feminino;1968-09-28;Solteiro(a);Administrador;Superior completo;Brasileira nata;BELÉM / PA;;;90412010;1124-73.2010.6.14.0000;12.176.086/0001-97;
AZIEL CARVALHO NEVES;AZIEL NEVES;2000;APTO (Deferido);PSC;20;ACELERA PARÁ;PP / PT / PTB / PSC / PR / PHS / PTC / PT do B;Deputado Federal;Masculino;1971-09-19;Casado(a);Contador;Ensino Médio completo;Brasileira nata;BELÉM / PA;;Suplente;92112010;1177-54.2010.6.14.0000;12.174.971/0001-37;
BEATRIZ ARNOUD DE ABREU LOUSADA;BEATRIZ DO PDT;1203;INAPTO (Indeferido);PDT;12;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Feminino;1983-06-21;Solteiro(a);Dona de Casa;Ensino Médio completo;Brasileira nata;CAMETA / PA;;;90422010;1157-63.2010.6.14.0000;12.180.092/0001-18;
BENEDITA LOPES DE OLIVEIRA;BENA DO SESPE;1317;INAPTO (Indeferido);PT;13;ACELERA PARÁ;PP / PT / PTB / PSC / PR / PHS / PTC / PT do B;Deputado Federal;Feminino;1945-06-18;Divorciado(a);Aposentado (Exceto Servidor Público);Ensino Médio completo;Brasileira nata;ALMERIM / PA;;;98452010;1344-71.2010.6.14.0000;12.206.399/0001-40;
CARLA CRISTINA FREITAS DOS SANTOS;CARLA;2322;APTO (Deferido);PPS;23;JUNTOS COM O POVO;PPS / DEM / PSDC / PRTB / PMN / PRP / PSDB;Deputado Federal;Feminino;1981-12-27;Solteiro(a);Outros;Ensino Médio completo;Brasileira nata;BELÉM / PA;;Suplente;88612010;913-37.2010.6.14.0000;12.205.014/0001-20;
CARLOS ALBERTO PEREIRA DA CUNHA;CARLOS CUNHA;1415;APTO (Deferido);PTB;14;ACELERA PARÁ;PP / PT / PTB / PSC / PR / PHS / PTC / PT do B;Deputado Federal;Masculino;1960-11-29;Casado(a);Outros;Ensino Médio completo;Brasileira nata;SANTAREM / PA;;Suplente;94742010;1280-61.2010.6.14.0000;12.235.190/0001-05;
CARLOS AUGUSTO XAVIER DO NASCIMENTO;CARLOS XAVIER;1444;APTO (Deferido);PTB;14;ACELERA PARÁ;PP / PT / PTB / PSC / PR / PHS / PTC / PT do B;Deputado Federal;Masculino;1958-04-18;Casado(a);Engenheiro;Superior completo;Brasileira nata;BELEM / PA;;Suplente;93312010;1305-74.2010.6.14.0000;12.207.153/0001-93;
CARLOS EDUARDO CARDOSO MARTINS;CARLOS MARTINS;1311;APTO (Deferido);PT;13;ACELERA PARÁ;PP / PT / PTB / PSC / PR / PHS / PTC / PT do B;Deputado Federal;Masculino;1963-12-17;Casado(a);Deputado;Superior completo;Brasileira nata;SANTARÉM / PA;;Suplente;91442010;1161-03.2010.6.14.0000;12.204.239/0001-62;
CATARINO RIBEIRO DE LIMA;CATARINO;1570;APTO (Deferido);PMDB;15;-;-;Deputado Federal;Masculino;1949-11-25;Casado(a);Administrador;Superior completo;Brasileira nata;ANANINDEUA / PA;;Suplente;86952010;649-20.2010.6.14.0000;12.198.778/0001-36;
CECILIA SOCORRO OLIVEIRA DE AZEVEDO;CECILIA AZEVEDO;7099;INAPTO (Indeferido);PT do B;70;ACELERA PARÁ;PP / PT / PTB / PSC / PR / PHS / PTC / PT do B;Deputado Federal;Feminino;1960-11-22;Separado(a) judicialmente;Professor de Ensino Superior;Superior completo;Brasileira nata;MOSQUEIRO / PA;;;93502010;1311-81.2010.6.14.0000;12.189.894/0001-99;
CLAUDIA PINHEIRO DOS SANTOS;CLAUDIA PDT;1204;INAPTO (Indeferido);PDT;12;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Feminino;1983-03-31;Casado(a);Dona de Casa;Ensino Médio completo;Brasileira nata;BELEM / PA;;;90432010;1123-88.2010.6.14.0000;12.180.563/0001-98;
CLAUDINEI PEREIRA BARBOSA FURMAN;CLAUDINEI FURMAN;1214;APTO (Deferido);PDT;12;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Masculino;1976-08-03;Casado(a);Empresário;Superior incompleto;Brasileira nata;BRASILIA / DF;;Suplente;90442010;1122-06.2010.6.14.0000;12.280.876/0001-18;
CLAUDIO ALBERTO CASTELO BRANCO PUTY;PUTY;1310;APTO (Deferido);PT;13;ACELERA PARÁ;PP / PT / PTB / PSC / PR / PHS / PTC / PT do B;Deputado Federal;Masculino;1970-08-02;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;BELEM / PA;;Eleito;91452010;1162-85.2010.6.14.0000;12.176.048/0001-34;
CONCEICAO DE NAZARE OLIVEIRA DA SILVA;CONCEICAO OLIVEIRA;4003;APTO (Deferido);PSB;40;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Feminino;1955-07-23;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;BELEM / PA;;Suplente;90452010;1120-36.2010.6.14.0000;12.180.106/0001-01;
DARIO JOSE BALIEIRO BERNARDES;DARIO;1277;APTO (Deferido);PDT;12;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Masculino;1959-01-29;Casado(a);Diretor de Empresas;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;90462010;1121-21.2010.6.14.0000;12.171.235/0001-25;
DELMIRO VIEIRA PEIXOTO JUNIOR;DELMIRO JR;4525;APTO (Deferido);PSDB;45;JUNTOS COM O POVO;PPS / DEM / PSDC / PRTB / PMN / PRP / PSDB;Deputado Federal;Masculino;1964-06-01;Casado(a);Escultor e Pintor;Ensino Fundamental completo;Brasileira nata;BELEM / PA;;Suplente;88382010;816-37.2010.6.14.0000;12.174.325/0001-70;
DOFILA FARIAS DIAS;DOFILA;6500;APTO (Deferido);PC do B;65;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Feminino;1937-06-06;Casado(a);Servidor Público Civil Aposentado;Ensino Médio completo;Brasileira nata;CANDIDO MENDES / MA;;Suplente;90472010;1129-95.2010.6.14.0000;12.204.100/0001-19;
EDINILSON FERREIRA DA CONCEIÇÃO;EDINILSON FERREIRA;1012;INAPTO (Indeferido);PRB;10;CRESCE PARÁ;PRB / PDT / PSB / PV / PC do B;Deputado Federal;Masculino;1966-09-26;Casado(a);Outros;Ensino Fundamental completo;Brasileira nata;BRASILIA / DF;;Registro negado antes da eleição;90482010;1131-65.2010.6.14.0000;12.204.758/0001-20;
