Nome Completo;Nome para Urna Eletronica;Numero do Candidato;Situacao;Sigla do Partido;Numero do Partido;Nome da Coligacao;Composicao da Coligacao;Cargo;Sexo;Data de Nascimento;Estado Civil;Ocupacao;Grau de Instrucao;Nacionalidade;Municipio/UF de Nascimento;Julgamento da Prest. de Contas;Resultado da Eleicao;Numero Protocolo;Numero Processo;CNPJ de Campanha;
ABELARDO JUREMA FILHO;ABELARDO JUREMA;1501;APTO (Deferido);PMDB;15;PARAÍBA UNIDA 1;PP / PTB / PMDB / PSC / PMN;Deputado Federal;Masculino;1952-06-12;Casado(a);Jornalista e Redator;Superior completo;Brasileira nata;RIO DE JANEIRO / RJ;;Suplente;192692010;4871-04.2010.6.15.0000;12.190.479/0001-55;
ADAILTO BARROS DE SOUZA;ADAILTO BARROS;1377;APTO (Deferido);PT;13;PARAÍBA UNIDA II;PRB / PT / PSL / PR / PHS / PC do B / PT do B;Deputado Federal;Masculino;1962-04-20;Divorciado(a);Agricultor;Ensino Fundamental completo;Brasileira nata;PATOS / PB;;Suplente;193482010;4939-51.2010.6.15.0000;12.190.788/0001-25;
AGUINALDO VELLOSO BORGES RIBEIRO;AGUINALDO RIBEIRO;1111;APTO (Deferido);PP;11;PARAÍBA UNIDA 1;PP / PTB / PMDB / PSC / PMN;Deputado Federal;Masculino;1969-02-13;Casado(a);Deputado;Superior completo;Brasileira nata;CAMPINA GRANDE / PB;;Eleito;192482010;4946-43.2010.6.15.0000;12.199.525/0001-87;
ALUISIO PAREDES MOREIRA;DR. ALUISIO PAREDES;1717;INAPTO (Indeferido);PSL;17;PARAÍBA UNIDA II;PRB / PT / PSL / PR / PHS / PC do B / PT do B;Deputado Federal;Masculino;1950-12-11;Casado(a);Médico;Superior completo;Brasileira nata;GUARABIRA / PB;;;191472010;4866-79.2010.6.15.0000;12.189.675/0001-00;
ALZENI RODRIGUES DOS SANTOS;ALZENI RODRIGUES;2277;APTO (Deferido);PR;22;PARAÍBA UNIDA II;PRB / PT / PSL / PR / PHS / PC do B / PT do B;Deputado Federal;Feminino;1945-02-18;Solteiro(a);Professor de Ensino Médio;Superior completo;Brasileira nata;CATOLÉ DO ROCHA / PB;;Suplente;191492010;4858-05.2010.6.15.0000;12.189.480/0001-60;
ANA CLARA MAIA DE OLIVEIRA;ANA CLARA MAIA;1301;APTO (Deferido);PT;13;PARAÍBA UNIDA II;PRB / PT / PSL / PR / PHS / PC do B / PT do B;Deputado Federal;Feminino;1965-10-28;Solteiro(a);Outros;Superior incompleto;Brasileira nata;CAMPINA GRANDE / PB;;Suplente;193492010;4942-06.2010.6.15.0000;12.190.797/0001-16;
ANA PAULA DE OLIVEIRA;DRA ANA PAULA;3111;APTO (Deferido);PHS;31;PARAÍBA UNIDA II;PRB / PT / PSL / PR / PHS / PC do B / PT do B;Deputado Federal;Feminino;1969-09-23;Divorciado(a);Farmacêutico;Superior completo;Brasileira nata;JUAZEIRINHO / PB;;Suplente;191512010;4856-35.2010.6.15.0000;12.191.376/0001-00;
ANTONIO IVANES DE LACERDA;DR IVANES;4513;APTO (Deferido);PSDB;45;UMA NOVA PARAÍBA I;PDT / PTN / PPS / DEM / PTC / PSB / PV / PRP / PSDB;Deputado Federal;Masculino;1954-08-23;Casado(a);Médico;Superior completo;Brasileira nata;CONCEIÇÃO / PB;;Suplente;199962010;4573-12.2010.6.15.0000;12.171.779/0001-97;
ANTONIO ROBERTO DE SOUSA PAULINO;ROBERTO PAULINO;1502;APTO (Deferido);PMDB;15;PARAÍBA UNIDA 1;PP / PTB / PMDB / PSC / PMN;Deputado Federal;Masculino;1951-07-20;Casado(a);Agricultor;Superior completo;Brasileira nata;GUARABIRA / PB;;Suplente;192702010;4872-86.2010.6.15.0000;12.190.532/0001-18;
ARMANDO ABILIO VIEIRA;ARMANDO ABILIO;1414;APTO (Deferido);PTB;14;PARAÍBA UNIDA 1;PP / PTB / PMDB / PSC / PMN;Deputado Federal;Masculino;1944-12-29;Casado(a);Médico;Superior completo;Brasileira nata;ITAPORANGA / PB;;Suplente;187662010;4519-46.2010.6.15.0000;12.168.479/0001-59;
BENEDITA SIQUEIRA DE OLIVEIRA;BENEDITA SIQUEIRA;2539;INAPTO (Renúncia);DEM;25;UMA NOVA PARAÍBA I;PDT / PTN / PPS / DEM / PTC / PSB / PV / PRP / PSDB;Deputado Federal;Feminino;1939-12-20;Viúvo(a);Aposentado (Exceto Servidor Público);Superior completo;Brasileira nata;MAMANGUAPE / PB;;;198322010;4998-39.2010.6.15.0000;12.214.081/0001-01;
BENJAMIM GOMES MARANHAO NETO;BEJAMIM MARANHAO;1555;APTO (Deferido);PMDB;15;PARAÍBA UNIDA 1;PP / PTB / PMDB / PSC / PMN;Deputado Federal;Masculino;1971-11-30;Casado(a);Odontólogo;Superior completo;Brasileira nata;JOÃO PESSOA / PB;;Eleito;192712010;4873-71.2010.6.15.0000;12.191.269/0001-81;
BONIFACIO ROCHA DE MEDEIROS;BONIFÁCIO ROCHA;4012;APTO (Deferido);PSB;40;UMA NOVA PARAÍBA I;PDT / PTN / PPS / DEM / PTC / PSB / PV / PRP / PSDB;Deputado Federal;Masculino;1947-05-15;Casado(a);Contador;Ensino Médio completo;Brasileira nata;PATOS / PB;;Suplente;199972010;4574-94.2010.6.15.0000;12.169.291/0001-25;
BRASIMAR HENRIQUE XAVIER;PASTOR BRASIMAR;2033;INAPTO (Indeferido);PSC;20;PARAÍBA UNIDA 1;PP / PTB / PMDB / PSC / PMN;Deputado Federal;Masculino;1950-10-02;Casado(a);Sacerdote ou Membro de Ordem ou Seita Religiosa;Ensino Médio completo;Brasileira nata;JOÃO PESSOA / PB;;;192492010;4707-39.2010.6.15.0000;12.190.311/0001-40;
CAMILO SOBREIRA DAURTE FILHO;CAMILO DUARTE;2929;APTO (Deferido);PCO;29;-;-;Deputado Federal;Masculino;1983-03-31;Solteiro(a);Servidor Público Federal;Superior incompleto;Brasileira nata;CARUARU / PE;;Não eleito;186282010;4306-40.2010.6.15.0000;12.167.910/0001-42;
CARLISSON MORAIS DE OLIVEIRA;CARLISSON;1616;APTO (Deferido);PSTU;16;-;-;Deputado Federal;Masculino;1988-12-22;Solteiro(a);Agente Administrativo;Superior incompleto;Brasileira nata;JOÃO PESSOA / PB;;Não eleito;186382010;4313-32.2010.6.15.0000;12.312.423/0001-26;
CASSIANO PASCOAL PEREIRA NETO;CASSIANO;2245;APTO (Deferido);PR;22;PARAÍBA UNIDA II;PRB / PT / PSL / PR / PHS / PC do B / PT do B;Deputado Federal;Masculino;1962-07-29;Casado(a);Empresário;Superior incompleto;Brasileira nata;CAMPINA GRANDE / PB;;Suplente;191422010;4857-20.2010.6.15.0000;12.199.038/0001-14;
DAMIÃO FELICIANO DA SILVA;DR. DAMIÃO;1212;APTO (Deferido);PDT;12;UMA NOVA PARAÍBA I;PDT / PTN / PPS / DEM / PTC / PSB / PV / PRP / PSDB;Deputado Federal;Masculino;1952-04-28;Casado(a);Servidor Público Federal;Superior completo;Brasileira nata;CAMPINA GRANDE / PB;;Eleito;199982010;4575-79.2010.6.15.0000;12.189.961/0001-75;
DJALMA VARELA BEZERRA;DJALMA VARELA;3315;APTO (Deferido);PMN;33;PARAÍBA UNIDA 1;PP / PTB / PMDB / PSC / PMN;Deputado Federal;Masculino;1960-09-08;Divorciado(a);Empresário;Ensino Médio incompleto;Brasileira nata;NOVA CRUZ / RN;;Suplente;195332010;4950-80.2010.6.15.0000;12.198.803/0001-81;
EDIRCE DE OLIVEIRA SILVA;EDIRCE SILVA;4521;APTO (Deferido);PSDB;45;UMA NOVA PARAÍBA I;PDT / PTN / PPS / DEM / PTC / PSB / PV / PRP / PSDB;Deputado Federal;Feminino;1962-08-03;Solteiro(a);Outros;Ensino Fundamental completo;Brasileira nata;JOÃO PESSOA / PB;;Suplente;199992010;4576-64.2010.6.15.0000;12.179.996/0001-23;
EDNALDO LUCIANO DO NASCIMENTO;LUCIANO;5051;APTO (Deferido);PSOL;50;-;-;Deputado Federal;Masculino;1955-08-30;Divorciado(a);Outros;Superior incompleto;Brasileira nata;JOÃO PESSOA / PB;;Não eleito;186542010;4323-76.2010.6.15.0000;12.171.787/0001-33;
EDVALDO JOSE CAIÇARA;CAIÇARA;3131;APTO (Deferido);PHS;31;PARAÍBA UNIDA II;PRB / PT / PSL / PR / PHS / PC do B / PT do B;Deputado Federal;Masculino;1964-06-02;Solteiro(a);Servidor Público Federal;Superior completo;Brasileira nata;CAMPINA GRANDE / PB;;Suplente;193682010;4855-50.2010.6.15.0000;12.190.573/0001-04;
EDVAN CARNEIRO DA SILVA;EDVAN CARNEIRO;1010;APTO (Deferido);PRB;10;PARAÍBA UNIDA II;PRB / PT / PSL / PR / PHS / PC do B / PT do B;Deputado Federal;Masculino;1961-05-15;Casado(a);Advogado;Superior completo;Brasileira nata;JOÃO PESSOA / PB;;Suplente;191542010;4842-51.2010.6.15.0000;12.190.222/0001-01;
EFRAIM DE ARAUJO MORAIS FILHO;EFRAIM FILHO;2511;APTO (Deferido);DEM;25;UMA NOVA PARAÍBA I;PDT / PTN / PPS / DEM / PTC / PSB / PV / PRP / PSDB;Deputado Federal;Masculino;1979-03-18;Casado(a);Deputado;Superior completo;Brasileira nata;JOÃO PESSOA / PB;;Eleito;200002010;4577-49.2010.6.15.0000;12.167.635/0001-67;
EMANOELE BATISTA BARBOSA;MANU;1505;APTO (Deferido);PMDB;15;PARAÍBA UNIDA 1;PP / PTB / PMDB / PSC / PMN;Deputado Federal;Feminino;1989-03-25;Solteiro(a);Secretário e Datilógrafo;Superior incompleto;Brasileira nata;JOAO PESSOA / PB;;Suplente;196392010;4851-13.2010.6.15.0000;12.203.973/0001-07;
ERIVAM PEREIRA DA SILVA;CIDADÃO;6521;APTO (Deferido);PC do B;65;PARAÍBA UNIDA II;PRB / PT / PSL / PR / PHS / PC do B / PT do B;Deputado Federal;Masculino;1975-03-06;Casado(a);Taxista;Ensino Fundamental completo;Brasileira nata;PAULISTA / PB;;Suplente;191562010;4833-89.2010.6.15.0000;12.191.444/0001-30;
FABIO RODRIGUES DE OLIVEIRA;MAJOR FABIO;2540;APTO (Deferido);DEM;25;UMA NOVA PARAÍBA I;PDT / PTN / PPS / DEM / PTC / PSB / PV / PRP / PSDB;Deputado Federal;Masculino;1969-11-04;Casado(a);Deputado;Superior completo;Brasileira nata;RECIFE / PE;;Suplente;200012010;4578-32.2010.6.15.0000;12.177.491/0001-20;
FERNANDO BARATA ALVES DE FARIAS;FERNANDO BARATA;1122;INAPTO (Indeferido);PP;11;PARAÍBA UNIDA 1;PP / PTB / PMDB / PSC / PMN;Deputado Federal;Masculino;1950-02-03;Solteiro(a);Agente Administrativo;Ensino Médio completo;Brasileira nata;ITAPORANGA / PB;;Registro negado antes da eleição;192502010;4710-91.2010.6.15.0000;12.191.354/0001-40;
